番号,単語,読み方（ひらがな）,翻訳,備考,例文
6,釘仕舞い,くぎしまい,ถอนตะปูออกและจัดเก็บ หลังจบงาน,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする"
7,スラブ天端,すらぶてんば,ระดับบนสุดของพื้น,,"て ん   ば
スラブ天端をそろえる"
8,高さ（タッパ）,たかさ（たっぱ）,ความสูง (ส่วนสูง),,"た か                                           は か
高さ（タッパ）を測る"
9,建込み,たてこみ,ประกอบวัสดุก่อสร้างใน แนวตั้งที่ต าแหน่งตามที่ ก าหนดในแบบ,,"か た わ く        た  て  こ
型枠を建込みする"
10,通り,とおり,เป็นแนวเส้นตรง,ปรับแก้สิ่งที่บิดเบี้ยว สิ่งที่กีดขวาง ฯลฯ ให้อยู่ในสภาพปกติ,"と お                よ
通りを良くする"
11,蹴上げ,けあげ,ความสูงของขั้นบันได,ความสูงของขั้นบันไดหนึ่งขั้น,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる"
12,蹴込み,けこみ,ส่วนที่ขั้นบันไดเหลื่อมกัน,,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる"
13,工具の手入れ,こうぐのていれ,ดูแลรักษาเครื่องมือ,,"こ   う   ぐ           て     い
工具の手入れをおこたらない"
14,下げ振り,さげふり,สายดิ่ง,,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する"
15,地墨,じずみ,"ท าเครื่องหมายเพื่อ
ก าหนดต าแหน่งก่อสร้าง บนพื้นฐานราก",,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける"
16,捨てコンクリート,すてこんくりーと,"การเทลีน, การเทคอนกรีต เพื่อปรับผิวหน้าดิน",,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る"
17,はね出し,はねだし,ส่วนที่ยื่นออกมา,สภาพของแผ่นพื้นทางเดินข้างหนึ่ง ของนั่งร้านที่ยื่นออกมาอย่างมากจาก ส่วนที่รองรับ หากเหยียบขึ้นไปโดยไม่ รู้อาจตกได้ ซึ่งเปนอันตรายอย่างยิ่ง,"かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る"
18,はらみ,はらみ,เบ่งบวม,,"だ  せ  つ ちゅう       か た わ く
コンクリート打設中に型枠のはらみを
か く に ん
確認する"
19,前面,まえつら,ด้านหน้า,,"ま え つ ら       そ ろ
前面を揃える"
20,養生,ようじょう,บ่ม,,"だ  せ  つ   ご         ようじょう
コンクリート打設後に養生をおこなう"
21,レベル,れべる,"ระดับ, เครื่องวัดระนาบ",,"そくりょう
レベルを測量する"
22,割付,わりつけ,การแบ่งพื้นที่บนแบบ แปลนเพื่อก าหนดจุด ติดตั้งอย่างถูกต้อง,,"か た わ く         わ          つ
型枠を割り付ける"
23,埋め込み金物,うめこみかなもの,อุปกรณ์โลหะแบบฝังอยู่ ในคอนกรีต เพื่อเป็น รากฐานของตัวยึดส าหรับ ติดตั้งอุปกรณ์ต่างๆ,,"か た わ く                                                  う            こ          か な もの
型枠にはあらかじめ埋め込み金物を
と          つ
取り付ける"
24,解体する（バラス）,かいたいする（ばらす）,รื้อถอน (ถอดเป็นชิ้นๆ),,"か た わ く       かいたい
型枠を解体する（バラス）"
25,かぶり寸法,かぶりすんぽう,"ระยะคอนกรีตหุ้มผิวเหล็ก, ระยะหุ้มของคอนกรีต",,"て っ き ん       か た わ く                             す ん ぽ う        か く に ん
鉄筋と型枠のかぶり寸法を確認する"
1,異形棒鋼,いけいぼうこう,เหล็กข้ออ้อย,เป็นเหล็กเสริมที่ใช้ทั่วไปในญี่ปุ่น,"い  け  い ぼ う こ う       も ち
異形棒鋼を用いる"
2,結束線,けっそくせん,ลวดผูกเหล็ก,,"け っ そ く せん        て っ き ん       し ば
結束線で鉄筋を縛る"
3,結束工具,けっそくこうぐ,เครื่องมือที่ใช้การผูกเหล็ก,เรียกว่า 「ตะขอ (ฮัคคา)」ด้วย,"け っ そ く  こ   う   ぐ        も ち              て っ き ん       し ば
結束工具を用いて鉄筋を縛る"
4,鉄筋切断機,てっきんせつだんき,เครื่องตัดเหล็กเสริม,,"て っ き ん せ  つ  だ  ん  き         て っ き ん       せつだん
鉄筋切断機で鉄筋を切断する"
5,鉄筋曲げ加工機,てっきんまげかこうき,เครื่องดัดเหล็กเสริม,,"て っ き ん   ま           か  こ  う    き          て っ き ん         ま
鉄筋曲げ加工機で鉄筋を曲げる"
6,フック,ふっく,"ดัดโค้ง, ดัดงอเป็นขอ",,"て っ き ん た  ん  ぶ
鉄筋端部にフックをつける"
7,保護帽（ヘルメット）,ほごぼう（へるめっと）,หมวกนิรภัย (หมวกเซฟตี้),,"ほ     ご   ぼ う                             さ ぎ ょ う          と           か
保護帽をかぶり作業に取り掛かる"
8,アンカー,あんかー,สมอ,ย่อมาจาก 「สมอและเหล็กเดือย (ซา ชิคินอังคา)」อาจเรียกว่า「เหล็กเดือย (ซาชิคิน)」,"せ  っ  ち
アンカーを設置する"
9,加工場,かこうば,โรงแปรรูป,,"げ  ん  ば はんにゅうまえ        か  こ  う   ば           て っ き ん         か  こ  う
現場搬入前に加工場で鉄筋を加工
する"
10,スペーサ―,すぺーさー,ลูกปูน,,"て っ き ん                             あ つ              た も
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う"
11,ドーナツ,どーなつ,ลูกปูนกลม,,"かべ        て っ き ん                      あ つ                                                つか
壁の鉄筋かぶり厚さはドーナツを使う"
12,加工配筋図,かこうはいきんず,แบบการวางและดัดเหล็ก เสริม,,"か  こ  う は い き ん   ず   ど お              く  み  た
加工配筋図通りに組立てる"
13,配筋詳細図,はいきんしょうさいず,แบบละเอียดของการวาง เหล็กเสริม,,"は い き んしょうさい  ず   ど お             く み   た
配筋詳細図通りに組立てる"
14,開口補強筋,かいこうほきょうきん,การเสริมเหล็กช่องเปิด,,"ま ど か い こ う   ぶ          か い こ う ほ き ょ う き ん       ぐ み   た
窓開口部は開口補強筋を組立てる"
15,幅止め筋,はばどめきん,เหล็กเสริมที่ใส่เพิ่มเมื่อมี การผูกเหล็กเสริมสองชั้น เพื่อยึดให้ระยะห่างระหว่าง เหล็กคงที่,,"はば   ど          き ん         と          つ
幅止め筋を取り付ける"
16,差筋,さしきん,เหล็กเดือย,,"さ し き ん
コンクリートに差筋をする"
17,柱主筋,はしらしゅきん,"เหล็กเสริมหลักในเสา, เหล็กยืน",,"はしらしゅきん       ぐ み   た
柱主筋を組立てる"
18,柱配筋,はしらはいきん,การวางเหล็กเสริมในเสา,,"はしらはいきん         ず   めん        か く に ん
柱配筋を図面で確認する"
19,スラブ筋,すらぶきん,เหล็กเสริมในพื้น,,"き ん        し ょ て い                                   く  み  た
スラブ筋を所定のピッチで組立てる"
20,ベース筋,べーすきん,เหล็กเสริมในฐานราก,,"き ん        く  み  た
ベース筋を組立てる"
21,帯筋（フープ）,おびきん（ふーぷ）,เหล็กปลอกเสา (เหล็ก ปลอกรัดรอบ),,"おびき ん        く  み  た
帯筋を組立てる"
22,下端筋,したばきん,เหล็กเสริมล่าง,,"し  た  ば き ん        く  み  た
下端筋を組立てる"
23,上端筋,うわばきん,เหล็กเสริมบน,,"う  わ  ば き ん        く  み  た
上端筋を組立てる"
24,主筋,しゅきん,เหล็กเสริมหลัก,,"し ゅ き ん        く  み  た
主筋を組立てる"
25,あばら筋,あばらきん,เหล็กปลอกคาน,,"き ん        く  み  た
あばら筋を組立てる"
1,はかま筋,はかまきん,เหล็กเสริมครอบเหล็ก เสริมในฐานราก,,"き ん        く  み  た
はかま筋を組立てる"
2,縦筋,たてきん,เหล็กเสริมแนวตั้ง,,"た て き ん        く  み  た
縦筋を組立てる"
3,下筋,したきん,เหล็กเสริมล่าง,,"し た き ん        く  み  た
下筋を組立てる"
4,横筋,よこきん,เหล็กเสริมแนวนอน,,"よ こ き ん        く  み  た
横筋を組立てる"
5,腹筋,はらきん,เหล็กเสริมที่เรียงขนานกับ เหล็กเสริมหลัก,,"は ら き ん        く  み  た
腹筋を組立てる"
6,配力筋,はいりょくきん,เหล็กเสริมที่ตั้งฉากกับ เหล็กเสริมหลักที่รับแรง,,"はいりょくきん        く  み  た
配力筋を組立てる"
7,上筋,うわきん,เหล็กเสริมบน,,"う わ き ん        く  み  た
上筋を組立てる"
8,スパイラル筋,すぱいらるきん,เหล็กปลอกเกลียว,,"き ん        た い し んへ き          と           つ
スパイラル筋を耐震壁に取り付ける"
9,鉄筋径,てっきんけい,เส้นผ่านศูนย์กลางของ เหล็กเสริม,,"て っ き ん け い        せ っ け い  と   し   ょ         と お
鉄筋径は設計図書の通りである"
10,かぶり厚さ,かぶりあつさ,"ความหนาของระยะ คอนกรีตหุ้มผิวเหล็ก, ความหนาของระยะหุ้ม ของคอนกรีต",,"あ つ              か く に ん
かぶり厚さを確認する"
11,角度,かくど,มุม,,"か  く  ど        か く に ん
角度を確認する"
12,シングル,しんぐる,เหล็กเสริมชั้นเดียว,,"て っ き ん                                   は い き ん         く  み  た
鉄筋はシングル配筋で組立てる"
13,ダブル,だぶる,เหล็กเสริมสองชั้น,,"は い き ん
スラブはダブル配筋とする"
14,千鳥結束,ちどりけっそく,เหล็กเสริมสองชั้นผูกสลับ,,"て っ き ん        ち   ど  り  け っ そ く
鉄筋は千鳥結束する"
15,切断寸法,せつだんすんぽう,ขนาดความยาวของการตัด,,"せつだんす ん ぽ う        て っ き ん       せつだん
切断寸法で鉄筋を切断する"
16,加工寸法,かこうすんぽう,ขนาดการแปรรูป,,"か  こ  う  す ん ぽ うど お             て っ き ん        か  こ  う
加工寸法通りに鉄筋を加工する"
17,重ね継手,かさねつぎて,การต่อทาบเหล็ก,,"て っ き ん  ど  う  し         か さ         つ  ぎ  て
鉄筋同士は重ね継手とする"
18,圧接継手,あっせつつぎて,การต่อเหล็กด้วยการเชื่อม แก๊สและแรงดัน,,"て っ き ん  ど  う  し        あ っ せ つ つ  ぎ  て
鉄筋同士は圧接継手とする"
19,開口部,かいこうぶ,ช่องเปิด,,"か  い  こ  う  ぶ               か い こ う ほ き ょ う き ん         と          つ
開口部には開口補強筋を取り付ける"
20,溶接金網,ようせつかなあみ,ตะแกรงเหล็กเชื่อม,,"ど     ま   は い き ん        よ う せ つ かなあみ        し  よ   う
土間配筋は溶接金網を使用する"
21,搬出,はんしゅつ,ล าเลียงออก,,"の こ              て っ き ん        げ  ん  ば              はんしゅつ
残った鉄筋を現場から搬出する"
22,搬入,はんにゅう,ล าเลียงเข้า,,"て っ き ん        げ  ん  ば        はんにゅう
鉄筋を現場に搬入する"
23,基礎,きそ,ฐานราก,หมายถึงรากฐานของสิ่งก่อสร้าง,"き     そ          は い き ん
基礎の配筋をおこなう"
24,機械式継手,きかいしきつぎて,ข้อต่อเหล็กเชิงกล,,"て っ き ん  ど  う  し         き  か  い  し  き  つ  ぎ  て
鉄筋同士は機械式継手とする"
25,配筋検査,はいきんけんさ,การตรวจสอบการจัดวาง เหล็กเสริม,,"せ っ け い か ん り し ゃ                    は い き ん け  ん  さ         ご う か く
設計監理者による配筋検査に合格す
る"
1,トラクタ,とらくた,รถแทรกเตอร์,"เรียกรถแทรกเตอร์ที่ติดส่วนที่ท ำงำน
(อุปกรณ์) ว่ำ รถดันดิน รถตัก เป็นต้น",
2,ブルドーザ,ぶるどーざ,รถดันดิน,เป็นเครื่องจักรกลที่เป็นรถแทรกเตอร์ ที่มีใบมีดติดอยู่,
3,トラクタショベル,とらくたしょべる,รถตัก,เป็นเครื่องจักรกลที่เป็นรถแทรกเตอร์ ติดบุ้งกี๋ มีแบบล้อตะขำบและล้อยำง,
4,ホイルローダ,ほいるろーだ,รถตักล้อยำง,"รถตักแบบล้อยำง(ระบบขับเคลื่อน 4
ล้อ)",
5,ダンプトラック,だんぷとらっく,รถบรรทุกเทท้ำย,,
6,油圧ショベル,ゆあつしょべる,รถขุดระบบไฮดรอลิก,เป็นเครื่องจักรกลที่มีส่วนที่ท ำงำนขุด ตักซึ่งท ำงำนได้หลำยอย่ำงหำก เปลี่ยนส่วนที่ท ำงำน(อุปกรณ์) อื่นๆ,
7,バックホウ,ばっくほう,รถแบคโฮ,เป็นรถที่พบเห็นมำกที่สุดในบรรดำรถ ขุดตักไฮดรอลิก ใช้ในกำรขุดลงไป ใต้พื้นดิน,
8,ローディングショベル,ろーでぃんぐしょべる,รถขุดขนำดใหญ่,"เป็นรถขุดไฮดรอลิกชนิดหนึ่ง ใช้
ส ำหรับขนย้ำยดิน ทรำย และหินบน พื้นดิน",
9,ローラ,ろーら,รถบดดิน,,
10,バケット,ばけっと,บุ้งกี๋,,
11,ブーム,ぶーむ,บูม,,
12,アーム,あーむ,อำร์ม,,
13,ブレード（排土板）,ぶれーど（はいどばん）,ใบมีด(ใบดันดิน),,
14,タイヤ,たいや,ยำงรถ,,
15,クローラ,くろーら,ตีนตะขำบ,,
16,キー（鍵）,きー（かぎ）,คีย์ (กุญแจ),,"く る ま   か ぎ
車の鍵"
17,"作業装置
（アタッチメント）","さぎょうそうち
（あたっちめんと）",ส่วนที่ท ำงำน(อุปกรณ์),,
18,エンジン,えんじん,เครื่องยนต์,,"き
エンジンをかける、エンジンを切る"
19,ディーゼルエンジン,でぃーぜるえんじん,เครื่องยนต์ดีเซล,,
20,エンジンオイル,えんじんおいる,น้ ำมันเครื่อง,,
21,"オルタネータ
（充電発電機）","おるたねーた
（じゅうでんはつでんき）","อัลเทอร์เนเตอร์, ไดชำร์จ (เครื่องปั่นไฟและสำมำรถ ชำร์จไฟเข้ำแบตเตอรี่)",,
22,バッテリ,ばってり,แบตเตอรี่,,
23,燃料,ねんりょう,เชื้อเพลิง,,
24,軽油,けいゆ,น้ ำมันดีเซล,,
25,ブレーキ,ぶれーき,เบรค,,"ふ
ブレーキを踏む"
1,油圧シリンダ,ゆあつしりんだ,กระบอกสูบไฮดรอลิก,,
2,油圧モータ,ゆあつもーた,มอเตอร์ไฮดรอลิก,,
3,油圧ポンプ,ゆあつぽんぷ,ปั๊มไฮดรอลิก,,
4,水漏れ,みずもれ,น้ ำรั่ว,,
5,油漏れ,あぶらもれ,น้ ำมันรั่ว,,
6,冷却水,れいきゃくすい,น้ ำหล่อเย็น,,
7,ブレーキ液,ぶれーきえき,น้ ำมันเบรค,,
8,燃料タンク,ねんりょうたんく,ถังน้ ำมัน,,
9,ファンベルト,ふぁんべると,สำยพำนพัดลมหม้อน้ ำ,,
10,空気圧,くうきあつ,แรงดันลมยำง,,
11,クラッチ,くらっち,คลัตช์,,
12,急発進,きゅうはっしん,เหยียบคันเร่งออกตัวทันที,,
13,急ブレーキ,きゅうぶれーき,กดเบรคให้ควำมเร็วลดลง ทันที,,
14,アイドリング,あいどりんぐ,สภำวะของเครื่องยนต์ที่ หมุนด้วยอัตรำรอบต่ ำสุด เปล่ำๆ,,"て  い  し
エンジンを停止するときはアイドリング
と
したあとに止める"
15,走行,そうこう,รถแล่น,,
16,旋回,せんかい,หมุน,,
17,安全ロック,あんぜんろっく,เซฟตี้ล็อค,,
18,安全支柱,あんぜんしちゅう,เสำค้ ำเพื่อควำมปลอดภัย,,
19,補給（する）,ほきゅう（する）,(กำร)เติม,,"ねんりょう       ほ き ゅ う
エンジンをかけたまま燃料を補給し                               て
はいけない"
20,駐車（する）,ちゅうしゃ（する）,(กำร)จอดรถ,,
21,歩行者,ほこうしゃ,คนเดินเท้ำ,,
22,車両,しゃりょう,ยำนพำหนะมีล้อที่วิ่งบนบก,,
23,死角,しかく,จุดบอด,หมำยถึงจุดที่มองไม่เห็น,
24,斜面,しゃめん,"ทำงลำด, พื้นที่ลำดเอียง",,"や ま   の   し ゃ め ん       の ぼ
山の斜面を上る"
25,転圧（する）,てんあつ（する）,(กำร)บดอัด,,"て ん あ つ さ ぎ ょ う
ローラで転圧作業をする"
1,接触（する）,せっしょく（する）,การชน (ชน),,"じ ゅ う き        せっしょく
重機に接触してけがをする"
2,作動（する）,さどう（する）,การท างาน (ท างาน),,"か  さ  い  ほ   う  ち    き            さ  ど   う
火災報知器が作動する"
3,整備（する）,せいび（する）,การซ่อมบ ารุง (ซ่อมบ ารุง),,"しゃりょう         せ  い  び
車両の整備をする"
4,点検（する）,てんけん（する）,การตรวจเช็ค (ตรวจเช็ค),,"さ ぎ ょ う ま え         こ   う   ぐ        て ん け ん
作業前に工具を点検する"
5,動かす,うごかす,เดินเครื่อง,,"き  か  い        う ご
機械を動かす"
6,運転（する）,うんてん（する）,การขับ (ขับ),,"け ん せつ き  か  い        う ん て ん
建設機械を運転する"
7,測る,はかる,วัด,,"て っ き ん        なが              は か
鉄筋の長さを測る"
8,操作（する）,そうさ（する）,"การควบคุมการท างาน
(ควบคุมการท างาน)",,"き  か  い         そ   う   さ
機械を操作する"
9,停止（する）,ていし（する）,"การหยุด (หยุด) , การจอด
(จอด)",,
10,切る,きる,ตัด,,"き              て っ き ん          き
エンジンを切る、鉄筋を切る"
11,回す,まわす,หมุน,,
12,押す,おす,"ผลัก, ดัน",,
13,集める,あつめる,รวบรวม,,
14,触る,さわる,"แตะต้อง, สัมผัส",,
15,縛る,しばる,"มัด, รัด",,
16,揃える,そろえる,"ท ำให้เท่ำกัน, จัดให้เสมอ",,"て っ き ん        なが              そ ろ
鉄筋の長さを揃える"
17,結ぶ,むすぶ,"ผูก, มัด",,"ざいりょう                                                       む す
材料をまとめてひもで結ぶ"
18,しゃがむ,しゃがむ,นั่งยองๆ,,
19,調整（する）,ちょうせい（する）,การปรับ (ปรับ),,
20,閉じる,とじる,ปิด,,
1,取り出す,とりだす,เอาออก,,
2,戻す,もどす,กลับคืน,,"つか               こ   う   ぐ         も と         ば  し   ょ         も ど
使った工具は元の場所に戻す"
3,仕上げる,しあげる,ท าให้เสร็จ,,
4,折れる,おれる,หัก,,"く ぎ           お
釘が折れる"
5,欠ける,かける,บิ่น,,"ま る                        は             か
丸のこの刃が欠ける"
6,近づく,ちかづく,เข้าใกล้,,"さぎょ うち ゅう        じ ゅ う き        ち か
作業中の重機に近づかない"
7,電源を入れる,でんげんをいれる,เปิดเครื่อง,,
8,電源を落とす,でんげんをおとす,ตัดไฟ,,
9,スイッチを切る,すいっちをきる,ปิดสวิตช์,,
10,固定（する）,こてい（する）,การยึดให้คงที่ (ยึดให้คงที่),,
11,ゆるめる,ゆるめる,คลาย,,ボルトをゆるめる
12,伸ばす,のばす,ยืด,,
13,外す,はずす,ถอดออก,,"あ ん ぜん                             は ず
安全カバーを外す"
14,曲げる,まげる,งอ,,
15,出す,だす,"ยื่น, ส่ง",,鉄筋を曲げる
16,乾かす,かわかす,ท าให้แห้ง,,
17,数える,かぞえる,นับ,,
18,運ぶ,はこぶ,ขน,,
19,積む,つむ,วางซ้อน,,"ざいりょう                                                               つ
材料をくずれないように積む"
20,下ろす,おろす,เอาลง,,"に  だ  い                に  も  つ          お
トラックの荷台から荷物を下ろす"
21,離れる,はなれる,ออกห่าง,,
1,位置,いち,,,
2,寸法,すんぽう,,,
3,測定（する）,そくてい（する）,,,
4,計測（する）,けいそく（する）,,,
5,計測器,けいそくき,,,
6,温度,おんど,,,
7,高さ,たかさ,,,
8,長さ,ながさ,,,
9,重さ,おもさ,,,
10,厚さ,あつさ,,,
11,硬さ,かたさ,,,
12,深さ,ふかさ,,,
13,表面,ひょうめん,,,
14,すきま,すきま,,,
15,中心,ちゅうしん,,,
16,値,あたい,,,
17,安定（する）,あんてい（する）,,,
18,大きさ,おおきさ,,,
19,数,かず,,,
20,誤差,ごさ,,,
21,中,なか,,,
22,反対,はんたい,,,
23,周り,まわり,,,
24,尺,しゃく,,,
25,青,あお,,,
26,赤,あか,,,
27,白,しろ,,,
28,黄色,きいろ,,,
1,片づける,かたづける,,,
2,捨てる,すてる,,,
3,掃く,はく,,,
4,持ち上げる,もちあげる,,,
5,束ねる,たばねる,,,
6,足をくじく,あしをくじく,,,
1,一輪車,いちりんしゃ,,,
2,支柱,しちゅう,,,
3,ショベル,しょべる,,,
4,かけや,かけや,,,
