Annotasyon,Column_4,Column_6,Halimbawa,Larawan,No.,PDFページ番号,PDF表番号,Paano Magbasa,Pagsasalin,Palatandaan,Talasalitaan
"Dahil mataas ang boltahe ng
kuryenteng dumadaloy dito, mataas
ang posibilidad na magkaroon ng
aksidente ng pagkakuryente.",,"Siguraduhing huwag masagi ng
scaffolding ang overhead wire","か く うせん せっしょく
架空線へ接触させないようにする",,6,22,1,かくうせん,overhead wire,,架空線
,,"Maglagay ng baseboard sa
scaffolding upang maiwasan ang
pagbagsak ng
manggagawa/pagkahulog ng mga
kagamitan","ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,7,22,1,はばき（かせつあしば）,"baseboard
(pansamantalang
scaffolding)",,幅木（仮設足場）
"Pinaikling tawag sa “single pipe”.
Tinatawag din “itong pipe”, “tankan-
paipu”, “paipu”.",,"Magbuo ng scaffolding gamit ang
single pipe","たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,8,22,1,たんかん,single pipe,,単管
,,,,,9,22,1,きゃたつ,natitiklop na hagdan,,脚立
"Radius kung saan umiikot ang
mabigat na makina. Upang maiwasan
ang aksidente ng pagsagi atbp.,
madalas ay bawal pumasok dito.",,"Ipagbawal ang pagpasok sa loob ng
operating radius kung saan gumagana
ang mabigat na makina","じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,10,23,1,さぎょうはんけい,operating radius,,作業半径
,,"Pansamantalang ipirmi ang
estruktura gamit ang pansamantalang
kandado","かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,11,23,1,かりぼると,pansamantalang kandado,,仮ボルト
,,"Isaayos ang lugar na sinita sa
scaffolding","し て き ば し ょ て な お
指摘された場所を手直しする",,12,23,1,てなおし,pasasaayos,,手直し
,,Ihanay ayon sa flush,"つらいち
面一にそろえる",,13,23,1,つらいち,flush,,面一
,,"Isagawa ang inspeksyon ng mga
gagamiting kagamitan bago
magsimula sa trabaho alinsunod sa
mga bagay na dapat inspeksyunin.","し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,14,23,1,てんけんじこう,"mga bagay na dapat
inspeksyunin",,点検事項
,,"Magkarga nang hindi lumalabis sa
loading capacity ng truck.","せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,15,23,1,せきさいかじゅう,loading capacity,,積載荷重
,,"Siguraduhing walang siwang sa
pagkabit ng soundproofing sheet.","ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",,16,23,1,すきま,siwang,,すき間
,,"Tingnan ang pagkatuwid upang
tiyakin kung nagagawa ang
paghuhukay ayon sa tamang paraan.","かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",,17,23,1,とおりをみる,tingnan ang pagkatuwid,,通りを見る
,,Magbuo ng scaffolding,"あ し ば く み た
足場を組立てる",,18,23,1,くみたて,pagbubuo,,組立
,,"Buhatin pataas ang scaffolding na
binuo sa lugar ng konstruksyon sa
ibaba, at ikabit ito.","した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",,19,23,1,じぐみ,"pagbubuo sa lugar ng
konstruksyon",,地組
Tinatawag din itong “uwaba” (itaas).,,"Gawing pantay at makinis ang
kongkretong levee crown gamit ang
trowel","て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",,20,24,1,てんば,levee crown,,天端
,,"Kapag magbubuhat ng materyales,
isagawa ang slinging sa ligtas na
posisyon.","ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",,21,24,1,たまかけ・たまがけ,slinging,,玉掛け
,,"Gawin sa ligtas na paraan ang
pagpaandar ng mabigat na makina sa
pamamagitan ng paggamit ng mga
hudyat.","じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",,22,24,1,あいず,hudyat,,合図
,,"Huwag magbuhat ng higit sa rated
capacity.","ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",,23,24,1,ていかくかじゅう,rated capacity,,定格荷重
,,"Tingnan ang “tachi” ng scaffolding
support (tachi=verticality)","あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",,24,24,1,たち,vertical,,たち
,,"Sumunod sa utos ng foreman sa
pagbubuo ng scaffolding","あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",,25,24,1,しょくちょう,foreman,,職長
"Pangunahin itong tawag sa takip na
nakakabit sa electric circular saw.
Ginagamit ito upang iwasan ang
paglundag ng circular saw papunta sa
katawan nang dahil sa kickback atbp.
kapag pagpuputol.",,"Iwasan ang aksidente sa
pamamagitan ng paggamit ng safety
cover","あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",,1,25,1,あんぜんかばー,safety cover,,安全カバー
,,Ikabit ang safety belt sa scaffolding,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",,2,25,1,あんぜんたい,safety belt,,安全帯
,,"Upang ma-install ang insert sa
kongkreto, pukpukin paloob ng form","せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",,3,25,1,いんさーと,insert,,インサート
,,Magkabit ng spacer sa form,"かたわく と つ
型枠にスペーサを取り付ける",,4,25,1,すぺーさ,spacer,,スペーサ
,,"Isaayos ang siwang sa pagitan ng
reinforcing bar at form","てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",,5,25,1,てっきん,reinforcing bar,,鉄筋
,,"Isaksak sa saksakan ng kuryente ng
retractable extension cord (drum)","でんこう さ こ
電工ドラムのコンセントに差し込む",,6,25,1,でんこうどらむ（どらむ）,"retractable extension
cord (drum)",,電工ドラム（ドラム）
,,"Putulin ang concrete panel gamit ang
electric circular saw.","でんどうまる せつだん
電動丸のこでコンパネを切断する",,7,25,1,"でんどうまるのこ（でんの
こ）","electric circular saw
(circular saw)",,電動丸のこ（電のこ）
,,Ilatag ang gasket,"し こ
パッキンを敷き込む",,8,25,1,ぱっきん,gasket,,パッキン
,,"Bunutin ang pako gamit ang maliit na
crowbar","しょう くぎ ぬ
小バールで釘を抜く",,9,25,1,しょうばーる,maliit na crowbar,,小バール
,,"Gumamit malaking crowbar para sa
pagbaklas ng form","かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,10,25,1,だいばーる,malaking crowbar,,大バール
,,"Gumamit ng decorative plywood para
sa finishing ng nakalitaw na mga
maliliit na bato at buhangin ng
konkreto sa ibabaw","ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,11,26,1,けしょうごうはん,decorative plywood,,化粧合板
,,"Para sa finishing ng base sa likod,
gumamit ng normal plywood","はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,12,26,1,ふつうごうはん,normal plywood,,普通合板
,,Ikabit ang styrofoam sa loob ng form,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,13,26,1,すたいろふぉーむ,styrofoam,,スタイロフォーム
,,Magkabit ng chamfer strip sa form,"かたわく めん ぎ と つ
型枠に面木を取り付ける",,14,26,1,めんぎ,chamfer strip,,面木
,,"Pasiksikin ang kongkreto gamit ang
vibrator","し かた
バイブレーターでコンクリートを締め固
める",,15,26,1,ばいぶれーたー,vibrator,,バイブレーター
,,"Gumamit ng pangtanggal upang
pagandahin ang pagtanggal sa
kongkreto at form","かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",,16,26,1,はくりざい,pangtanggal ng pintura,,剥離剤
,,Ikabit ang riser plate,"いた と つ
けこみ板を取り付ける",,17,26,1,けこみいた,riser plate,,けこみ板
,,Ikabit ang joint strip sa form,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",,18,26,1,めじぼう,joint strip,,目地棒
,,Ibuhos ang kongkreto sa form,"かたわく なが こ
型枠にコンクリートを流し込む",,19,26,1,こんくりーと,kongkreto,,コンクリート
,,"Sukatin ang dimensyon gamit ang
medida","すんぽう はか
コンベックスで寸法を測る",,20,26,1,こんべっくす,medida,,コンベックス
,,"Isagawa ang trabaho sa form gamit
ang guwantes na pantrabaho","さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",,21,27,1,さぎょうようてぶくろ,guwantes na pantrabaho,,作業用手袋
,,"Sukatin ang dimensyon gamit ang
carpenter’s square","さしがね すんぽう はか
差金で寸法を測る",,22,27,1,さしがね,carpenter’s square,,差金
,,"Isaayos ang incline gamit ang level
gauge at gawin itong horizontal","すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",,23,27,1,すいへいき,level gauge,,水平器
,,"Ilagay ang sumisashi (brush na
pangmarka na yari sa kawayan) sa
sumitsubo (kagamitang pangmarka ng
mahaba at tuwid na guhit)","すみ すみ
墨さしを墨つぼにつける",,24,27,1,すみさし,"brush na pangmarka na
yari sa kawayan",,墨さし
,,"Ilagay ang sumisashi (brush na
pangmarka na yari sa kawayan) sa
sumitsubo (kagamitang pangmarka ng
mahaba at tuwid na guhit)","すみ すみ
墨さしを墨つぼにつける",,25,27,1,すみつぼ,"kagamitang pangmarka ng
mahaba at tuwid na guhit",,墨つぼ
,,"Ipirmi ang form sa bilog na
panghiwalay","まる かたわく こ て い
丸セパレーターで型枠を固定する",,1,28,1,"まるせぱれーたー
（まるせぱ）","bilog na panghiwalay /
round separator",,"丸セパレーター
（丸セパ）"
,,"Pukpukin ang levee crown nail sa
itaas na kongkreto","てん てん ば くぎ う
コンクリート天に天端釘を打つ",,2,28,1,てんばくぎ,levee crown nail,,天端釘
,,"Isagawa ang surface treatment sa
ibabaw ng concrete panel","ひょうめん
コンパネの表面をけれんする",,3,28,1,けれん,surface treatment,,ケレン
,,"Isagawa ang konstruksyon ng form
timbering","か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",,4,28,1,かたわくしほこう,form timbering,,型枠支保工
,,"Magbuo ng foundation form gamit ang
metal form","き そ かたわく く み た
基礎型枠を組立てる",,5,28,1,"きそかたわく
（めたるふぉーむ）","foundation form (metal
form)",,"基礎型枠
（メタルフォーム）"
,,"Kalasin ang form at alisin ang pako
mula rito","かたわく くぎ し ま
型枠をばらして釘仕舞いをする",,6,28,1,くぎしまい,"pag-alis sa pako mula sa
form / nail remover",,釘仕舞い
,,"Pantayin ang dulong itaas na bahagi
ng losa (slab)","てん ば
スラブ天端をそろえる",,7,28,1,すらぶてんば,"dulong itaas na bahagi ng
losa (slab)",,スラブ天端
,,Sukatin ang taas,"たか はか
高さ（タッパ）を測る",,8,28,1,たかさ（たっぱ）,taas,,高さ（タッパ）
,,Iposisyon ang form nang patayo,"かたわく た て こ
型枠を建込みする",,9,28,1,たてこみ,"pagposisyon nang patayo
/ vertical position",,建込み
"Pagsasaayos sa mga depormidad at
sagabal upang maging normal ang
kanilang kalagayan",,Ayusin ang pagkatuwid,"とお よ
通りを良くする",,10,28,1,とおり,pagkatuwid,,通り
Taas ng bawat hakbang ng hagdan.,,"Magbuo ng form ayon sa itinakdang
sukat ng riser","き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,11,29,1,けあげ,riser,,蹴上げ
,,"Magbuo ng form ayon sa itinakdang
sukat ng footboard","き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,12,29,1,けこみ,footboard,,蹴込み
,,"Huwag kaligtaan ang paglilinis at
pangangalaga sa mga kagamitan","こ う ぐ て い
工具の手入れをおこたらない",,13,29,1,こうぐのていれ,"paglilinis at pangangalaga
sa mga kagamitan / tool
care & maintenance",,工具の手入れ
,,"Tiyakin kung perpendicular ito gamit
ang plumb","さ ふ すいちょく かくにん
下げ振りで垂直を確認する",,14,29,1,さげふり,plumb,,下げ振り
,,"Ikabit ang form ayon sa marka para
sa partisyon","じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",,15,29,1,じずみ,marka para sa partisyon,,地墨
,,"Mag-install ng fastening frame ng
leveling concrete","す と わく せ っ ち
捨てコンクリートの止め枠を設置する",,16,29,1,すてこんくりーと,leveling concrete,,捨てコンクリート
"Kalagayan kung saan malaki ang
pagkausli ng isang dako sa parteng
sinusuportahan ng gangplank ng
scaffolding. Kapag umakyat dito nang
hindi naaalam, may panganib na
mahulog, kung kaya’t
napakamapanganib nito.",,"Magbuo ng slab form na nakausli
mula sa pader","かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",,17,29,1,はねだし,nakakausli,,はね出し
,,"Tiyakin ang umbok ng frame habang
isinisagawa ang concrete placing","だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",,18,29,1,はらみ,umbok,,はらみ
,,Pagsamahin ang front face,"まえつら そろ
前面を揃える",,19,29,1,まえつら,front face,,前面
,,"Isagawa ang curing pagkatapos ng
concrete placing","だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",,20,30,1,ようじょう,curing,,養生
,,Sukatin ang level,"そくりょう
レベルを測量する",,21,30,1,れべる,level,,レベル
,,Mag-layout ng frame,"かたわく わ つ
型枠を割り付ける",,22,30,1,わりつけ,layout,,割付
,,"Unang ikabit ang nakabaong metal sa
form","かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",,23,30,1,うめこみかなもの,nakabaong metal,,埋め込み金物
,,Ikalas ang form (disassemble),"かたわく かいたい
型枠を解体する（バラス）",,24,30,1,かいたいする（ばらす）,"pagkalas (disassemble) /
ikalas",,解体する（バラス）
,,"Tiyakin ang covering dimension ng
reinforcing bar at form","てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",,25,30,1,かぶりすんぽう,covering dimension,,かぶり寸法
,,Gumamit ng deformed steel bar,"い け いぼうこう もち
異形棒鋼を用いる",,1,31,1,いけいぼうこう,deformed steel bar,,異形棒鋼
,,Itali a rebar gamit ang tie wire,"けっそくせん てっきん しば
結束線で鉄筋を縛る",,2,31,1,けっそくせん,"tie wire / alambreng pang
dikitin o pagsamahin",,結束線
"Reinforcing bar na karaniwang
ginagamit sa Japan",,Gumamit ng deformed steel bar,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",,3,31,1,けっそくこうぐ,deformed steel bar,,結束工具
,,"Bigkisin ang iron bar gamit ang iron
bar cutting machine","てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",,4,31,1,てっきんせつだんき,iron bar cutting machine,,鉄筋切断機
tinatawag din itong “hacker”,,"Bigkisin ang reinforcing bar gamit ang
binding tool","てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",,5,31,1,てっきんまげかこうき,binding tool,,鉄筋曲げ加工機
,,Maglakip ng hook sa reinforcing bar,"てっきんた ん ぶ
鉄筋端部にフックをつける",,6,31,1,ふっく,hook,,フック
,,"Baluktutin ang reinforcing bar gamit
ang reinforcement bending machine","ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",,7,31,1,ほごぼう（へるめっと）,"reinforcing bar bending
machine",,保護帽（ヘルメット）
,,"Ikabit ang hook sa dulo ng reinforcing
bar","せ っ ち
アンカーを設置する",,8,31,1,あんかー,kawit / anchor,,アンカー
,,"Magsuot ng proteksyong pang-ulo at
magsimulang magtrabaho","げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",,9,31,1,かこうば,"proteksiyong pang-ulo
(helmet)",,加工場
"Pinaikling “joint bar na angkla.”
Tinatawag din itong “sashikin.” (joint
bar)",,Maglagay ng anchor,"てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,10,31,1,すぺーさー,angkla,,スペーサ―
,,"Iproseso ang reinforcing bar sa
processing plant bago ito dalhin sa
lugar ng trabaho","かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",,11,32,1,どーなつ,processing plant,,ドーナツ
,,"Gumamit ng spacer upang panatilihin
ang covering depth ng reinforcing bar","か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",,12,32,1,かこうはいきんず,spacer,,加工配筋図
,,"Gumamit ng rebar spacer (donut)
para sa covering depth ng reinforcing
bar ng pader","はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",,13,32,1,はいきんしょうさいず,rebar spacer (donut),,配筋詳細図
,,"Magbuo ng opening reinforcement sa
parteng butas ng bintana","まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",,14,32,1,かいこうほきょうきん,opening reinforcement,,開口補強筋
,,Ikabit ang spreader bar,"はば ど きん と つ
幅止め筋を取り付ける",,15,32,1,はばどめきん,spreader bar,,幅止め筋
,,Maglagay ng joint bar sa kongkreto,"さしきん
コンクリートに差筋をする",,16,32,1,さしきん,joint bar,,差筋
,,Magbuo ng column bar,"はしらしゅきん ぐみ た
柱主筋を組立てる",,17,32,1,はしらしゅきん,column bar,,柱主筋
,,Magbuo ng column bar arrangement,"はしらはいきん ず めん かくにん
柱配筋を図面で確認する",,18,32,1,はしらはいきん,column bar arrangement,,柱配筋
,,"Magbuo ng pampatibay ng losa (slab)
sa nakatakdang pitch","きん しょてい く み た
スラブ筋を所定のピッチで組立てる",,19,32,1,すらぶきん,slab reinforcement,,スラブ筋
,,Magbuo ng base reinforcement,"きん く み た
ベース筋を組立てる",,20,32,1,べーすきん,base reinforcement,,ベース筋
,,Magbuo ng hoop,"おびきん く み た
帯筋を組立てる",,21,33,1,おびきん（ふーぷ）,hoop,,帯筋（フープ）
,,Magbuo ng bottom reinforcement,"し た ばきん く み た
下端筋を組立てる",,22,33,1,したばきん,bottom reinforcement,,下端筋
,,Magbuo ng top reinforcement,"う わ ばきん く み た
上端筋を組立てる",,23,33,1,うわばきん,top reinforcement,,上端筋
,,Magbuo ng main reinforcement,"しゅきん く み た
主筋を組立てる",,24,33,1,しゅきん,main reinforcement,,主筋
,,"Magbuo ng stirrup reinforcement
(ST)","きん く み た
あばら筋を組立てる",,25,33,1,あばらきん,stirrup reinforcement,,あばら筋
,,magbuo ng hakama reinforcement,"きん く み た
はかま筋を組立てる",,1,34,1,はかまきん,hakama reinforcement,,はかま筋
,,magbuo ng vertical reinforcement,"たてきん く み た
縦筋を組立てる",,2,34,1,たてきん,vertical reinforcement,,縦筋
,,magbuo ng lower reinforcement,"したきん く み た
下筋を組立てる",,3,34,1,したきん,lower reinforcement,,下筋
,,magbuo ng side reinforcement,"よこきん く み た
横筋を組立てる",,4,34,1,よこきん,side reinforcement,,横筋
,,magbuo ng midsection reinforcement,"はらきん く み た
腹筋を組立てる",,5,34,1,はらきん,midsection reinforcement,,腹筋
,,magbuo ng distributing bar,"はいりょくきん く み た
配力筋を組立てる",,6,34,1,はいりょくきん,distributing bar,,配力筋
,,magbuo ng upper reinforcement,"うわきん く み た
上筋を組立てる",,7,34,1,うわきん,upper reinforcement,,上筋
,,"Ikabit ang spiral reinforcement sa
dinding na panlaban sa lindol","きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",,8,34,1,すぱいらるきん,spiral reinforcement,,スパイラル筋
,,"Ang reinforcing bar diameter ay ayon
sa drawing at specification","てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",,9,34,1,てっきんけい,reinforcing bar diameter,,鉄筋径
,,Tiyakin ang covering depth,"あつ かくにん
かぶり厚さを確認する",,10,34,1,かぶりあつさ,covering depth,,かぶり厚さ
,,Tiyakin ang anggulo,"か く ど かくにん
角度を確認する",,11,35,1,かくど,anggulo,,角度
,,"Magbuo ng reinforcing bar gamit ang
single layer reinforcement","てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,12,35,1,しんぐる,single,,シングル
,,"Ituring na dobleng layer
reinforcement ang slab","はいきん
スラブはダブル配筋とする",,13,35,1,だぶる,doble,,ダブル
,,I-zigzag binding ang reinforcing bar,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",,14,35,1,ちどりけっそく,zigzag na tali,,千鳥結束
,,"Putulin ang reinforcing bar ayon sa
sukat ng pagputol","せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",,15,35,1,せつだんすんぽう,sukat ng putol,,切断寸法
,,"Iproseso ang reinforcing bar ayon sa
sukat ng pagproseso","か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",,16,35,1,かこうすんぽう,sukat ng paggawa,,加工寸法
,,"Ituring na lap joint ang mga
reinforcing bar","てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",,17,35,1,かさねつぎて,lap joint,,重ね継手
,,"Ituring na stud joint ang mga
reinforcing bar","てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",,18,35,1,あっせつつぎて,stud joint,,圧接継手
,,"Maglagay ng opening reinforcement
sa butas.","かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",,19,35,1,かいこうぶ,butas,,開口部
,,"Gumamit ng nakawelding na
alambreng lambat para sa bar
arrangement sa sahig","ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",,20,35,1,ようせつかなあみ,"nakawelding na alambreng
lambat",,溶接金網
,,"Dalhin sa labas mula sa lugar ng
trabaho ang mga tirang reinforcing
bar","のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",,21,36,1,はんしゅつ,paglabas,,搬出
,,"Dalhis sa loob ang mga reinforcing
bar sa lugar ng trabaho","てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",,22,36,1,はんにゅう,pagdala sa loob,,搬入
"Ito ang pundasyon ng tinatayong
gusali",,"Isagawa ang bar arrangement ng
pundasyon","き そ はいきん
基礎の配筋をおこなう",,23,36,1,きそ,pundasyon,,基礎
,,"Ituring na mechanical joint ang mga
reinforcing bar","てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",,24,36,1,きかいしきつぎて,mechanical joint,,機械式継手
,,"Pagpasa sa inspeksyon ng
tagapangasiwa ng design sa bar
arrangement","せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",,25,36,1,はいきんけんさ,"inspeksyon ng bar
arrangement",,配筋検査
"Ang mga makinang may nakakabit na
aparato sa paggawa (attachment) sa
tractor ay tinatawag na bulldozer,
tractor shovel, atbp.",,,,,1,37,1,とらくた,tractor,,トラクタ
"Makinang may nakakabit na blade sa
tractor",,,,,2,37,1,ぶるどーざ,bulldozer,,ブルドーザ
"Ito ay makinang may nakakabit na
bucket sa tractor. Mayroong tipong
crawler at tipong gulong",,,,,3,37,1,とらくたしょべる,tractor shovel,,トラクタショベル
"Tractor shovel na tipong gulong
(four-wheel drive)",,,,,4,37,1,ほいるろーだ,wheel loader,,ホイルローダ
,,,,,5,37,1,だんぷとらっく,dump truck,,ダンプトラック
"Makinang may shovel na maaaring
palitan ng aparato sa paggawa
(attachment) para masagawa ang
iba’t ibang trabaho",,,,,6,37,1,ゆあつしょべる,power shovel,,油圧ショベル
"Ito ang uri ng power shovel na
madalas nakikita, at ginagamit sa
paghuhukay nang mas malalim sa
lupa",,,,,7,37,1,ばっくほう,backhoe,,バックホウ
"Ito ay isang uri ng power shovel na
ginagamit sa pagkarga ng mga graba
at batong nasa lupa",,,,,8,37,1,ろーでぃんぐしょべる,loading shovel,,ローディングショベル
,,,,,9,37,1,ろーら,roller,,ローラ
,,,,,10,37,1,ばけっと,bucket,,バケット
,,,,,11,38,1,ぶーむ,boom,,ブーム
,,,,,12,38,1,あーむ,arm,,アーム
,,,,,13,38,1,ぶれーど（はいどばん）,blade,,ブレード（排土板）
,,,,,14,38,1,たいや,gulong,,タイヤ
,,,,,15,38,1,くろーら,crawler,,クローラ
,,Susi ng kotse,"くるま かぎ
車の鍵",,16,38,1,きー（かぎ）,key (susi),,キー（鍵）
,,,,,17,38,1,"さぎょうそうち
（あたっちめんと）","aparato sa paggawa
(attachment)",,"作業装置
（アタッチメント）"
,,"Buksan ang engine, patayin ang
engine","き
エンジンをかける、エンジンを切る",,18,38,1,えんじん,engine,,エンジン
,,,,,19,38,1,でぃーぜるえんじん,diesel engine,,ディーゼルエンジン
,,,,,20,38,1,えんじんおいる,engine oil,,エンジンオイル
,,,,,21,39,1,"おるたねーた
（じゅうでんはつでんき）","alternator (charging
generator)",,"オルタネータ
（充電発電機）"
,,,,,22,39,1,ばってり,battery,,バッテリ
,,,,,23,39,1,ねんりょう,fuel,,燃料
,,,,,24,39,1,けいゆ,gas oil,,軽油
,,Apakan ang preno,"ふ
ブレーキを踏む",,25,39,1,ぶれーき,preno,,ブレーキ
,,,,,1,40,1,ゆあつしりんだ,hydraulic cylinder,,油圧シリンダ
,,,,,2,40,1,ゆあつもーた,hydraulic motor,,油圧モータ
,,,,,3,40,1,ゆあつぽんぷ,hydraulic pump,,油圧ポンプ
,,,,,4,40,1,みずもれ,tagas ng tubig,,水漏れ
,,,,,5,40,1,あぶらもれ,tagas ng langis,,油漏れ
,,,,,6,40,1,れいきゃくすい,coolant,,冷却水
,,,,,7,40,1,ぶれーきえき,brake fluid,,ブレーキ液
,,,,,8,40,1,ねんりょうたんく,fuel tank,,燃料タンク
,,,,,9,40,1,ふぁんべると,fan belt,,ファンベルト
,,,,,10,40,1,くうきあつ,"presyon ng hangin ng
gulong",,空気圧
,,,,,11,40,1,くらっち,clutch,,クラッチ
,,,,,12,40,1,きゅうはっしん,biglaang pag-arangkada,,急発進
,,,,,13,40,1,きゅうぶれーき,biglaang pagpreno,,急ブレーキ
,,"Kapag ihihinto ang makina, i-idling
muna ito bago to ihinto","て い し
エンジンを停止するときはアイドリング
と
したあとに止める",,14,41,1,あいどりんぐ,idling,,アイドリング
,,,,,15,41,1,そうこう,pagtakbo,,走行
,,,,,16,41,1,せんかい,rebolusyon,,旋回
,,,,,17,41,1,あんぜんろっく,safety lock,,安全ロック
,,,,,18,41,1,あんぜんしちゅう,safety post,,安全支柱
,,"Huwag magpa-gasolina habang
umaandar ang makina","ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",,19,41,1,ほきゅう（する）,"pagpapa-gasolina /
magpa-gasolina",,補給（する）
,,,,,20,41,1,ちゅうしゃ（する）,pagparada / iparada,,駐車（する）
taong naglalakad,,,,,21,41,1,ほこうしゃ,pedestrian,,歩行者
,,,,,22,41,1,しゃりょう,sasakyan,,車両
Tinutukoy ang lugar na hindi nakikita,,,,,23,41,1,しかく,blind spot,,死角
,,Umakyat sa dalisdis ng bundok,"やま の しゃめん のぼ
山の斜面を上る",,24,41,1,しゃめん,dalisdis / slope,,斜面
,,"Isagawa ang surface compaction
gamit ang roller","てんあつさぎょう
ローラで転圧作業をする",,25,41,1,てんあつ（する）,"surface compaction /
isagawa ang surface
compaction",,転圧（する）
,,"Masagi sa mabigat na makina at
masugat","じゅうき せっしょく
重機に接触してけがをする",,1,42,1,せっしょく（する）,sagi / masagi,,接触（する）
,,Umandar ang fire alarm,"か さ い ほ う ち き さ ど う
火災報知器が作動する",,2,42,1,さどう（する）,pag-andar /umandar,,作動（する）
,,I-maintain ang sasakyan,"しゃりょう せ い び
車両の整備をする",,3,42,1,せいび（する）,"pag-maintain
(maintenance) /
i-maintain",,整備（する）
,,"Inspeksyuin ang mga kagamitan bago
magtrabaho","さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",,4,42,1,てんけん（する）,inspeksyon / inspeksyunin,,点検（する）
,,Ipaandar ang makina,"き か い うご
機械を動かす",,5,42,1,うごかす,ipaandar,,動かす
