Annotasyon,Anotasi,Cara membaca (Hiragana),Column_4,Column_6,Contoh,Foto,Kosakata,No.,PDFページ番号,PDF表番号,Tanda,Terjemahan
,,はばき（かせつあしば）,,"Sediakan papan kaki pada
perancah untuk mencegah
jatuhnya pekerja dan jatuhnya
peralatan.","ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,幅木（仮設足場）,7,22,1,,Papan kaki
,"Singkatan dari ""Pipa tabung
tunggal"". Atau disebut juga
sebagai ""Pipa"".",たんかん,,"Merakit perancah yang
menggunakan pipa tabung.","たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,単管,8,22,1,,Pipa tabung
,,きゃたつ,,,,,脚立,9,22,1,,Tangga lipat
,"Uang yang didapatkan oleh
pegawai swasta atau negeri pada
saat pensiun, cacat, atau
meninggal.",さぎょうはんけい,,"Dilarang masuk ke dalam radius
kerja penggunaan alat berat.","じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,作業半径,10,23,1,,Radius kerja
,,かりぼると,,Menyamaratakan permukaan.,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,仮ボルト,11,23,1,,Baut sementara
,,てなおし,,"Memperbaiki tempat yang
ditentukan dengan perancah.","し て き ば し ょ て な お
指摘された場所を手直しする",,手直し,12,23,1,,Perbaikan
,,つらいち,,Menyamaratakan permukaan.,"つらいち
面一にそろえる",,面一,13,23,1,,Samarata (Flush)
,,てんけんじこう,,"Melakukan pegecekan dengan alat
sebelum memulai sesuai dengan
poin-poin yang harus dicek.","し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,点検事項,14,23,1,,Hal-hal yang harus dicek
,,せきさいかじゅう,,"Memuat dengan tidak melampaui
beban muat truk.","せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,積載荷重,15,23,1,,Beban muat
,,すきま,,"Memasang lembaran kedap suara
agar tidak ada celah terbuka.","ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",,すき間,16,23,1,,Celah
,,とおりをみる,,"Melihat apakah akar dipotong
sesuai dengan cara yang
semestinya.","かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",,通りを見る,17,23,1,,Melihat cara
,,くみたて,,Merakit perancah.,"あ し ば く み た
足場を組立てる",,組立,18,23,1,,Perakitan
,,じぐみ,,"Memasang perancah yang telah di
rakit di permukaan tanah lalu
dengan kren menaikkannya ke
atas.","した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",,地組,19,23,1,,"perakitan di permukaan
tanah."
,"Atau disebut juga sebagai
""permukaan atas"".",てんば,,"Ratakan dengan pahat bagian
permukaan atas beton.","て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",,天端,20,24,1,,Permukaan atas.
,,たまかけ・たまがけ,,"Ketika mengangkat material
dilakukan dengan
menggantungkannya pada posisi
yang aman.","ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",,玉掛け,21,24,1,,Penggantungan
,,あいず,,"Pekerjaan menggunakan alat berat
dilakukan dengan aba-aba untuk
keselamatan.","じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",,合図,22,24,1,,Aba-aba
,,ていかくかじゅう,,"Pekerjaan mengangkat beban pun
tidak boleh dilakukan melampaui
berat beban.","ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",,定格荷重,23,24,1,,Berat beban.
,,たち,,"Melihat ketegaklurusan prop
perancah (vertikal = tegak lurus).","あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",,たち,24,24,1,,Ketegaklurusan
,,しょくちょう,,"Perakitan perancah mengikuti
instruksi kepala regu kerja.","あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",,職長,25,24,1,,Kepala regu kerja
,"Adalah penutup yang terpasang di
gergaji listrik. Alat yang digunakan
untuk mencegah kemungkinan
terbangnya gergaji mengenai
tubuh akibat reaksi dan sebagainya
saat penggunaan.",あんぜんかばー,,"Menghindari kecelakaan dengan
menggunakan tutup pengaman.","あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",,安全カバー,1,25,1,,Tutup pengaman
,,あんぜんたい,,"Memasang sabuk pengaman pada
perancah.","あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",,安全帯,2,25,1,,Sabuk pengaman
,,いんさーと,,"Menancapkan cetakan dengan
memasang sisipan pada beton.","せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",,インサート,3,25,1,,Penyisipan
,,すぺーさ,,"Memasang batang jarak pada
cetakan.","かたわく と つ
型枠にスペーサを取り付ける",,スペーサ,4,25,1,,Batang jarak
,,てっきん,,"Menyesuaikan celah tulang baja
dan cetakan.","てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",,鉄筋,5,25,1,,Tulang baja
,,でんこうどらむ（どらむ）,,Mencolokkan steker termo listrik.,"でんこう さ こ
電工ドラムのコンセントに差し込む",,電工ドラム（ドラム）,6,25,1,,Teromol listrik
,,"でんどうまるのこ（でんの
こ）",,"Memotong triplek dengan gergaji
listrik.","でんどうまる せつだん
電動丸のこでコンパネを切断する",,電動丸のこ（電のこ）,7,25,1,,Gergaji listrik
,,ぱっきん,,Memasang bubuk isian.,"し こ
パッキンを敷き込む",,パッキン,8,25,1,,Packing
,,しょうばーる,,"Mencabut paku dengan linggis
kecil.","しょう くぎ ぬ
小バールで釘を抜く",,小バール,9,25,1,,Linggis kecil
,,だいばーる,,"Membongkar cetakan
menggunakan linggis besar.","かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,大バール,10,26,1,,Linggis besar
,,けしょうごうはん,,"Menggunakan kayu lapis dekoratif
untuk menyelesaikan hasil akhir
permukaan yang halus.","ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,化粧合板,11,26,1,,Kayu lapis dekoratif
,,ふつうごうはん,,"Bagian belakang menggunakan
kayu lapis sebagai penyelesaian
dasar.","はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,普通合板,12,26,1,,Kayu lapis
,,すたいろふぉーむ,,"Memasang styrofoam pada bagian
dalam cetakan.","かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,スタイロフォーム,13,26,1,,Styrofoam
,,めんぎ,,"Memasang paku bagian atas di
atap beton.","かたわく めん ぎ と つ
型枠に面木を取り付ける",,面木,14,26,1,,Paku atas
,,ばいぶれーたー,,"Memadatkan beton dengan
vibrator.","し かた
バイブレーターでコンクリートを締め固
める",,バイブレーター,15,26,1,,Vibrator
,,はくりざい,,"Untuk memisahkan betul beton
dengan cetakan menggunakan
bahan pelepasan.","かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",,剥離剤,16,26,1,,Bahan pelepasan
,,けこみいた,,Memasang undakan.,"いた と つ
けこみ板を取り付ける",,けこみ板,17,26,1,,Undakan
,,めじぼう,,"Memasang sambungan pasang
batu.","かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",,目地棒,18,26,1,,"Sambungan pasang
batu"
,,こんくりーと,,"Mengalirkan beton ke dalam
katawaku.","かたわく なが こ
型枠にコンクリートを流し込む",,コンクリート,19,27,1,,Beton
,,こんべっくす,,Mengukur ukuran dengan konveks.,"すんぽう はか
コンベックスで寸法を測る",,コンベックス,20,27,1,,Meteran (Convex)
,,さぎょうようてぶくろ,,"Melakukan pekerjaan cetakan
menggunakan sarung tangan kerja.","さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",,作業用手袋,21,27,1,,Sarung tangan kerja
,,さしがね,,"Mengukur ukuran dengan mistar
logam.","さしがね すんぽう はか
差金で寸法を測る",,差金,22,27,1,,Mistar logam
,,すいへいき,,"Mendatarkan dengan alat sipat
datar untuk penyesuaian
kemiringan.","すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",,水平器,23,27,1,,Alat sipat datar
,,すみさし,,Memasang kuas tinta penanda.,"すみ すみ
墨さしを墨つぼにつける",,墨さし,24,27,1,,"Alat pengukur tempat
tinta"
,,すみつぼ,,Memasang tempat tinta penanda.,"すみ すみ
墨さしを墨つぼにつける",,墨つぼ,25,27,1,,Tempat tinta
,,"まるせぱれーたー
（まるせぱ）",,"Menguatkan cetakan dengan
separator bulat.","まる かたわく こ て い
丸セパレーターで型枠を固定する",,"丸セパレーター
（丸セパ）",1,28,1,,Separator bulat
,,てんばくぎ,,Memasang bilah pada cetakan.,"てん てん ば くぎ う
コンクリート天に天端釘を打つ",,天端釘,2,28,1,,"Bilah yang dipasang
pada sudut acuan"
,,けれん,,"Melakukan pengerjaan muka pada
permukaan setelah pelepasan
cetakan.","ひょうめん
コンパネの表面をけれんする",,ケレン,3,28,1,,Pengerjaan muka
,,かたわくしほこう,,"Melakukan pekerjaan penahan
acuan.","か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",,型枠支保工,4,28,1,,Penahan acuan
,,"きそかたわく
（めたるふぉーむ）",,Merakit acuan fondasi,"き そ かたわく く み た
基礎型枠を組立てる",,"基礎型枠
（メタルフォーム）",5,28,1,,Acuan fondasi
,,くぎしまい,,"Membongkar cetakan dan
memberi penandaan.","かたわく くぎ し ま
型枠をばらして釘仕舞いをする",,釘仕舞い,6,28,1,,Marking/Penandaan
,,すらぶてんば,,Menyamaratakan puncak plat.,"てん ば
スラブ天端をそろえる",,スラブ天端,7,28,1,,Puncak plat (Lantai)
,,たかさ（たっぱ）,,Mengukur ketinggian.,"たか はか
高さ（タッパ）を測る",,高さ（タッパ）,8,28,1,,"Tinggi (Tinggi dalam
istilah pembangunan)"
,,たてこみ,,Membangun kerangka cetakan.,"かたわく た て こ
型枠を建込みする",,建込み,9,28,1,,Membangun kerangka
,"Uang yang didapatkan oleh
pegawai swasta atau negeri pada
saat pensiun, cacat, atau
meninggal.",とおり,,Memperbaiki cara.,"とお よ
通りを良くする",,通り,10,28,1,,Cara
,"Uang asuransi yang diberikan
ketika kehilangan pekerjaan atau
ketika memulai proses mencari
pekerjaan baru.",けあげ,,"Merakit cetakan dengan metode
tinggi busur yang telah ditentukan.","き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,蹴上げ,11,29,1,,Tinggi busur
,,けこみ,,"Merakit cetakan dengan metode
undakan yang telah ditentukan.","き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,蹴込み,12,29,1,,Undakan
,,こうぐのていれ,,"Jangan tidak
memperdulikanperawatan alat
perkakas.","こ う ぐ て い
工具の手入れをおこたらない",,工具の手入れ,13,29,1,,Perawatan alat perkakas
,,さげふり,,"Mengkonfirmasikan
ketegaklurusan dengan pemberat.","さ ふ すいちょく かくにん
下げ振りで垂直を確認する",,下げ振り,14,29,1,,Pemberat
,,じずみ,,"Memasang cetakan sesuai dengan
tinta.","じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",,地墨,15,29,1,,Tinta
,,すてこんくりーと,,"Memasang kerangka penghenti
bagian lantai beton.","す と わく せ っ ち
捨てコンクリートの止め枠を設置する",,捨てコンクリート,16,29,1,,Bagian lantai beton
,"Kondisi dimana papan perancah
sangat melewati batas disatu sisi
dari bagian penopang. Bila naik
menginjaknya tanpa sadar ada
kemungkinan bisa jatuh, sangat
berbahaya.",はねだし,,"Merakit kerangka plat dengan
mengeluarkan trap dari tembok.","かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",,はね出し,17,29,1,,Trap
,,はらみ,,"Mengkonfirmasikan tonjolan
cetakkan pada penempatan beton.","だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",,はらみ,18,29,1,,Tonjolan
,,まえつら,,Meratakan muka depan.,"まえつら そろ
前面を揃える",,前面,19,29,1,,Muka depan
,,ようじょう,,"Melakukan pematangan beton
pada saat setelah penempatan
beton.","だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",,養生,20,30,1,,Pemantangan beton
,,れべる,,Melakukan survei permukaan.,"そくりょう
レベルを測量する",,レベル,21,30,1,,Permukaan
,,わりつけ,,Penempatan cetakan.,"かたわく わ つ
型枠を割り付ける",,割付,22,30,1,,Penempatan
,,うめこみかなもの,,"Memasang logam benaman
terlebih dahulu pada cetakan.","かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",,埋め込み金物,23,30,1,,Logam benaman
,,かいたいする（ばらす）,,Membongkar cetakan.,"かたわく かいたい
型枠を解体する（バラス）",,解体する（バラス）,24,30,1,,"Membongkar
(Mencabut)"
,,かぶりすんぽう,,"Mengkonfirmasikan ukuran
ketebalan pelapisan beton
bertulang dan cetakan.","てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",,かぶり寸法,25,30,1,,"Ukuran ketebalan
pelapisan"
,"Tulangan baja secara umum
digunakan di Jepang.",いけいぼうこう,,Menggunakan besi beton berulir.,"い け いぼうこう もち
異形棒鋼を用いる",,異形棒鋼,1,31,1,,Besi beton berulir
,,けっそくせん,,"Mengikat tulangan besi dengan
kawat pengikat.","けっそくせん てっきん しば
結束線で鉄筋を縛る",,結束線,2,31,1,,Kawat pengikat
,"Atau disebut juga sebagai
""Hacker"".",けっそくこうぐ,,"Mengikat tulangan besi dengan
perkakas pengikat.","けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",,結束工具,3,31,1,,Perkakas pengikat
,,てっきんせつだんき,,"Memotong tulangan besi dengan
alat pemotong tulangan besi.","てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",,鉄筋切断機,4,31,1,,"Mesin pemotong
tulangan baja"
,,てっきんまげかこうき,,"Membengkokkan tulangan besi
dengan mesin pembengkok
tulangan baja.","てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",,鉄筋曲げ加工機,5,31,1,,"Mesin pembengkok
tulangan baja"
,,ふっく,,"Memasang kait pada bagian ujung
tulangan besi.","てっきんた ん ぶ
鉄筋端部にフックをつける",,フック,6,31,1,,Kait
,,ほごぼう（へるめっと）,,"Melakukan pekerjaan
menggunakan topi pelindung.","ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",,保護帽（ヘルメット）,7,31,1,,Topi pelindung (helm)
,"""Batang sambungan disingkat
sebagai angkur. Atau disebut
sebagai""batang sambungan"".",あんかー,,Memasang angkur.,"せ っ ち
アンカーを設置する",,アンカー,8,31,1,,Angkur
,,かこうば,,"Pengerjaan tulangan besi di
tempat pemrosesan sebelum
pengangkutan ke dalam lokasi
konstruksi.","げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",,加工場,9,31,1,,Tempat pemrosesan
,,すぺーさー,,"Untuk menjaga tebalnya ketebalan
tulang baja digunakan spacer.","てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,スペーサ―,10,31,1,,Spacer
,,どーなつ,,"Ketebalan pelapisan tulangan baja
tembok menggunakan donut.","かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",,ドーナツ,11,32,1,,Donut
,,かこうはいきんず,,"Merakit sesuai dengan gambaran
susunan tulangan.","か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",,加工配筋図,12,32,1,,"Gambaran susunan
tulangan"
,,はいきんしょうさいず,,"Merakit sesuai dengan gambar
detil susunan tulangan.","はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",,配筋詳細図,13,32,1,,"Gambar detil susunan
tulangan"
,,かいこうほきょうきん,,"Bagian pintu pembukaan jendela
adalah merakit opening
reinforcement.","まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",,開口補強筋,14,32,1,,"Opening reinforcement
(penguatan kerangka
beton bagian berlubang)"
,,はばどめきん,,"Memasang tulangan penahan
lebar.","はば ど きん と つ
幅止め筋を取り付ける",,幅止め筋,15,32,1,,Tulangan penahan lebar
,,さしきん,,"Memasang penyambungan pada
beton.","さしきん
コンクリートに差筋をする",,差筋,16,32,1,,Batang sambungan
,,はしらしゅきん,,Merakit tulangan utama kolom.,"はしらしゅきん ぐみ た
柱主筋を組立てる",,柱主筋,17,32,1,,Tulangan utama kolom
,,はしらはいきん,,"Mengkonfirmasikan gambar
susunan tulangan kolom","はしらはいきん ず めん かくにん
柱配筋を図面で確認する",,柱配筋,18,32,1,,Susunan tulangan kolom
,,すらぶきん,,"Merakit penulangan pelat dengan
jarak yang sudah ditentukan","きん しょてい く み た
スラブ筋を所定のピッチで組立てる",,スラブ筋,19,32,1,,Penulangan pelat
,,べーすきん,,Merakit tulangan bagian dasar,"きん く み た
ベース筋を組立てる",,ベース筋,20,32,1,,Tulangan bagian dasar
,,おびきん（ふーぷ）,,Merakit simpul tali.,"おびきん く み た
帯筋を組立てる",,帯筋（フープ）,21,33,1,,Simpul tali
,,したばきん,,Merakit tulangan ujung bawah.,"し た ばきん く み た
下端筋を組立てる",,下端筋,22,33,1,,Tulangan ujung bawah
,,うわばきん,,Merakit penulangan bagian atas.,"う わ ばきん く み た
上端筋を組立てる",,上端筋,23,33,1,,Penulangan bagian atas
,,しゅきん,,Merakit tulangan utama.,"しゅきん く み た
主筋を組立てる",,主筋,24,33,1,,Tulangan utama
,,あばらきん,,Merakit sengkang,"きん く み た
あばら筋を組立てる",,あばら筋,25,33,1,,Sengkang
,,はかまきん,,Merakit tulang penguat pondasi.,"きん く み た
はかま筋を組立てる",,はかま筋,1,34,1,,"Tulangan penguat
pondasi"
,,たてきん,,Merakit tulangan vertikal.,"たてきん く み た
縦筋を組立てる",,縦筋,2,34,1,,Tulangan vertikal
,,したきん,,Merakit tulangan bawah.,"したきん く み た
下筋を組立てる",,下筋,3,34,1,,Tulangan bawah
,,よこきん,,Merakit tulangan horizontal.,"よこきん く み た
横筋を組立てる",,横筋,4,34,1,,Tulangan horizontal
,,はらきん,,"Merakit tulangan penguat
sengkang.","はらきん く み た
腹筋を組立てる",,腹筋,5,34,1,,"Tulangan penguat
sengkang"
,,はいりょくきん,,Merakit tulangan pembagi.,"はいりょくきん く み た
配力筋を組立てる",,配力筋,6,34,1,,Tulangan pembagi
,,うわきん,,Merakit tulangan atas.,"うわきん く み た
上筋を組立てる",,上筋,7,34,1,,Tulangan atas
,,すぱいらるきん,,"Memasang tulangan spiral dinding
tahan gempa.","きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",,スパイラル筋,8,34,1,,Tulangan spiral
,,てっきんけい,,"Diameter tulangan baja sesuai
dengan gambar rancangan.","てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",,鉄筋径,9,34,1,,Diameter tulangan baja
,,かぶりあつさ,,Verifikasi ketebalan pelapisan.,"あつ かくにん
かぶり厚さを確認する",,かぶり厚さ,10,34,1,,Ketebalan pelapisan
,,かくど,,Memverifikasi sudut.,"か く ど かくにん
角度を確認する",,角度,11,35,1,,Sudut
,,しんぐる,,"Tulangan baja dirakit dengan
susunan tulangan tunggal.","てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,シングル,12,35,1,,Tunggal
,,だぶる,,"Pelat lantai dibuat susunan
tulangan ganda.","はいきん
スラブはダブル配筋とする",,ダブル,13,35,1,,Ganda
,,ちどりけっそく,,"Tulang baja diikat dengan
pengikatan selang-seling.","てっきん ち ど り けっそく
鉄筋は千鳥結束する",,千鳥結束,14,35,1,,"Pengikatan selang-
seling"
,,せつだんすんぽう,,"Tulang baja dipotong dengan
ukuran ptongan","せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",,切断寸法,15,35,1,,Ukuran potongan
,,かこうすんぽう,,"Pembuatan tulang baja disesuaikan
dengan ukuran pembuatan.","か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",,加工寸法,16,35,1,,Ukuran pembuatan
,,かさねつぎて,,"Sesama tulangan baja dibuat
sambungan tumpang.","てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",,重ね継手,17,35,1,,Sambungan tumpang
,,あっせつつぎて,,"Sesama tulangan baja dibuat
sambungan las tekan.","てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",,圧接継手,18,35,1,,Sambungan las tekan
,,かいこうぶ,,"Memasang opening reinforcement
pada lubang.","かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",,開口部,19,35,1,,Lubang
,,ようせつかなあみ,,"Susunan tulangan lantai tanah
menggunakan jaring kawat las.","ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",,溶接金網,20,35,1,,Jaring kawat las
,,はんしゅつ,,"Mengeluarkan tulangan baja yang
tersisa dari lapangan.","のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",,搬出,21,36,1,,Mengeluarkan
,,はんにゅう,,"Mengangkat tulangan baja ke
lapangan.","てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",,搬入,22,36,1,,Mengangkat ke dalam
,,きそ,,"Melakukan susunan tulangan
pondasi.","き そ はいきん
基礎の配筋をおこなう",,基礎,23,36,1,,Pondasi
,,きかいしきつぎて,,"Menyambungkan sesama tulangan
baja.","てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",,機械式継手,24,36,1,,Penyambungan
,,はいきんけんさ,,"Lulus pemeriksaaan susunan
tulangan oleh penanggung jawab
disain.","せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",,配筋検査,25,36,1,,"Pemeriksaan susunan
tulangan"
,"Traktor yang dipasang alat kerja
(alat tambahan) disebut Buldozer
atau Traktor Shovel.",とらくた,,,,,トラクタ,1,37,1,,Traktor
,"Alat berat traktor yang dilengkapi
dengan sudu.",ぶるどーざ,,,,,ブルドーザ,2,37,1,,Bulldozer
,"Traktor yang dipasangkan alat
pengeruk. Ada tipe penapak(track)
dan tipe ban roda.",とらくたしょべる,,,,,トラクタショベル,3,37,1,,Traktor shovel
,"Traktor shovel berban roda (4
roda).",ほいるろーだ,,,,,ホイルローダ,4,37,1,,Wheel Loader
,,だんぷとらっく,,,,,ダンプトラック,5,37,1,,Truk jungkit
,"Alat berat yang memilik pengeruk
yang dapat digunakan untuk
berbagai fungsi dengan cara
memasang alat-alat tambahan.",ゆあつしょべる,,,,,油圧ショベル,6,37,1,,Eskavator hidrolik
,"Penampilannya paling mirip
dengan eskavator Hidrolik,
digunakan untuk menggali
kedalaman yang lebih rendah dari
permukaan tanah.",ばっくほう,,,,,バックホウ,7,37,1,,Serok belakang
,"Salah satu Eskavator Hidrolik yang
digunakan untuk mengangkut
pasir dan tanah bebatuan.",ろーでぃんぐしょべる,,,,,ローディングショベル,8,37,1,,Loading eksakavator
,,ろーら,,,,,ローラ,9,38,1,,mesin giling
,"Uang yang didapatkan oleh
pegawai swasta atau negeri pada
saat pensiun, cacat, atau
meninggal.",ばけっと,,,,,バケット,10,38,1,,bucket/serok
,"Uang asuransi yang diberikan
ketika kehilangan pekerjaan atau
ketika memulai proses mencari
pekerjaan baru.",ぶーむ,,,,,ブーム,11,38,1,,boom/penopang
,,あーむ,,,,,アーム,12,38,1,,lengan
,,ぶれーど（はいどばん）,,,,,ブレード（排土板）,13,38,1,,blade/sudu
,,たいや,,,,,タイヤ,14,38,1,,mesin
,,くろーら,,,,,クローラ,15,38,1,,mesin diesel
,,きー（かぎ）,,kunci mobil.,"くるま かぎ
車の鍵",,キー（鍵）,16,38,1,,minyak enjin
,,"さぎょうそうち
（あたっちめんと）",,,,,"作業装置
（アタッチメント）",17,38,1,,"alternator(generator
pengisi daya)"
,,えんじん,,"menghidupkan mesin, mematikan
mesin.","き
エンジンをかける、エンジンを切る",,エンジン,18,39,1,,baterai
,,でぃーぜるえんじん,,,,,ディーゼルエンジン,19,39,1,,bahan bakar
,,えんじんおいる,,,,,エンジンオイル,20,39,1,,minyak diesel
,,"おるたねーた
（じゅうでんはつでんき）",,,,,"オルタネータ
（充電発電機）",21,39,1,,rem
,,ばってり,,,,,バッテリ,22,39,1,,pompa oli hidrolik
,,ねんりょう,,,,,燃料,23,39,1,,silinder hidrolik
,,けいゆ,,,,,軽油,24,39,1,,motor hidrolik
,,ぶれーき,,menekan rem.,"ふ
ブレーキを踏む",,ブレーキ,25,39,1,,peralatan kerja
,,ゆあつしりんだ,,,,,油圧シリンダ,1,40,1,,Silinder hidrolik
,,ゆあつもーた,,,,,油圧モータ,2,40,1,,Motor hidrolik
,,ゆあつぽんぷ,,,,,油圧ポンプ,3,40,1,,Pompa oli hidrolik
,,みずもれ,,,,,水漏れ,4,40,1,,Kebocoran air
,,あぶらもれ,,,,,油漏れ,5,40,1,,Kebocoran minyak
,,れいきゃくすい,,,,,冷却水,6,40,1,,Air pendingin
,,ぶれーきえき,,,,,ブレーキ液,7,40,1,,Minyak rem
,,ねんりょうたんく,,,,,燃料タンク,8,40,1,,Tangki bahan bakar
,,ふぁんべると,,,,,ファンベルト,9,40,1,,Tali kipas
,,くうきあつ,,,,,空気圧,10,40,1,,Tekanan udara
,,くらっち,,,,,クラッチ,11,40,1,,Alat pembuka kopling
,,きゅうはっしん,,,,,急発進,12,40,1,,Gas mendadak
,,きゅうぶれーき,,,,,急ブレーキ,13,40,1,,Rem mendadak
,,あいどりんぐ,,"Saat memberhentikan mesin
hentikan setelah mesin kendaraan
sudah tidak bergerak.","て い し
エンジンを停止するときはアイドリング
と
したあとに止める",,アイドリング,14,41,1,,"Keadaan saat mesin
bekerja tetapi kendaraan
(mobil) tidak bergerak."
,,そうこう,,,,,走行,15,41,1,,Berjalan/Melaju
,,せんかい,,,,,旋回,16,41,1,,Putaran
,,あんぜんろっく,,,,,安全ロック,17,41,1,,Alat pelindung bahaya
,,あんぜんしちゅう,,,,,安全支柱,18,41,1,,"Safety pillar (Tiang
pengaman)"
,,ほきゅう（する）,,"Tidak boleh mengisi bahan bakar
saat mesin dalam keadaan hidup","ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",,補給（する）,19,41,1,,Suplai (Mensuplai)
,,ちゅうしゃ（する）,,,,,駐車（する）,20,41,1,,Parkir (Memarkirkan)
,,ほこうしゃ,,,,,歩行者,21,41,1,,Pejalan kaki
,,しゃりょう,,,,,車両,22,41,1,,Kendaraan
,,しかく,,,,,死角,23,41,1,,"Titik buta (Posisi tidak
terlihat)"
,,しゃめん,,Mendaki lereng gunung,"やま の しゃめん のぼ
山の斜面を上る",,斜面,24,41,1,,Lereng
,,てんあつ（する）,,"Pekerjaan menggiling dengan
mesin giling.","てんあつさぎょう
ローラで転圧作業をする",,転圧（する）,25,41,1,,Giling (Menggiling)
,,せっしょく（する）,,luka tertabrak alat berat.,"じゅうき せっしょく
重機に接触してけがをする",,接触（する）,1,42,1,,Tabrak (Menabrak)
,,さどう（する）,,alat pendeteksi kebakaran hidup.,"か さ い ほ う ち き さ ど う
火災報知器が作動する",,作動（する）,2,42,1,,Hidup (Menghidupkan)
,,せいび（する）,,memperbaiki kendaraan.,"しゃりょう せ い び
車両の整備をする",,整備（する）,3,42,1,,Perbaikan (Memperbaiki)
,,てんけん（する）,,mencek sebelum bekerja.,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",,点検（する）,4,42,1,,Periksa (Memeriksa)
,,うごかす,,menggerakkan mesin.,"き か い うご
機械を動かす",,動かす,5,42,1,,Menggerakkan
