,単語,再翻訳,類似度_claude,スコア
708,切断寸法,切断長さ,63%,63.0
709,加工寸法,製作サイズ,0%,0.0
710,重ね継手,重ね継ぎ,78%,78.0
711,圧接継手,プレス溶接継手,65%,65.0
712,開口部,絞り,0%,0.0
713,溶接金網,金網（溶接金網）,85%,85.0
714,搬出,発行/発送,0%,0.0
715,搬入,入力/送信,19%,19.0
716,機械式継手,機械的接続,28%,28.0
717,配筋検査,補強検査,63%,63.0
718,トラクタショベル,トラクターショベル,97%,97.0
719,ブレード（排土板）,ブレード（ドーザー）,78%,78.0
720,クローラ,トラック/チェーン,21%,21.0
721,"作業装置
（アタッチメント）",作業機（アタッチメント）,94%,94.0
722,軽油,太陽光（ディーゼル）,0%,0.0
723,発進,歩き始める,0%,0.0
724,アイドリング,アイドル,67%,67.0
725,走行,徒歩 / 運転,0%,0.0
726,旋回,ターン/ターン（スイング）,0%,0.0
727,安全支柱,安全ブレース,28%,28.0
728,補給（する）,充填/追加,0%,0.0
729,駐車（する）,駐車場,31%,31.0
730,転圧（する）,圧縮,17%,17.0
731,接触（する）,タッチ/接触,23%,23.0
732,作動（する）,操作する,67%,67.0
733,整備（する）,メンテナンス/サービス,0%,0.0
734,点検（する）,検査・診察,12%,12.0
735,動かす,移動,28%,28.0
736,操作（する）,オペレーティング,0%,0.0
737,停止（する）,停止/停止,25%,25.0
738,押す,押す,100%,100.0
739,集める,集める,100%,100.0
740,縛る,ネクタイ,0%,0.0
741,揃える,水平調整/位置合わせ,0%,0.0
742,結ぶ,ネクタイ,0%,0.0
743,調整（する）,調整/カスタマイズ,18%,18.0
744,閉じる,近い,0%,0.0
745,取り出す,放出する,63%,63.0
746,戻す,戻る,63%,63.0
747,仕上げる,仕上げ,90%,90.0
748,折れる,壊れた,23%,23.0
749,欠ける,剥離/侵食,0%,0.0
750,近づく,近づいてくる,70%,70.0
751,固定（する）,固定/締め付け,21%,21.0
752,ゆるめる,リラックス,0%,0.0
753,伸ばす,長くする/伸ばす,85%,85.0
754,外す,手放す,28%,28.0
755,出す,放出する,85%,85.0
756,乾かす,乾燥,28%,28.0
757,運ぶ,輸送,0%,0.0
758,積む,積載/積み重ね,15%,15.0
759,下ろす,降ろし/荷降ろし,12%,12.0
760,測定（する）,測定/計測,25%,25.0
761,計測（する）,測定,17%,17.0
762,高さ,高い,63%,63.0
763,重さ,重い,63%,63.0
764,硬さ,暴力,0%,0.0
765,すきま,隙間・ゆるみ,0%,0.0
766,値,マーク,0%,0.0
767,安定（する）,安定している / 安定しつつある,19%,19.0
768,数,額,0%,0.0
769,中,内側/中間,85%,85.0
770,周り,その周り,85%,85.0
771,尺,尺（日本の単位）,85%,85.0
772,掃く,掃除,63%,63.0
773,束ねる,バンドル/1つにまとめる,9%,9.0
774,足をくじく,足首の捻挫,14%,14.0
775,一輪車,一輪車（手押し車）,85%,85.0
776,支柱,ポーランド人,0%,0.0
777,技能実習,スキルインターンシップ,0%,0.0
778,技能実習生,スキルインターン,0%,0.0
779,危ない,危険/リスクあり,12%,12.0
780,清掃,クリーン,0%,0.0
781,注意,注意 / 警告,85%,85.0
782,火事,やけど,0%,0.0
783,服装,衣類,0%,0.0
784,安全カバー,安全カバー/保護フード,85%,85.0
785,電源を切る,電源を切ってください。,63%,63.0
786,非常停止ボタンを押す,緊急停止ボタンを押してください。,64%,64.0
787,やって,やれよ,23%,23.0
788,止めて,やめろ/やめろ,14%,14.0
789,取って,持って行って／持ってきて,18%,18.0
790,だめ（な）,禁止/許可されていません,0%,0.0
791,技能実習期間,インターンシップ期間,17%,17.0
792,職種,職業/職種,85%,85.0
793,在留資格,居住ステータス,0%,0.0
794,在留カード,宿泊カード,67%,67.0
795,控除（する）,減算,0%,0.0
796,代休,代休・代替休,85%,85.0
797,労働基準法,雇用基本条件法（SA）,17%,17.0
798,税金,課税,63%,63.0
799,住民税,市税,28%,28.0
800,雇用保険,失業保険,63%,63.0
801,労災保険,労働災害に対する補償,19%,19.0
802,遅刻（する）,遅すぎる,67%,67.0
803,早退（する）,早めの出発,12%,12.0
804,休憩（する）,休憩中,31%,31.0
805,定時,固定労働時間,63%,63.0
806,スイッチ入れるな,スイッチを入れないでください。,68%,68.0
807,スイッチ切るな,スイッチをオフにしないでください。,29%,29.0
808,整頓,整頓（せいとん）,85%,85.0
809,清掃,清掃（季節）,85%,85.0
810,清潔,清潔,100%,100.0
811,片づける,片付ける/掃除する,63%,63.0
812,分別（する）,廃棄物を分別する,66%,66.0
813,燃えないごみ,不燃性廃棄物,11%,11.0
814,挟まれる,行き詰まる,31%,31.0
815,巻き込まれる,絡まる/引き込まれる,76%,76.0
816,やけど（する）,火傷を負う,0%,0.0
817,すべる,スライド,0%,0.0
818,転ぶ,つまずいて転ぶ,85%,85.0
819,避難（する）,退去,0%,0.0
820,もぐる,隠れる/潜む,15%,15.0
821,開放厳禁,開けないでください。,9%,9.0
822,標識,星座 / 牡羊座管,0%,0.0
823,気をつける,気をつけて。,77%,77.0
824,非常ベル,目覚まし時計 / 非常ベル,85%,85.0
825,逃げる,逃走,28%,28.0
826,現場,職場/現場,85%,85.0
827,実習（する）,実習,85%,85.0
828,あいさつ,挨拶する,0%,0.0
829,渡す,引き渡す,85%,85.0
830,寝坊（する）,お泊まり会,0%,0.0
831,技能検定試験,スキルテスト,0%,0.0
832,手当,付与,0%,0.0
833,課長,部長／課長,85%,85.0
834,台車,トロリー,0%,0.0
835,警報音,警報信号,66%,66.0
836,コンセント,壁コンセント/電源接続,85%,85.0
837,職長,フォアマン / フォアマン,0%,0.0
838,作業責任者,作業管理者/作業監督者,26%,26.0
839,表示板,銘板/表示板,85%,85.0
840,感電（する）,感電する,80%,80.0
841,転倒（する）,転倒する,80%,80.0
842,後片付け,仕事後の掃除,14%,14.0
843,KY活動（危険予知活動）,KY活動（危険予報）,96%,96.0
844,ぶつかる,衝突,0%,0.0
845,当たる,タッチ/ヒット,0%,0.0
846,下敷きになる,何かの下に押し込まれる,24%,24.0
847,倒れる,倒れる / 崩壊する,85%,85.0
848,指差呼称,指差し呼び出し,67%,67.0
849,落下（する）,落下/落下,25%,25.0
850,墜落（する）,墜落/高所からの落下,17%,17.0
851,作業靴,作業靴・安全靴,85%,85.0
852,帽子,キャップ,0%,0.0
853,保護具,個人用保護具,85%,85.0
854,ボタン,ボタン/ボタン,85%,85.0
855,ポケット,バッグ,19%,19.0
856,マスク,マスク,100%,100.0
857,業務,仕事/サービス,0%,0.0
858,朝礼,朝の会議 / 朝のブリーフィング,7%,7.0
859,調子,州,0%,0.0
860,立入禁止,アクセス禁止,28%,28.0
861,足もと注意,どこに足を踏み入れるか注意してください。,16%,16.0
862,開口部注意,隙間に注意,28%,28.0
863,堕落注意,落下の危険に注意してください,23%,23.0
864,頭上注意,上からの危険に注意してください,22%,22.0
865,保護帽着用,安全ヘルメットを着用してください。,12%,12.0
866,昇降階段,階段,85%,85.0
867,整理整頓,清潔さと秩序,0%,0.0
868,安全通路,安全な廊下,31%,31.0
