Column_4,Column_6,Example,How to read (Hiragana),No.,Note,PDFページ番号,PDF表番号,Picture,Sign,Translation,Word/Phrase
,"Drive threaded inserts into the
formwork to set them in the concrete","せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",いんさーと,3,,25,1,,,Threaded insert,インサート
,Attaching spacers to the formwork,"かたわく と つ
型枠にスペーサを取り付ける",すぺーさ,4,,25,1,,,Spacer(cid:9),スペーサ
,"Adjust the gap between the rebar and
the formwork","てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",てっきん,5,,25,1,,,Rebar(cid:9),鉄筋
,"Plug into the outlet of the retractable
extension cord reel","でんこう さ こ
電工ドラムのコンセントに差し込む",でんこうどらむ（どらむ）,6,,25,1,,,"Retractable extension
cord reel (Drum)",電工ドラム（ドラム）
,"Cut control panels with an electric
circular saw","でんどうまる せつだん
電動丸のこでコンパネを切断する","でんどうまるのこ（でんの
こ）",7,,25,1,,,"Electric circular saw
(Electric saw)(cid:9)",電動丸のこ（電のこ）
,Insert packings,"し こ
パッキンを敷き込む",ぱっきん,8,,25,1,,,Packing(cid:9),パッキン
,Pull out nails with a small crowbar,"しょう くぎ ぬ
小バールで釘を抜く",しょうばーる,9,,25,1,,,Small crowbar,小バール
,"Use a large crowbar to dismantle the
formwork","かたわくかいたい だい し よ う
型枠解体に大バールを使用する",だいばーる,10,,25,1,,,Large crowbar,大バール
,"For the front, use decorative plywood
for an exposed finish","ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",けしょうごうはん,11,,26,1,,,Decorative plywood(cid:9),化粧合板
,"For the back, use regular plywood for
a fair-faced finish","はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",ふつうごうはん,12,,26,1,,,Regular plywood,普通合板
,"Installing the Styrofoam into the
formwork","かたわくない と つ
スタイロフォームを型枠内に取り付け
る",すたいろふぉーむ,13,,26,1,,,Styrofoam,スタイロフォーム
,Attach chamfers to formwork(cid:9),"かたわく めん ぎ と つ
型枠に面木を取り付ける",めんぎ,14,,26,1,,,Chamfer,面木
,Compact concrete with a vibrator,"し かた
バイブレーターでコンクリートを締め固
める",ばいぶれーたー,15,,26,1,,,Vibrator(cid:9),バイブレーター
,"Use a remover to improve the
separation of concrete and formwork","かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",はくりざい,16,,26,1,,,Remover,剥離剤
,Attach risers,"いた と つ
けこみ板を取り付ける",けこみいた,17,,26,1,,,Riser,けこみ板
,Attach joint bars to formwork,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",めじぼう,18,,26,1,,,Joint bar,目地棒
,Pour concrete into formwork,"かたわく なが こ
型枠にコンクリートを流し込む",こんくりーと,19,,26,1,,,Concrete,コンクリート
,Measure with a metal tape measure,"すんぽう はか
コンベックスで寸法を測る",こんべっくす,20,,26,1,,,Metal tape measure,コンベックス
,Construct forms wearing work gloves,"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",さぎょうようてぶくろ,21,,27,1,,,Work gloves,作業用手袋
,Measure with an L-square ruler,"さしがね すんぽう はか
差金で寸法を測る",さしがね,22,,27,1,,,L-square ruler,差金
,"Level by adjusting the inclination with
a leveler","すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",すいへいき,23,,27,1,,,Leveler(cid:9),水平器
,"Dip a bamboo marking pen in the
inkpot","すみ すみ
墨さしを墨つぼにつける",すみさし,24,,27,1,,,Bamboo marking pen,墨さし
,"Dip a bamboo marking pen in the
inkpot","すみ すみ
墨さしを墨つぼにつける",すみつぼ,25,,27,1,,,Inkpot,墨つぼ
,Fix formwork with round separators(cid:9),"まる かたわく こ て い
丸セパレーターで型枠を固定する","まるせぱれーたー
（まるせぱ）",1,,28,1,,,"Round separator
(Marusepa)","丸セパレーター
（丸セパ）"
,"Insert leveling pins in the top
concrete surface","てん てん ば くぎ う
コンクリート天に天端釘を打つ",てんばくぎ,2,,28,1,,,Leveling pin,天端釘
,Prepare concrete panel surface,"ひょうめん
コンパネの表面をけれんする",けれん,3,,28,1,,,Surface preparation,ケレン
,Assemble form timbering,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",かたわくしほこう,4,,28,1,,,Form timbering,型枠支保工
,Build foundation formwork,"き そ かたわく く み た
基礎型枠を組立てる","きそかたわく
（めたるふぉーむ）",5,,28,1,,,"Foundation formwork
(Metal form)(cid:9)","基礎型枠
（メタルフォーム）"
,Dismantle and clear away formwork,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",くぎしまい,6,,28,1,,,Clearing away,釘仕舞い
,Level the slab upper surface,"てん ば
スラブ天端をそろえる",すらぶてんば,7,,28,1,,,Slab upper surface,スラブ天端
,Measure the height (tappa),"たか はか
高さ（タッパ）を測る",たかさ（たっぱ）,8,,28,1,,,Height (Tappa),高さ（タッパ）
,Install formwork,"かたわく た て こ
型枠を建込みする",たてこみ,9,,28,1,,,Installation,建込み
,Make corrections and improvements,"とお よ
通りを良くする",とおり,10,"The act of straightening up the
distortion, obstacles, and others",28,1,,,Correcting / improving,通り
,"Assemble formwork with specified
riser dimensions","き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",けあげ,11,The height of one step of stairs,29,1,,,Riser,蹴上げ
,"Assemble formwork with specified
nosing dimensions","き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",けこみ,12,,29,1,,,Nosing,蹴込み
,Maintain tools always,"こ う ぐ て い
工具の手入れをおこたらない",こうぐのていれ,13,,29,1,,,Tool maintenance,工具の手入れ
,Check verticality with a plumb bob,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する",さげふり,14,,29,1,,,Plumb bob,下げ振り
,"Install formwork following the
markings","じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",じずみ,15,,29,1,,,Marking,地墨
,"Place fastening frames for leveling
concrete","す と わく せ っ ち
捨てコンクリートの止め枠を設置する",すてこんくりーと,16,,29,1,,,Leveling concrete,捨てコンクリート
,"Assemble slab formwork overhanging
from the wall","かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",はねだし,17,"A condition in which a scaffold plank
is extending far to one side from the
support. It is extremely dangerous as
a worker can fall if he/she steps on it
without knowing.",29,1,,,Overhanging,はね出し
,"Check the swelling of formwork
during concrete pouring","だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",はらみ,18,,29,1,,,Swell,はらみ
,Align the front,"まえつら そろ
前面を揃える",まえつら,19,,29,1,,,Front,前面
,Cure concrete after pouring(cid:9),"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",ようじょう,20,,30,1,,,Curing,養生
,Surveying the level,"そくりょう
レベルを測量する",れべる,21,,30,1,,,Level,レベル
,Allocate forms,"かたわく わ つ
型枠を割り付ける",わりつけ,22,,30,1,,,Allocation,割付
,"Place metal inserts to formwork in
advance(cid:9)","かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",うめこみかなもの,23,,30,1,,,Metal insert,埋め込み金物
,Demolish formwok (Barasu),"かたわく かいたい
型枠を解体する（バラス）",かいたいする（ばらす）,24,,30,1,,,Demolish (Barasu),解体する（バラス）
,"Checking the concrete thickness
between rebar and formwork","てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",かぶりすんぽう,25,,30,1,,,Concrete cover thickness,かぶり寸法
,Use deformed steel bar,"い け いぼうこう もち
異形棒鋼を用いる",いけいぼうこう,1,Commonly used rebar in Japan,31,1,,,Deformed steel bar,異形棒鋼
,Tie rebar with a binding wire,"けっそくせん てっきん しば
結束線で鉄筋を縛る",けっそくせん,2,,31,1,,,Binding wire,結束線
,Bind rebar with a tying tool,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",けっそくこうぐ,3,"Also called ""hooker""",31,1,,,Tying tool,結束工具
,Cut rebar with a rebar cutter,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",てっきんせつだんき,4,,31,1,,,Rebar cutter,鉄筋切断機
,"Bend rebar with a rebar bending
machine","てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",てっきんまげかこうき,5,,31,1,,,Rebar bending machine(cid:9),鉄筋曲げ加工機
,"Attach the hook to the edge of the
rebar","てっきんた ん ぶ
鉄筋端部にフックをつける",ふっく,6,,31,1,,,Hook,フック
,"Put on the safety helmet and get to
work","ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",ほごぼう（へるめっと）,7,,31,1,,,Safety helmet (Helmet),保護帽（ヘルメット）
,Place anchors,"せ っ ち
アンカーを設置する",あんかー,8,"An abbreviation of a ""joint bar
(sashikin) anchor."" It is also called a
""joint bar.""",31,1,,,Anchor,アンカー
,"Prepare rebar at the workshop before
taking them to the site","げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",かこうば,9,,31,1,,,Workshop,加工場
,"Use spacers to maintain the bar
covering concrete thickness","てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",すぺーさー,10,,31,1,,,Spacer,スペーサ―
,"Use donut spacers to maintain the
bar covering concrete thickness on
walls","かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",どーなつ,11,,32,1,,,Donut spacer,ドーナツ
,"Assemble according to the bar
bending and arrangement schedule","か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",かこうはいきんず,12,,32,1,,,"Bar bending and
arrangement schedule",加工配筋図
,"Assemble according to the detailed
bar arrangement schedule","はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",はいきんしょうさいず,13,,32,1,,,"Detailed bar arrangement
schedule",配筋詳細図
,"Provide opening reinforcement bar
around window openings","まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",かいこうほきょうきん,14,,32,1,,,"Opening reinforcement
bar",開口補強筋
,Place spreader bar,"はば ど きん と つ
幅止め筋を取り付ける",はばどめきん,15,,32,1,,,Spreader bar,幅止め筋
,Place expansion joints in the concrete,"さしきん
コンクリートに差筋をする",さしきん,16,,32,1,,,Expansion joint,差筋
,Assemble longitudinal bar,"はしらしゅきん ぐみ た
柱主筋を組立てる",はしらしゅきん,17,,32,1,,,Longitudinal bar,柱主筋
,"Check reinforced columns on the
drawing","はしらはいきん ず めん かくにん
柱配筋を図面で確認する",はしらはいきん,18,,32,1,,,Reinforced column,柱配筋
,"Assemble slab reinforcement at the
specified pitch","きん しょてい く み た
スラブ筋を所定のピッチで組立てる",すらぶきん,19,,32,1,,,Reinforced slab,スラブ筋
,Assemble footing bottom rebar,"きん く み た
ベース筋を組立てる",べーすきん,20,,32,1,,,Footing bottom rebar,ベース筋
,Assemble hoops,"おびきん く み た
帯筋を組立てる",おびきん（ふーぷ）,21,,33,1,,,Hoop,帯筋（フープ）
,Assemble lower rebar,"し た ばきん く み た
下端筋を組立てる",したばきん,22,,33,1,,,Lower rebar,下端筋
,Assemble upper rebar,"う わ ばきん く み た
上端筋を組立てる",うわばきん,23,,33,1,,,Upper rebar,上端筋
,Assemble main rebar,"しゅきん く み た
主筋を組立てる",しゅきん,24,,33,1,,,Main rebar,主筋
,Assemble stirrups,"きん く み た
あばら筋を組立てる",あばらきん,25,,33,1,,,Stirrup,あばら筋
,Assemble footing top bar,"きん く み た
はかま筋を組立てる",はかまきん,1,,34,1,,,Footing top bar,はかま筋
,Assemble vertical reinforcement,"たてきん く み た
縦筋を組立てる",たてきん,2,,34,1,,,Vertical reinforcement(cid:9),縦筋
,Assemble bottom reinforcement,"したきん く み た
下筋を組立てる",したきん,3,,34,1,,,Bottom reinforcement,下筋
,Assemble horizontal reinforcement,"よこきん く み た
横筋を組立てる",よこきん,4,,34,1,,,Horizontal reinforcement,横筋
,Assemble web bar,"はらきん く み た
腹筋を組立てる",はらきん,5,,34,1,,,Web bar,腹筋
,Assemble distribution bar,"はいりょくきん く み た
配力筋を組立てる",はいりょくきん,6,,34,1,,,Distribution bar,配力筋
,Assemble top reinforcement,"うわきん く み た
上筋を組立てる",うわきん,7,,34,1,,,Top reinforcement,上筋
,"Install spiral rebar to the earthquake-
resistant wall(cid:9)","きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",すぱいらるきん,8,,34,1,,,Spiral reinforcement,スパイラル筋
,"The rebar diameter is as shown in the
drawing","てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",てっきんけい,9,,34,1,,,Rebar diameter,鉄筋径
,Check the cover concrete thickness,"あつ かくにん
かぶり厚さを確認する",かぶりあつさ,10,,34,1,,,Cover concrete thickness,かぶり厚さ
,Check the angle,"か く ど かくにん
角度を確認する",かくど,11,,35,1,,,Angle,角度
,"Assemble reinforced steel with single
reinforcement","てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",しんぐる,12,,35,1,,,Single reinforcement,シングル
,Build slabs with double reinforcement,"はいきん
スラブはダブル配筋とする",だぶる,13,,35,1,,,Double reinforcement,ダブル
,Tie rebar with staggered binding,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",ちどりけっそく,14,,35,1,,,Staggered binding,千鳥結束
,"Cut rebar according to the cutting
dimensions","せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",せつだんすんぽう,15,,35,1,,,Cutting dimensions,切断寸法
,"Machine rebar according to the
machining dimensions","か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",かこうすんぽう,16,,35,1,,,Machining dimensions,加工寸法
,Use a lap splicing between rebar,"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",かさねつぎて,17,,35,1,,,Lap splicing,重ね継手
,Use a stud joint between rebar(cid:9),"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",あっせつつぎて,18,,35,1,,,Stud joint,圧接継手
,"Install opening reinforcement at an
opening","かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",かいこうぶ,19,,35,1,,,Opening,開口部
,"Use a welded wire mesh for floor
reinforcement","ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",ようせつかなあみ,20,,35,1,,,Welded wire mesh,溶接金網
,"Carry out the remaining rebar from
the site","のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",はんしゅつ,21,,36,1,,,Carrying out(cid:9),搬出
,Carry rebar into the site,"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",はんにゅう,22,,36,1,,,Carrying into,搬入
,Arrange rebar in the foundation,"き そ はいきん
基礎の配筋をおこなう",きそ,23,The base of a building,36,1,,,Foundation,基礎
,"Use a mechanical coupler between
rebar","てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",きかいしきつぎて,24,,36,1,,,Mechanical coupler,機械式継手
,"Pass the bar arrangement inspection
by the design supervisor","せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",はいきんけんさ,25,,36,1,,,"Bar arrangement
inspection",配筋検査
,,,とらくた,1,"A tractor with work equipment
(attachment) is called a bulldozer,
tractor shovel, and others.",37,1,,,Tractor,トラクタ
,,,ぶるどーざ,2,"A machine made of a tractor
equipped with a blade",37,1,,,Bulldozer,ブルドーザ
,,,とらくたしょべる,3,"A machine made of a tractor
equipped with a bucket. There are
crawler type and wheel type.",37,1,,,Tractor shovel,トラクタショベル
,,,ほいるろーだ,4,"Wheel type tractor shovel (four-wheel
drive)",37,1,,,Wheel loader,ホイルローダ
,,,だんぷとらっく,5,,37,1,,,Dump truck,ダンプトラック
,,,ゆあつしょべる,6,"A machine equipped with a shovel
that can perform various tasks by
replacing work equipment
(attachment)",37,1,,,Hydraulic excavator,油圧ショベル
,,,ばっくほう,7,"The most common type of hydraulic
shovel and used for belowground
excavation",37,1,,,Backhoe,バックホウ
,,,ろーでぃんぐしょべる,8,"A hydraulic shovel used to load earth,
sand, or rocks on the ground",37,1,,,Loading Excavator,ローディングショベル
,,,ろーら,9,,37,1,,,Roller,ローラ
,,,ばけっと,10,,37,1,,,Bucket,バケット
,,,ぶーむ,11,,38,1,,,Boom,ブーム
,,,あーむ,12,,38,1,,,Arm,アーム
,,,ぶれーど（はいどばん）,13,,38,1,,,Blade (Soil removal plate),ブレード（排土板）
,,,たいや,14,,38,1,,,Tire,タイヤ
,,,くろーら,15,,38,1,,,Crawler,クローラ
,Car key,"くるま かぎ
車の鍵",きー（かぎ）,16,,38,1,,,Key,キー（鍵）
,,,"さぎょうそうち
（あたっちめんと）",17,,38,1,,,"Work equipment
(Attachment)","作業装置
（アタッチメント）"
,Start the engine / Stop the engine,"き
エンジンをかける、エンジンを切る",えんじん,18,,38,1,,,Engine,エンジン
,,,でぃーぜるえんじん,19,,38,1,,,Diesel engine,ディーゼルエンジン
,,,えんじんおいる,20,,38,1,,,Engine oil,エンジンオイル
,,,"おるたねーた
（じゅうでんはつでんき）",21,,39,1,,,"Alternator
(Rechargeable generator)","オルタネータ
（充電発電機）"
,,,ばってり,22,,39,1,,,Battery,バッテリ
,,,ねんりょう,23,,39,1,,,Fuel,燃料
,,,けいゆ,24,,39,1,,,Light oil,軽油
,Apply the brakes,"ふ
ブレーキを踏む",ぶれーき,25,,39,1,,,Brake,ブレーキ
,,,ゆあつしりんだ,1,,40,1,,,Hydraulic cylinder,油圧シリンダ
,,,ゆあつもーた,2,,40,1,,,Hydraulic motor,油圧モータ
,,,ゆあつぽんぷ,3,,40,1,,,Hydraulic pump,油圧ポンプ
,,,みずもれ,4,,40,1,,,Water leakage,水漏れ
,,,あぶらもれ,5,,40,1,,,Oil leak,油漏れ
,,,れいきゃくすい,6,,40,1,,,Cooling water,冷却水
,,,ぶれーきえき,7,,40,1,,,Brake fluid(cid:9),ブレーキ液
,,,ねんりょうたんく,8,,40,1,,,Fuel tank,燃料タンク
,,,ふぁんべると,9,,40,1,,,Fan belt,ファンベルト
,,,くうきあつ,10,,40,1,,,Air pressure,空気圧
,,,くらっち,11,,40,1,,,Clutch,クラッチ
,,,きゅうはっしん,12,,40,1,,,Sudden start,急発進
,,,きゅうぶれーき,13,,40,1,,,Sudden braking,急ブレーキ
,Stop the engine after it starts idling,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める",あいどりんぐ,14,,41,1,,,Idling,アイドリング
,,,そうこう,15,,41,1,,,Running,走行
,,,せんかい,16,,41,1,,,Turning,旋回
,,,あんぜんろっく,17,,41,1,,,Safety lock,安全ロック
,,,あんぜんしちゅう,18,,41,1,,,Safety post,安全支柱
,Do not refuel with the engine running,"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",ほきゅう（する）,19,,41,1,,,Refueling (Refuel),補給（する）
,,,ちゅうしゃ（する）,20,,41,1,,,Parking (Park),駐車（する）
,,,ほこうしゃ,21,,41,1,,,Pedestrian,歩行者
,,,しゃりょう,22,,41,1,,,Vehicle,車両
,,,しかく,23,Areas not visible by the driver,41,1,,,Vehicle blind spot,死角
,Climb a mountain slope,"やま の しゃめん のぼ
山の斜面を上る",しゃめん,24,,41,1,,,Slope,斜面
,Compact with a roller,"てんあつさぎょう
ローラで転圧作業をする",てんあつ（する）,25,,41,1,,,"Roller compaction
(compact with a roller)",転圧（する）
,"Get injured due to contact with heavy
machinery","じゅうき せっしょく
重機に接触してけがをする",せっしょく（する）,1,,42,1,,,Contact (Contact),接触（する）
,Fire alarm is activated,"か さ い ほ う ち き さ ど う
火災報知器が作動する",さどう（する）,2,,42,1,,,Activation (Activate),作動（する）
,Maintain a vehicle,"しゃりょう せ い び
車両の整備をする",せいび（する）,3,,42,1,,,Maintenance (Maintain),整備（する）
,Inspect tools before work,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",てんけん（する）,4,,42,1,,,Inspection (Inspect),点検（する）
,Operate a machine,"き か い うご
機械を動かす",うごかす,5,,42,1,,,Operate,動かす
,Operate a construction machine,"けんせつき か い うんてん
建設機械を運転する",うんてん（する）,6,,42,1,,,Operation (Operate),運転（する）
,Measure the length of rebar,"てっきん なが はか
鉄筋の長さを測る",はかる,7,,42,1,,,Measure,測る
,Operate a machine,"き か い そ う さ
機械を操作する",そうさ（する）,8,,42,1,,,Operation (Operate),操作（する）
,,,ていし（する）,9,,42,1,,,Suspension (Suspend),停止（する）
,Turn off the engine / Cut rebar,"き てっきん き
エンジンを切る、鉄筋を切る",きる,10,,42,1,,,Turn off / Cut(cid:9),切る
,,,まわす,11,,42,1,,,Turn,回す
,,,おす,12,,42,1,,,Press,押す
,,,あつめる,13,,42,1,,,Gather,集める
,,,さわる,14,,42,1,,,Touch,触る
,,,しばる,15,,42,1,,,Tie,縛る
,Make the rebar lengths uniform,"てっきん なが そろ
鉄筋の長さを揃える",そろえる,16,,42,1,,,Make uniform,揃える
,Tie materials together with a string,"ざいりょう むす
材料をまとめてひもで結ぶ",むすぶ,17,,42,1,,,Tie,結ぶ
,,,しゃがむ,18,,42,1,,,Squat,しゃがむ
,,,ちょうせい（する）,19,,42,1,,,Adjustment (Adjust),調整（する）
,,,とじる,20,,42,1,,,Close,閉じる
,,,とりだす,1,,43,1,,,Take out,取り出す
,"Put tools back to the original place
after using them","つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",もどす,2,,43,1,,,Put back,戻す
,,,しあげる,3,,43,1,,,Finish,仕上げる
,A nail breaks,"くぎ お
釘が折れる",おれる,4,,43,1,,,Break,折れる
,The circular saw blade chips,"まる は か
丸のこの刃が欠ける",かける,5,,43,1,,,Chip,欠ける
,"Do not get close to heavy machinery
in operation","さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",ちかづく,6,,43,1,,,Get close,近づく
,,,でんげんをいれる,7,,43,1,,,Turn on the power,電源を入れる
,,,でんげんをおとす,8,,43,1,,,Turn off the power,電源を落とす
,,,すいっちをきる,9,,43,1,,,Switch off,スイッチを切る
,,,こてい（する）,10,,43,1,,,Fixing (Fix),固定（する）
,Loosen bolts,ボルトをゆるめる,ゆるめる,11,,43,1,,,Loosen,ゆるめる
,,,のばす,12,,43,1,,,Stretch,伸ばす
,Remove the safety cover,"あんぜん はず
安全カバーを外す",はずす,13,,43,1,,,Remove,外す
,Bend rebar,"てっきん ま
鉄筋を曲げる",まげる,14,,43,1,,,Bend,曲げる
,,,だす,15,,43,1,,,Put out,出す
,,,かわかす,16,,43,1,,,Dry,乾かす
,,,かぞえる,17,,43,1,,,Count,数える
,,,はこぶ,18,,43,1,,,Carry,運ぶ
,"Load materials in a way to prevent
shifting","ざいりょう つ
材料をくずれないように積む",つむ,19,,43,1,,,Load,積む
,Unload from the truck bed,"に だ い に も つ お
トラックの荷台から荷物を下ろす",おろす,20,,43,1,,,Unload,下ろす
,,,はなれる,21,,43,1,,,Go away,離れる
,,,いち,1,,44,1,,,Position,位置
,,,すんぽう,2,,44,1,,,Dimensions,寸法
,,,そくてい（する）,3,,44,1,,,Measurement (Measure),測定（する）
,,,けいそく（する）,4,,44,1,,,Measurement (Measure),計測（する）
,,,けいそくき,5,,44,1,,,Measuring instrument,計測器
,,,おんど,6,,44,1,,,Temperature(cid:9),温度
,,,たかさ,7,,44,1,,,Height,高さ
,,,ながさ,8,,44,1,,,Length,長さ
,,,おもさ,9,,44,1,,,Weight(cid:9),重さ
,,,あつさ,10,,44,1,,,Thickness,厚さ
,,,かたさ,11,,44,1,,,Hardness,硬さ
,,,ふかさ,12,,44,1,,,Depth,深さ
,,,ひょうめん,13,,44,1,,,Surface,表面
,,,すきま,14,,44,1,,,Clearance,すきま
,,,ちゅうしん,15,,44,1,,,Center,中心
,,,あたい,16,,45,1,,,Value,値
,,,あんてい（する）,17,,45,1,,,Stable (Stabilize),安定（する）
,,,おおきさ,18,,45,1,,,Size,大きさ
,,,かず,19,,45,1,,,Number(cid:9),数
,,,ごさ,20,,45,1,,,Error,誤差
,,,なか,21,,45,1,,,Inside,中
,,,はんたい,22,,45,1,,,Opposite,反対
,,,まわり,23,,45,1,,,Circumference,周り
,,,しゃく,24,"One (1) shaku is approximately 30.3
cm",45,1,,,Shaku (unit of length),尺
,,,あお,25,,45,1,,,Blue,青
,,,あか,26,,45,1,,,Red,赤
,,,しろ,27,,45,1,,,White,白
,,,きいろ,28,,45,1,,,Yellow,黄色
