日本語,pdfplumber値,PyMuPDF値,Page,No
上端筋,េរសេខារចុរខារបលើ,េរសេខរា ចុរខរា បលើ,33,23
はかま筋,សរសសដែកលកខណ:កន្រ្តក,សរសសដែកលកខណ:កន្រ តក,34,1
縦筋,សរសសដែកបញ្ឈរ,សរសសដែកបញឈ្ រ,34,2
下筋,សរសសដែកខាងឡន្កាម,សរសសដែកខងា ឡនក្ មា,34,3
腹筋,សរសសដែកដាក់ទទឹង,សរសសដែកដកា ់ទទឹង,34,5
配力筋,សរសសដែកដាក់ឈរន្តង់,សរសសដែកដកា ់ឈរនត្ ង់,34,6
上筋,សរសសដែកខាងឡលើ,សរសសដែកខងា ឡលើ,34,7
鉄筋径,វជិ ាមាន្តសរសសដែក,វជិ ាមនា ត្ សរសសដែក,34,9
かぶり厚さ,កមាល ស់ន្គប,កមលសា ់នគ្ ប,34,10
角度,មុុំ,ម,35,11
千鳥結束,ចុំណងចឡ្ល ោះគ្នា,ចុំណងចឡ្លោគះ ា ្ន,35,14
切断寸法,ទុំហុំ ដផាកកាត់,ទុំហុំ ដផាកកតា ់,35,15
重ね継手,តុំណជា្់គ្នា,តុំណជ្ា ់គា ្ន,35,17
圧接継手,តុំណគ្នប,តុំណគប្ន,35,18
溶接金網,សុំណាញ់ ដែកផា,សុំណញា ់ ដែកផា,35,20
搬出,ការែឹកឡចញ,ករា ែឹកឡចញ,36,21
搬入,ការែឹកចូល,ករា ែឹកចូល,36,22
基礎,ន្គឹោះ,នគ្ ឹោះ,36,23
機械式継手,តុំណឡដាយមា៉ា សុី្,តុំណឡដយា ម៉ា សា ុី្,36,24
配筋検査,ការន្តួតពិ្ិតយការដាក់ សរសសដែក,"ករា នត្ ួតពិ្ិតយករា ដកា ់
សរសសដែក",36,25
トラクタ,ត្រាក់ទរ័,តា្រ ក់ទរ័,37,1
ブルドーザ,គត្រេឿងចត្រករុញែី,គតេ្រ ឿងចតក្រ រុញែី,37,2
トラクタショベル,ត្រាក់ទ័រឈូសែី,តា្រ ក់ទ័រឈូសែី,37,3
ダンプトラック,ត្រាក់ទ័រែឹកែី,តា្រ ក់ទ័រែឹកែី,37,5
油圧ショベル,គត្រេឿងចត្រកកាយែីអុីត្រែូ លិក,"គតេ្រ ឿងចតក្រ កយា ែីអុីតែ្រ ូ
លិក",37,6
バックホウ,ត្រាក់ទរកា័ យែី(គអសស្កា ),តា្រ ក់ទរក័ យា ែី(គអសសា )្ក,37,7
ローディングショベル,គត្រេឿងចត្រកចូកែី,គតេ្រ ឿងចតក្រ ចូកែី,37,8
ブーム,ែងសនទ ចូ,ែងសនទចូ,38,11
クローラ,ត្រចវាក់,តច្រ វកា ់,38,15
ディーゼルエンジン,ម៉ា សុីនគត្របើម៉ា សូ រ,ម៉ា សុីនគតប្រ ើម៉ា សូ រ,39,19
エンジンオイル,គត្របងម៉ា សុីន,គតប្រ ងម៉ា សុីន,39,20
バッテリ,អាេុយ,អេា ុយ,39,22
燃料,គត្របងឥណឌន:,គតប្រ ងឥណឌន:,39,23
軽油,គត្របងត្រស្កល(ម៉ា សូ រ),គតប្រ ងតស្រ ល្ក(ម៉ា សូ រ),39,24
ブレーキ,ត្រ្វ ំង,ត្រ វំង,39,25
油圧シリンダ,ស ៊ីឡាំងអ ៊ីដ្រលូ ិក,ស ៊ីឡាំងអ ៊ីដរ្ លូ ិក,40,1
油圧モータ,ម៉ូ ទ័រអ ៊ីដ្រលូ ិក,ម៉ូ ទ័រអ ៊ីដរ្ លូ ិក,40,2
油圧ポンプ,សនប់ប៉ូមអ ៊ីដ្រលូ ិក,សនប់ប៉ូមអ ៊ីដរ្ លូ ិក,40,3
水漏れ,លលចធ្លា យទឹក,លលចធា យ្លទឹក,40,4
油漏れ,លលចធ្លា យលដ្បង,លលចធា យ្លលដប្ ង,40,5
冷却水,ទឹកដាក់ឱ្យដ្រជាក់ (ម ស ៊ីន),"ទឹកដកា ់ឱយ្ ដរ្ ជកា ់
(ម ស ៊ីន)",40,6
ブレーキ液,លដ្បងដ្្រ ាំង,លដប្ ងដ្ រាំង,40,7
ファンベルト,ខ្សែពានកង្ហា រ,ខស្ ែពនា កងា រ្ហ,40,9
クラッチ,អាំដ្ាយ,អាំដា្ យ,40,11
急発進,ចាប់ល្តើមលលឿន,ចបា ់ល្តើមលលឿន,40,12
急ブレーキ,ចាប់ដ្្រ ាំងបន្ទា ន់,ចបា ់ដ្ រាំងបនា ន្ទ់,40,13
アイドリング,បល្ឆេះលចាល,បល្ឆេលះចលា,41,14
安全ロック,លោស វរថិភាេ,លោស វរថិភេា,41,17
安全支柱,សសរស វរថិភាេ,សសរស វរថិភេា,41,18
補給（する）,(ោរ)បខ្នថម,(ោរ)បខន្ ថម,41,19
死角,ដ្ ងុ លមើលមិនល ើញ,ដ ្ ងុ លមើលមិនល ើញ,41,23
斜面,ដ្មល,ដម្ ល,41,24
接触（する）,(ការ)ប ៉ះទង្គិច,(ករា )ប ៉ទះ ងគិ្ច,42,1
作動（する）,(ការ)ដំដ ើរការ,(ករា )ដំដ ើរករា,42,2
整備（する）,(ការ)ដរៀបចំ ថែសំរលួ,(ករា )ដរៀបចំ ថែសំរលួ,42,3
点検（する）,(ការ)ត្រួរពិនិរយ,(ករា )តរ្ ួរពិនិរយ,42,4
動かす,បត រូកថនែង្,បតរូកថនែង្,42,5
運転（する）,(ការ)ដបើកបរ,(ករា )ដបើកបរ,42,6
測る,វាស់,វសា ់,42,7
操作（する）,(ការ)ត្បរិបរតិការ,(ករា )តប្ រិបរតិករា,42,8
停止（する）,(ការ)ឈប់,(ករា )ឈប់,42,9
切る,ការ់ ឬ ​ ពនែរ់,ករា ់ ឬ​ ពនែរ់,42,10
回す,បង្វិល,បងវិ្ល,42,11
集める,ត្បមូល,តប្ មូល,42,13
触る,ស្ទា ប,សា ប្ទ,42,14
縛る,ចង្ជាប់,ចងជ្ បា ់,42,15
揃える,រត្មមឹ,រតម្ មឹ,42,16
しゃがむ,អង្គ ុយ(ដចាង្ដោង្),អងគុ្យ(ដចងា ្ដោង្),42,18
調整（する）,(ការ)ថកសំរលួ,(ករា )ថកសំរលួ,42,19
戻す,ដាក់ចៅវញិ,ដកា ់ចៅវញិ,43,2
折れる,បាក់,បកា ់,43,4
電源を入れる,ចបើកថាមពលច្ែើង,ចបើកថមា ពលច្ែើង,43,7
電源を落とす,បិទថាមពលច្ែើង,បិទថមា ពលច្ែើង,43,8
スイッチを切る,បិទកុងតាក់,បិទកុងតកា ់,43,9
固定（する）,(ការ)េងភ្ជា ប់,(ករា )េងភា ប្ជ់,43,10
ゆるめる,បនធ រូ,បនធរូ,43,11
伸ばす,ពនល តូ,ពនលតូ,43,12
外す,ចដាោះ,ចដោា ះ,43,13
数える,រាប់,របា ់,43,17
下ろす,ដាក់េុោះ,ដកា ់េុោះ,43,20
離れる,ឃ្លែ តចេញ,ឃែត្លចេញ,43,21
寸法,ខ្នា ត,ខា ត្ន,44,2
測定（する）,(ការ)វាស់ វែង,(ករា )វសា ់ វែង,44,3
計測（する）,(ការ)វាស់,(ករា )វសា ់,44,4
計測器,នាឡិកាវាស់សទង់,នឡា ិកវា សា ់សទង់,44,5
温度,សីតុណ្ហភាព,សីតុណហភ្ ពា,44,6
長さ,ប្រវែង,បរ្ វែង,44,8
重さ,ទម្ងន់,ទមងន្ ់,44,9
厚さ,កប្ាស,កបា្ ស,44,10
硬さ,ភាពរងឹ,ភពា រងឹ,44,11
深さ,ជម្ប្ៅ,ជមប្ ៅ្,44,12
表面,ផ្ទទខ្នងម្ុខ,ផទ្ ខង្នមុខ្,44,13
すきま,ចម្នាល ោះ,ចមន្ លោា ះ,44,14
中心,កណ្តា ល,កណា ល្ត,44,15
値,តផ្ម្ល,តផម្ ល្,45,16
安定（する）,(ការាន)ម្សេរភាព,(ករា ាន)មស្ េរភពា,45,17
誤差,ភាពខុសគ្នា,ភពា ខុសគា ្ន,45,20
中,កន ុង,កនុង,45,21
尺,ខ្នា ត សាគុ,ខា ត្ន សគា ុ,45,24
青,ម្ខៀែ,មខ្ ៀែ,45,25
赤,ប្កហម្,បក្ ហម្,45,26
黄色,ម្លឿង,មល្ ឿង,45,28
足をくじく,គ្រិចរ ើង,គរ្ ិចរ ើង,46,6
感電（する）,(ការ)ឆក់អគ្គីសនី,(ករា )ឆក់អគគីស្ នី,13,5
防止（する）,(ការ)ការពារ,(ករា )ករា ពរា,13,6
予防（する）,(ការ)បង្ហា រ,(ករា )បងា រ្ហ,13,7
転倒（する）,(ការ)ដួល,(ករា )ដួល,13,8
不安定（な）,(ដដល)អមសេរភាព,(ដដល)អមសេរភពា,13,11
嘔吐（する）,(ការ)កអ តួ,(ករា )កអតួ,13,19
転落（する）,(ការ)រេិលធ្លា ក់,(ករា )រេិលធា ក្ល់,14,9
落下（する）,(ការ)ធ្លា ក់,(ករា )ធា ក្ល់,14,14
墜落（する）,(ការ)ធ្លា កច់ ោះ,(ករា )ធា ក្លច់ ោះ,14,15
ケレン,ការេំសលៀង,ករា េំសលៀង,28,3
