Biển báo,Chú thích,Column_4,Column_6,Cách đọc (Hiragana),Dịch,PDFページ番号,PDF表番号,Số,Từ vựng,Ví dụ câu,Ảnh
,,,"Dùng giàn giáo khung để lắp dựng già
n giáo",たてわく（びてぃ）,Giàn giáo khung (Beatty),24,1,2,建枠（ビティ）,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",
,"Còn gọi là ""Yojo shiito"" (tấm phủ bảo
vệ) hoặc ""Hisan boushi netto"" (lưới
chống rơi)",,"Căng lưới bao che cho khung giàn giá
o",めっしゅしーと,Lưới bao che,24,1,3,メッシュシート,"あ し ばわく と つ
足場枠にメッシュシートを取り付ける",
,,,Lắp các tấm cách âm để chống ồn,ぼうおんぱねる,Tấm cách âm,24,1,4,防音パネル,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",
,,,"Vách nghiên dựng tạm được dùng để
phòng ngừa đồ vật rơi, bắn ra đường",あさがおざい,"Vách nghiêng dựng tạm để
ngừa đồ vật rơi, bắn ra đ
ường",24,1,5,朝顔材,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",
,"Vì đây là đường dây điện cao áp nên
nếu chạm vào thì nhiều khả năng sẽ bị
điện giật",,"Không để giàn giáo tiếp xúc với đ
ường dây điện trên cao",かくうせん,Đường dây điện trên cao,24,1,6,架空線,"か く うせん せっしょく
架空線へ接触させないようにする",
,,,"Lắp tấm chắn chống rơi ngã ở giàn giá
o để ngăn ngừa công nhân rơi ngã
hoặc dụng cụ rơi xuống",はばき（かせつあしば）,"Tấm chắn chống rơi ngã
(Giàn giáo tạm thời)",24,1,7,幅木（仮設足場）,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",
,"Gọi tắt của từ ""Tankan paipu"". Ngoài
ra còn gọi là ""Paipu"".",,Dùng ống thép để lắp giàn giáo,たんかん,Ống thép,24,1,8,単管,"たんかん もち あ し ば く た
単管を用いて足場を組み立てる",
,,,,きゃたつ,Thang gấp,24,1,9,脚立,,
,"Bán kính quay của máy móc hạng
nặng. Khu vực này thường bị cấm vào
để phòng tránh tai nạn do va chạm",,"Cấm vào trong bán kính hoạt động của
máy móc hạng nặng",さぎょうはんけい,Bán kính hoạt động,24,1,10,作業半径,"じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",
,,,"Dùng bu lông tạm thời để cố định kết
cấu",かりぼると,Bu lông tạm thời,25,1,11,仮ボルト,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",
,,,"Chỉnh sửa lại vị trí đã được chỉ ra tại
giàn giáo",てなおし,Chỉnh sửa,25,1,12,手直し,"し て き ば し ょ て な お
指摘された場所を手直しする",
,,,Chỉnh cho hai bề mặt phẳng đều nhau,つらいち,"Bề mặt của hai vật liệu
phẳng đều nhau",25,1,13,面一,"つらいち
面一にそろえる",
,,,"Trước khi bắt đầu công việc, kiểm tra
dụng cụ sẽ sử dụng theo các hạng mục
kiểm tra",てんけんじこう,Hạng mục kiểm tra,25,1,14,点検事項,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",
,,,"Chất hàng không vượt quá hoạt tải của
xe tải",せきさいかじゅう,Hoạt tải,25,1,15,積載荷重,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",
,,,"Gắn các tấm cách âm sao cho không c
ó kẽ hở nào",すきま,Khe hở,25,1,16,すき間,"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",
,,,"Kiểm tra móng được đào có thẳng
theo đúng như khung định vị hay khô
ng",とおりをみる,"Kiểm tra có thẳng hay khô
ng",25,1,17,通りを見る,"かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",
,,,Lắp ráp giàn giáo,くみたて,"Lắp ráp, lắp ghép",25,1,18,組立,"あ し ば く み た
足場を組立てる",
,,,"Dùng cần cẩu nâng giàn giáo đã lắp rá
p ở mặt đất lên lắp ở trên cao.",じぐみ,Lắp ráp ở mặt đất,25,1,19,地組,"した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",
,"Còn gọi là ""Uwaba""",,"Dùng cái bay để làm phẳng mịn mặt tr
ên của nền bê tông",てんば,Mặt trên,25,1,20,天端,"て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",
,,,"Treo tải từ vị trí an toàn khi tiến hành
nâng vật liệu.",たまかけ・たまがけ,Treo tải,26,1,21,玉掛け,"ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",
,,,"Làm việc an toàn với máy móc hạng
nặng bằng cách sử dụng dấu hiệu",あいず,"Dấu hiệu, tín hiệu",26,1,22,合図,"じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",
,,,"Không nâng tải có tải trọng vượt quá
quy định",ていかくかじゅう,Tải trọng quy định,26,1,23,定格荷重,"ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",
,,,"Xem độ thẳng của cột chống giàn giáo
(Độ thẳng đứng = tachi)",たち,Độ thẳng đứng,26,1,24,たち,"あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",
,,,"Làm theo chỉ thị của tổ trưởng khi lắp
đặt giàn giáo",しょくちょう,Tổ trưởng,26,1,25,職長,"あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",
,"Chủ yếu chỉ cái chụp lưỡi cưa của má
y cưa đĩa. Sử dụng để phòng ngừa việc
cưa bật ngược, v.v... về phía người
cầm máy khi đang cưa.",,"Sử dụng vỏ bọc an toàn để phòng ngừa
nguy hiểm",あんぜんかばー,Vỏ bọc an toàn,27,1,1,安全カバー,"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",
,,,Gắn dây đai an toàn vào giàn giáo,あんぜんたい,Dây đai an toàn,27,1,2,安全帯,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",
,,,"Đóng chốt chèn vào ván khuôn để gắn
nó vào bê tông",いんさーと,Chốt chèn,27,1,3,インサート,"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",
,,,Đặt con kê vào ván khuôn,すぺーさ,Con kê,27,1,4,スペーサ,"かたわく と つ
型枠にスペーサを取り付ける",
,,,"Điều chỉnh khoảng cách giữa cốt thép
và ván khuôn",てっきん,Thanh cốt thép,27,1,5,鉄筋,"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",
,,,"Cắm vào ổ cắm của Rulô cuốn dây đ
iện",でんこうどらむ（どらむ）,Rulô cuốn dây điện,27,1,6,電工ドラム（ドラム）,"でんこう さ こ
電工ドラムのコンセントに差し込む",
,,,Dùng máy cưa đĩa để cắt ván khuôn,"でんどうまるのこ（でんの
こ）",Máy cưa đĩa (Dennoko),27,1,7,電動丸のこ（電のこ）,"でんどうまる せつだん
電動丸のこでコンパネを切断する",
,,,Đặt gioăng,ぱっきん,"Gioăng, đệm, khớp nối",27,1,8,パッキン,"し こ
パッキンを敷き込む",
,,,Dùng xà beng nhỏ để nạy đinh,しょうばーる,"Xà beng, đòn bẩy nhỏ",27,1,9,小バール,"しょう くぎ ぬ
小バールで釘を抜く",
,,,"Dùng xà beng to để tháo dỡ ván khuô
n",だいばーる,"Xà beng, đòn bẩy to",27,1,10,大バール,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する",
,,,"Sử dụng ván trang trí để tạo nên bề
mặt bê tông trần cho mặt ngoài",けしょうごうはん,Ván trang trí,28,1,11,化粧合板,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",
,,,"Sử dụng ván thường để tạo nên bề mặt
bê tông thô cho mặt trong",ふつうごうはん,Ván thường,28,1,12,普通合板,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",
,,,"スタイロフォームを型枠内に取り付け
る
Lắp tấm cách nhiệt vào bên trong ván
khuôn",すたいろふぉーむ,Tấm cách nhiệt,28,1,13,スタイロフォーム,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",
,,,Gắn dải vát cạnh vào ván khuôn,めんぎ,Dải vát cạnh,28,1,14,面木,"かたわく めん ぎ と つ
型枠に面木を取り付ける",
,,,"Dùng đầm dùi bê tông để đầm chặt bê
tông",ばいぶれーたー,Đầm dùi bê tông,28,1,15,バイブレーター,"し かた
バイブレーターでコンクリートを締め固
める",
,,,"Dùng chất chống dính ván khuôn để gi
úp khối bê tông dễ tách khỏi ván khuô
n",はくりざい,"Chất chống dính ván khuô
n, chất tách khuôn, chất th
áo khuôn",28,1,16,剥離剤,"かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",
,,,Lắp ván đứng,けこみいた,"Ván đứng (giữa 2 bậc
thang)",28,1,17,けこみ板,"いた と つ
けこみ板を取り付ける",
,,,Gắn thanh tạo rãnh vào ván khuôn,めじぼう,"Thanh tạo rãnh, thanh nối,
thanh liên kết",28,1,18,目地棒,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",
,,,Đổ bê tông vào khuôn,こんくりーと,Bê tông,28,1,19,コンクリート,"かたわく なが こ
型枠にコンクリートを流し込む",
,,,Dùng thước dây đo kích thước,こんべっくす,Thước dây,28,1,20,コンベックス,"すんぽう はか
コンベックスで寸法を測る",
,,,"Dùng găng tay bảo hộ lao động khi là
m công việc ván khuôn",さぎょうようてぶくろ,Găng tay bảo hộ lao động,29,1,21,作業用手袋,"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",
,,,Dùng thước vuông để đo kích thước,さしがね,"Thước vuông, ê ke (của
thợ mộc)",29,1,22,差金,"さしがね すんぽう はか
差金で寸法を測る",
,,,"Dùng thước thủy để điều chỉnh độ
nghiêng, làm cho cân bằng",すいへいき,"Thước thủy, thước nivo,
ống bọt nước",29,1,23,水平器,"すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",
,,,Chấm cọ châm làm dấu vào lọ mực,すみさし,Cọ châm mực làm dấu,29,1,24,墨さし,"すみ すみ
墨さしを墨つぼにつける",
,,,Chấm cọ châm làm dấu vào lọ mực,すみつぼ,Lọ mực (của thợ môc),29,1,25,墨つぼ,"すみ すみ
墨さしを墨つぼにつける",
,,,"Cố định ván khuôn bằng thiết bị phân
ly","まるせぱれーたー（まるせ
ぱ）",Thiết bị phân ly,30,1,1,丸セパレーター（丸セパ）,"まる かたわく こ て い
丸セパレーターで型枠を固定する",
,,,"Đóng đinh mặt trên lên mặt trên của b
ê tông",てんばくぎ,Đinh đóng mặt trên,30,1,2,天端釘,"てん てん ば くぎ う
コンクリート天に天端釘を打つ",
,,,Làm sạch bề mặt ván khuôn,けれん,"Làm sạch, phẳng, nhẵn bề
mặt, Chà nhám",30,1,3,けれん,"ひょうめん
コンパネの表面をけれんする",
,,,Thi công hệ chống đỡ ván khuôn,かたわくしほこう,Hệ chống đỡ ván khuôn,30,1,4,型枠支保工,"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",
,,,"Dùng ván khuôn kim loại để lắp ráp vá
n khuôn móng","きそかたわく（めたる
ふぉーむ）","Ván khuôn móng (Ván khu
ôn kim loại)",30,1,5,"基礎型枠（メタルフォー
ム）","き そ かたわく く み た
基礎型枠を組立てる",
,,,"Dùng búa nhổ đinh để nhổ đinh ra
khỏi ván khuôn",くぎしまい,Nhổ đinh khỏi gỗ phế liệu,30,1,6,釘仕舞い,"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",
,,,Xếp đều mặt trên bê tông,すらぶてんば,Mặt trên bê tông,30,1,7,スラブ天端,"てん ば
スラブ天端をそろえる",
,,,Đo độ cao,たかさ（たっぱ）,Độ cao (còn gọi là Tappa),30,1,8,高さ（タッパ）,"たか はか
高さ（タッパ）を測る",
,,,Lắp đặt ván khuôn theo chiều dọc,たてこみ,Lắp đặt theo chiều dọc,30,1,9,建込み,"かたわく た て こ
型枠を建込みする",
,"Chỉnh những thứ bị cong, gây vướng,
v.v… trở về trạng thái chuẩn",,Làm cho ngay ngắn,とおり,"Thẳng, Ngay ngắn",30,1,10,通り,"とお よ
通りを良くする",
,Chiều cao một bậc thang,,"Lắp ván khuôn theo kích thước chiều
cao bậc thang đã được quy định",けあげ,Chiều cao một bậc thang,31,1,11,蹴上げ,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",
,,,"Lắp ván khuôn theo kích thước phần l
õm bậc thang đã được quy định",けこみ,"Phần lõm vào theo chiều
ngang của bậc thang trên v
à bậc thang dưới",31,1,12,蹴込み,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",
,,,Không lười bảo dưỡng dụng cụ,こうぐのていれ,Bảo dưỡng dụng cụ,31,1,13,工具の手入れ,"こ う ぐ て い
工具の手入れをおこたらない",
,,,Dùng quả dọi để căn thẳng,さげふり,"Quả dọi, dây dọi",31,1,14,下げ振り,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する",
,,,Đặt ván khuôn theo vạch đánh dấu,じずみ,Đánh đấu,31,1,15,地墨,"じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",
,,,Đặt khung chặn bê tông lớp tạo phẳng,すてこんくりーと,Bê tông lớp tạo phẳng,31,1,16,捨てコンクリート,"す と わく せ っ ち
捨てコンクリートの止め枠を設置する",
,"Trạng thái nhô ra nhiều về một phía
từ nơi có sàn công tác làm chỗ đỡ.
Nếu không biết mà bước lên thì có khả
năng rơi ngã, hết sức nguy hiểm.",,"Lắp ráp ván khuôn tấm bê tông nhô ra
từ tường",はねだし,Nhô ra,31,1,17,はね出し,"かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",
,,,"Kiểm tra độ phình của ván khuôn
trong khi đổ bê tông",はらみ,Phình,31,1,18,はらみ,"だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",
,,,Xếp mặt trước đều nhau,まえつら,Mặt trước,31,1,19,前面,"まえつら そろ
前面を揃える",
,,,"Thực hiện dưỡng hộ sau khi đổ bê tô
ng",ようじょう,Dưỡng hộ,31,1,20,養生,"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",
,,,Đo độ cân bằng,れべる,Độ cân bằng,32,1,21,レベル,"そくりょう
レベルを測量する",
,,,Phân bổ ván khuôn,わりつけ,"Sự phân bổ, bố trí đều",32,1,22,割付,"かたわく わ つ
型枠を割り付ける",
,,,"Gắn kim loại đặt trong bê tông vào vá
n khuôn",うめこみかなもの,Kim loại đặt trong bê tông,32,1,23,埋め込み金物,"かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",
,,,Tháo dỡ ván khuôn,かいたい,(danh từ) Sự tháo dỡ,32,1,24,解体する（バラス）,"かたわく かいたい
型枠を解体する（バラス）",
,,,,（ばらす）,(động từ) Tháo dỡ,32,1,,,,
,,,"Kiểm tra độ dày lớp bê tông bảo vệ cốt
thép",かぶりすんぽう,"Độ dày lớp bê tông bảo vệ
cốt thép",32,1,25,かぶり寸法,"てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",
,"Là loại cốt thép được dùng phổ biến ở
Nhật",,,いけいぼうこう,"Cốt thép có gờ (cốt thép
gai)",33,1,1,異形棒鋼,"い け いぼうこう もち
異形棒鋼を用いる",
,,,Dùng dây thép buộc để buộc cốt thép,けっそくせん,Dây thép buộc,33,1,2,結束線,"けっそくせん てっきん しば
結束線で鉄筋を縛る",
,"Còn gọi là ""Hakka""",,Dùng móc buộc thép để buộc cốt thép,けっそくこうぐ,Móc buộc thép,33,1,3,結束工具,"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",
,,,Dùng máy cắt thép để cắt cốt thép,てっきんせつだんき,Máy cắt thép,33,1,4,鉄筋切断機,"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",
,,,Dùng máy uốn thép để uốn cốt thép,てっきんまげかこうき,Máy uốn thép,33,1,5,鉄筋曲げ加工機,"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",
,,,Bẻ móc cho đầu mút thanh cốt thép,ふっく,Móc,33,1,6,フック,"てっきんた ん ぶ
鉄筋端部にフックをつける",
,,,Đội mũ bảo hộ khi làm việc,ほごぼう（へるめっと）,Mũ bảo hộ,33,1,7,保護帽（ヘルメット）,"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",
,"Gọi tắt của ""Sashikin anka"" (neo cốt th
ép chờ). Còn gọi là ""Sashikin""(cốt thé
p chờ)",,Cấy neo,あんかー,Neo,33,1,8,アンカー,"せ っ ち
アンカーを設置する",
,,,"Gia công cốt thép ở khu vực gia công
trước khi vận chuyển đến công trường",かこうば,Khu vực gia công,33,1,9,加工場,"げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",
,,,"Dùng con kê để đảm bảo độ dày của
lớp bê tông bảo vệ cốt thép",すぺーさー,Con kê,33,1,10,スペーサ―,"てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",
,,,"Dùng con kê hình bánh xe để đảm bảo
độ dày của lớp bê tông bảo vệ cốt thép
tường",どーなつ,Con kê hình bánh xe,34,1,11,ドーナツ,"かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",
,,,"Lắp ráp theo đúng như bản vẽ bố trí
cốt thép gia công",かこうはいきんず,"Bản vẽ bố trí cốt thép gia c
ông",34,1,12,加工配筋図,"か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",
,,,"Lắp ghép theo đúng như bản vẽ chi tiết
bố trí cốt thép",はいきんしょうさいず,"Bản vẽ chi tiết bố trí cốt th
ép",34,1,13,配筋詳細図,"はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",
,,,"Lắp ráp cốt thép gia cường lỗ mở cho
lỗ mở cửa sổ",かいこうほきょうきん,Cốt thép gia cường lỗ mở,34,1,14,開口補強筋,"まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",
,,,"Lắp ráp cốt thép đai ngắn giữ khoảng c
ách",はばどめきん,"Cốt thép đai ngắn nối hai
thanh đối diện bụng dầm đ
ể giữ khoảng cách chính x
ác giữa 2 thanh",34,1,15,幅止め筋,"はば ど きん と つ
幅止め筋を取り付ける",
,,,Neo cốt thép chờ vào bê tông,さしきん,Cốt thép chờ,34,1,16,差筋,"さしきん
コンクリートに差筋をする",
,,,Kiểm tra cột chủ cốt thép trên bản vẽ,はしらしゅきん,Cột chủ cốt thép,34,1,17,柱主筋,"はしらしゅきん ぐみ た
柱主筋を組立てる",
,,,Lắp ráp cột cốt thép,はしらはいきん,Cột cốt thép,34,1,18,柱配筋,"はしらはいきん ず めん かくにん
柱配筋を図面で確認する",
,,,"Lắp ráp cốt thép bản mặt theo khoảng
cách quy định",すらぶきん,Cốt thép bản mặt,34,1,19,スラブ筋,"きん しょてい く み た
スラブ筋を所定のピッチで組立てる",
,,,Lắp ráp cốt thép ốt thép móng,べーすきん,"Cốt thép nền, móng",34,1,20,ベース筋,"きん く み た
ベース筋を組立てる",
,,,Lắp ráp cốt thép đai (dạng vòng tròn),おびきん（ふーぷ）,"Cốt thép đai (dạng vòng tr
òn)",35,1,21,帯筋（フープ）,"おびきん く み た
帯筋を組立てる",
,,,Lắp ráp cốt thép bên dưới,したばきん,Cốt thép bên dưới,35,1,22,下端筋,"し た ばきん く み た
下端筋を組立てる",
,,,Lắp ráp cốt thép bên trên,うわばきん,Cốt thép bên trên,35,1,23,上端筋,"う わ ばきん く み た
上端筋を組立てる",
,,,Lắp ráp cốt thép chủ,しゅきん,Cốt thép chủ,35,1,24,主筋,"しゅきん く み た
主筋を組立てる",
,,,Lắp ráp cốt thép đai (dạng thanh),あばらきん,Cốt thép đai (dạng thanh),35,1,25,あばら筋,"きん く み た
あばら筋を組立てる",
,,,"Lắp ráp cốt thép đặt xung quanh các
cốt thép khác ở móng để gia cố",はかまきん,"Cốt thép đặt xung quanh c
ác cốt thép khác ở móng đ
ể gia cố",36,1,1,はかま筋,"きん く み た
はかま筋を組立てる",
,,,Lắp ráp cốt thép dọc,たてきん,Cốt thép dọc,36,1,2,縦筋,"たてきん く み た
縦筋を組立てる",
,,,Lắp ráp cốt thép dưới,したきん,Cốt thép dưới,36,1,3,下筋,"したきん く み た
下筋を組立てる",
,,,Lắp ráp cốt thép ngang,よこきん,Cốt thép ngang,36,1,4,横筋,"よこきん く み た
横筋を組立てる",
,,,Lắp ráp cốt thép cấu tạo bụng dầm,はらきん,Cốt thép cấu tạo bụng dầm,36,1,5,腹筋,"はらきん く み た
腹筋を組立てる",
,,,Lắp ráp cốt thép phân bố,はいりょくきん,Cốt thép phân bố,36,1,6,配力筋,"はいりょくきん く み た
配力筋を組立てる",
,,,Lắp ráp cốt thép trên,うわきん,Cốt thép trên,36,1,7,上筋,"うわきん く み た
上筋を組立てる",
,,,"Gắn cốt thép xoắn ốc vào tường chịu
chấn động",すぱいらるきん,Cốt thép xoắn ốc,36,1,8,スパイラル筋,"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",
,,,"Đường kính cốt thép theo đúng như
bản thiết kế",てっきんけい,Đường kính cốt thép,36,1,9,鉄筋径,"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",
,,,"Kiểm tra độ dày lớp bê tông bảo vệ cốt
thép",かぶりあつさ,"Độ dày lớp bê tông bảo vệ
cốt thép",36,1,10,かぶり厚さ,"あつ かくにん
かぶり厚さを確認する",
,,,Kiểm tra độ góc,かくど,Độ góc,37,1,11,角度,"か く ど かくにん
角度を確認する",
,,,"Cốt thép thì tắp ráp theo bố trí 1 lớp
cốt thép",しんぐる,"Đơn, một",37,1,12,シングル,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",
,,,"Tấm bê tông thì lắp ráp theo bố trí 2
lớp cốt thép",だぶる,"Đôi, hai",37,1,13,ダブル,"はいきん
スラブはダブル配筋とする",
,,,Kết nối xen kẽ cốt thép,ちどりけっそく,Kết nối xen kẽ,37,1,14,千鳥結束,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",
,,,Cắt cốt thép theo kích thước cắt ngnag,せつだんすんぽう,Kích thước cắt ngang,37,1,15,切断寸法,"せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",
,,,"Gia công cốt thép theo đúng như kích
thước gia công",かこうすんぽう,Kích thước gia công,37,1,16,加工寸法,"か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",
,,,"Giữa các thanh cốt thép với nhau thì d
ùng liên kết chồng",かさねつぎて,"Liên kết chồng, mối nối
chồng",37,1,17,重ね継手,"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",
,,,"Giữa các thanh cốt thép với nhau thì d
ùng liên kết hàn áp lực",あっせつつぎて,"Liên kết hàn áp lực, mối
nối hàn áp lực",37,1,18,圧接継手,"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",
,,,"Gắn cốt thép gia cường lỗ mở vào khu
vực lỗ mở",かいこうぶ,"Lỗ mở, lỗ trống",37,1,19,開口部,"かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",
,,,"Bố trí cốt thép sàn thì dùng lưới cốt th
ép sợi hàn",ようせつかなあみ,Lưới cốt thép sợi hàn,37,1,20,溶接金網,"ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",
,,,"Vận chuyển cốt thép còn lại ra khỏi cô
ng trường",はんしゅつ,Vận chuyển ra,38,1,21,搬出,"のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",
,,,"Vận chuyển cốt thép vào trong công
trường",はんにゅう,Vận chuyển vào,38,1,22,搬入,"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",
,Là nền tảng của công trình xây dựng,,Bố trí cốt thép móng,きそ,Móng,38,1,23,基礎,"き そ はいきん
基礎の配筋をおこなう",
,,,"Giữa các thanh cốt thép với nhau thì d
ùng liên kết cơ khí",きかいしきつぎて,"Liên kết cơ khí, mối nối cơ
khí",38,1,24,機械式継手,"てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",
,,,"Vượt qua cuộc kiểm tra bố trí cốt thép
do người quản lý thiết kế thực hiện",はいきんけんさ,Kiểm tra bố trí cốt thép,38,1,25,配筋検査,"せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",
,"Máy kéo được gắn thêm phụ tùng
(attachment) được gọi là máy ủi, máy
xúc, v.v.",,,とらくた,Máy kéo,39,1,1,トラクタ,,
,Là máy kéo có gắn lưỡi ủi,,,ぶるどーざ,Xe ủi,39,1,2,ブルドーザ,,
,"Là máy kéo có gắn gầu. Có 2 loại bánh
xích và bánh lốp",,,とらくたしょべる,Máy xúc,39,1,3,トラクタショベル,,
,"Là máy xúc loại bánh lốp (hệ dẫn động
bốn bánh)",,,ほいるろーだ,Máy xúc lật bánh lốp,39,1,4,ホイルローダ,,
,,,,だんぷとらっく,Xe tải tự đổ,39,1,5,ダンプトラック,,
,"Là máy có gắn gầu, có thể thực hiện
nhiều thao tác khác nhau khi được
thay đổi phụ tùng (attachment)",,,ゆあつしょべる,Máy đào thủy lực,39,1,6,油圧ショベル,,
,"Là loại máy xúc thủy lực phổ biến
nhất, được sử dụng để đào xuống dưới
mặt đất",,,ばっくほう,Máy đào,39,1,7,バックホウ,,
,"Là một loại máy xúc thủy lực, dùng để
xúc đất đá trên mặt đất đổ lên phương
tiện vận chuyển",,,ろーでぃんぐしょべる,Máy đào gầu thuận,39,1,8,ローディングショベル,,
,,,,ろーら,Xe lu,39,1,9,ローラ,,
,,,,ばけっと,Gầu,39,1,10,バケット,,
,,,,ぶーむ,Cần chống,40,1,11,ブーム,,
,,,,あーむ,Cần ngang,40,1,12,アーム,,
,,,,ぶれーど（はいどばん）,"Lưỡi ủi (còn gọi là Tấm
gạt đất)",40,1,13,ブレード（排土板）,,
,,,,たいや,Lốp xe,40,1,14,タイヤ,,
,,,,くろーら,Bánh xích,40,1,15,クローラ,,
,,,Chìa khóa xe ô tô,きー（かぎ）,Chìa khóa,40,1,16,キー（鍵）,"くるま かぎ
車の鍵",
,,,,"さぎょうそうち
（あたっちめんと）",Phụ tùng,40,1,17,"作業装置
（アタッチメント）",,
,,,Bật động cơ. Tắt động cơ,えんじん,Động cơ,40,1,18,エンジン,"き
エンジンをかける、エンジンを切る",
,,,,でぃーぜるえんじん,Động cơ Diesel,40,1,19,ディーゼルエンジン,,
,,,,えんじんおいる,Dầu động cơ,40,1,20,エンジンオイル,,
,,,,"おるたねーた
（じゅうでんはつでんき）","Máy phát điện xoay chiều
(Máy sạc và phát điện)",41,1,21,"オルタネータ
（充電発電機）",,
,,,,ばってり,Ắc quy,41,1,22,バッテリ,,
,,,,ねんりょう,Nhiên liệu,41,1,23,燃料,,
,,,,けいゆ,Dầu nhẹ,41,1,24,軽油,,
,,,Đạp phanh,ぶれーき,Phanh,41,1,25,ブレーキ,"ふ
ブレーキを踏む",
,,,,ゆあつしりんだ,Xylanh thủy lực,42,1,1,油圧シリンダ,,
,,,,ゆあつもーた,Mô tơ thủy lực,42,1,2,油圧モータ,,
,,,,ゆあつぽんぷ,Bơm thủy lực,42,1,3,油圧ポンプ,,
