ja,en,fil-PH,pt,es,pt-BR,zh,ko,fr,hi,th,vi,my,ne,bn,id,ta,si,mn,ar,fa,tr,ru,ur,km,lo,ms,de,hu,cs,pl,nl,da,fi,sv,lb,af,fr-CA,翻訳言語数
煙,Smoke,Usok,,,,烟,,,,ควัน,Khói,မ ်း ်းှို,,,Asap,,,,,,,,,ផ្សែង,,,,,,,,,,,,,,8
消火,Fire extinguishing,Patayin ang apoy,,,,灭火,,,,ดับเพลงิ,Chữa cháy,မ ်းပငမ ််းသတခ် င်း်,,,Pemadam kebakaran,,,,,,,,,ព្នលត់អគ្គិ្័យ,,,,,,,,,,,,,,8
消火器,Fire extinguisher,Fire extinguisher,,,,灭火器,,,,ถังดับเพลงิ,Bình chữa cháy,မ ်းသတေ် ်းူ,,,Alat pemadam kebakaran,,,,,,,,,ឧរករណ៍ព្នលត់អគ្គិ្័យ,,,,,,,,,,,,,,8
非常ベル,Emergency alarm,Emergency bell,,,,消防警铃,,,,กระดงิ่ เตอื นภัย,Chuông khẩn cấp,အသရ်းသပေါ်သတသှိ ပ်းစက်,,,Bel darurat,,,,,,,,,កណតឹងអាសនន,,,,,,,,,,,,,,8
火災報知機,Fire alarm,Fire alarm,,,,火灾报警器,,,,เครอื่ งเตอื นอคั คภี ัย,Thiết bị báo cháy,မ ်းအ ကသ် ပ်းစက်,,,Alarm kebakaran,,,,,,,,,កណតឹង្រកាសអគ្គិ្័យ,,,,,,,,,,,,,,8
逃げる,To escape,Tumakbo palayo,,,,逃离,,,,หลบหนี,Trốn chạy,ထကွ သ် ခပ်းသည်,,,Melarikan diri,,,,,,,,,រត់បគ្ច,,,,,,,,,,,,,,8
現場,Site; shop floor,Lugar ng trabaho,,,,现场,,,,หนา้ งาน,Hiện trường,လပု ်ငန်း် ငွ ်,,,Tempat kerja/Pabrik,,,,,,,,,កផ្នលងការង្ករ,,,,,,,,,,,,,,8
作業,Work,Trabaho,,,,作业,,,,งาน,Thao tác,အလပု ်,,,Pekerjaan,,,,,,,,,ការង្ករ,,,,,,,,,,,,,,8
ミーティング,Meeting,Miting,,,,会议,,,,มตี ตงิ้,Cuộc họp,အစည်း် အသဝ်း,,,Rapat/Meeting,,,,,,,,,ការ្រជុំ,,,,,,,,,,,,,,8
研修（する）,Training (to train/be trained),Pagsasanay (Magsasanay),,,,培训,,,,การฝึกงาน (ฝึกงาน),(động từ) Đào tạo,သငတ် န်း် (ခပြုံလပု ်သည်),,,Pelatihan/Training (Berlatih),,,,,,,,,(ប្វើការ)កមមសិកា,,,,,,,,,,,,,,8
実習（する）,Practical training (to give/receive practical training),Training (Pagtratrain),,,,实习,,,,การฝึกภาคปฏบิ ัต ิ(ฝึก ภาคปฏบิ ัต)ิ,(động từ) Thực tập,လကသ် တွဲ့သွ ငတ် န်း် (ခပြုံလပု ် သည်),,,Pelatihan (Berlatih),,,,,,,,,(ប្វើការ)សិកា,,,,,,,,,,,,,,8
あいさつ,Greeting,Pagbati,,,,打招呼,,,,ทักทาย,Chào hỏi,န္တှု ဆ် ကခ် င်း်,,,Salam,,,,,,,,,ររវកិចច,,,,,,,,,,,,,,8
確認（する）,Check (to check),Check / Kumpirmasyon (I-checheck / Susuriin),,,,确认,,,,การตรวจสอบ (ตรวจสอบ),"(động từ) Kiểm tra, xác nhận",သသ ာစစ်(သည်),,,Konfirmasi (Mengkonfirmasikan),,,,,,,,,(ប្វើការ)រញ្ញា ក់,,,,,,,,,,,,,,8
報告（する）,Report (to report),Report / Ulat(Mag-report / Ipagbigay-alam),,,,报告,,,,การรายงาน (รายงาน),(động từ) Báo cáo,အသကကာင်း် ကကာ်း(သည်),,,Laporan (Melaporkan),,,,,,,,,(ប្វើការ)ការោយការណ៍,,,,,,,,,,,,,,8
連絡（する）,Communication (to communicate),Kontak (Makipag-ugnayan),,,,联络,,,,การตดิ ตอ่ (ตดิ ตอ่ ),(động từ) Liên lạc,အသကကာင်း် ကကာ်း(သည်),,,Kontak (Menghubungi),,,,,,,,,(ប្វើការ)ទាក់ទង,,,,,,,,,,,,,,8
相談（する）,Consultation (to consult),Konsulta (Magkonsulta),,,,商量,,,,การปรกึ ษา (ปรกึ ษา),(động từ) Thảo luận,သဆ်းွ သန္်းွ (သည်),,,Konsultasi (Berkonsultasi),,,,,,,,,(ប្វើការ)ព្ិភាកា,,,,,,,,,,,,,,8
渡す,To hand over,Iaabot,,,,交给,,,,ยนื่ ให้,Đưa,သပ်းသည်,,,Menyerahkan,,,,,,,,,ឆ្លងកាត់,,,,,,,,,,,,,,8
申請書,Application,Pormat ng aplikasyon,,,,申请书,,,,ใบค ารอ้ ง,Đơn xin,သလျှာကလ် ာ,,,Surat permohonan,,,,,,,,,ពាកែបសនើសុំ,,,,,,,,,,,,,,8
寝坊（する）,Oversleeping (to oversleep),Nagising ng tanghali (Magigising ng tanghali),,,,睡懒觉,,,,่ ่ การตนื สาย (ตนื สาย),(động từ) Ngủ quên,အပှိ ်ရာထသနာကက် (သည်),,,Kesiangan (Bangun kesiangan),,,,,,,,,(ប្វើការ)បគ្ង្ជលុ,,,,,,,,,,,,,,8
技能,Skills,pagsasanay,,,,技能,,,,ทกั ษะทางเทคนิค,Kỹ năng,နည်း် ပညာ,,,Keahlian,,,,,,,,,ជំនាញ,,,,,,,,,,,,,,8
技能検定試験,Skill proficiency test,Trade Skills Test,,,,技能鉴定考试,,,,การสอบวดั ระดับทกั ษะ ทางเทคนคิ,Kỳ thi kiểm tra kỹ năng,နည်း် ပညာအဆင ်ဲ့ သတမ် တစ် ာသမ်းပ ွ,,,Ujian keahlian teknis,,,,,,,,,ប្រឡងសមត្ថិភាពជំនាញ,,,,,,,,,,,,,,8
受検（する）,Exam (Take an Exam),Pagkuha ng pagsusulit,,,,应考、参加考试,,,,การเขา้ สอบ (เขา้ สอบ),"(danh từ) Sự dự thi, thi",စာသမ်းပ ွသခဖ(သည)်,,,Ujian,,,,,,,,,(ធ្វើ)ការប្រឡង,,,,,,,,,,,,,,8
資格,Qualifications,kwalipikasyon,,,,资格,,,,คณุ สมบัติ,Tư cách,အရညအ် င်း်,,,Kualifikasi,,,,,,,,,សមត្ថភាព(ជំនាញ),,,,,,,,,,,,,,8
手当,Allowance,allowance,,,,津贴、补贴,,,,"เบยี้ เลยี้ ง, เงนิ ชว่ ยเหลอื",Trợ cấp,စ ာ်း ငွ ်ဲ့,,,Tunjangan,,,,,,,,,ប្ាក់ឧរត្ថមភ,,,,,,,,,,,,,,8
社員,Employee,empleyado,,,,员工,,,,พนักงานบรษิ ัท,Nhân viên công ty,ကမု ပဏဝ နထ် မ််း,,,Pegawai,,,,,,,,,រុគ្គលកិ ប្កមុ ហ ុន,,,,,,,,,,,,,,8
部長,Department manager,hepe ng departamento,,,,部长,,,,หัวหนา้ ฝ่าย,Trưởng ban,ဌာနမ ်း,,,Kepala bidang,,,,,,,,,ប្រធានផ្នែក,,,,,,,,,,,,,,8
課長,Section manager,hepe ng seksyon,,,,课长,,,,หัวหนา้ แผนก,Trưởng phòng,ဌာန မွ ်း,,,Kepala Seksi,,,,,,,,,ប្រធានការយាិ លយ័,,,,,,,,,,,,,,8
更衣室,Dressing room,silid bihisan,,,,更衣室,,,,หอ้ งเปลยี่ นเสอื้ ผา้,Phòng thay đồ,အဝတလ် န်း်,,,Ruang ganti,,,,,,,,,រនទរផ្ល់ ា ស់សធមាៀករំពាក់,,,,,,,,,,,,,,8
台車,Cart,kariton,,,,台车、推车,,,,รถเข็น,Xe đẩy,လကတ် နွ ်း် လည ်း်,,,Troli,,,,,,,,,រទះរុញឥវ៉ាន់,,,,,,,,,,,,,,8
床,Floor,sahig,,,,地板,,,,พนื้,Sàn,ကကမ််းခပင်,,,Lantai,,,,,,,,,កប្ាល,,,,,,,,,,,,,,8
出口,Exit,labasan,,,,出口,,,,ทางออก,Cửa ra,ထကွ သ် ပါက်,,,Pintu keluar,,,,,,,,,ប្រកធរញ,,,,,,,,,,,,,,8
電気,Electricity,kuryente,,,,电气、电,,,,ไฟฟ้า,Điện,လျှပ်စစ်/မ ်း,,,Listrik,,,,,,,,,អគ្គីសនី,,,,,,,,,,,,,,8
警報音,Alarm sound,babalang ingay,,,,警报声,,,,เสยี งสัญญานเตอื นภัย,Âm thanh báo động,သတသှိ ပ်း သ ါင်း် သလာင်း် သ,,,Bunyi peringatan,,,,,,,,,សធមាងប្រកាសអាសនែ,,,,,,,,,,,,,,8
コンセント,Electric outlet,saksakan ng kuryente,,,,插座,,,,"ปล๊กั ไฟ(ตัวเมยี ), เตา้ เสยี บ",Ổ cắm,ပလတသ် ါင်း် ပလတသ် ပါက်,,,Stop kontak,,,,,,,,,ប្ពីធ្ាើង,,,,,,,,,,,,,,8
作業場,Workshop,lugar ng trabaho,,,,作业场所,,,,สถานทปี่ ฏบิ ัตงิ าน,Nơi làm việc,အလပု ်ရု,,,Tempat kerja,,,,,,,,,កផ្នាងធ្វើការ,,,,,,,,,,,,,,8
作業台,Workbench,lamesa ng trabaho,,,,作业台,,,,โตะ๊ ท างานชา่ ง,Bàn thao tác,အလပု ်စာ်းပ ွ,,,Meja kerja,,,,,,,,,ត្ុធ្វើការ,,,,,,,,,,,,,,8
工事現場,Construction site,lugar ng konstruksyon,,,,建筑工地,,,,สถานทกี่ อ่ สรา้ ง,Công trường,သဆာကလ် ပု ်သရ်း လပု ်ငန်း် ငွ ်,,,Lokasi kerja,,,,,,,,,ការដ្ឋា នសំណង់,,,,,,,,,,,,,,8
職長,Foreman,foreman,,,,工长,,,,หัวหนา้ งาน,Tổ trưởng,လပု ်ငန်း် ငွ လ် မ််းည နက်က်း ကကပ်သူ,,,Pengawas kerja,,,,,,,,,អែកដឹកនាំប្កមុ,,,,,,,,,,,,,,8
作業責任者,Work supervisor,tagapangasiwa ng trabaho,,,,作业负责人,,,,ผรู้ ับผดิ ชอบงาน,Người phụ trách công việc,လပု ်ငန်း် တာဝန ်,,,Petugas kerja,,,,,,,,,អែកទទួលខុសប្ត្វូ ការងារ,,,,,,,,,,,,,,8
禁止,Prohibition,bawal,,,,禁止,,,,หา้ ม,Cấm,တာ်းခမစ်ခ င်း်,,,Pelarangan,,,,,,,,,ហាម,,,,,,,,,,,,,,8
表示板,Display board,karatula,,,,指示牌、显示板,,,,ป้ายประกาศ,Biển báo,သငပ် ုန်း် ၊ဆငှို ်း် ေတု ်,,,Papan pengumuman,,,,,,,,,ផ្ទ ងាំ បង្ហា ញព័ត៍មាន,,,,,,,,,,,,,,8
禁止事項,Prohibited items,bagay na bawal gawin,,,,禁止事项,,,,ขอ้ หา้ ม,Những điều bị cấm,တာ်းခမစ် က်,,,Larangan penggunaan,,,,,,,,,ប្បការហាមឃាត់,,,,,,,,,,,,,,8
避難訓練,Evacuation drill,evacuation drill,,,,逃生训练、避难疏散训练,,,,การฝึกหลบภัยหรอื หนีภัย,Huấn luyện lánh nạn /sơ tán,သေ်းအန္ရတ ာယမ် သရ ာငတ် မှိ ််းသရ်း သလကဲ့ ငမ်ဲ့ ှု,,,Latihan evakuasi,,,,,,,,,ហ្វកឹ ហាត់ជមមលៀសមេញ,,,,,,,,,,,,,,8
感電,,,,,,,,,,,(danh từ) Sự bị điện giật,,,,,,,,,,,,,,,,,,,,,,,,,,,1
感電する,,,,,,,,,,,(động từ) Bị điện giật,,,,,,,,,,,,,,,,,,,,,,,,,,,1
防止,,,,,,,,,,,(danh từ) Sự ngăn chặn,,,,,,,,,,,,,,,,,,,,,,,,,,,1
防止する,,,,,,,,,,,(động từ) Ngăn chặn,,,,,,,,,,,,,,,,,,,,,,,,,,,1
予防,,,,,,,,,,,(danh từ) Sự phòng ngừa,,,,,,,,,,,,,,,,,,,,,,,,,,,1
予防する,,,,,,,,,,,(động từ) Phòng ngừa,,,,,,,,,,,,,,,,,,,,,,,,,,,1
転倒,,,,,,,,,,,"(danh từ) Sự ngã, đổ",,,,,,,,,,,,,,,,,,,,,,,,,,,1
転倒する,,,,,,,,,,,"(động từ) Ngã, đổ",,,,,,,,,,,,,,,,,,,,,,,,,,,1
挟まる,Get caught,maipit,,,,被夹住,,,,"คั่น, หนีบ, ตดิ อยู่","Kẹp, kẹp vào",ညပ်သည်,,,Terjepit,,,,,,,,,គាប,,,,,,,,,,,,,,8
足元,Footsteps,paanan,,,,脚下,,,,ทเี่ ทา้,Dưới chân,သခ သထာကအ် န်း တဝှိုက်,,,Langkah kaki,,,,,,,,,មជើងមប្កាម,,,,,,,,,,,,,,8
不安定,,,,,,,,,,,"(danh từ) Sự không ổn đ ịnh, không vững",,,,,,,,,,,,,,,,,,,,,,,,,,,1
不安定な,,,,,,,,,,,"(tính từ) Không ổn định, không vững",,,,,,,,,,,,,,,,,,,,,,,,,,,1
後片付け,Cleanup,pagliligpit pagkatapos,,,,收拾,,,,ท าความสะอาดและเกบ็ เขา้ ที่,Dọn dẹp,အလပု ်ပပ ်းသနာက ် သနစ် ဲ့ ငသ် မှိ ််းဆည်း် ခ င်း်,,,Pembenahan,,,,,,,,,ការមរៀបេាំមពលមប្កាយ,,,,,,,,,,,,,,8
救急箱,First aid kit,first-aid kit,,,,急救箱,,,,กลอ่ งปฐมพยาบาล,Hộp sơ cứu,အသရ်းသပေါ်သဆ်းသသတတ ာ,,,Kotak P3K,,,,,,,,,ប្បអប់សមប្ង្ហគ ោះបន្ទទ ន់,,,,,,,,,,,,,,8
絆創膏,Adhesive plaster,panakip sa sugat,,,,创可贴,,,,"พลาสเตอรย์ า, เทป สา หรับปิดแผล",Băng dán vết thương,ပလာစတာ,,,Plester,,,,,,,,,បនទោះបិទមលើស្នា មរបួស,,,,,,,,,,,,,,8
体調,Physical condition,pisikal na kondisyon,,,,身体状况,,,,สภาพรา่ งกาย,Thể trạng,က န်း် မာသရ်းအသခ အသန,,,Kondisi badan,,,,,,,,,ស្នេ នភាពសុខភាពខល នួ,,,,,,,,,,,,,,8
血,Blood,dugo,,,,血,,,,เลอื ด,Máu,သသ်းွ,,,Darah,,,,,,,,,ឈាម,,,,,,,,,,,,,,8
熱中症,Heatstroke,heatstroke,,,,中暑,,,,โรคลมแดด,"Sốc nhiệt, say nắng",အပူလျှပ်ခ င်း်,,,Dehidrasi,,,,,,,,,ការដួលសនលបម់ ោយស្នរ កមតៅ,,,,,,,,,,,,,,8
吐き気,Nausea,alibadbad,,,,恶心,,,,คลนื่ ไส้,"Buồn nôn, buồn ói",ပ ှိြုံွဲ့စှိတ၊်အန ် ငစ် ှိတ်,,,Mual,,,,,,,,,េង់កអ តួ,,,,,,,,,,,,,,8
嘔吐,,,,,,,,,,,"(danh từ) Sự nôn, ói",,,,,,,,,,,,,,,,,,,,,,,,,,,1
嘔吐する,,,,,,,,,,,"(động từ) Nôn, ói",,,,,,,,,,,,,,,,,,,,,,,,,,,1
足がつる,Have a leg cramp,namumulikat ang paa,,,,腿抽筋,,,,มอี าการตะครวิ ทขี่ า,Chân bị chuột rút,သခ သထာက ် ကကကတ် ကသ် ည်,,,Kram,,,,,,,,,សាំយ ុងមជើង,,,,,,,,,,,,,,8
気分が悪い,Feel sick,hindi maganda ang pakiramdam,,,,不舒服,,,,รสู้ กึ ไมส่ บาย,"Không khỏe, khó ở",သနလမှို ဲ့ သကာင်း် ေ်းူ,,,Tidak enak badan,,,,,,,,,មិនប្សួលខល នួ,,,,,,,,,,,,,,8
寝不足,Lack of sleep,kulang sa tulog,,,,睡眠不足,,,,นอนไมพ่ อ,Thiếu ngủ,အပှိ ်သရ်းမဝခ င်း်,,,Kurang tidur,,,,,,,,,មគ្ងមិនប្គ្ប់,,,,,,,,,,,,,,8
安全ネット,Safety net,safety net,,,,安全网,,,,เครอื ขา่ ยความปลอดภัย,Lưới an toàn,လခ ု ြုံ သရ်းပှိုကက် နွ ်,,,Jaring pengaman,,,,,,,,,សាំណាញ់សុវតេិភាព,,,,,,,,,,,,,,8
安全点検,Safety inspection,inspeksyon para sa kaligtasan,,,,安全检查,,,,การตรวจเช็คความ ปลอดภัย,Kiểm tra an toàn,လခ ု ြုံ စှိတ ် မှုစစ်သဆ်းခ င်း်,,,Pemeriksaan keselamatan,,,,,,,,,ប្តួតពិនិតយសុវតេិភាព,,,,,,,,,,,,,,8
KY活動（危険予知活動）,KY Activities (Hazard prediction activities),Aktibidad ng KY (Aktibidad para Kilalanin ang Panganib),,,,KY活动（危险预测活动）,,,,กจิ กรรมKY (กจิ กรรมฝึก การคาดการณ์อนั ตราย ลว่ งหนา้ ),Hoạt động KY (Hoạt động dự báo nguy hiểm),KY လပှု ်ရ ာ်းမှု (အန္ရတ ာယက်ကြုံှိတင ် နမ် ဲ့ န်း် သရှိ ှိ သရ်းလပှု ်ရ ာ်းမှု),,,Kegiatan latihan prediksi bahaya,,,,,,,,,សកម្មភាពKY (សកម្មភាពពាករណ៏ហា នីភយ)័,,,,,,,,,,,,,,8
危険,Hazard,panganib,,,,危险,,,,อนั ตราย,Nguy hiểm,အန္ရတ ာယ်,,,Bahaya,,,,,,,,,គ្រោះថ្នា ក់,,,,,,,,,,,,,,8
ぶつかる,Bump into,mabangga,,,,碰撞,,,,ชน,"Va, đụng phải",တကှို မ် ှိသည်,,,Tertabrak,,,,,,,,,ប ោះទង្គិច,,,,,,,,,,,,,,8
当たる,Hit,tumama,,,,碰、砸,,,,"โดน, กระทบ","Đụng, trúng",ထမှိ ှိသည်,,,Kena,,,,,,,,,្រវូ នឹង្,,,,,,,,,,,,,,8
下敷きになる,Become trapped under,madaganan,,,,被压在下面,,,,โดนทับ,Bị đè/cán lên,သအာကတ် ငွ ပ် ှိမှိသည်,,,Terlindas,,,,,,,,,កិនសង្ារ់,,,,,,,,,,,,,,8
打つ,Strike,tamaan,,,,打,,,,"ต,ี ตอก, เคาะ","Đập, nện",ထသု ည၊်ရုှိကသ် ည်,,,Memukul,,,,,,,,,ដំ,,,,,,,,,,,,,,8
バランスを崩す,Lost one's balance,mawala ang balanse,,,,失去平衡,,,,เสยี การทรงตัว,Mất thăng bằng,ဟန ် ကပ် ကသ် ည်,,,Hilang keseimbangan,,,,,,,,,បារ់បង្់រ លយភាព,,,,,,,,,,,,,,8
倒れる,Collapse,bumagsak,,,,倒下、晕倒,,,,"ลม้ , ลม้ ป่วย","Đổ, sập, ngã nằm xuống",လက သည်,,,Jatuh,,,,,,,,,ដួលរលំ,,,,,,,,,,,,,,8
転落,,,,,,,,,,,"(danh từ) Sự rơi, ngã xuống",,,,,,,,,,,,,,,,,,,,,,,,,,,1
転落する,,,,,,,,,,,"(động từ) Rơi, ngã xuống",,,,,,,,,,,,,,,,,,,,,,,,,,,1
指差呼称,Pointing and calling,pagturo at pagtawag,,,,手指呼号,,,,การท ามอื ชแี้ ละปากย ้า เพอื่ ความปลอดภัย,Chỉ tay gọi tên,ြှ လကည် ြုံှိ်းထ်းှို ၍နာမညသ် ေါ် စစ်သဆ်းမှု,,,Aba-aba tunjuk pencegahan bahaya,,,,,,,,,ចង្អ ុលគៅគ្ម ោះ,,,,,,,,,,,,,,8
ヒヤリハット,"""Hiyari-Hatto"" (Near-miss incident)",muntikang aksidente (Hiyari-hatto),,,,险兆,,,,เหตกุ ารณ์เกอื บเกดิ อบุ ัตเิ หตุ,Sự cố (tiềm ẩn nguy cơ nhưng chưa gây ra thiệt hại).,သသ သ လ်းနလ ဲ့ တွ သ် ာွ ်းသသာလပု ်ငန်း် ငွ မ် သတာ်တ ဆခဖစ်မှု,,,Kondisi bahaya/Gerakan bahaya,,,,,,,,,គសទើបរនឹង្មនគ្រោះថ្នា ក់,,,,,,,,,,,,,,8
原因,Cause,sanhi,,,,原因,,,,สาเหตุ,Nguyên nhân,အသကကာင်း် ရင်း်,,,Faktor/Penyebab,,,,,,,,,ម្ូលគេរ,,,,,,,,,,,,,,8
対策,Countermeasure,hakbang upang labanan,,,,对策,,,,การรับมอื กบั ปัญหา,"Giải pháp, biện pháp",သဆာငရ် ွကမ် ှု၊စ မ က်,,,Penanganan,,,,,,,,,វធ្លិ នការ,,,,,,,,,,,,,,8
落下,,,,,,,,,,,(danh từ) Sự rơi xuống,,,,,,,,,,,,,,,,,,,,,,,,,,,1
落下する,,,,,,,,,,,(động từ) Rơi xuống,,,,,,,,,,,,,,,,,,,,,,,,,,,1
墜落,,,,,,,,,,,(danh từ) Sự rơi (từ trên cao) xuống,,,,,,,,,,,,,,,,,,,,,,,,,,,1
墜落する,,,,,,,,,,,(động từ) Rơi (từ trên cao) xuống,,,,,,,,,,,,,,,,,,,,,,,,,,,1
確認,,,,,,,,,,,"(danh từ) Sự kiểm tra, xác nhận",,,,,,,,,,,,,,,,,,,,,,,,,,,1
確認する,,,,,,,,,,,"(động từ) Kiểm tra, xác nhận",,,,,,,,,,,,,,,,,,,,,,,,,,,1
作業着,Work clothes,uniporme sa trabaho,,,,工装,,,,ชดุ ทำ งำน,Trang phục lao động,အလပု ်သမာ်းဝတစ် ု,,,Pakaian kerja,,,,,,,,,សម្លៀកបំពាក់ម្វើការ,,,,,,,,,,,,,,8
作業服,Work uniform,damit na pantrabaho,,,,工作服,,,,ชดุ ใสป่ ฏบิ ตั งิ ำน,Trang phục lao động,အလပု ်သမာ်းဝတစ် ု,,,Baju kerja,,,,,,,,,សម្លៀកបំពាក់ការងារ,,,,,,,,,,,,,,8
作業靴,Work shoes,sapatos na pantrabaho,,,,工作鞋,,,,รองเทา้ ปฏบิ ัตงิ าน,Giày lao động,လပု ်ငန်း် ငွ ဖ် ှိနပ်,,,Sepatu kerja,,,,,,,,,ស្សែកម ើងការងារ,,,,,,,,,,,,,,8
手袋,Gloves,guwantes,,,,手套,,,,ถุงมอื,Găng tay,လကအ် တှိ ်,,,Sarung tangan,,,,,,,,,មរោ្ដៃ,,,,,,,,,,,,,,8
帽子,Cap,cap,,,,帽子,,,,หมวก,Mũ,ဥ ်းထပု ်,,,Topi,,,,,,,,,្ួក,,,,,,,,,,,,,,8
保護帽（ヘルメット）,Safety helmet (Helmet),proteksiyong pang-ulo (helmet),,,,安全帽,,,,้ หมวกนิรภยั (หมวกเซฟต)ี,Mũ bảo hộ,ကာကယွ သ် ရ်းဥ ်းထပု ် (Helmet),,,Topi pelindung(Helem),,,,,,,,,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់),,,,,,,,,,,,,,8
保護具,Protective equipment,kagamitang pamproteksyon,,,,防护用具,,,,อปุ กรณ์ป้องกัน,Dụng cụ bảo hộ,လခ ု ြုံ သရ်းပစစည်း်,,,Alat pelindung,,,,,,,,,ឧបករណ៏បងាា រមររោះថ្នា ក់,,,,,,,,,,,,,,8
あごひも,Chin strap,chin strap,,,,帽带,,,,สายรัดคาง,Quai mũ,သမ်းသငှို ်း် ကကြုံှိ်း,,,Tali dagu,,,,,,,,,ស្សែរកវ៉ាត់ចងាា រ,,,,,,,,,,,,,,8
ボタン,Button,butones,,,,纽扣,,,,กระดมุ,"Nút, khuy",ကကယသ် ်း (Button),,,Kancing/tombol,,,,,,,,,មេវ,,,,,,,,,,,,,,8
ポケット,Pocket,bulsa,,,,口袋,,,,กระเป๋า,Túi,အတှိ က် ပ်,,,Kantong,,,,,,,,,មោម ៉ៅ,,,,,,,,,,,,,,8
保護メガネ,Safety glasses,proteksyong salamin sa mata,,,,防护眼镜,,,,แวน่ ตำป้องกนั,Kính bảo hộ,ကာကယွ သ် ရ်းမ ကမ် န်,,,Kacamata pelindung,,,,,,,,,ស្វនតាការពារ,,,,,,,,,,,,,,8
マスク,Mask,mask,,,,口罩,,,,"หนา้ กาก, หนา้ กากอนามัย",Khẩu trang,မ ကန္် ာ ဖ ု်း (Mask),,,Masker,,,,,,,,,ម៉ៅ ស់,,,,,,,,,,,,,,8
耳栓,Earplugs,earplug,,,,耳栓,,,,ทอี่ ดุ หู,Nút tai,နာ်းသပါကအ် ဆှို ဲ့,,,Penyumbat telinga,,,,,,,,,ឆ្ន ុករតមចៀក,,,,,,,,,,,,,,8
安全靴,Safety shoes,sapatos na pangkaligtasan,,,,安全鞋,,,,รองเทำ้ นิรภยั,Giày bảo hộ,သခ သထာကက် ှို ကာကယွ သ် ညဖ်ဲ့ ှိနပ်,,,Sepatu pengaman,,,,,,,,,ស្សែកម ើងសុវតថភាិ ព,,,,,,,,,,,,,,8
墜落制止用器具（安全 帯）,Fall protection equipment (Safety belt),sinturong pangkaligtasan,,,,坠落防护装备（安全带）,,,,่ อปุ กรณป์ ้องกนั กำรตกจำกที สงู (สำยรดั ตวั กนั ตก),Dây đai an toàn,ခပြုံတက် မှုမ ကာကယွ သ် ရ်း ပစစည်း် (လခ ု ြုံ ‌သရ်း ါ်းပတက်ကြုံှိ်း),,,Sistem perlindungan bahaya jatuh (Sabuk pengaman),,,,,,,,,ឧបករណ៏សំរាប់បញ្ឈប់ ការធ្លល ក់ចុោះ(ស្សែរកវ៉ាត់ សុវតថភាិ ព),,,,,,,,,,,,,,8
業務,Work,trabaho,,,,业务、工作,,,,"งาน, ภาระหนา้ ที่",Nghiệp vụ,လပု ်ငန်း်,,,Kerja,,,,,,,,,កិចចការ,,,,,,,,,,,,,,8
時間厳守,Punctuality,laging nasa oras,,,,严守时间,,,,การตรงตอ่ เวลา,Tuân thủ giờ giấc,အ ှိနက် ှို တတှိ ကှိ က လကှို န် ာခ င်း်,,,Disiplin waktu,,,,,,,,,របកាន់មពលមវលាខាា ប់សជ នួ,,,,,,,,,,,,,,8
予定,Schedule,iskedyul,,,,计划,,,,ก าหนดการ,Dự định,ကကြုံှိတငစ် စဥ် က်,,,Jadwal,,,,,,,,,គមរមង,,,,,,,,,,,,,,8
日付,Date,petsa,,,,日期,,,,วันที่,Ngày tháng,ရကစ် ွ,,,"Tanggal, bulan dan tahun",,,,,,,,,កាលបរមិចេទ,,,,,,,,,,,,,,8
準備,,,,,,,,,,,(danh từ) Sự chuẩn bị,,,,,,,,,,,,,,,,,,,,,,,,,,,1
準備（する）,Preparation (Prepare),paghahanda / maghanda,,,,准备,,,,(การ)เตรยี ม,(động từ) Chuẩn bị,အသငခ်ဲ့ပင(် သည်),,,Persiapan,,,,,,,,,(ការ)មរតៀ្,,,,,,,,,,,,,,8
会議,Meeting,pagpupulong,,,,会议,,,,การประชมุ,Cuộc họp,အစည်း် အသဝ်း,,,"Rapat, pertemuan",,,,,,,,,ការរប ុំ,,,,,,,,,,,,,,8
朝礼,Morning meeting,pagbati sa umaga,,,,晨会、早礼,,,,การประชมุ เชา้ กอ่ นเรมิ่ งาน,Họp đầu giờ sáng,နန က ် င်း် လစူ ုအမ ာစကာ်း‌ သခပာခ င်း်,,,Apel pagi,,,,,,,,,ការរប ុំមពលរពឹក,,,,,,,,,,,,,,8
報告書,Report,ulat,,,,报告书,,,,หนังสอื รายงาน,Bản báo cáo,အစ ရင ် စ ာ,,,Surat laporan,,,,,,,,,មសចកតរាី យការណ៏,,,,,,,,,,,,,,8
マニュアル,Manual,manuwal,,,,手册,,,,คมู่ อื,Tài liệu hướng dẫn,လကစ် ွစာသစာင ် (Manual),,,Buku pedoman,,,,,,,,,មសៀវមៅស្ណនំ,,,,,,,,,,,,,,8
作業手順書,Operating procedures,proseso ng paggawa,,,,作业步骤手册,,,,คมู่ อื ขนั้ ตอนการปฏบิ ัตงิ าน,Bản trình tự thao tác,လပု ်ငန်း် လပု ်သဆာငပ် ု အဆငဆ်ဲ့ ငစ်ဲ့ ာအုပ်,,,Lembaran prosedur kerja.,,,,,,,,,ឯកោរនីតិវ្ិ ីការងារ,,,,,,,,,,,,,,8
調子,Condition,kalagayan,,,,情况、样子,,,,สภาพการท างานของ รา่ งกายหรอื เครอื่ งจักร,"Tình trạng, tình hình",(က န်း် မာသရ်း)အသခ အသန,,,Kondisi,,,,,,,,,ចលនកន ុងសល នួ,,,,,,,,,,,,,,8
