No.,Kosakata,Cara membaca (Hiragana),,,Terjemahan,,,,,Anotasi,,,,,,,Contoh,,,,,,,,,,,,
8,堕落注意,ついらくちゅうい,,,Awas jatuh terpeleset,,,,,,,,,,,,,,,,,,,,,,,,
9,頭上注意,ずじょうちゅうい,,,Awas bagian atas kepala,,,,,,,,,,,,,,,,,,,,,,,,
10,警報設備,けいほうせつび,,,"Peralatan Tanda Bahaya
（Alarm）",,,,,,,,,,,,,,,,,,,,,,,,
11,消火器,しょうかき,,,Alat Pemadam Kebakaran,,,,,,,,,,,,,,,,,,,,,,,,
12,AED設置場所,えーいーでぃーせっち                   ばしょ,,,Tempat Instalasi peralatan AED,,,,,,,,,,,,,,,,,,,,,,,,
13,保護帽着用,ほごぼうちゃくよう,,,Gunakan topi pelindung,,,,,,,,,,,,,,,,,,,,,,,,
14,安全帯使用,あんぜんたいしよう,,,Gunakan Sabuk Pengaman,,,,,,,,,,,,,,,,,,,,,,,,
15,昇降階段,しょうこうかいだん,,,Tangga naik turun,,,,,,,,,,,,,,,,,,,,,,,,
16,休憩所,きゅうけいじょ,,,Tempat istirahat,,,,,,,,,,,,,,,,,,,,,,,,
17,最大積載荷重,さいだいせきさいかじゅう,,,Kapasitas berat beban maksimum,,,,,,,,,,,,,,,,,,,,,,,,
18,喫煙所,きつえんじょ,,,Dilarang merokok,,,,,,,,,,,,,,,,,,,,,,,,
19,整理整頓,せいりせいとん,,,Rapikan dengan teratur,,,,,,,,,,,,,,,,,,,,,,,,
20,安全通路,あんぜんつうろ,,,Jalur aman,,,,,,,,,,,,,,,,,,,,,,,,
1,三連クランプ,さんれんくらんぷ,,,Klam tripel.,,,,,,,,,,,,"さ んれん                                 たんかん       け つ ご う
三連クランプで単管を結合する",,,,,,,,Menyatukan pipa tunggal dengan klam tripel.,,,,
2,"ベルトコンベア
（ベルコン）","べるとこんべあ
（べるこん）",,,Konveyor sabuk (Ban berjalan),,,,,,,,,,,,"つ ち        こ  う  ん  ぱ  ん
ベルトコンベアで土を小運搬する",,,,,,,,Mengangkut tanah volume kecil dengan konveyor sabuk.,,,,
3,かけや,かけや,,,Palu kayu berat,,,,,"Palu kayu berat. Juga dikenal sebagai suara kencang atau keras. Palu kayu berat yang digunakan dengan kedua belah tangan disebut “Kakeya”, sedangkan palu kayu yang digunakan dengan sebelah tangan disebut “Konekiri”.",,,,,,,"く い          う            こ
かけやで杭を打ち込む",,,,,,,,Mengetuk paku dengan palu kayu.,,,,
4,ランマ,らんま,,,Stamper kuda,,,,,Mesin Stamper kuda.,,,,,,,"じ  ば  ん           し          か た
ランマで地盤を締め固める",,,,,,,,Memadatkan kuat-kuat tanah dengan stamper kuda.,,,,
5,自在クランプ,じざいくらんぷ,,,Klam universal,,,,,"Ini digunakan untuk mengikat pipa tunggal satu dengan lainnya menjadi satu dan untuk menambah penguatan diagonal. Pada perancah, tulangan diagonal disebut sebagai "" Ikatan diagonal"".",,,,,,,"じ  ざ  い                                   も ち               たん かん        き ん け つ
自在クランプを用いて単管を緊結す                               る",,,,,,,,Tunggal menggunakan Klam universal.,,,,
6,キャッチクランプ,きゃっちくらんぷ,,,Jepitan pancingan,,,,,,,,,,,,"も ち               たん かん       て っ こ つ
キャッチクランプを用いて単管と鉄                               骨
き ん け つ
を緊結する",,,,,,,,Menghubungkan pipa tunggal dan rangka baja menggunakan jepitan pancingan.,,,,
7,吊り上げ用クランプ,つりあげようくらんぷ,,,Lifting klam,,,,,,,,,,,,"つ          あ          よ う                                  も ち               き ん け つ
吊り上げ用クランプを用いて緊結し                               た
たん かん         つ          あ
単管を吊り上げる",,,,,,,,Mengangkat  pipa tunggal yang telah dihubungkan dengan lifting klam.,,,,
8,直交クランプ,ちょっこうくらんぷ,,,Jepitan,,,,,,,,,,,,"ちょっこう                                  も ち               たん かん        き ん け つ
直交クランプを用いて単管を緊結す
る",,,,,,,,Mengikat pipa tunggal dengan Jepitan.,,,,
9,フック,ふっく,,,Kait,,,,,,,,,,,,ワイヤーロープをフックにかける,,,,,,,,Memasang tali kawat pada kait.,,,,
10,ストレートシャックル,すとれーとしゃっくる,,,Mata-rantai lurus,,,,,,,,,,,,ワイヤーをストレートシャックルにかける,,,,,,,,Memasang tali kawat baja ke mata-rantai lurus.,,,,
11,滑車,かっしゃ,,,Katrol/Puli,,,,,,,,,,,,"か っ し ゃ        ざいりょう         つ           あ
滑車で材料を吊り上げる",,,,,,,,Menaikkan bahan dengan katrol.,,,,
12,クレーン,くれーん,,,Kren,,,,,,,,,,,,"し  ざ  い          つ          あ
クレーンで資材を吊り上げる",,,,,,,,Menaikkan material dengan kren.,,,,
13,移動式クレーン,いどうしきくれーん,,,Kren jalan,,,,,,,,,,,,"い  ど  う  し き                                  し  ざ  い          つ          あ
移動式クレーンで資材を吊り上げる",,,,,,,,Mengangkat material dengan Derek berjalan.,,,,
14,介しゃくロープ,かいしゃくろーぷ,,,Tali teraju,,,,,,,,,,,,"かい                                              に  も  つ          ふ
介しゃくロープで荷物の振れをおさえ
る",,,,,,,,Menahan getaran barang dengan tali teraju.,,,,
15,昇降階段,しょうこうかいだん,,,Tangga naik turun,,,,,,,,,,,,"あ  し  ば じょうそう       のぼ                     しょうこうかいだん       つか
足場上層に上るには昇降階段を使う",,,,,,,,Untuk menaiki bagian atas perancah menggunakan tangga turun-naik.,,,,
16,筋かい止めピン,すじかいとめぴん,,,Tap ikatan diagonal,,,,,,,,,,,,"す じ                 と                                さ           こ            お          ま
筋かい止めピンを差し込み折り曲げ
ておく",,,,,,,,Selipkan tap ikatan diagonal lalu tekukkan.,,,,
17,脚柱ジョイント,きゃくちゅうじょいんと,,,Sambungan tiang kaki,,,,,,,,,,,,"きゃくちゅう                                    さ  い  ご                 さ           こ
脚柱ジョイントは最後まで差し込む",,,,,,,,Menyematkan betul sambungan tiang kaki.,,,,
18,連結ピン,れんけつぴん,,,Pena hubung,,,,,,,,,,,,"れんけつ                     さ  い  ご                 さ           こ
連結ピンは最後まで差し込む",,,,,,,,Menyematkan betul pena hubung.,,,,
19,ジョイント金具,じょいんとかなぐ,,,Alat logam penyambung,,,,,,,,,,,,"か  な  ぐ        か く じ つ        さ  い  ご
ジョイント金具は確実に最後まではめ
る",,,,,,,,Memasang secara benar dan pasti alat logam penyambung.,,,,
20,レバーブロック,ればーぶろっく,,,Blok tuas,,,,,,,,,,,,"し  ざ  い         こ  て  い
レバーブロックで資材を固定する",,,,,,,,Menguatkan bahan-bahan bangunan dengan Blok tuas.,,,,
21,電動のこ（丸のこ）,でんどうのこ（まるのこ）,,,Gergaji listrik,,,,,,,,,,,,"か た わ く        せつだん        ま る                     し  よ   う
型枠の切断は丸のこを使用する",,,,,,,,Menggunakan gergaji listrik untuk memotong cetakan.,,,,
22,モンキースパナ,もんきーすぱな,,,Kunci Inggris,,,,,"Juga disebut sebagai  ""Kunci sekrup"".",,,,,,,"し                     ゆ る
モンキースパナでナットを締める・緩
める",,,,,,,,Menguatkan dan mengendurkan mur dengan kunci Inggris .,,,,
23,親綱支柱,おやづなしちゅう,,,Tiang pendukung tali induk,,,,,,,,,,,,"おやづな         は           い     ち          お や づ な し ち ゅ う         と          つ
親綱を張る位置に親綱支柱を取り付
ける",,,,,,,,Memasang tiang pendukung tali induk pada posisi rentangnya tali induk.,,,,
24,ブラケット,ぶらけっと,,,Braket/penopang,,,,,"Juga disebut sebagai ""Penyangga"".",,,,,,,"あ  し  ば                                                 と           つ
足場にブラケットを取り付ける",,,,,,,,Memasang braket pada perancah.,,,,
25,梯子,はしご,,,Tangga,,,,,,,,,,,,,,,,,,,,,,,,
1,親綱,おやづな,,,Tali induk,,,,,"Tali untuk mengaitkan sabuk pengaman (sabuk dengan tali penolong) di lokasi konstruksi. Untuk melindungi nyawa pekerja di lapangan, dipasang agar tidak melorot di antara pilar.",,,,,,,"お やづな        あんぜんたい
親綱に安全帯をかける",,,,,,,,Memasang sabuk pengaman pada tali induk,,,,
2,建枠（ビティ）,たてわく（びてぃ）,,,Rangka sekeliling bangunan,,,,,,,,,,,,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",,,,,,,,Merakit perancah menggunakan rangka sekeliling bangunan.,,,,
3,メッシュシート,めっしゅしーと,,,Jaring pelindung,,,,,"Atau disebut juga sebagai “lembaran pencegah kerusakan”, atau “jaring pelindung”.",,,,,,,"あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",,,,,,,,Memasang jaring pelindung pada perancah bingkai.,,,,
4,防音パネル,ぼうおんぱねる,,,Panel kedap suara,,,,,,,,,,,,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",,,,,,,,Memasang panel kedap suara untuk menangkal suara kebisingan.,,,,
5,朝顔材,あさがおざい,,,Jaring pengaman,,,,,,,,,,,,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",,,,,,,,Jaring pengaman digunakan untuk mencegah terbang dan kejatuhannya benda.,,,,
6,架空線,かくうせん,,,Kabel udara,,,,,"Karena ada arus listrik berketekanan tinggi, maka bila menyentuh nya besar kemungkinan mengalami kecelakaan sengatan listrik.",,,,,,,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする",,,,,,,,Usahakan agar kabel udara tidak tersentuh perancah.,,,,
7,幅木（仮設足場）,はばき（かせつあしば）,,,Papan kaki,,,,,,,,,,,,"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",,,,,,,,Sediakan papan kaki pada perancah untuk mencegah jatuhnya pekerja dan jatuhnya peralatan.,,,,
8,単管,たんかん,,,Pipa tabung,,,,,"Singkatan dari ""Pipa tabung tunggal"". Atau disebut juga sebagai ""Pipa"".",,,,,,,"たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",,,,,,,,Merakit perancah yang menggunakan pipa tabung.,,,,
9,脚立,きゃたつ,,,Tangga lipat,,,,,,,,,,,,,,,,,,,,,,,,
10,作業半径,さぎょうはんけい,,,Radius kerja,,,,,"Uang yang didapatkan oleh
pegawai swasta atau negeri pada saat pensiun, cacat, atau
meninggal.",,,,,,,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する",,,,,,,,Dilarang masuk ke dalam radius kerja penggunaan alat berat.,,,,
11,仮ボルト,かりぼると,,,Baut sementara,,,,,,,,,,,,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する",,,,,,,,Menyamaratakan permukaan.,,,,
12,手直し,てなおし,,,Perbaikan,,,,,,,,,,,,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする",,,,,,,,Memperbaiki tempat yang ditentukan dengan perancah.,,,,
13,面一,つらいち,,,Samarata (Flush),,,,,,,,,,,,"つ ら い ち
面一にそろえる",,,,,,,,Menyamaratakan permukaan.,,,,
14,点検事項,てんけんじこう,,,Hal-hal yang harus dicek,,,,,,,,,,,,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう",,,,,,,,Melakukan pegecekan dengan alat sebelum memulai sesuai dengan poin-poin yang harus dicek.,,,,
15,積載荷重,せきさいかじゅう,,,Beban muat,,,,,,,,,,,,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む",,,,,,,,Memuat dengan tidak melampaui beban muat truk.,,,,
16,すき間,すきま,,,Celah,,,,,,,,,,,,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける",,,,,,,,Memasang lembaran kedap suara agar tidak ada celah terbuka.,,,,
17,通りを見る,とおりをみる,,,Melihat cara,,,,,,,,,,,,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる",,,,,,,,Melihat apakah akar dipotong sesuai dengan cara yang semestinya.,,,,
18,組立,くみたて,,,Perakitan,,,,,,,,,,,,"あ  し  ば         く  み  た
足場を組立てる",,,,,,,,Merakit perancah.,,,,
19,地組,じぐみ,,,perakitan di permukaan tanah.,,,,,,,,,,,,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける",,,,,,,,"Memasang perancah yang telah di rakit di permukaan tanah lalu dengan kren menaikkannya  ke
atas.",,,,
20,天端,てんば,,,Permukaan atas.,,,,,"Atau disebut juga sebagai ""permukaan atas"".",,,,,,,"て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす",,,,,,,,Ratakan dengan pahat bagian permukaan atas beton.,,,,
21,玉掛け,たまかけ・たまがけ,,,Penggantungan,,,,,,,,,,,,"ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう",,,,,,,,Ketika mengangkat material dilakukan dengan menggantungkannya pada posisi yang aman.,,,,
22,合図,あいず,,,Aba-aba,,,,,,,,,,,,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う",,,,,,,,Pekerjaan menggunakan alat berat dilakukan dengan aba-aba untuk keselamatan.,,,,
23,定格荷重,ていかくかじゅう,,,Berat beban.,,,,,,,,,,,,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない",,,,,,,,Pekerjaan mengangkat beban pun tidak boleh dilakukan melampaui berat beban.,,,,
24,たち,たち,,,Ketegaklurusan,,,,,,,,,,,,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",,,,,,,,Melihat ketegaklurusan prop perancah (vertikal = tegak lurus).,,,,
25,職長,しょくちょう,,,Kepala regu kerja,,,,,,,,,,,,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う",,,,,,,,Perakitan perancah mengikuti instruksi kepala regu kerja.,,,,
1,安全カバー,あんぜんかばー,,,Tutup pengaman,,,,,Adalah penutup yang terpasang di gergaji listrik. Alat yang digunakan untuk mencegah kemungkinan terbangnya gergaji mengenai tubuh akibat reaksi dan sebagainya saat  penggunaan.,,,,,,,"あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ",,,,,,,,Menghindari kecelakaan dengan menggunakan tutup pengaman.,,,,
2,安全帯,あんぜんたい,,,Sabuk pengaman,,,,,,,,,,,,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける",,,,,,,,Memasang  sabuk pengaman pada perancah.,,,,
3,インサート,いんさーと,,,Penyisipan,,,,,,,,,,,,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む",,,,,,,,Menancapkan cetakan dengan memasang sisipan pada beton.,,,,
4,スペーサ,すぺーさ,,,Batang jarak,,,,,,,,,,,,"か た わ く                                            と          つ
型枠にスペーサを取り付ける",,,,,,,,Memasang batang jarak pada cetakan.,,,,
5,鉄筋,てっきん,,,Tulang baja,,,,,,,,,,,,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する",,,,,,,,Menyesuaikan celah tulang baja dan cetakan.,,,,
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,,,Teromol listrik,,,,,,,,,,,,"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む",,,,,,,,Mencolokkan steker termo listrik.,,,,
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,,,Gergaji listrik,,,,,,,,,,,,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する",,,,,,,,Memotong triplek dengan gergaji listrik.,,,,
8,パッキン,ぱっきん,,,Packing,,,,,,,,,,,,"し           こ
パッキンを敷き込む",,,,,,,,Memasang bubuk isian.,,,,
9,小バール,しょうばーる,,,Linggis kecil,,,,,,,,,,,,"しょう                               く ぎ          ぬ
小バールで釘を抜く",,,,,,,,Mencabut paku dengan linggis kecil.,,,,
10,大バール,だいばーる,,,Linggis besar,,,,,,,,,,,,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する",,,,,,,,Membongkar cetakan menggunakan linggis besar.,,,,
11,化粧合板,けしょうごうはん,,,Kayu lapis dekoratif,,,,,,,,,,,,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する",,,,,,,,Menggunakan kayu lapis dekoratif untuk menyelesaikan hasil akhir permukaan yang halus.,,,,
12,普通合板,ふつうごうはん,,,Kayu lapis,,,,,,,,,,,,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する",,,,,,,,Bagian belakang menggunakan kayu lapis sebagai penyelesaian dasar.,,,,
13,スタイロフォーム,すたいろふぉーむ,,,Styrofoam,,,,,,,,,,,,"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る",,,,,,,,Memasang styrofoam pada bagian dalam cetakan.,,,,
14,面木,めんぎ,,,Paku atas,,,,,,,,,,,,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける",,,,,,,,Memasang paku bagian atas di atap beton.,,,,
15,バイブレーター,ばいぶれーたー,,,Vibrator,,,,,,,,,,,,"し          かた
バイブレーターでコンクリートを締め固
める",,,,,,,,Memadatkan beton dengan vibrator.,,,,
16,剥離剤,はくりざい,,,Bahan pelepasan,,,,,,,,,,,,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する",,,,,,,,Untuk memisahkan betul beton dengan cetakan menggunakan bahan pelepasan.,,,,
17,けこみ板,けこみいた,,,Undakan,,,,,,,,,,,,"い た         と          つ
けこみ板を取り付ける",,,,,,,,Memasang undakan.,,,,
18,目地棒,めじぼう,,,Sambungan pasang batu,,,,,,,,,,,,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける",,,,,,,,Memasang sambungan pasang batu.,,,,
19,コンクリート,こんくりーと,,,Beton,,,,,,,,,,,,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む",,,,,,,,Mengalirkan beton ke dalam katawaku.,,,,
20,コンベックス,こんべっくす,,,Meteran (Convex),,,,,,,,,,,,"す ん ぽ う       はか
コンベックスで寸法を測る",,,,,,,,Mengukur ukuran dengan konveks.,,,,
21,作業用手袋,さぎょうようてぶくろ,,,Sarung tangan kerja,,,,,,,,,,,,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう",,,,,,,,Melakukan pekerjaan cetakan menggunakan sarung tangan kerja.,,,,
22,差金,さしがね,,,Mistar logam,,,,,,,,,,,,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る",,,,,,,,Mengukur ukuran dengan mistar logam.,,,,
23,水平器,すいへいき,,,Alat sipat datar,,,,,,,,,,,,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする",,,,,,,,Mendatarkan dengan alat sipat datar untuk penyesuaian kemiringan.,,,,
24,墨さし,すみさし,,,Alat pengukur tempat tinta,,,,,,,,,,,,"す み                   す み
墨さしを墨つぼにつける",,,,,,,,Memasang kuas tinta penanda.,,,,
25,墨つぼ,すみつぼ,,,Tempat tinta,,,,,,,,,,,,"す み                    す み
墨さしを墨つぼにつける",,,,,,,,Memasang tempat tinta penanda.,,,,
1,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）",,,Separator bulat,,,,,,,,,,,,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する",,,,,,,,Menguatkan cetakan dengan separator bulat.,,,,
2,天端釘,てんばくぎ,,,Bilah yang dipasang pada sudut acuan,,,,,,,,,,,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",,,,,,,,Memasang bilah pada cetakan.,,,,
3,ケレン,けれん,,,Pengerjaan muka,,,,,,,,,,,,"ひょうめん
コンパネの表面をけれんする",,,,,,,,Melakukan pengerjaan muka pada permukaan setelah pelepasan cetakan.,,,,
4,型枠支保工,かたわくしほこう,,,Penahan acuan,,,,,,,,,,,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う",,,,,,,,Melakukan pekerjaan penahan acuan.,,,,
5,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）",,,Acuan fondasi,,,,,,,,,,,,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",,,,,,,,Merakit acuan fondasi,,,,
6,釘仕舞い,くぎしまい,,,Marking/Penandaan,,,,,,,,,,,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",,,,,,,,Membongkar cetakan dan memberi penandaan.,,,,
7,スラブ天端,すらぶてんば,,,Puncak plat (Lantai),,,,,,,,,,,,"て ん   ば
スラブ天端をそろえる",,,,,,,,Menyamaratakan puncak plat.,,,,
8,高さ（タッパ）,たかさ（たっぱ）,,,Tinggi (Tinggi dalam istilah pembangunan),,,,,,,,,,,,"た か                                           は か
高さ（タッパ）を測る",,,,,,,,Mengukur ketinggian.,,,,
9,建込み,たてこみ,,,Membangun kerangka,,,,,,,,,,,,"か た わ く        た  て  こ
型枠を建込みする",,,,,,,,Membangun kerangka cetakan.,,,,
10,通り,とおり,,,Cara,,,,,"Uang yang didapatkan oleh pegawai swasta atau negeri pada saat pensiun, cacat, atau meninggal.",,,,,,,"と お                よ
通りを良くする",,,,,,,,Memperbaiki cara.,,,,
11,蹴上げ,けあげ,,,Tinggi busur,,,,,Uang asuransi yang diberikan ketika kehilangan pekerjaan atau ketika memulai proses mencari pekerjaan baru.,,,,,,,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",,,,,,,,Merakit cetakan dengan metode tinggi busur yang telah ditentukan.,,,,
12,蹴込み,けこみ,,,Undakan,,,,,,,,,,,,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる",,,,,,,,Merakit cetakan dengan metode undakan yang telah ditentukan.,,,,
13,工具の手入れ,こうぐのていれ,,,Perawatan alat perkakas,,,,,,,,,,,,"こ   う   ぐ           て     い
工具の手入れをおこたらない",,,,,,,,Jangan tidak memperdulikanperawatan alat perkakas.,,,,
14,下げ振り,さげふり,,,Pemberat,,,,,,,,,,,,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する",,,,,,,,Mengkonfirmasikan ketegaklurusan dengan pemberat.,,,,
15,地墨,じずみ,,,Tinta,,,,,,,,,,,,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける",,,,,,,,Memasang cetakan sesuai dengan tinta.,,,,
16,捨てコンクリート,すてこんくりーと,,,Bagian lantai beton,,,,,,,,,,,,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る",,,,,,,,Memasang kerangka penghenti bagian lantai beton.,,,,
17,はね出し,はねだし,,,Trap,,,,,"Kondisi dimana papan perancah sangat melewati batas disatu sisi dari bagian penopang. Bila naik menginjaknya tanpa sadar ada kemungkinan bisa jatuh, sangat berbahaya.",,,,,,,"かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る",,,,,,,,Merakit kerangka plat dengan mengeluarkan trap dari tembok.,,,,
18,はらみ,はらみ,,,Tonjolan,,,,,,,,,,,,"だ  せ  つ ちゅう       か た わ く
コンクリート打設中に型枠のはらみを
か く に ん
確認する",,,,,,,,Mengkonfirmasikan tonjolan cetakkan pada penempatan beton.,,,,
19,前面,まえつら,,,Muka depan,,,,,,,,,,,,"ま え つ ら       そ ろ
前面を揃える",,,,,,,,Meratakan muka depan.,,,,
20,養生,ようじょう,,,Pemantangan beton,,,,,,,,,,,,"だ  せ  つ   ご         ようじょう
コンクリート打設後に養生をおこなう",,,,,,,,"Melakukan pematangan beton
pada saat setelah penempatan beton.",,,,
21,レベル,れべる,,,Permukaan,,,,,,,,,,,,"そくりょう
レベルを測量する",,,,,,,,Melakukan survei permukaan.,,,,
22,割付,わりつけ,,,Penempatan,,,,,,,,,,,,"か た わ く         わ          つ
型枠を割り付ける",,,,,,,,Penempatan cetakan.,,,,
23,埋め込み金物,うめこみかなもの,,,Logam benaman,,,,,,,,,,,,"か た わ く                                                  う            こ          か な もの
型枠にはあらかじめ埋め込み金物を
と          つ
取り付ける",,,,,,,,Memasang logam benaman terlebih dahulu pada cetakan.,,,,
24,解体する（バラス）,かいたいする（ばらす）,,,Membongkar (Mencabut),,,,,,,,,,,,"か た わ く       かいたい
型枠を解体する（バラス）",,,,,,,,Membongkar cetakan.,,,,
25,かぶり寸法,かぶりすんぽう,,,Ukuran ketebalan pelapisan,,,,,,,,,,,,"て っ き ん       か た わ く                             す ん ぽ う        か く に ん
鉄筋と型枠のかぶり寸法を確認する",,,,,,,,Mengkonfirmasikan  ukuran ketebalan pelapisan beton bertulang dan cetakan.,,,,
1,異形棒鋼,いけいぼうこう,,,Besi beton berulir,,,,,Tulangan baja secara umum digunakan di Jepang.,,,,,,,"い  け  い ぼ う こ う       も ち
異形棒鋼を用いる",,,,,,,,Menggunakan besi beton berulir.,,,,
2,結束線,けっそくせん,,,Kawat pengikat,,,,,,,,,,,,"け っ そ く せん        て っ き ん       し ば
結束線で鉄筋を縛る",,,,,,,,Mengikat tulangan besi dengan kawat pengikat.,,,,
3,結束工具,けっそくこうぐ,,,Perkakas pengikat,,,,,"Atau disebut juga sebagai ""Hacker"".",,,,,,,"け っ そ く  こ   う   ぐ        も ち              て っ き ん       し ば
結束工具を用いて鉄筋を縛る",,,,,,,,Mengikat tulangan besi dengan perkakas pengikat.,,,,
4,鉄筋切断機,てっきんせつだんき,,,Mesin pemotong tulangan baja,,,,,,,,,,,,"て っ き ん せ  つ  だ  ん  き         て っ き ん       せつだん
鉄筋切断機で鉄筋を切断する",,,,,,,,Memotong tulangan besi dengan alat pemotong tulangan besi.,,,,
5,鉄筋曲げ加工機,てっきんまげかこうき,,,Mesin pembengkok tulangan baja,,,,,,,,,,,,"て っ き ん   ま           か  こ  う    き          て っ き ん         ま
鉄筋曲げ加工機で鉄筋を曲げる",,,,,,,,Membengkokkan tulangan besi dengan mesin pembengkok tulangan baja.,,,,
6,フック,ふっく,,,Kait,,,,,,,,,,,,"て っ き ん た  ん  ぶ
鉄筋端部にフックをつける",,,,,,,,Memasang kait pada bagian ujung tulangan besi.,,,,
7,保護帽（ヘルメット）,ほごぼう（へるめっと）,,,Topi pelindung (helm),,,,,,,,,,,,"ほ     ご   ぼ う                             さ ぎ ょ う          と           か
保護帽をかぶり作業に取り掛かる",,,,,,,,Melakukan pekerjaan menggunakan topi pelindung.,,,,
8,アンカー,あんかー,,,Angkur,,,,,"""Batang sambungan disingkat sebagai angkur. Atau disebut sebagai""batang sambungan"".",,,,,,,"せ  っ  ち
アンカーを設置する",,,,,,,,Memasang  angkur.,,,,
9,加工場,かこうば,,,Tempat pemrosesan,,,,,,,,,,,,"げ  ん  ば はんにゅうまえ        か  こ  う   ば           て っ き ん         か  こ  う
現場搬入前に加工場で鉄筋を加工
する",,,,,,,,"Pengerjaan tulangan besi di tempat pemrosesan sebelum pengangkutan ke dalam lokasi
konstruksi.",,,,
10,スペーサ―,すぺーさー,,,Spacer,,,,,,,,,,,,"て っ き ん                             あ つ              た も
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,,,,,,,Untuk menjaga tebalnya ketebalan tulang baja digunakan spacer.,,,,
