日本語,pdfplumber値（正規化後）,PyMuPDF値（正規化後）,Page,No,一致
小バール,ផ្ ករស់ត្ូច,ផ ្ ករស់តូ្ច,25.0,9,False
大バール,ផ្ ករស់ធំ,ផ ្ ករស់ធំ,25.0,10,False
化粧合板,កាា បនទោះត្ុបផ្ត្ង,កា បា នទោះតុ្បផត្ ្ង,26.0,11,False
普通合板,កាា បនាោះធរមតា,កា បា នាោះធរមតា,26.0,12,False
スタイロフォーム,បនទោះសនា,បនទោះសនា,26.0,13,True
面木,ស ើបសងាើត្សលទរុខ្សៅម្ ងុ,ស ើបសងាើត្សលទរុខស្ ៅម ្ ងុ,26.0,14,False
バイブレーター,ម៉ា សុ៊ីនរំញ៉ារ័,ម៉ា សុ៊ីនរំញ៉ារ័,26.0,15,True
剥離剤,ថ្នា សំ ំណក,ថា ្នសំ ំណក,26.0,16,False
けこみ板,កាា បញ្ឈរ,កា បា ញឈ្ រ,26.0,17,False
目地棒,ំបូងោក់កាច់ម្ ងុ,ំបូងោក់កចា ់ម ្ ងុ,26.0,18,False
コンクリート,សបត្ុង,សបតុ្ង,26.0,19,False
コンベックス,ឧបករណ៏វាស់ ផ្វង,ឧបករណ៏វសា ់ ផវ្ ង,26.0,20,False
作業用手袋,សម្នរស ការង្ករ,សមន្ រស ករា ងរ្ក,27.0,21,False
差金,ផ្ កបញ្ច លូ,ផ ្ កបញចល្ូ,27.0,22,False
水平器,ផ្រ៉ាម្ត្សទង់,ផរ្ ៉ាមត្ ្សទង់,27.0,23,False
墨さし,បិចសធវើព៊ីឬសែ៊ី,បិចសធវើព៊ីឬសែ៊ី,27.0,24,True
墨つぼ,ប្ទ ត្់ ផ្ខ្ែ,ប្ទត់ ផ្ ខ្ ែ្,27.0,25,False
丸セパレーター（丸セパ）,,,,,False
天端釘,បែកសោលបនែកខាងសលើនៃ េំណង់,បែកសោលបនែកខងា សលើនៃ េំណង់,28.0,2,False
けれん,,,,,False
型枠支保工,េ ៉ុមេរមប់ចាក់សបត៉ុង,េ ៉ុមេរមប់ចកា ់សបត៉ុង,28.0,4,False
基礎型枠（メタルフォー ム）,,,,,False
釘仕舞い,េំរលួ បែកសោល,េំរលួ បែកសោល,28.0,6,True
スラブ天端,រកឡាបនែកខាងសលើនៃេំណង់,រកឡបា នែកខងា សលើនៃេំណង់,28.0,7,False
高さ（タッパ）,កំពេ់,កំពេ់,28.0,8,True
建込み,សលើកយួរសហ្ើយោក់,សលើកយួរសហើ្យោក់,28.0,9,False
通り,នល វូ លំ,នលវូ លំ,29.0,10,False
蹴上げ,កំពេ់ជំហាៃកាជំ សណាើរ,កំពេ់ជំហៃា កជំា សណាើរ,29.0,11,False
蹴込み,បនែកខាងកន គងសៅកាំជសណាើរ,បនែកខងា កនគងសៅកំជា សណាើរ,29.0,12,False
工具の手入れ,សរៀបេំោតឧបករណ៏,សរៀបេំោតឧបករណ៏,29.0,13,True
下げ振り,ឧបករណ៏វាេ់បញ្ឈររតង់,ឧបករណ៏វេា ់បញឈ្ ររតង់,29.0,14,False
地墨,សាែ មេញ្ជា កំណត់រីតាងំ,សែមា េញា ក្ជំណត់រីតងំា,29.0,15,False
捨てコンクリート,ចាក់សបត៉ុងសេាើង(សបត៉ុង សចាល),ចកា ់សបត៉ុងសេាើង(សបត៉ុង សចលា ),29.0,16,False
はね出し,ការសចញកាា ពបី សគោ ល,ករា សចញកា ពា បី សគោ ល,29.0,17,False
はらみ,ភ្ជពសប៉ា ងច៉ុោះ,ភព្ជសប៉ា ងច៉ុោះ,29.0,18,False
前面,ននៃខាងម៉ុខ,ននៃខងា ម៉ុខ,30.0,19,False
養生,រ៉ុុំព័រធ,រ៉ុព័រធ,30.0,20,False
レベル,កំពេ់,កំពេ់,30.0,21,True
割付,បបងបចក,បបងបចក,30.0,22,True
埋め込み金物,ឧបករណ៏ បែកបងោប់,ឧបករណ៏ បែកបងោប់,30.0,23,True
解体する（バラス）,ការបំ បបក,ករា បំ បបក,30.0,24,False
かぶり寸法,ករមេ់រ្ប,ករមេ់រ្ប,30.0,25,True
異形棒鋼,ឧបករណ៏ពង្រឹរបបតុរ របូ រារពិបេេ,ឧបករណ៏ពងរ្ ឹរបបតុរ របូ ររា ពិបេេ,31.0,1,False
結束線,ដសែរតឹ ចំណរ,ដសែរតឹ ចំណរ,31.0,2,True
結束工具,ឧបករណ៏រតឹ ចរ,ឧបករណ៏រតឹ ចរ,31.0,3,True
鉄筋切断機,ម េុ៊ីនកាត់េរសេដែក,ម េុ៊ីនកតា ់េរសេដែក,31.0,4,False
鉄筋曲げ加工機,ម េុ៊ីនពត់េរសេដែក,ម េុ៊ីនពត់េរសេដែក,31.0,5,True
アンカー,ដែកយុថាា,ដែកយុថា ា,31.0,8,False
加工場,កដនលរដកសនែ,កដនលរដកសនែ,31.0,9,True
スペーサ―,ឧបករណ៏រកាចប្ល ះ,ឧបករណ៏រកាចប្លះ,31.0,10,False
ドーナツ,ឧបករណ៏រកាចប្ល ះរារ ជាររវរ់(ែូណាត់),ឧបករណ៏រកាចប្លះររា ជរា រវរ់(ែូណតា ់),32.0,11,False
加工配筋図,បលរ់ោក់េសេដែកដកសនែ,បលរ់ោក់េសេដែកដកសនែ,32.0,12,True
配筋詳細図,បលរ់លំអិតោក់េរសេដែក,បលរ់លំអិតោក់េរសេដែក,32.0,13,True
開口補強筋,េរសេដែកពង្រឹរដនែក បបើកចំ រ,េរសេដែកពងរ្ ឹរដនែក បបើកចំ រ,32.0,14,False
幅止め筋,េរសេដែកពង្រឹរ,េរសេដែកពងរ្ ឹរ,32.0,15,False
差筋,េរសេដែកចប្ល ះេំណរ់,េរសេដែកចប្លះេំណរ់,32.0,16,False
柱主筋,េរសេដែកេេរបម្,េរសេដែកេេរបម្,32.0,17,True
柱配筋,ោក់េរសេដែកកន គរេេរ,ោក់េរសេដែកកនគរេេរ,32.0,18,False
スラブ筋,េរសេង្កឡា,េរសេងក្ ឡា,32.0,19,False
ベース筋,េរសេង្គឹះ,េរសេងគ្ ឹះ,32.0,20,False
帯筋（フープ）,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( វឺប ព)ុ,េរសេដែកេប់េល់ករា ដបកបបតុរេេរ( វឺប ព)ុ,33.0,21,False
下端筋,េរសេខារបង្កាម្ខារចុរ,េរសេខរា បងក្ មា ្ខរា ចុរ,33.0,22,False
上端筋,េរសេខារចុរខារបលើ,េរសេខរា ចុរខរា បលើ,33.0,23,False
主筋,េរសេបម្,េរសេបម្,33.0,24,True
あばら筋,េរសេដែកលកាណ:នអឹរជំនឺ,េរសេដែកលកាណ:នអឹរជំនឺ,33.0,25,True
はかま筋,សរសសដែកលកខណ:កន្រ្តក,សរសសដែកលកខណ:កន្រ តក,34.0,1,False
縦筋,សរសសដែកបញ្ឈរ,សរសសដែកបញឈ្ រ,34.0,2,False
下筋,សរសសដែកខាងឡន្កាម,សរសសដែកខងា ឡនក្ មា,34.0,3,False
横筋,សរសសដែកឡផតក,សរសសដែកឡផតក,34.0,4,True
腹筋,សរសសដែកដាក់ទទឹង,សរសសដែកដកា ់ទទឹង,34.0,5,False
配力筋,សរសសដែកដាក់ឈរន្តង់,សរសសដែកដកា ់ឈរនត្ ង់,34.0,6,False
上筋,សរសសដែកខាងឡលើ,សរសសដែកខងា ឡលើ,34.0,7,False
スパイラル筋,សរសសដែកលកខណ:រងវង់,សរសសដែកលកខណ:រងវង់,34.0,8,True
鉄筋径,វជិ ាមាន្តសរសសដែក,វជិ ាមនា ត្ សរសសដែក,34.0,9,False
かぶり厚さ,កមាល ស់ន្គប,កមលសា ់នគ្ ប,34.0,10,False
角度,មុុំ,ម,35.0,11,False
シングル,ឯក,ឯក,35.0,12,True
ダブル,ឡទវ,ឡទវ,35.0,13,True
千鳥結束,ចុំណងចឡ្ល ោះគ្នា,ចុំណងចឡ្លោគះ ា ្ន,35.0,14,False
切断寸法,ទុំហុំ ដផាកកាត់,ទុំហុំ ដផាកកតា ់,35.0,15,False
加工寸法,ទុំហុំ ដកសនា,ទុំហុំ ដកសនា,35.0,16,True
重ね継手,តុំណជា្់គ្នា,តុំណជ្ា ់គា ្ន,35.0,17,False
圧接継手,តុំណគ្នប,តុំណគប្ន,35.0,18,False
開口部,ដផាកឡបើកចុំហរ,ដផាកឡបើកចុំហរ,35.0,19,True
溶接金網,សុំណាញ់ ដែកផា,សុំណញា ់ ដែកផា,35.0,20,False
搬出,ការែឹកឡចញ,ករា ែឹកឡចញ,36.0,21,False
搬入,ការែឹកចូល,ករា ែឹកចូល,36.0,22,False
基礎,ន្គឹោះ,នគ្ ឹោះ,36.0,23,False
機械式継手,តុំណឡដាយមា៉ា សុី្,តុំណឡដយា ម៉ា សា ុី្,36.0,24,False
配筋検査,ការន្តួតពិ្ិតយការដាក់ សរសសដែក,ករា នត្ ួតពិ្ិតយករា ដកា ់ សរសសដែក,36.0,25,False
トラクタ,ត្រាក់ទរ័,តា្រ ក់ទរ័,37.0,1,False
ブルドーザ,គត្រេឿងចត្រករុញែី,គតេ្រ ឿងចតក្រ រុញែី,37.0,2,False
トラクタショベル,ត្រាក់ទ័រឈូសែី,តា្រ ក់ទ័រឈូសែី,37.0,3,False
ホイルローダ,រ ឡូ ូ កិនែី,រ ឡូ ូ កិនែី,37.0,4,True
ダンプトラック,ត្រាក់ទ័រែឹកែី,តា្រ ក់ទ័រែឹកែី,37.0,5,False
油圧ショベル,គត្រេឿងចត្រកកាយែីអុីត្រែូ លិក,គតេ្រ ឿងចតក្រ កយា ែីអុីតែ្រ ូ លិក,37.0,6,False
バックホウ,ត្រាក់ទរកា័ យែី(គអសស្កា ),តា្រ ក់ទរក័ យា ែី(គអសសា )្ក,37.0,7,False
ローディングショベル,គត្រេឿងចត្រកចូកែី,គតេ្រ ឿងចតក្រ ចូកែី,37.0,8,False
ローラ,រ ឡូ ូ កិន,រ ឡូ ូ កិន,37.0,9,True
バケット,ដប៉ាលចូក,ដប៉ាលចូក,38.0,10,True
ブーム,ែងសនទ ចូ,ែងសនទចូ,38.0,11,False
アーム,ដែគលើក,ដែគលើក,38.0,12,True
ブレード（排土板）,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី,38.0,13,True
タイヤ,សំបកកង់,សំបកកង់,38.0,14,True
クローラ,ត្រចវាក់,តច្រ វកា ់,38.0,15,False
キー（鍵）,គស្ក,គស្ក,38.0,16,True
作業装置 （アタッチメント）,ឧបករណ៏ការងារ (attachment),ឧបករណ៏ករា ងរា (attachment),38.0,17,False
エンジン,ម៉ា សុីន,ម៉ា សុីន,38.0,18,True
ディーゼルエンジン,ម៉ា សុីនគត្របើម៉ា សូ រ,ម៉ា សុីនគតប្រ ើម៉ា សូ រ,39.0,19,False
エンジンオイル,គត្របងម៉ា សុីន,គតប្រ ងម៉ា សុីន,39.0,20,False
オルタネータ （充電発電機）,ម៉ា សុីនស្កកថ្ម,ម៉ា សុីនស្កថម្,39.0,21,False
バッテリ,អាេុយ,អេា ុយ,39.0,22,False
燃料,គត្របងឥណឌន:,គតប្រ ងឥណឌន:,39.0,23,False
軽油,គត្របងត្រស្កល(ម៉ា សូ រ),គតប្រ ងតស្រ ល្ក(ម៉ា សូ រ),39.0,24,False
ブレーキ,ត្រ្វ ំង,ត្រ វំង,39.0,25,False
油圧シリンダ,ស ៊ីឡាំងអ ៊ីដ្រលូ ិក,ស ៊ីឡាំងអ ៊ីដរ្ លូ ិក,40.0,1,False
油圧モータ,ម៉ូ ទ័រអ ៊ីដ្រលូ ិក,ម៉ូ ទ័រអ ៊ីដរ្ លូ ិក,40.0,2,False
油圧ポンプ,សនប់ប៉ូមអ ៊ីដ្រលូ ិក,សនប់ប៉ូមអ ៊ីដរ្ លូ ិក,40.0,3,False
水漏れ,លលចធ្លា យទឹក,លលចធា យ្លទឹក,40.0,4,False
油漏れ,លលចធ្លា យលដ្បង,លលចធា យ្លលដប្ ង,40.0,5,False
冷却水,ទឹកដាក់ឱ្យដ្រជាក់ (ម ស ៊ីន),ទឹកដកា ់ឱយ្ ដរ្ ជកា ់ (ម ស ៊ីន),40.0,6,False
ブレーキ液,លដ្បងដ្្រ ាំង,លដប្ ងដ្ រាំង,40.0,7,False
燃料タンク,ធ ងឥនធនៈ,ធ ងឥនធនៈ,40.0,8,True
ファンベルト,ខ្សែពានកង្ហា រ,ខស្ ែពនា កងា រ្ហ,40.0,9,False
空気圧,សមា ធសយល់,សមា ធសយល់,40.0,10,True
クラッチ,អាំដ្ាយ,អាំដា្ យ,40.0,11,False
急発進,ចាប់ល្តើមលលឿន,ចបា ់ល្តើមលលឿន,40.0,12,False
急ブレーキ,ចាប់ដ្្រ ាំងបន្ទា ន់,ចបា ់ដ្ រាំងបនា ន្ទ់,40.0,13,False
アイドリング,បល្ឆេះលចាល,បល្ឆេលះចលា,41.0,14,False
走行,លបើកបរ,លបើកបរ,41.0,15,True
旋回,បរ់,បរ់,41.0,16,True
安全ロック,លោស វរថិភាេ,លោស វរថិភេា,41.0,17,False
安全支柱,សសរស វរថិភាេ,សសរស វរថិភេា,41.0,18,False
補給（する）,(ោរ)បខ្នថម,(ោរ)បខន្ ថម,41.0,19,False
駐車（する）,(ោរ)ចររថយនត,(ោរ)ចររថយនត,41.0,20,True
歩行者,អនកលថមើរល ើង,អនកលថមើរល ើង,41.0,21,True
車両,រថយនត,រថយនត,41.0,22,True
死角,ដ្ ងុ លមើលមិនល ើញ,ដ ្ ងុ លមើលមិនល ើញ,41.0,23,False
斜面,ដ្មល,ដម្ ល,41.0,24,False
転圧（する）,(ោរ)រលមៀល,(ោរ)រលមៀល,41.0,25,True
接触（する）,(ការ)ប ៉ះទង្គិច,(ករា )ប ៉ទះ ងគិ្ច,42.0,1,False
作動（する）,(ការ)ដំដ ើរការ,(ករា )ដំដ ើរករា,42.0,2,False
整備（する）,(ការ)ដរៀបចំ ថែសំរលួ,(ករា )ដរៀបចំ ថែសំរលួ,42.0,3,False
点検（する）,(ការ)ត្រួរពិនិរយ,(ករា )តរ្ ួរពិនិរយ,42.0,4,False
動かす,បត រូកថនែង្,បតរូកថនែង្,42.0,5,False
運転（する）,(ការ)ដបើកបរ,(ករា )ដបើកបរ,42.0,6,False
測る,វាស់,វសា ់,42.0,7,False
操作（する）,(ការ)ត្បរិបរតិការ,(ករា )តប្ រិបរតិករា,42.0,8,False
停止（する）,(ការ)ឈប់,(ករា )ឈប់,42.0,9,False
切る,ការ់ ឬ ​ ពនែរ់,ករា ់ ឬ​ ពនែរ់,42.0,10,False
回す,បង្វិល,បងវិ្ល,42.0,11,False
押す,រ ញ,រ ញ,42.0,12,True
集める,ត្បមូល,តប្ មូល,42.0,13,False
触る,ស្ទា ប,សា ប្ទ,42.0,14,False
縛る,ចង្ជាប់,ចងជ្ បា ់,42.0,15,False
揃える,រត្មមឹ,រតម្ មឹ,42.0,16,False
結ぶ,ចង្,ចង្,42.0,17,True
しゃがむ,អង្គ ុយ(ដចាង្ដោង្),អងគុ្យ(ដចងា ្ដោង្),42.0,18,False
調整（する）,(ការ)ថកសំរលួ,(ករា )ថកសំរលួ,42.0,19,False
閉じる,បិទ,បិទ,42.0,20,True
取り出す,យកចេញ,យកចេញ,43.0,1,True
戻す,ដាក់ចៅវញិ,ដកា ់ចៅវញិ,43.0,2,False
仕上げる,ច្វើចោយច ើយ,ច្វើចោយច ើយ,43.0,3,True
折れる,បាក់,បកា ់,43.0,4,False
欠ける,ដែប,ដែប,43.0,5,True
近づく,ចៅជិត,ចៅជិត,43.0,6,True
電源を入れる,ចបើកថាមពលច្ែើង,ចបើកថមា ពលច្ែើង,43.0,7,False
電源を落とす,បិទថាមពលច្ែើង,បិទថមា ពលច្ែើង,43.0,8,False
スイッチを切る,បិទកុងតាក់,បិទកុងតកា ់,43.0,9,False
固定（する）,(ការ)េងភ្ជា ប់,(ករា )េងភា ប្ជ់,43.0,10,False
ゆるめる,បនធ រូ,បនធរូ,43.0,11,False
伸ばす,ពនល តូ,ពនលតូ,43.0,12,False
外す,ចដាោះ,ចដោា ះ,43.0,13,False
曲げる,ពត់,ពត់,43.0,14,True
出す,បចចេញ,បចចេញ,43.0,15,True
乾かす,សមងតួ,សមងតួ,43.0,16,True
数える,រាប់,របា ់,43.0,17,False
運ぶ,ចលើក,ចលើក,43.0,18,True
積む,លទកុ,លទកុ,43.0,19,True
下ろす,ដាក់េុោះ,ដកា ់េុោះ,43.0,20,False
離れる,ឃ្លែ តចេញ,ឃែត្លចេញ,43.0,21,False
位置,ទីតាំង,ទីតាំង,44.0,1,True
寸法,ខ្នា ត,ខា ត្ន,44.0,2,False
測定（する）,(ការ)វាស់ វែង,(ករា )វសា ់ វែង,44.0,3,False
計測（する）,(ការ)វាស់,(ករា )វសា ់,44.0,4,False
計測器,នាឡិកាវាស់សទង់,នឡា ិកវា សា ់សទង់,44.0,5,False
温度,សីតុណ្ហភាព,សីតុណហភ្ ពា,44.0,6,False
高さ,កាំពស់,កាំពស់,44.0,7,True
長さ,ប្រវែង,បរ្ វែង,44.0,8,False
重さ,ទម្ងន់,ទមងន្ ់,44.0,9,False
厚さ,កប្ាស,កបា្ ស,44.0,10,False
硬さ,ភាពរងឹ,ភពា រងឹ,44.0,11,False
深さ,ជម្ប្ៅ,ជមប្ ៅ្,44.0,12,False
表面,ផ្ទទខ្នងម្ុខ,ផទ្ ខង្នមុខ្,44.0,13,False
すきま,ចម្នាល ោះ,ចមន្ លោា ះ,44.0,14,False
中心,កណ្តា ល,កណា ល្ត,44.0,15,False
値,តផ្ម្ល,តផម្ ល្,45.0,16,False
安定（する）,(ការាន)ម្សេរភាព,(ករា ាន)មស្ េរភពា,45.0,17,False
大きさ,ទាំហាំ,ទាំហាំ,45.0,18,True
数,ចាំនួន,ចាំនួន,45.0,19,True
誤差,ភាពខុសគ្នា,ភពា ខុសគា ្ន,45.0,20,False
中,កន ុង,កនុង,45.0,21,False
反対,ទទយុ,ទទយុ,45.0,22,True
周り,ជុាំែញិ,ជុាំែញិ,45.0,23,True
尺,ខ្នា ត សាគុ,ខា ត្ន សគា ុ,45.0,24,False
青,ម្ខៀែ,មខ្ ៀែ,45.0,25,False
赤,ប្កហម្,បក្ ហម្,45.0,26,False
白,ស,ស,45.0,27,True
黄色,ម្លឿង,មល្ ឿង,45.0,28,False
掃く,រោស,រោស,46.0,3,True
持ち上げる,រលើករ ើង,រលើករ ើង,46.0,4,True
束ねる,ចងោច់,ចងោច់,46.0,5,True
足をくじく,គ្រិចរ ើង,គរ្ ិចរ ើង,46.0,6,False
一輪車,រេះកង់មួយ,រេះកង់មួយ,47.0,1,True
支柱,សស េប់,សស េប់,47.0,2,True
ショベル,តប ល,តប ល,47.0,3,True
感電（する）,(ការ)ឆក់អគ្គីសនី,(ករា )ឆក់អគគីស្ នី,13.0,5,False
防止（する）,(ការ)ការពារ,(ករា )ករា ពរា,13.0,6,False
予防（する）,(ការ)បង្ហា រ,(ករា )បងា រ្ហ,13.0,7,False
転倒（する）,(ការ)ដួល,(ករា )ដួល,13.0,8,False
不安定（な）,(ដដល)អមសេរភាព,(ដដល)អមសេរភពា,13.0,11,False
嘔吐（する）,(ការ)កអ តួ,(ករា )កអតួ,13.0,19,False
転落（する）,(ការ)រេិលធ្លា ក់,(ករា )រេិលធា ក្ល់,14.0,9,False
落下（する）,(ការ)ធ្លា ក់,(ករា )ធា ក្ល់,14.0,14,False
墜落（する）,(ការ)ធ្លា កច់ ោះ,(ករា )ធា ក្លច់ ោះ,14.0,15,False
丸セパレーター （丸セパ）,ឧបករណ៏បំ បបករបូ រាងមូល (ម៉ា រ ៉ុសេប៉ា ),ឧបករណ៏បំ បបករបូ រងា មូល (ម៉ា រ ៉ុសេប៉ា ),28.0,1,False
ケレン,ការេំសលៀង,ករា េំសលៀង,28.0,3,False
基礎型枠 （メタルフォーム）,េ ៉ុមរ្រោះ(សមតាលហ្វម),េ ៉ុមរ្រោ(ះសមតលា ហវម្ ),28.0,5,False
