No.,Page,ความคดิ เห็น,ความคิดเห็น,ควำมคดิ เห็น,คา แปล,ตว ัอย่าง,ตวั อยา่ ง,ตวัอย่าง,รปู ภาพ,รูปภาพ,วธิ ก ีารอา่ น,วธิ ก ีำรอำ่ น,วิธกีารอ่าน,ศพ ัท์,ศพั ท์,ศพัท์,หมายเหตุ,อา่ นวา่,เครอื่ งหมาย,เหตผุ ล,เหตุผล
8,32,"ยอ่ มาจาก 「สมอและเหล็กเดอื ย (ซา
ชคิ นิ อังคา)」อาจเรยี กวา่ 「เหล็กเดอื ย
(ซาชคิ นิ )」",,,,"せ っ ち
アンカーを設置する",,,,,あんかー,,,アンカー,,,,,,สมอ,
8,45,,,,,,,,,,ながさ,,,長さ,,,,,,ควำมยำว,
8,6,,,,,,,,,,,しぎょうじかん,,始業時間,,,,,,เวลาเรมิ่ งาน,
8,8,,,,,,,,,,かたづける,,,片づける,,,,,,จัดเกบ็ ใหเ้ขา้ ทเี่ ขา้ ทาง,
8,10,,,,,,,,,,,けむり,,煙,,,,,,ควัน,
8,4,ภาษีตอ่ รายไดท้ ไี่ ดร้ ับในระยะเวลาหนงึ่ ปี,,,,,,,,,しょとくぜい,,,所得税,,,,,,ภาษีเงนิ ได้,
8,18,,,,,,,,,,ついらくちゅうい,,,堕落注意,,,,,,ระวงั ตกจากทสี่ งู,
8,1,,,,อนั ตราย,,,,,,,,,,危ない,,,あぶない,,,
8,3,"ค ำยอ่ ของ ""สำ นักงำนตรวจคนเขำ้
เมอื ง"" หรอื ""กองตรวจคนเขำ้ เมอื ง""",,,,,,,,,にゅうかん,,,入管,,,,,,ตม.,
8,23,"ยอ่ มาจาก「ทอ่ แป๊ปเหล็ก (ทังคัง
ไพอปิ )ุ 」 บางครัง้ ก็เรยี กวา่ 「ทอ่ แป๊ป
(ไพอปิ )ุ 」",,,,"たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,,,,たんかん,,,単管,,,,,,ทอ่ เหล็ก,
8,38,"เป็นรถขดุ ไฮดรอลกิ ชนดิ หนงึ่ ใช้
สำ หรับขนยำ้ ยดนิ ทรำย และหนิ บน
พนื้ ดนิ",,,,,,,,,ろーでぃんぐしょべる,,,ローディングショベル,,,,,,รถขดุ ขนำดใหญ่,
8,2,,,,,,,,,,るーる,,,ルール,,,,,,กฎระเบยี บ,
8,15,,,,,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,,,,たおれる,,,倒れる,,,,,,"ลม้ , ลม้ ป่วย",
8,20,,,,,,,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,ให้,,,ちょっこうくらんぷ,,,直交クランプ,,,,,ข้อเสือตั(cid:1144)งฉาก
8,26,,,,,"し こ
パッキンを敷き込む",,,,,ぱっきん,,,パッキン,,,,,,วสั ดกุ ันซมึ รอยตอ่,
9,44,,,,,,,,,,,すいっちをきる,,スイッチを切る,,,,,,ปิดสวติ ช์,
9,13,,,,,,,,,,はさまる,,,挟まる,,,,,,"คั่น, หนีบ, ตดิ อยู่",
9,41,,,,,,,,,,ふぁんべると,,,ファンベルト,,,,,,สำยพำนพัดลมหมอ้ น ้ำ,
9,26,,,,,"しょう くぎ ぬ
小バールで釘を抜く",,,,,しょうばーる,,,小バール,,,,,,ชะแลงขนาดเล็ก,
9,12,,,,,,,,,,こういしつ,,,更衣室,,,,,,หอ้ งเปลยี่ นเสอื้ ผา้,
9,32,,,,,"げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",,,,,かこうば,,,加工場,,,,,,โรงแปรรูป,
9,43,,,,,,,,,,ていし（する）,,,停止（する）,,,,,,"การหยดุ (หยดุ ) , การจอด
(จอด)",
9,10,,,,,,,,,,,しょうか,,消火,,,,,,ดับเพลงิ,
9,6,,,,,,,,,,,しゅうぎょうじかん,,終業時間,,,,,,เวลาเลกิ งาน,
9,35,,,,,"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",,,,,てっきんけい,,,鉄筋径,,,,,,"เสน้ ผา่ นศนู ยก์ ลางของ
เหล็กเสรมิ",
9,8,,,,,,,,,,すてる,,,捨てる,,,,,,ทงิ้,
9,29,,,,,"かたわく た て こ
型枠を建込みする",,,,,たてこみ,,,建込み,,,,,,"ประกอบวสั ดกุ อ่ สรา้ งใน
แนวตัง้ ทตี่ าแหน่งตามที่
ก าหนดในแบบ",
9,4,ภาษีทจี่ า่ ยใหก้ บั เทศบาลเมอื งทอี่ ยอู่ าศัย,,,,,,,,,じゅうみんぜい,,,住民税,,,,,,ภาษีบ ารงุ ทอ้ งที่,
9,1,,,,สะอาด,,,,,,,,,,清掃,,"ท าความสะอาดเพอื่ ใหพ้ นื้ ทกี่ าร
ท างานสะอาดและเขา้ ใจถงึ สภาพที่
ถกู ตอ้ งไดง้ า่ ยขนึ้",せいそう,,,
9,45,,,,,,,,,,おもさ,,,重さ,,,,,,น ้ำหนัก,
9,15,,,,,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,,,,てんらく（する）,,,転落（する）,,,,,,"การพลัดตกลงมา (พลัด
ตกลงมา)",
9,20,,,,,,,ワイヤーロープをフックにかける,,,,,ふっく,,,フック,,,,,"ตะขอยก, ตะขอ"
9,23,,,,,,,,,,きゃたつ,,,脚立,,,,,,"บันไดพาด, บันไดพับ",
9,18,,,,,,,,,,ずじょうちゅうい,,,頭上注意,,,,,,ระวงั ศรี ษะ,
9,38,,,,,,,,,,ろーら,,,ローラ,,,,,,รถบดดนิ,
9,3,,,,,,,,,,ざいりゅうきかん,,,在留期間,,,,,,ระยะเวลำกำรพ ำนัก,
9,2,,,,,,,,,,るーるをまもる,,,ルールを守る,,,,,,เคารพกฎระเบยี บ,
10,2,,,,,,,,,,とめる,,,止める,,,,,,หยดุ,
10,3,,,,,,,,,,こようけいやく,,,雇用契約,,,,,,สญั ญำจำ้ งงำน,
10,4,"เงนิ บ านาญสา หรับพนักงานบรษิ ัทหรอื
ขา้ ราชการซงึ่ จะไดร้ ับเมอื่ เกษียณงาน
ทพุ พลภาพ เสยี ชวี ติ",,,,,,,,,こうせいねんきん,,,厚生年金,,,,,,กองทนุ สา รองเลยี้ งชพี,
10,21,,,,,,,"ワイヤーをストレートシャックルにかけ
る",,,,,すとれーとしゃっくる,,,ストレートシャックル,,,,,"สเก็นตัวย ู(อุปกรณ์
ห่วงโลหะที(cid:1143)ใช้สําหรับ
คล้องยึดเข้ากับ
อุปกรณ์ต่างๆ)"
10,23,"รัศมกี ารหมนุ ของเครอื่ งจักรกลหนัก
สว่ นใหญจ่ ะหา้ มเขา้ ใกลเ้พอื่ ป้องกัน
การเกดิ อบุ ัตเิ หตถุ กู ชน",,,,"じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,,,,さぎょうはんけい,,,作業半径,,,,,,รัศมกี ารท างาน,
10,38,,,,,,,,,,ばけっと,,,バケット,,,,,,บงุ้ ก๋ี,
10,15,,,,,,,,,,しさこしょう,,,指差呼称,,,,,,"การท ามอื ชแี้ ละปากย ้า
เพอื่ ความปลอดภัย",
10,18,,,,,,,,,,けいほうせつび,,,警報設備,,,,,,"อปุ กรณ์สญั ญาณเตอื นภัย
ป่มุ ขอความชว่ ยเหลอื",
10,44,,,,,,,,,,,こてい（する）,,固定（する）,,,,,,การยดึ ใหค้ งท ี่ (ยดึ ใหค้ งท)ี่,
10,26,,,,,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,,,,だいばーる,,,大バール,,,,,,ชะแลงขนาดใหญ่,
10,29,"ปรับแกส้ งิ่ ทบี่ ดิ เบยี้ ว สงิ่ ทกี่ ดี ขวาง ฯลฯ
ใหอ้ ยใู่ นสภาพปกติ",,,,"とお よ
通りを良くする",,,,,とおり,,,通り,,,,,,เป็นแนวเสน้ ตรง,
10,43,,,,,"き てっきん き
エンジンを切る、鉄筋を切る",,,,,きる,,,切る,,,,,,ตัด,
10,32,,,,,"てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,,,,すぺーさー,,,スペーサ―,,,,,,ลกู ปนู,
10,12,,,,,,,,,,だいしゃ,,,台車,,,,,,รถเข็น,
10,13,,,,,,,,,,あしもと,,,足元,,,,,,ทเี่ ทา้,
10,41,,,,,,,,,,くうきあつ,,,空気圧,,,,,,แรงดันลมยำง,
10,10,,,,,,,,,,,しょうかき,,消火器,,,,,,ถังดับเพลงิ,
10,45,,,,,,,,,,あつさ,,,厚さ,,,,,,ควำมหนำ,
10,1,,,,ทางออกฉุกเฉนิ,,,,,,,,,,非常口,,,ひじょうぐち,,,
10,6,,,,,,,,,,,しどういん,,指導員,,,,,,ผชู้ แี้ นะ,
10,35,,,,,"あつ かくにん
かぶり厚さを確認する",,,,,かぶりあつさ,,,かぶり厚さ,,,,,,"ความหนาของระยะ
คอนกรตี หมุ้ ผวิ เหล็ก,
ความหนาของระยะหมุ้
ของคอนกรตี",
10,8,,,,,,,,,,きたない,,,汚い,,,,,,สกปรก,
11,15,,,,,,,,,,ひやりはっと,,,ヒヤリハット,,,,,,"เหตกุ ารณ์เกอื บเกดิ
อบุ ัตเิ หตุ",
11,44,,,,,ボルトをゆるめる,,,,,,ゆるめる,,ゆるめる,,,,,,คลาย,
11,33,,,,,"かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",,,,,どーなつ,,,ドーナツ,,,,,,ลกู ปนู กลม,
11,27,,,,,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,,,,けしょうごうはん,,,化粧合板,,,,,,ไมอ้ ัดเคลอื บ,
11,4,"ประกนั ทจี่ ะไดร้ ับเงนิ ประกนั เมอื่ ตกงานหรอื
เรมิ่ หางานใหม่",,,,,,,,,こようほけん,,,雇用保険,,,,,,ประกนั การจา้ งงาน,
11,21,,,,,,,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,,,,かっしゃ,,,滑車,,,,,รอก
11,39,,,,,,,,,,ぶーむ,,,ブーム,,,,,,บมู,
11,24,,,,,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,,,,かりぼると,,,仮ボルト,,,,,,น็อตไวช้ ั่วคราว,
11,3,,,,,,,,,,きゅうよめいさい,,,給与明細,,,,,,สลปิ เงนิ เดอื น,
11,19,,,,,,,,,,しょうかき,,,消火器,,,,,,ถังดับเพลงิ,
11,8,,,,,,,,,,よごれる,,,汚れる,,,,,,เปรอะ,
11,6,,,,,,,,,,,せいかつしどういん,,生活指導員,,,,,,ผชู้ แี้ นะในการด ารงชพี,
11,36,,,,,"か く ど かくにん
角度を確認する",,,,,かくど,,,角度,,,,,,มมุ,
11,10,,,,,,,,,,,ひじょうべる,,非常ベル,,,,,,กระดงิ่ เตอื นภัย,
11,1,,,,ระวัง,,,,,,,,,,注意,,,ちゅうい,,,
11,45,,,,,,,,,,かたさ,,,硬さ,,,,,,ควำมแข็ง,
11,12,,,,,,,,,,ゆか,,,床,,,,,,พนื้,
11,41,,,,,,,,,,くらっち,,,クラッチ,,,,,,คลัตช์,
11,30,ความสงู ของขัน้ บันไดหนงึ่ ขัน้,,,,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,,,,けあげ,,,蹴上げ,,,,,,ความสงู ของขัน้ บันได,
11,43,,,,,,,,,,まわす,,,回す,,,,,,หมนุ,
11,13,,,,,,,,,,ふあんてい（な）,,,不安定（な）,,,,,,ไมม่ ั่นคง,
11,2,,,,,,,,,,きかいをとめる,,,機械を止める,,,,,,หยดุ เครอื่ งจักร,
12,2,,,,,,,,,,やって,,,やって,,,,,,ท าสิ,
12,3,,,,,,,,,,きゅうりょう,,,給料,,,,,,เงนิ เดอื น,
12,44,,,,,,,,,,,のばす,,伸ばす,,,,,,ยดื,
12,21,,,,,,,"しざい つ あ
クレーンで資材を吊り上げる",,,,,くれーん,,,クレーン,,,,,"ปั(cid:1144)นจ, ั(cid:1143)เคนรน"
12,24,,,,,"し て き ば し ょ て な お
指摘された場所を手直しする",,,,,てなおし,,,手直し,,,,,,แกไ้ ข,
12,27,,,,,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,,,,ふつうごうはん,,,普通合板,,,,,,ไมอ้ ัดธรรมดา,
12,33,,,,,"か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",,,,,かこうはいきんず,,,加工配筋図,,,,,,"แบบการวางและดัดเหล็ก
เสรมิ",
12,41,,,,,,,,,,きゅうはっしん,,,急発進,,,,,,เหยยี บคันเรง่ ออกตัวทันที,
12,15,,,,,,,,,,げんいん,,,原因,,,,,,สาเหตุ,
12,19,,,,,,,,,,"えーいーでぃーせっちば
しょ",,,AED設置場所,,,,,,"จดุ ตดิ ตัง้ เครอิ่ งกระตกุ
หวั ใจอัตโนมัติ",
12,13,,,,,,,,,,あとかたづけ,,,後片付け,,,,,,"ท าความสะอาดและเกบ็
เขา้ ที่",
12,12,,,,,,,,,,でぐち,,,出口,,,,,,ทางออก,
12,10,,,,,,,,,,,かさいほうちき,,火災報知機,,,,,,เครอื่ งเตอื นอคั คภี ัย,
12,30,,,,,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,,,,けこみ,,,蹴込み,,,,,,สว่ นทขี่ ัน้ บันไดเหลอื่ มกัน,
12,43,,,,,,,,,,おす,,,押す,,,,,,"ผลัก, ดัน",
12,45,,,,,,,,,,ふかさ,,,深さ,,,,,,ควำมลกึ,
12,6,,,,,,,,,,,たんとうしゃ,,担当者,,,,,,ผรู้ ับผดิ ชอบ,
12,36,,,,,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,,,,しんぐる,,,シングル,,,,,,เหล็กเสรมิ ชัน้ เดยี ว,
12,1,,,,ไฟไหม้,,,,,,,,,,火事,,,かじ,,,
12,39,,,,,,,,,,あーむ,,,アーム,,,,,,อำรม์,
12,8,,,,,,,,,,ぶんべつ（する）,,,分別（する）,,,,,,"การแบง่ แยกประเภท
(แบง่ แยกประเภท)",
13,45,,,,,,,,,,ひょうめん,,,表面,,,,,,พนื้ ผวิ,
13,3,,,,,,,,,,ざんぎょうてあて,,,残業手当,,,,,,คำ่ ลว่ งเวลำ,
13,5,"ชอื่ ยอ่ การเรยี กรวม ประกนั สขุ ภาพ ประกนั
กองทนุ สา รองเลยี้ งชพี ประกนั การจา้ งงาน
ประกนั อบุ ัตเิ หตแุ ละความเสยี หายทเี่ กดิ ขนึ้
ระหวา่ งงาน เขา้ ดว้ ยกนั โดยเฉพาะในกรณีที่
เรยี กรวมระหวา่ งประกนั สขุ ภาพและประกนั
กองทนุ สา รองเลยี้ งชพี ของพนักงานบรษิ ัท",,,,,,,,,しゃかいほけん,,,社会保険,,,,,,ประกนั สงั คม,
13,33,,,,,"はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",,,,,はいきんしょうさいず,,,配筋詳細図,,,,,,"แบบละเอยี ดของการวาง
เหล็กเสรมิ",
13,6,,,,,,,,,,,すいっちいれるな,,スイッチ入れるな,,,,,,อยา่ เปิดสวติ ช์,
13,36,,,,,"はいきん
スラブはダブル配筋とする",,,,,だぶる,,,ダブル,,,,,,เหล็กเสรมิ สองชัน้,
13,30,,,,,"こ う ぐ て い
工具の手入れをおこたらない",,,,,こうぐのていれ,,,工具の手入れ,,,,,,ดแู ลรักษาเครอื่ งมอื,
13,27,,,,,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,,,,すたいろふぉーむ,,,スタイロフォーム,,,,,,โฟม,
13,24,,,,,"つらいち
面一にそろえる",,,,,つらいち,,,面一,,,,,,"ท าใหว้ สั ดสุ องชนดิ เรยี บ
เสมอกัน",
13,39,,,,,,,,,,ぶれーど（はいどばん）,,,ブレード（排土板）,,,,,,ใบมดี (ใบดันดนิ ),
13,21,,ี(cid:1143),,,,,"いどうしき しざい つ あ
移動式クレーンで資材を吊り上げる",,,,,いどうしきくれーん,,,移動式クレーン,,,,,ปั(cid:1144)นจั(cid:1143)นชนิดเคลือนท
13,19,,,,,,,,,,ほごぼうちゃくよう,,,保護帽着用,,,,,,สวมหมวกนริ ภัย,
13,15,,,,,,,,,,たいさく,,,対策,,,,,,การรับมอื กบั ปัญหา,
13,44,,,,,"あんぜん はず
安全カバーを外す",,,,,,はずす,,外す,,,,,,ถอดออก,
13,41,,,,,,,,,,きゅうぶれーき,,,急ブレーキ,,,,,,"กดเบรคใหค้ วำมเร็วลดลง
ทันที",
13,13,,,,,,,,,,きゅうきゅうばこ,,,救急箱,,,,,,กลอ่ งปฐมพยาบาล,
13,12,,,,,,,,,,でんき,,,電気,,,,,,ไฟฟ้า,
13,43,,,,,,,,,,あつめる,,,集める,,,,,,รวบรวม,
13,10,,,,,,,,,,,にげる,,逃げる,,,,,,หลบหนี,
13,2,,,,,,,,,,とめて,,,止めて,,,,,,หยดุ สิ,
13,1,,,,อบุ ัตเิ หตุ,,,,,,,,,,事故,,,じこ,,,
13,8,,,,,,,,,,もえないごみ,,,燃えないごみ,,,,,,ขยะเผาไมไ่ ด้,
14,45,,,,,,,,,,すきま,,,すきま,,,,,,ชอ่ งวำ่ งแคบๆ,
14,3,,,,,,,,,,ろうどうじかん,,,労働時間,,,,,,เวลำท ำงำน,
14,36,,,,,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",,,,,ちどりけっそく,,,千鳥結束,,,,,,เหล็กเสรมิ สองชัน้ ผกู สลับ,
14,2,,,,,,,,,,とって,,,取って,,,,,,หยบิ สิ,
14,24,,,,,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,,,,てんけんじこう,,,点検事項,,,,,,รายการตรวจเช็ค,
14,39,,,,,,,,,,たいや,,,タイヤ,,,,,,ยำงรถ,
14,27,,,,,"かたわく めん ぎ と つ
型枠に面木を取り付ける",,,,,めんぎ,,,面木,,,,,,"สามเหลยี่ มลบมมุ , บัวไม้
สามเหลยี่ ม",
14,30,,,,,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する",,,,,さげふり,,,下げ振り,,,,,,สายดงิ่,
14,21,,(cid:1143)น,,,,,"かい にもつ ふ
介しゃくロープで荷物の振れをおさ
える",,,,,かいしゃくろーぷ,,,介しゃくロープ,,,,,"เชือกพยุงกันส่าย
(เชือกที(cid:1143)ห้อยอยู่กับ
ของที(cid:1143)ยกด้วยปั(cid:1144))นจั"
14,13,,,,,,,,,,ばんそうこう,,,絆創膏,,,,,,"พลาสเตอรย์ า, เทป
สา หรับปิดแผล",
14,43,,,,,,,,,,さわる,,,触る,,,,,,"แตะตอ้ ง, สมั ผัส",
14,12,,,,,,,,,,けいほうおん,,,警報音,,,,,,เสยี งสัญญานเตอื นภัย,
14,42,,,,,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める",,,,,あいどりんぐ,,,アイドリング,,,,,,"สภำวะของเครอื่ งยนตท์ ี่
หมนุ ดว้ ยอตั รำรอบต ำ่ สดุ
เปลำ่ ๆ",
14,44,,,,,,,,,,,まげる,,曲げる,,,,,,งอ,
14,15,,,,,"あしば こ う ぐ らっか
足場から工具が落下した",,,,,らっか（する）,,,落下（する）,,,,,,"การหลน่ (หลน่ ), การตก
ลงมา (การตกลงมา)",
14,19,,,,,,,,,,あんぜんたいしよう,,,安全帯使用,,,,,,สวมสายรัดตัวนริ ภัยกันตก,
14,8,,,,,,,,,,もえるごみ,,,燃えるごみ,,,,,,ขยะเผาได้,
14,33,,,,,"まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",,,,,かいこうほきょうきん,,,開口補強筋,,,,,,การเสรมิ เหล็กชอ่ งเปิด,
14,6,,,,,,,,,,,すいっちきるな,,スイッチ切るな,,,,,,อยา่ ปิดสวติ ช์,
14,5,"ชอื่ ยอ่ ของ ""อบุ ัตเิ หตแุ ละความเสยี หายที่
เกดิ ขนึ้ ระหวา่ งการท างาน"" การบาดเจ็บ
ระหวา่ งการท างานหรอื เจ็บป่วยอนั
เนื่องมาจากการท างาน",,,,,,,,,ろうさい,,,労災,,,,,,"อบุ ัตเิ หตแุ ละความ
เสยี หายทเี่ กดิ ขนึ้
ระหวา่ งการท างาน",
14,1,,,,เครอื่ งแตง่ กาย,,,,,,,,,,服装,,,ふくそう,,,
14,10,,,,,,,,,,,げんば,,現場,,,,,,หนา้ งาน,
15,21,,,,,,,"あしばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使
う",,พื(cid:1143)อ,,,しょうこうかいだん,,,昇降階段,,,,,"บันไดขึ(cid:1144)นลงภายใน
นั(cid:1143)งร้าน"
15,24,,,,,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,,,,せきさいかじゅう,,,積載荷重,,,,,,น ้าหนักบรรทกุ,
15,42,,,,,,,,,,そうこう,,,走行,,,,,,รถแลน่,
15,44,,,,,鉄筋を曲げる,,,,,,だす,,出す,,,,,,"ยนื่ , สง่",
15,27,,,,,"し かた
バイブレーターでコンクリートを締め固
める",,,,,ばいぶれーたー,,,バイブレーター,,,,,,เครอื่ งสนั่ คอนกรตี,
15,30,,,,,"じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",,,,,じずみ,,,地墨,,,,,,"ท าเครอื่ งหมายเพอื่
ก าหนดต าแหน่งกอ่ สรา้ ง
บนพนื้ ฐานราก",
15,2,,,,,,,,,,だめ（な）,,,だめ（な）,,,,,,ไมไ่ ด ้(ทไี่ มไ่ ด)้,
15,45,,,,,,,,,,ちゅうしん,,,中心,,,,,,ศนู ยก์ ลำง,
15,36,,,,,"せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",,,,,せつだんすんぽう,,,切断寸法,,,,,,ขนาดความยาวของการตัด,
15,39,,,,,,,,,,くろーら,,,クローラ,,,,,,ตนี ตะขำบ,
15,10,,,,,,,,,,,さぎょう,,作業,,,,,,งาน,
15,43,,,,,,,,,,しばる,,,縛る,,,,,,"มัด, รัด",
15,13,,,,,,,,,,たいちょう,,,体調,,,,,,สภาพรา่ งกาย,
15,12,,,,,,,,,,こんせんと,,,コンセント,,,,,,"ปล๊กั ไฟ(ตัวเมยี ), เตา้ เสยี บ",
15,15,,,,,"か い こ う ぶ ついらく
開口部から墜落した",,,,,ついらく（する）,,,墜落（する）,,,,,,"การตกลงมาจากทสี่ งู (ตก
ลงมาจากทสี่ งู ), การตกดงิ่
(ตกดงิ่ )",
15,19,,,,,,,,,,しょうこうかいだん,,,昇降階段,,,,,,บันไดขนึ้ ลง,
15,8,,,,,"きかい て はさ
機械に手が挟まれた",,,,,はさまれる,,,挟まれる,,,,,,ถกู หนีบ,
15,1,,,,อปุ กรณ์ความปลอดภัย,,,,,,,,,,安全装置,,,あんぜんそうち,,,
15,33,,,,,"はば ど きん と つ
幅止め筋を取り付ける",,,,,はばどめきん,,,幅止め筋,,,,,,"เหล็กเสรมิ ทใี่ สเ่ พมิ่ เมอื่ มี
การผกู เหล็กเสรมิ สองชัน้
เพอื่ ยดึ ใหร้ ะยะหา่ งระหวา่ ง
เหล็กคงที่",
15,6,,,,,,,,,,,しようきんし,,使用禁止,,,,,,หา้ มใช้,
15,5,"เงนิ ประกนั ทจี่ ะไดร้ ับเป็นเงนิ กอ้ นในกรณีที่
เกดิ คา่ รักษาหรอื มชี ว่ งเวลาทไี่ มส่ ามารถไป
ท างานได ้หรอื กอ่ ใหเ้กดิ ทพุ พลภาพอนั
เนื่องมาจากอบุ ัตเิ หตแุ ละความเสยี หายที่
เกดิ ขนึ้ ระหวา่ งการท างาน",,,,,,,,,ろうさいほけん,,,労災保険,,,,,,"ประกนั อบุ ัตเิ หตแุ ละ
ความเสยี หายทเี่ กดิ ขนึ้
ระหวา่ งการท างาน",
16,46,,,,,,,,,,あたい,,,値,,,,,,คำ่,
16,33,,,,,"さしきん
コンクリートに差筋をする",,,,,さしきん,,,差筋,,,,,,เหล็กเดอื ย,
16,30,,,,,"す と わく せ っ ち
捨てコンクリートの止め枠を設置する",,,,,すてこんくりーと,,,捨てコンクリート,,,,,,"การเทลนี , การเทคอนกรตี
เพอื่ ปรับผวิ หนา้ ดนิ",
16,44,,,,,,,,,,,かわかす,,乾かす,,,,,,ท าใหแ้ หง้,
16,36,,,,,"か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",,,,,かこうすんぽう,,,加工寸法,,,,,,ขนาดการแปรรูป,
16,21,,,,,,,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,,,,すじかいとめぴん,,,筋かい止めピン,,,,,"เดือยล็อคกากบาท,
สลักล็อคกากบาท,
เดือยล็อคท่อคํ(cid:1144)ายัน
นั(cid:1143)งร้าน"
16,24,,,,,"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",,,,,すきま,,,すき間,,,,,,ชอ่ งวา่ ง,
16,27,,,,,"かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",,,,,はくりざい,,,剥離剤,,,,,,น ้ายาถอดแบบ,
16,10,,,"อาจเรยี ก การประชมุ ประชมุ ชว่ งเชา้
ประชมุ กอ่ นเลกิ งาน วา่ มตี ตงิ้ ดว้ ย
เชน่ กนั",,,,,,,,みーてぃんぐ,,ミーティング,,,,,,มตี ตงิ้,
16,14,,,,,,,,,,ち,,,血,,,,,,เลอื ด,
16,12,,,,,,,,,,さぎょうば,,,作業場,,,,,,สถานทปี่ ฏบิ ัตงิ าน,
16,43,,,,,"てっきん なが そろ
鉄筋の長さを揃える",,,,,そろえる,,,揃える,,,,,,"ท ำใหเ้ทำ่ กนั , จัดใหเ้สมอ",
16,42,,,,,,,,,,せんかい,,,旋回,,,,,,หมนุ,
16,19,,,,,,,,,,きゅうけいじょ,,,休憩所,,,,,,หอ้ งนั่งพัก,
16,15,,,,,"しゅうい あんぜん かくにん
周囲の安全を確認する",,,,,かくにん（する）,,,確認（する）,,,,,,"การตรวจยนื ยนั (ตรวจ
ยนื ยนั ), การตรวจสอบ
(ตรวจสอบ)",
16,39,,,,,"くるま かぎ
車の鍵",,,,,きー（かぎ）,,,キー（鍵）,,,,,,คยี ์ (กญุ แจ),
16,8,,,,,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,,,,まきこまれる,,,巻き込まれる,,,,,,โดนเกยี่ ว,
17,39,,,,,,,,,,"さぎょうそうち
（あたっちめんと）",,,"作業装置
（アタッチメント）",,,,,,สว่ นทที่ ำงำน(อปุ กรณ์),
17,43,,,,,"ざいりょう むす
材料をまとめてひもで結ぶ",,,,,むすぶ,,,結ぶ,,,,,,"ผกู , มัด",
17,12,,,,,,,,,,さぎょうだい,,,作業台,,,,,,โตะ๊ ท างานชา่ ง,
17,14,,,,,,,,,,ねっちゅうしょう,,,熱中症,,,,,,โรคลมแดด,
17,19,,,,,,,,,,さいだいせきさいかじゅう,,,最大積載荷重,,,,,,รับน ้าหนักไดส้ งู สดุ,
17,42,,,,,,,,,,あんぜんろっく,,,安全ロック,,,,,,เซฟตลี้ ็อค,
17,10,,,,,,,,,,,けんしゅう（する）,,研修（する）,,,,,,การฝึกงาน (ฝึกงาน),
17,36,,,,,"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",,,,,かさねつぎて,,,重ね継手,,,,,,การตอ่ ทาบเหล็ก,
