No.,Page,ခ ေါဟာရ,စာဖတန ည်း,ဘာသာ ြန ဆ ို ခင်း,မှတခ ျက,အမှတအ သာ်း/ဆငို ်း ဘတို,ဥြမာ
7,36,保護帽（ヘルメット）,ほごぼう（へるめっと）,"ကာကယွ သ် ရ်းဥ ်းထပု ်
(Helmet)",,,"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる"
7,2,非常停止ボタンを押す,"ひじょうていしぼたんを
おす","အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့
လတု က် ှို န္ပှိ ်သည်",,,
7,10,掃除（する）,そうじ（する）,သနရ် ဲ့ င်း် သရ်း(လပု ်သည်),,,
7,33,スラブ天端,すらぶてんば,ကကမ််းခပငခ်ပာ်း,,,"てん ば
スラブ天端をそろえる"
7,22,感電注意,かんでんちゅうい,"ဓာတလ် ကှို တ် တသ် ည်
သတခှိပြုံ",,,
7,49,電源を入れる,でんげんをいれる,လျှပ်စစ် လတု က် ဖှို ွငသ်ဲ့ ည်,,,
7,24,吊り上げ用クランプ,つりあげようくらんぷ,"ြှ
မ ရာတငွ သ် ်း ု သသာ ညပ်",,,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結した
たんかん つ あ
単管を吊り上げる"
7,39,上筋,うわきん,"ရကမ် ၏ အသပေါ် ပှိုင်း် ရှိ
သသ ာင်း်",,,"うわきん く み た
上筋を組立てる"
7,3,在留カード,ざいりゅうかーど,"န္ငှို င် ခ ာ်းသာ်းမ တပ် ုတငက်
တ်",,,
7,18,バランスを崩す,ばらんすをくずす,ဟန ် ကပ် ကသ် ည်,,,"うえ くず てんらく
はしごの上でバランスを崩して転落した"
7,8,休日,きゅうじつ,အလပု ်နာ်းရက်,,,
8,49,電源を落とす,でんげんをおとす,လျှပ်စစ် လတု က် ပှို ှိတသ် ည်,,,
8,2,ルール,るーる,စည်း် ကမ််း,,,
8,39,スパイラル筋,すぱいらるきん,"စပရငက် သ ဲ့ ှို ရဲ့ စ်သ သွ ည ်ဲ့
ပ ုစ ရှိ သသ ာင်း်",,,"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける"
8,25,直交クランプ,ちょっこうくらんぷ,"ရုှိကသ် ထာငမ်ဲ့ နက် သသာ
ြှ
ညပ် (Orthogonal
clamp)",,,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る"
8,18,倒れる,たおれる,လက သည်,,,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる"
8,22,堕落注意,ついらくちゅうい,"ခပြုံတက် တတသ် ည်
သတခှိပြုံ",,,
8,42,ローディングショベル,ろーでぃんぐしょべる,"သခမသက ာကတ် ငဖ် ှိုရဲ့ ာတငွ သ် ်း ု သသာ
ဟကှို ဒ် သရာလစ် သရ ာ်ဗယ ် (Loading
shovel)","ဟကှို ဒ် သရာလစ်သရ ာ်ဗယတ် စ်မ ှိြုံ်းခဖစ်ပပ ်း
သခမခပငသ် ပေါ် ရှိ သခမသက ာကမ် ာ်းက ှို တငဖ် ှိုရဲ့ ာတငွ ်
သ်း ု သည ် (Loading shovel)",,
8,45,燃料タンク,ねんりょうたんく,"သလာငစ် ာဆပ ု်း၊
သလာငစ် ာဆက န်",,,
8,16,転倒（する）,てんとう（する）,လက (သည်),,,
8,1,危ない,あぶない,အန္ရတ ာယရ် ှိ သည်,,,
8,11,片づける,かたづける,သမှိ ််းဆည်း် သည်,,,
8,5,所得税,しょとくぜい,ဝငသ် င ွ နွ ်,"တစ်န္စ ်အတငွ ်း် ရရှိ တလ ဲ့ စာသငစွ သည ်ဲ့
ဝငသ် ငသွ ပေါ်မူတညပ်ပ ်း သပ်းသဆာငမ် ယအ်ဲ့ နွ ်",,
8,36,アンカー,あんかー,"ကနွ က် ရစ်မ
အစွန်း် ထကွ သ် သ ာင်း်","(ဆာရှိ ကင်း် ) အန်း် ကာ ၏
အတသှို ကာက။် (ဆာရှိ ကင်း် )
ဟလု ည်း် သ ေါ်သည။်",,"せ っ ち
アンカーを設置する"
8,51,長さ,ながさ,အရ ည၊်အလ ာ်း,,,
8,33,高さ（タッパ）,たかさ（たっぱ）,အခမင်ဲ့,,,"たか はか
高さ（タッパ）を測る"
8,8,始業時間,しぎょうじかん,အလပု ်စ ှိန်,,,
8,3,入管,にゅうかん,လဝက,"にゅうこくかんりちょう
「入国管理庁」""လဝူ ငမ် ှုကက်း ကကပ်ရ
にゅうこくかんりきょく
သးး်းသအဂ ငစ် ""၊「入国管理局」""လူ
ဝငမ် ှုကက်း ကကပ်သရ်းဥ ်းစ ်းဌာန""၏
အတသှို ကာက။်",,
8,30,パッキン,ぱっきん,"အလပ ု ှိတရ် နသ် ်း ု သသာ
သရာ်ောကငွ ်း်",,,"し こ
パッキンを敷き込む"
8,27,単管,たんかん,ပှိုကလ် ်း ု,"(လ်း ု င်း် ပှိုက်)၏အတသှို ကာက။် (ပှိုက)်
ဟလု ည်း် သ ေါ်သည။်",,"たんかん もち あ し ば く た
単管を用いて足場を組み立てる"
8,47,操作（する）,そうさ（する）,သမာင်း် (သည်),,,"き か い そ う さ
機械を操作する"
8,13,煙,けむり,မ ်း ်းှို,,,
8,15,課長,かちょう,ဌာန မွ ်း,,,
9,22,頭上注意,ずじょうちゅうい,သ ါင်း် အသပေါ်သတထှိ ာ်းပါ,,,
9,18,転落（する）,てんらく（する）,လမှိ ်ဲ့က သည်,,,"うえ くず てんらく
はしごの上でバランスを崩して転落した"
9,25,フック,ふっく,ှိတသ် ကာက်,,,ワイヤーロープをフックにかける
9,45,ファンベルト,ふぁんべると,ပနက် ာကကြုံှိ်း,,,
9,13,消火,しょうか,မ ်းပငမ ််းသတခ် င်း်,,,
9,33,建込み,たてこみ,သဒါငလ် ကှို ် တပ်ဆငခ် င်း်,,,"かたわく た て こ
型枠を建込みする"
9,16,挟まる,はさまる,ညပ်သည်,,,
9,36,加工場,かこうば,အလပု ်ရု,,,"げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する"
9,1,清掃,せいそう,"သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း်
(Sei-sou)","သနရ် ဲ့ င်း် သရ်းခပြုံလပု ်၍ သပ်ရပ်ပပ ်း
ရှိ သငရ်ဲ့ ှိ တကှို သ် ညအ်ဲ့ သခ အသနက ှို
အမ ာ်းသလှိ ယွ သ် အာငခ်ပြုံလပု ်ထာ်းသသာ
လပု ်ငန်း် ငွ က် ှို ဖနတ် ်း ခ င်း် ။",,
9,11,捨てる,すてる,စွနပ် ဲ့ စ်သည်,,,
9,6,住民税,じゅうみんぜい,စညပ် င ် နွ ်,"သနထငှို သ် နတ ဲ့ ပမှိြုံွဲ့ရွာသဒသက ှို
သပ်းသဆာငရ် မယအ်ဲ့ နွ ်",,
9,15,更衣室,こういしつ,အဝတလ် န်း်,,,
9,51,重さ,おもさ,အသလ်း ှိန်,,,
9,43,ローラ,ろーら,တလမှိ ်ဲ့တ်း ု (ရုှိလာ),,,
9,28,脚立,きゃたつ,သ ါကသ် လက ာ်း,,,
9,8,終業時間,しゅうぎょうじかん,အလပု ်ပပ ်း ှိန်,,,
9,49,スイッチを切る,すいっちをきる,လတု ပ် ှိတသ် ည်,,,
9,47,停止（する）,ていし（する）,ရပ်(သည်),,,
9,3,在留期間,ざいりゅうきかん,ဗ ဇာသကတ် မ််း,,,
9,39,鉄筋径,てっきんけい,သသ ောင၏် အ င်း်,,,"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである"
9,2,ルールを守る,るーるをまもる,စည်း် ကမ််းလကှို န် ာသည်,,,
9,30,小バール,しょうばーる,သေ ာ်းသ ာင်း် အသသ်း,,,"しょう くぎ ぬ
小バールで釘を抜く"
10,6,厚生年金,こうせいねんきん,အလပု ်ပငစ် ငအ် ာမ,"ကမု ပဏန္ င အ်ဲ့ စှို်းရဝနထ် မ််းမ ာ်းကဝငသ် ညပ်ဲ့ ငစ်
ငခ်ဖစ်၍ အသကက်က်း လာသညအ်ဲ့ ါ၊
မသနစ် ွမ််းခဖစ်လာသညအ်ဲ့ ါ၊
သသဆ်း ု သညအ်ဲ့ ါ
ပငစ် ငသ် ကက်းရန္ငှို သ် သာပငစ် င်",,
10,8,指導員,しどういん,သငတ် န်း် မ ်း,,,
10,47,切る,きる,ခဖတသ် ည၊်ရပ်သစသည်,,,"き てっきん き
エンジンを切る、鉄筋を切る"
10,25,ストレートシャックル,すとれーとしゃっくる,"အသခဖာင ်ဲ့ တက် ငွ ်း်
(Straight shackle)",,,"ワイヤーをストレートシャックルにかけ
る"
10,34,通り,とおり,ခပနခ်ပငခ် င်း်,"မသကာင်း် သသာအရာ၊
အသန္ာ ငအ်ဲ့ ယက ခ်ဖစ်သသာအရာမ ာ်းက ှို
ပ ုမ နခ်ဖစ်သအာင ် ခပနခ်ပငခ် င်း်",,"とお よ
通りを良くする"
10,51,厚さ,あつさ,အထူ,,,
10,16,足元,あしもと,သခ သထာကအ် န်း တဝှိုက်,,,
10,15,台車,だいしゃ,လကတ် နွ ်း် လည ်း်,,,
10,13,消火器,しょうかき,မ ်းသတေ် ်းူ,,,
10,43,バケット,ばけっと,သခမသက ာကသ် ယ ် ကွ ် (Bucket),,,
10,11,汚い,きたない,ညစ်ပတသ် သာ,,,
10,45,空気圧,くうきあつ,"(ေ်း ၊ တာယာထရ ှိ )
သလဖှိအာ်း",,,
10,1,非常口,ひじょうぐち,အသရ်းသပေါ်ထကွ သ် ပါက်,,,
10,28,作業半径,さぎょうはんけい,"လပု ်ငန်း် လပှု ်ရ ာ်းသနသည ်ဲ့
အ င်း် ဝက်","စကအ် ကက်း စာ်းလညပ် တသ် နသညအ်ဲ့ င်း်
ဝက။် မသတာ်တဆထ ှိ ကှို မ် ှု
မခဖစ်သအာင ် မဝငရ် ဟ ု တာ်းခမစ်
ထာ်းသလ ဲ့ ရှိ သည်.",,"じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する"
10,2,止める,とめる,ရပ်သည်,,,
10,4,雇用契約,こようけいやく,"အလပု ် နထ် ဲ့ ာ်းသရ်းသသေ
းာတစူ ာ ြုံပ်",,,
10,22,警報設備,けいほうせつび,"သတသှိ ပ်းသ ါင်း် သလာင်း်
သနရာ",,,
10,39,かぶり厚さ,かぶりあつさ,"သသ ာင်း် က ှို
ဖ ု်းအုပ်ထာ်းသသာ
ကနွ က် ရစ်၏ အထူ",,,"あつ かくにん
かぶり厚さを確認する"
10,31,大バール,だいばーる,သေ ာ်းသ ာင်း် အကက်း,,,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する"
10,49,固定（する）,こてい（する）,( ငှို မ် ာသအာင်)တပ်ဆင(် သည်),,,
10,37,スペーサ―,すぺーさー,"ကနွ က် ရစ်သလာင်း် ှိန ်
သသ ာင်း် မလပှု ်ရနန္် င ်ဲ့
သသ ာင်း် ၏ ကနွ က် ရစ်
အတငွ ်း် ရှိ အနကက် ှို
ထနှိ ်း် ရန ် သ်း ု သညပ်ဲ့ စစည်း်",,,"てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う"
10,18,指差呼称,しさこしょう,"ြှ
လကည် ြုံှိ်းထ်းှို ၍နာမညသ် ေါ် စစ်သဆ်းမှု",,,
11,8,生活指導員,せいかつしどういん,သနထငှို မ် ှုပ ုစ သလကဲ့ ငသ်ဲ့ ပ်းသူ,,,
11,1,注意,ちゅうい,သတှိ,,,
11,34,蹴上げ,けあげ,သလက ာ်းတစ်ဆင၏်ဲ့ အခမင်ဲ့,သလက ာ်းတစ်ဆင၏်ဲ့ အခမင။်ဲ့,,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる"
11,11,汚れる,よごれる,ညစ်သပသည်,,,
11,45,クラッチ,くらっち,(ကာ်း) ကလပ်,,,
11,16,不安定（な）,ふあんてい（な）,မတညပ်ငမှိ ်(သသာ),,,
11,43,ブーム,ぶーむ,"ကရှိန်း် ၊သရ ာ်ဗယက် ာ်း စသညတ် ၏ှို ဲ့
လကတ် အရင်း် ပှိုင်း်
(Boom)",,,
11,15,床,ゆか,ကကမ််းခပင်,,,
11,13,非常ベル,ひじょうべる,အသရ်းသပေါ်သတသှိ ပ်းစက်,,,
11,51,硬さ,かたさ,အမာ,,,
11,37,ドーナツ,どーなつ,"သသ ာင်း် ၏ ကနွ က် ရစ်
အတငွ ်း် ရှိ အနကက် ှို
ထနှိ ်း် ရန ် သသ ာင်း် တငွ ်
တပ်သည ်ဲ့ ပလပ်စတစ်ခပာ်း",,,"かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う"
11,18,ヒヤリハット,ひやりはっと,"သသ သ လ်းနလ ဲ့ တွ သ် ာွ ်းသသာလပု ်ငန်း် ငွ မ် သတာ်တ
ဆခဖစ်မှု",,,
11,49,ゆるめる,ゆるめる,"(သ ာငလ် ညသ် အာင်)
သလျှာသဲ့ ည်",,,ボルトをゆるめる
11,31,化粧合板,けしょうごうはん,အလဆ င ် အထပ်သာ်းခပာ်း,,,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する"
11,25,滑車,かっしゃ,စကသ် ်း,,,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる"
11,40,角度,かくど,သထာင်ဲ့,,,"か く ど かくにん
角度を確認する"
11,23,消火器,しょうかき,မ ်းသတေ် ်းူ,,,
11,4,給与明細,きゅうよめいさい,လစာရ င်း် တမ််းစာရွက်,,,
11,47,回す,まわす,လည ပ်ဲ့ တသ် ည၊်ခဖနသ် ဲ့ ဝသည်,,,
11,28,仮ボルト,かりぼると,"သရ ွဲ့သခပ်းယာယတ ပ်ဆငသ်
ညမ်ဲ့ ူလ",,,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する"
11,6,雇用保険,こようほけん,အလပု ်အာမ,"အလပု ်လကမ် ဲ့ခဖစ်သညအ်ဲ့ ါ၊
အလပု ်အသစ်ခပနရ် ာသညအ်ဲ့ ါ
အာမ သ ကက်းရရှိ န္ငှို သ် ညအ်ဲ့ ာမ အ မ ှိြုံ်းအစာ်း",,
11,2,機械を止める,きかいをとめる,စကက် ှို ရပ်သည်,,,
12,2,やって,やって,လပု ်ပါ,,,
12,4,給料,きゅうりょう,လစာသငွ,,,
12,6,健康保険,けんこうほけん,က န်း် မာသရ်းအာမ,"အာမ ထ ာ်းသန္ူ င ်ဲ့ သမူ ဲ့ ှိသာ်းစုဝငမ် ာ်း
သဆ်းကသု မှု ယ သူ ညအ်ဲ့ ါ
အာမ သ ကက်းရရှိ န္ငှို သ် ညအ်ဲ့ ာမ အ မ ှိြုံ်းအစာ်း",,
12,28,手直し,てなおし,"ြှ
ခပနလ် ည ် ှိနည် ခှိ င်း် /ခပငဆ်
ငခ် င်း်",,,"し て き ば し ょ て な お
指摘された場所を手直しする"
12,48,押す,おす,တနွ ်း် သည၊် ( လတု ်)န္ပှိ ်သည်,,,
12,25,クレーン,くれーん,ဝန ် စက ် (ကရှိန်း် ),,,"し ざ い つ あ
クレーンで資材を吊り上げる"
12,40,シングル,しんぐる,(သတ ငှို )် တစ်တန်း်,,,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる"
12,49,伸ばす,のばす,ဆဆွ နသ် ဲ့ ည်,,,
12,23,AED設置場所,"えーいーでぃーせっちば
しょ",န္လ ်း ု န္်းှိှု စကထ် ာ်းသညသ်ဲ့ နရာ,,,
12,37,加工配筋図,かこうはいきんず,"သက ကူ နွ က် ရစ်
တညသ် ဆာကရ် နပ် ု",,,"か こ うはいきん ず どお く み た
加工配筋図通りに組立てる"
12,31,普通合板,ふつうごうはん,ရုှိ်းရုှိ်းအထပ်သာ်းခပာ်း,,,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する"
12,34,蹴込み,けこみ,သလက ာ်း၏ သခ နင်း် အက ယ်,,,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる"
12,15,出口,でぐち,ထကွ သ် ပါက်,,,
12,45,急発進,きゅうはっしん,"ရုတတ် ရကအ် ခမန ်
စထကွ ခ် င်း်",,,
12,16,後片付け,あとかたづけ,အလပု ်ပပ ်းသနာက ် သနစ် ဲ့ ငသ် မှိ ််းဆည်း် ခ င်း်,,,
12,19,原因,げんいん,အသကကာင်း် ရင်း်,,,
12,43,アーム,あーむ,"ကရှိန်း် ၊သရ ာ်ဗယက် ာ်း စသညတ် ၏ှို ဲ့
လကတ် အဖ ာ်းပှိုင်း်
(Arm)",,,
12,13,火災報知機,かさいほうちき,မ ်းအ ကသ် ပ်းစက်,,,
12,51,深さ,ふかさ,အနက်,,,
12,11,分別（する）,ぶんべつ（する）,အမ ှိြုံ်းအစာ်း ခွ ာ်း(သည်),,,
12,1,火事,かじ,မ ်းသလာငမ် ှု,,,
12,8,担当者,たんとうしゃ,တာဝန ်,,,
13,25,移動式クレーン,いどうしきくれーん,သရွွဲ့လ ာ်းန္ငှို သ် ညက်ဲ့ ရှိန်း်,,,"い ど う しき し ざ い つ あ
移動式クレーンで資材を吊り上げる"
13,48,集める,あつめる,စုစည်း် သည်,,,
13,31,スタイロフォーム,すたいろふぉーむ,သဖာခဲ့ပာ်း (Styrofoam),,,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る"
13,37,配筋詳細図,はいきんしょうさいず,"သက ကူ နွ က် ရစ်
တညသ် ဆာကခ် င်း်
အသသ်းစှိတပ် ု",,,"はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる"
13,23,保護帽着用,ほごぼうちゃくよう,"ကာကယွ သ် ရ်းဥ ်းထပု ်
သဆာင်း် ပါ",,,
13,28,面一,つらいち,"မ ကန္် ာ ခပငန္် စ ် အု ကကာ်းအ
လပ်မရှိ ထကှိ ပ်သနခ င်း်",,,"つらいち
面一にそろえる"
13,49,外す,はずす,ဖယရ် ာ်းသည်,,,"あんぜん はず
安全カバーを外す"
13,2,止めて,とめて,ရပ်ပါ,,,
13,6,社会保険,しゃかいほけん,လမူ ှုဖူလသ ု ရ်းအာမ,"က န်း် မာသရ်းအာမ ၊
အလပု ်သမာ်းနစ်နာသကက်းအာမ ၊
ခပြုံစုသစာငသ်ဲ့ ရ ာကမ် ှုအာမ ၊ အလပု ်အာမ ၊
အလပု ်သမာ်းနစ်နာသကက်းအာမ က ှို
ခ ြုံ ငသ ု ေါ်ဆသှို ညအ်ဲ့ မည။် အဓှိကအာ်းခဖင ်ဲ့
ကမု ပဏဝ နထ် မ််းမ ာ်းကဝငသ် ည ်ဲ့
က န်း် မာသရ်းအာမ န္ င ်ဲ့
အလပု ်ပငစ် ငအ် ာမ က ဆှို လှို သှို ည။်",,
13,40,ダブル,だぶる,(သတ ငှို )် န္စ ်တန်း်,,,"はいきん
スラブはダブル配筋とする"
13,11,燃えないごみ,もえないごみ,မ ်းရှုှိွဲ့လမှို ဲ့ ရတအ ဲ့ မှိှုက်,,,
13,4,残業手当,ざんぎょうてあて,အ ှိနပ် ှိုသကက်း,,,
13,1,事故,じこ,မသတာ်တဆမှု,,,
13,13,逃げる,にげる,ထကွ သ် ခပ်းသည်,,,
13,43,ブレード（排土板）,ぶれーど（はいどばん）,သခမတနွ ်း် သရ ွဲ့သည ်ဲ့ ေလတှိ ခ်ပာ်း,,,
13,45,急ブレーキ,きゅうぶれーき,"ရုတတ် ရကအ် ခမန ်
ေရှိတအ် ုပ်ခ င်း်",,,
13,16,救急箱,きゅうきゅうばこ,အသရ်းသပေါ်သဆ်းသသတတ ာ,,,
13,19,対策,たいさく,သဆာငရ် ွကမ် ှု၊စ မ က်,,,
13,34,工具の手入れ,こうぐのていれ,"ကရှိ ှိယာမ ာ်းက ှို
ခပြုံခပငထ် နှိ ်း် သမှိ ််းခ င်း်",,,"こ う ぐ て い
工具の手入れをおこたらない"
13,15,電気,でんき,လျှပ်စစ်/မ ်း,,,
13,8,スイッチ入れるな,すいっちいれるな,လတု မ် ဖွငန်ဲ့ ဲ့,,,
13,51,表面,ひょうめん,မ ကန္် ာ ခပင်,,,
14,40,千鳥結束,ちどりけっそく,"ကကကသ် ခ တ ်
ညသ် န္ာ ငခ် င်း်",,,"てっきん ち ど り けっそく
鉄筋は千鳥結束する"
14,28,点検事項,てんけんじこう,စစ်သဆ်းရမညအ်ဲ့ ကမ် ာ်း,,,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう"
14,7,労災,ろうさい,"လပု ်ငန်း် ငွ ်
ထ ှိ ကှို ဒ် ဏရ် ာရမှု","ろうどうさいがい
「労働災害」""လပု ်ငန်း် ငွ ်
ထ ှိ ကှို ဒ် ဏရ် ာရမှု""၏ အတသှို ကာက။်
အလပု ်လပု ်သနစဉ် ဒဏရ် ာရခ င်း် န္င ်ဲ့
အလပု ်သကကာငသ်ဲ့ နမသကာင်း် ခဖစ်ခ င်း် ကဆှို လှို ှို
သည။်",,
14,51,すきま,すきま,ကကာ်းလပ်သနသညသ်ဲ့ နရာ,,,
14,31,面木,めんぎ,"ပ ုစ ကွ သ် ောင၏်
သထာငတ်ဲ့ ငွ ထ် ညသ်ဲ့ သာ
ြှ
သ်း ု သခမာငပ် ုအစှိတအ် ပှိုင်း်",,,"かたわく めん ぎ と つ
型枠に面木を取り付ける"
14,37,開口補強筋,かいこうほきょうきん,အသပါက ် အာ်းကသူ သ ာင်း်,,,"まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる"
14,25,介しゃくロープ,かいしゃくろーぷ,"ကရှိန်း် ခဖငပ်ဲ့ စစည်း် ခပန ် ှိန်
တငွ ဆ် ယွ ရူ နက်ကြုံှိ်း",,,"かい に も つ ふ
介しゃくロープで荷物の振れをおさえ
る"
14,23,安全帯使用,あんぜんたいしよう,လခ ု ြုံ ‌သရ်း ါ်းပတက်ကြုံှိ်းသ်း ု ပါ,,,
14,16,絆創膏,ばんそうこう,ပလာစတာ,,,
14,34,下げ振り,さげふり,ှိနသ် ်း,,,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する"
14,15,警報音,けいほうおん,သတသှိ ပ်း သ ါင်း် သလာင်း် သ,,,
14,19,落下（する）,らっか（する）,ခပြုံတက် သည်,,,"あしば こ う ぐ らっか
足場から工具が落下した"
14,43,タイヤ,たいや,ေ်း ၊ တာယာ,,,
14,1,服装,ふくそう,အဝတအ် စာ်း,,,
14,46,アイドリング,あいどりんぐ,"(အငဂ် င်) န္်းှိှု ၍ အလတွ ်
လညသ် စခ င်း်",,,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める"
14,13,現場,げんば,လပု ်ငန်း် ငွ ်,,,
14,2,取って,とって,ယပူ ါ,,,
14,11,燃えるごみ,もえるごみ,မ ်းရှုှိွဲ့လရှို ဲ့ တအ ဲ့ မှိှုက်,,,
14,48,触る,さわる,"(လကန္် င ်ဲ့)ထသှိ ည၊်ကငှို သ်
ည်",,,
14,49,曲げる,まげる,သက်းွ သည်,,,
14,8,スイッチ切るな,すいっちきるな,လတု မ် ပှိတန် ဲ့,,,
14,4,労働時間,ろうどうじかん,အလပု ် ှိန်,,,
15,51,中心,ちゅうしん,ဗဟ ှို က်,,,
15,34,地墨,じずみ,"ကကမ််းခပင ် စသညတ် တှို ဲ့ ငွ ်
ခ စ်မ တထ် ာ်းသသာ မင်",,,"じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける"
15,37,幅止め筋,はばどめきん,"သသ ောင၏် အက ယ ်
ပငမှိ ်သစရန ် ကနလ် ဲ့ န ် ဲ့
ထ ာ်းသည ်ဲ့ သသ ာင်း်",,,"はば ど きん と つ
幅止め筋を取り付ける"
15,48,縛る,しばる,ညသ် န္ာ ငသ် ည်,,,
15,28,積載荷重,せきさいかじゅう,"တငသ် ဆာငန္် ငှို သ် ညက်ဲ့ နု အ်
သလ်း ှိန်",,,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む"
15,49,出す,だす,(အခပင်)ထတု သ် ည်,,,鉄筋を曲げる
15,31,バイブレーター,ばいぶれーたー,လျှပ်စစ်တနု ် ါ စကက် ရှိ ှိယာ,,,"し かた
バイブレーターでコンクリートを締め固
める"
15,40,切断寸法,せつだんすんぽう,ခဖတသ် တာကမ် ည ်ဲ့ အရ ည်,,,"せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する"
15,23,昇降階段,しょうこうかいだん,ခငမ််းအတငွ ်း် ရှိ သလက ာ်း,,,
15,16,体調,たいちょう,က န်း် မာသရ်းအသခ အသန,,,
15,43,クローラ,くろーら,"ယာဥ်၏ေ်း မ ာ်းကပှို တ၍် လမှိ ်ဲ့သသာ
(သရာ်ော) ှိန်း် ါ်းပတခ်ပာ်း",,,
15,15,コンセント,こんせんと,"ပလတသ် ါင်း်
ပလတသ် ပါက်",,,
15,25,昇降階段,しょうこうかいだん,ခငမ််းအတငွ ်း် ရှိ သလက ာ်း,,,"あ し ばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使う"
15,19,墜落（する）,ついらく（する）,အခမငမ်ဲ့ က သည်,,,"か い こ う ぶ ついらく
開口部から墜落した"
15,46,走行,そうこう,(ကာ်း) သခပ်းခ င်း် /သာွ ်းခ င်း်,,,
15,13,作業,さぎょう,အလပု ်,,,
15,2,だめ（な）,だめ（な）,မလပု ်သင်(ဲ့ သသာ),,,
15,11,挟まれる,はさまれる,ညပ်သည်,,,"きかい て はさ
機械に手が挟まれた"
15,7,労災保険,ろうさいほけん,"အလပု ်သမာ်းနစ်နာသကက်း
အာမ","လပု ်ငန်း် ငွ ် ထ ှိ ကှို ဒ် ဏရ် ာရမှုအတကွ ်
သဆ်းကသု စရှိတက် နု က် ခ င်း် ၊
အလပု ်မလပု ်န္ငှို ခ် င်း် ၊
မသနစ် ွမ််းခဖစ်ခ င်း် တအှို ဲ့ တကွ ် တစ်လ်း ု တစ်
အာမ သ ကက်းရရှိ န္ငှို သ် သာအာမ အ မ ှိြုံ်းအစာ်း",,
15,8,使用禁止,しようきんし,အသ်း ု မခပြုံရ,,,
15,1,安全装置,あんぜんそうち,"အန္ရတ ာယက် င်း် ရ င်း် သရ်းကရှိ ှိ
ယာ",,,
16,23,休憩所,きゅうけいじょ,နာ်းသနရနသ် နရာ,,,
16,19,確認（する）,かくにん（する）,အတညခ်ပြုံစစ်သဆ်းသည်,,,"しゅうい あんぜん かくにん
周囲の安全を確認する"
16,15,作業場,さぎょうば,အလပု ်ရု,,,
16,31,剥離剤,はくりざい,ာွ သဆ်း,,,"かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する"
16,49,乾かす,かわかす,အသခ ာက ် သ ည်,,,
16,40,加工寸法,かこうすんぽう,"ခပြုံခပငလ် ပု ်သဆာငမ် ည ်ဲ့
အတငှို ်း် အတာ",,,"か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する"
16,25,筋かい止めピン,すじかいとめぴん,"တသစာင်း် အာ်းခဖညထ်ဲ့ ည်ဲ့
သငွ ်း် ထာ်းသသာသစ်သာ်း
တန်း် အာ်း
ကတု ထ် ာ်းသည ်ဲ့
တယွ ဆ် က ် ပငင် တု ်",,,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく"
16,43,キー（鍵）,きー（かぎ）,သသာဲ့,,,"くるま かぎ
車の鍵"
16,16,血,ち,သသ်းွ,,,
16,37,差筋,さしきん,"(ကနွ က် ရစ်တငွ ်)
အစွန်း် ထကွ သ် သ ာင်း် က ှို
စှိုကသ် ငွ ်း် ခ င်း်",,,"さしきん
コンクリートに差筋をする"
