(cid:535)របកែ(cid:688)ប,(cid:700)ក(cid:679)សព(cid:635),No.,Page,កា បកដរប,កា បកប្រប,កា បក្ប្គ្ប,កា បក្ប្រប,កា បក្ប្្ប,កា រក្ប្ប្រ,ចាំណា ពនយល់,ចំ(cid:622)រពន(cid:679)ល់,ចំណា ពនយល់,ចំណា ព្នយល់,ច្ំណា ពនយល់,ច្ំណា ព្នយល់,បូ ថត,មបៀបអាន,មរៀរអាន,រូបថត,រេប(cid:827)ប(cid:738)ន,វាកយសពទ,វាកយសព្ទ,វាក្យសពទ,វាក្យសព្ទ,វាក្យសព្ា,សញ្ញា,ឧ(cid:637)ហរណ៍,ឧទាហ ណ៍,ឧទាហ ណ្៍,ឧទាហ្ ណ៍
,,7,1,,,,(ដែល)រក្រោះថ្នា ក់,,,,,,"ការកត់សមា ល់ជាអកសកាន់ជិរក្រើ
ក្ាស់ជាទូរៅ ក៏រ៉ា ដនែរៅកន ុងរោង
ចក្ក ក៏មនករណ៊ីរក្រើក្ាស់អកសកា
តាកាណាថ្ន 「キケン」ផងដែរ។",,,,きけん（な）,,,,,,,危険（な）,,,,,,
,,7,10,,,,,,ប្លើង,,,,,,,,,ひ,,,,,火,,,,,,,
,,7,34,សរសសដែកខាងឡលើ,,,,,,,,,,,,,うわきん,,,,,上筋,,,,,,"うわきん く み た
上筋を組立てる",,
,,7,12,,ប្រធានផ្នែក,,,,,,,,,,,,ぶちょう,,,,,部長,,,,,,,,
,,7,6,,,,ថ្ែៃឈប់សម្រាក,,,,,,,,,,きゅうじつ,,,,,,,休日,,,,,,
,,7,2,,,,"ចុចប៊ូ ត្ុងបញ្ឈប់ពពល
អាសនន",,,,,,,,,,"ひじょうていしぼたんを
おす",,,,,,,非常停止ボタンを押す,,,,,,
,,7,37,,,,,ត្រាក់ទរកា័ យែី(គអសស្កា ),,,,,"េឺជាគត្រេឿងចត្រកដែលទូគៅបំផុរគៅ
កន ុងចំគោមគត្រេឿងចត្រកកាយែីអុីត្រែូ
លិក គេដរងគ ើញញឹកញាប ់ គត្របើសំ
រាប់ជីកគៅខាងគត្រកាមែី",,,,ばっくほう,,,,,,,バックホウ,,,,,,
ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ,吊り上げ用クランプ,7,19,,,,,,,,ឡ(cid:822)ង,,,,,,,,េដ(cid:822)ម(cid:650)ី,つりあげようくらんぷ,,,,,,,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結し
たんかん つ あ
た単管を吊り上げる",,,
,,7,3,,ប័េណ ស្នា ក់ណៅ,,,,,,,,,,,,ざいりゅうかーど,,,,,在留カード,,,,,,,,
,,7,40,,,,,លដ្បងដ្្រ ាំង,,,,,,,,,ぶれーきえき,,,,,,,ブレーキ液,,,,,,
,,7,14,,បារ់បង្់រ លយភាព,,,,,,,,,,,,ばらんすをくずす,,,,バランスを崩す,,,,,,,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,
,,7,22,,,,"កាត របងំ មជើង(កខ្នលង
ដ្ឋក់មជើងបមណាត ះោសនន)",,,,,,,,,,はばき（かせつあしば）,,,,,,,,幅木（仮設足場）,,,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,
,,7,17,,,,ប្បយ័តនឆក់,,,,,,,,,,かんでんちゅうい,,,,,,,感電注意,,,,,,
,,7,13,,,(ការ)បង្ហា រ,,,,,,,,,,,よぼう（する）,,,,,,予防（する）,,,,,,,
,,7,42,,វាស់,,,,,,,,,,,,はかる,,,,,測る,,,,,,"てっきん なが はか
鉄筋の長さを測る",,
,,7,25,,,,រណាម៉ា សុ៊ីន(ស ង ណូ កូ ),,,,,,,,,,"でんどうまるのこ（でんの
こ）",,,,,,,電動丸のこ（電のこ）,,,,"でんどうまる せつだん
電動丸のこでコンパネを切断する",,
,,8,13,,,(ការ)ដួល,,,,,,,,,,,てんとう（する）,,,,,,転倒（する）,,,,,,,
,,8,34,សរសសដែកលកខណ:រងវង់,,,,,,,,,,,,,すぱいらるきん,,,,,スパイラル筋,,,,,,"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",,
,,8,40,,,,,ធ ងឥនធនៈ,,,,,,,,,ねんりょうたんく,,,,,,,燃料タンク,,,,,,
,,8,43,,បិទថាមពលច្ែើង,,,,,,,,,,,,でんげんをおとす,,,,,電源を落とす,,,,,,,,
,,8,42,,(ការ)ត្បរិបរតិការ,,,,,,,,,,,,そうさ（する）,,,,,操作（する）,,,,,,"き か い そ う さ
機械を操作する",,
,,8,28,,,,កំពេ់,,,,,,,,,,たかさ（たっぱ）,,,,,,,高さ（タッパ）,,,,"たか はか
高さ（タッパ）を測る",,
,,8,12,,ប្រធានការយាិ លយ័,,,,,,,,,,,,かちょう,,,,,課長,,,,,,,,
,,8,31,ដែកយុថាា,,,,,,,,,"ពាកយកាត់សនដែកយុថាា េរសេដែក
ចប្ឡះេំណរ់បគថា「សា េុ៊ី គ៊ីរ
（さしきん）」",,,,あんかー,,,,,アンカー,,,,,,"せ っ ち
アンカーを設置する",,
,,8,44,,,,ប្រវែង,,,,,,,,,,ながさ,,,,,,,長さ,,,,,,
,,8,6,,,,ធា៉ោ ងចាប់ធ្តើមការងារ,,,,,,,,,,しぎょうじかん,,,,,,,始業時間,,,,,,
,,8,8,,,,បរៀបចាំ,,,,,,,,,,かたづける,,,,,,片づける,,,,,,,
,,8,10,,,,,,ផ្សែង,,,,,,,,,けむり,,,,,煙,,,,,,,
,,8,4,,ពនធធលើប្រាក់ចំណូ ល,,,,,,,,,"ពនធធលើប្រាក់ចំណូ លដូចជាប្រាក់ធរៀវតស
ប្ររចំឆ្ន ំមួយឆ្ន ំជាធដើម។",,,しょとくぜい,,,,所得税,,,,,,,,,
,,8,17,,,,ប្បយ័តនធ្លល ក់,,,,,,,,,,ついらくちゅうい,,,,,,,堕落注意,,,,,,
,,8,1,,,,រក្រោះថ្នា ក់,,,,,,,,,,あぶない,,,,,,,危ない,,,,,,
,,8,3,,អណនា គ្បណវសន៍,,,,,,,,,,"ពាកយសណង្េបនន ""ទ្យីភាា កងា់ រអណនា
គ្បណវសន""៍ និង្ ""ការយាិ ល័យអណនា
គ្បណវសន""៍",,にゅうかん,,,,,入管,,,,,,,,
,,8,22,,,,បំពង់ឯក,,,,,,"ពាកយមៅកាត់ 「បំពង់ឯក」សលះ
មគមៅថា 「パイプ 」(ខ្ផប)",,,,たんかん,,,,,,,,単管,,,"たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,
,,8,37,,,,,គត្រេឿងចត្រកចូកែី,,,,,"េឺជាគត្រេឿងចត្រកកាយែីអុីត្រែលូ ិក
ម៉ាាងដែលគេគត្របើសំរាប់យកខ្សាច ់
និងត្រេួសថ្មពីគលើែីគៅផទកុ ោក់",,,,ろーでぃんぐしょべる,,,,,,,ローディングショベル,,,,,,
,,8,2,,,,ចាប់,,,,,,,,,,るーる,,,,,,,ルール,,,,,,
,,8,14,,ដួលរលំ,,,,,,,,,,,,たおれる,,,,倒れる,,,,,,,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,
ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់,直交クランプ,8,19,,,,,,,,,,,,,,,,ង(cid:544)(cid:814)ំ,ちょっこうくらんぷ,,,,,,,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",,,
,,8,25,,,,ថ្នា បំ ិទ ិត្,,,,,,,,,,ぱっきん,,,,,,,パッキン,,,,"し こ
パッキンを敷き込む",,
,,9,43,,បិទកុងតាក់,,,,,,,,,,,,すいっちをきる,,,,,スイッチを切る,,,,,,,,
,,9,13,,,គាប,,,,,,,,,,,はさまる,,,,,,挟まる,,,,,,,
,,9,40,,,,,ខ្សែពានកង្ហា រ,,,,,,,,,ふぁんべると,,,,,,,ファンベルト,,,,,,
,,9,25,,,,ផ្ ករស់ត្ូច,,,,,,,,,,しょうばーる,,,,,,,小バール,,,,"しょう くぎ ぬ
小バールで釘を抜く",,
,,9,12,,រនទរផ្ល់ ា ស់សធមាៀករំពាក់,,,,,,,,,,,,こういしつ,,,,,更衣室,,,,,,,,
,,9,31,កដនលរដកសនែ,,,,,,,,,,,,,かこうば,,,,,加工場,,,,,,"現場搬入前に加工場で鉄筋を加工
する",,
,,9,42,,(ការ)ឈប់,,,,,,,,,,,,ていし（する）,,,,,停止（する）,,,,,,,,
,,9,10,,,,,,ព្នលត់អគ្គិ្័យ,,,,,,,,,しょうか,,,,,消火,,,,,,,
,,9,6,,,,ធា៉ោ ងបញ្ចប់ការងារ,,,,,,,,,,しゅうぎょうじかん,,,,,,,終業時間,,,,,,
,,9,34,វជិ ាមាន្តសរសសដែក,,,,,,,,,,,,,てっきんけい,,,,,鉄筋径,,,,,,"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",,
,,9,8,,,,បចល,,,,,,,,,,すてる,,,,,,捨てる,,,,,,,
,,9,28,,,,សលើកយួរសហ្ើយោក់,,,,,,,,,,たてこみ,,,,,,,建込み,,,,"かたわく た て こ
型枠を建込みする",,
,,9,4,,ពនធនិវាសនជន,,,,,,,,,"ពនធរង់ធៅអាជាា ្រមូលដាា នដដលអ្នករស់
ធៅ",,,じゅうみんぜい,,,,住民税,,,,,,,,,
,,9,1,,,,សមា ត,,,,,,"ការរ្វីរោយស្ថថ នភាពការងារងាយ
យល ់ ក្តម្ឹ ក្តវូ និងស្ថា តរោយការសម្្
ោត។",,,,せいそう,,,,,,,清掃,,,,,,
,,9,44,,,,ទម្ងន់,,,,,,,,,,おもさ,,,,,,,重さ,,,,,,
,,9,14,,(ការ)រេិលធ្លា ក់,,,,,,,,,,,,てんらく（する）,,,,転落（する）,,,,,,,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,
ទំពក់,フック,9,19,,,,,,,,,,,,,,,,,ふっく,,,,,,,ワイヤーロープをフックにかける,,,
,,9,22,,,,ជមណតើរមកាង,,,,,,,,,,きゃたつ,,,,,,,,脚立,,,,,
,,9,17,,,,ប្បយ័តនភលើកាល,,,,,,,,,,ずじょうちゅうい,,,,,,,頭上注意,,,,,,
,,9,37,,,,,រ ឡូ ូ កិន,,,,,,,,,ろーら,,,,,,,ローラ,,,,,,
,,9,3,,រយៈណពលស្នា ក់ណៅ,,,,,,,,,,,,ざいりゅうきかん,,,,,在留期間,,,,,,,,
,,9,2,,,,ពោរពចាប់,,,,,,,,,,るーるをまもる,,,,,,,ルールを守る,,,,,,
,,10,2,,,,បញ្ឈប់,,,,,,,,,,とめる,,,,,,,止める,,,,,,
,,10,3,,កិចេសនាការងារ,,,,,,,,,,,,こようけいやく,,,,,雇用契約,,,,,,,,
,,10,4,,"ប្រាក់ធសា្ននិវតាន៍
ររស់និធោជិក",,,,,,,,,"ប្រាក់ធសា្ននិវតាន៍ ដដលនិធោជិកនិង
មន្រនាីរាជការានច ុះធ្ម ុះធហើយអាចទទួល
ានអ្តថ ប្ររធោជន៍កន ុងករណីចស់ជរា
ពិការភាព ឬមរណភាព។",,,こうせいねんきん,,,,厚生年金,,,,,,,,,
តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់,ストレートシャックル,10,19,,,,,,,,,,,,,,,,,すとれーとしゃっくる,,,,,,,"ワイヤーをストレートシャックルにかけ
る",,,
,,10,23,,,,កាក្ំ បតិបតតិការងារ,,,,,,"កាបំ ងវិលននម្ខ សុីន្ុន្ងន់។ម ើេបី
ការពារមក្រះថាន ក់ប ះ ងគិចភាគ
មក្ចើនមគហាេេិនមោយចូល",,,,さぎょうはんけい,,,,,,,,作業半径,,,"じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,
,,10,38,,,,,ដប៉ាលចូក,,,,,,,,,ばけっと,,,,,,,バケット,,,,,,
,,10,14,,ចង្អ ុលគៅគ្ម ោះ,,,,,,,,,,,,しさこしょう,,,,指差呼称,,,,,,,,,
,,10,17,,,,កផ្លលងចុចប្បកាសអាសលន,,,,,,,,,,けいほうせつび,,,,,,,警報設備,,,,,,
,,10,43,,(ការ)េងភ្ជា ប់,,,,,,,,,,,,こてい（する）,,,,,固定（する）,,,,,,,,
,,10,25,,,,ផ្ ករស់ធំ,,,,,,,,,,だいばーる,,,,,,,大バール,,,,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,
,,10,29,,,,នល វូ លំ,,,,,,"ការបកេំរលួ ររង់រាយខូចឬសរើេ
បរងសោយមៃសាា ៃភ្ជពធមមតា
ស ើងវញិ",,,,とおり,,,,,,,通り,,,,"とお よ
通りを良くする",,
,,10,42,,ការ់ ឬ ​ ពនែរ់,,,,,,,,,,,,きる,,,,,切る,,,,,,"き てっきん き
エンジンを切る、鉄筋を切る",,
,,10,31,ឧបករណ៏រកាចប្ល ះ,,,,,,,,,,,,,すぺーさー,,,,,スペーサ―,,,,,,"鉄筋のかぶり厚さを保つためスペー
サーを使う",,
,,10,12,,រទះរុញឥវ៉ាន់,,,,,,,,,,,,だいしゃ,,,,,台車,,,,,,,,
,,10,13,,,មជើងមប្កាម,,,,,,,,,,,あしもと,,,,,,足元,,,,,,,
,,10,40,,,,,សមា ធសយល់,,,,,,,,,くうきあつ,,,,,,,空気圧,,,,,,
,,10,10,,,,,,ឧរករណ៍ព្នលត់អគ្គិ្័យ,,,,,,,,,しょうかき,,,,,消火器,,,,,,,
,,10,44,,,,កប្ាស,,,,,,,,,,あつさ,,,,,,,厚さ,,,,,,
,,10,1,,,,ផល វូ ោសនា,,,,,,,,,,ひじょうぐち,,,,,,,非常口,,,,,,
,,10,6,,,,អ្នកបងាា តប់ ធម្រងៀន,,,,,,,,,,しどういん,,,,,,,指導員,,,,,,
,,10,34,កមាល ស់ន្គប,,,,,,,,,,,,,かぶりあつさ,,,,,かぶり厚さ,,,,,,"あつ かくにん
かぶり厚さを確認する",,
,,10,8,,,,ក្ខ្វក្់,,,,,,,,,,きたない,,,,,,汚い,,,,,,,
,,11,14,,គសទើបរនឹង្មនគ្រោះថ្នា ក់,,,,,,,,,,,,ひやりはっと,,,,ヒヤリハット,,,,,,,,,
,,11,43,,បនធ រូ,,,,,,,,,,,,ゆるめる,,,,,ゆるめる,,,,,,ボルトをゆるめる,,
,,11,32,"ឧបករណ៏រកាចប្ល ះរារ
ជាររវរ់(ែូណាត់)",,,,,,,,,,,,,どーなつ,,,,,ドーナツ,,,,,,壁の鉄筋かぶり厚さはドーナツを使う,,
,,11,26,,,,កាា បនទោះត្ុបផ្ត្ង,,,,,,,,,,けしょうごうはん,,,,,,,化粧合板,,,,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,
,,11,4,,ធានារា៉ារ់រងការងារ,,,,,,,,,"ការធានារា៉ារ់រងដដលអាចទទួលានអ្តថ
ប្ររធោជន៍កន ុងករណីគ្មម នការងារធ្វើឬរក
ការងារធ្វើធ ើងវញិ ។",,,こようほけん,,,,雇用保険,,,,,,,,,
ឧបករណ៏រ(cid:843)ក,滑車,11,20,,,,,,,,,,,,,,,,យ,かっしゃ,,,,,,,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,,
,,11,38,,,,,ែងសនទ ចូ,,,,,,,,,ぶーむ,,,,,,,ブーム,,,,,,
,,11,23,,,,បូ ុ ងបមណាត ះោសនន,,,,,,,,,,かりぼると,,,,,,,,仮ボルト,,,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,
,,11,3,,"បងាា នន់ ែណបើកគ្ាក់
ណបៀវតស",,,,,,,,,,,,きゅうよめいさい,,,,,給与明細,,,,,,,,
,,11,18,,,,បំពង់​ពលលត់​អគ្គិ្័យ,,,,,,,,,,しょうかき,,,,,,,消火器,,,,,,
,,11,8,,,,្បលាក្់,,,,,,,,,,よごれる,,,,,,汚れる,,,,,,,
,,11,6,,,,"អ្នកបងាា តប់ ធម្រងៀនេីការ
រស់ធៅ",,,,,,,,,,せいかつしどういん,,,,,,,生活指導員,,,,,,
,,11,35,មុុំ,,,,,,,,,,,,,かくど,,,,,角度,,,,,,"か く ど かくにん
角度を確認する",,
,,11,10,,,,,,កណតឹងអាសនន,,,,,,,,,ひじょうべる,,,,,非常ベル,,,,,,,
,,11,1,,,,ការក្រងុ ក្រយ័តា,,,,,,,,,,ちゅうい,,,,,,,注意,,,,,,
,,11,44,,,,ភាពរងឹ,,,,,,,,,,かたさ,,,,,,,硬さ,,,,,,
,,11,12,,កប្ាល,,,,,,,,,,,,ゆか,,,,,床,,,,,,,,
,,11,40,,,,,អាំដ្ាយ,,,,,,,,,くらっち,,,,,,,クラッチ,,,,,,
,,11,29,,,,កំពេ់ជំហាៃកាជំ សណាើរ,,,,,,កំពេ់ជំហាៃកាជំ សណាើរ,,,,けあげ,,,,,,,蹴上げ,,,,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,
,,11,42,,បង្វិល,,,,,,,,,,,,まわす,,,,,回す,,,,,,,,
,,11,13,,,(ដដល)អមសេរភាព,,,,,,,,,,,ふあんてい（な）,,,,,,不安定（な）,,,,,,,
,,11,2,,,,បញ្ឈប់មា៉ា សុីន,,,,,,,,,,きかいをとめる,,,,,,,機械を止める,,,,,,
,,12,2,,,,ស៊ូរព្វើ,,,,,,,,,,やって,,,,,,,やって,,,,,,
,,12,3,,គ្ាក់ណបៀវតស,,,,,,,,,,,,きゅうりょう,,,,,給料,,,,,,,,
,,12,43,,ពនល តូ,,,,,,,,,,,,のばす,,,,,伸ばす,,,,,,,,
(cid:676)៉សុីនស(cid:636) (cid:817)ច,クレーン,12,20,,,,,,,,,,,,,,,,,くれーん,,,,,,,"しざい つ あ
クレーンで資材を吊り上げる",,,
,,12,23,,,,ខ្កម ើងវញិ,,,,,,,,,,てなおし,,,,,,,,手直し,,,"し て き ば し ょ て な お
指摘された場所を手直しする",,
,,12,26,,,,កាា បនាោះធរមតា,,,,,,,,,,ふつうごうはん,,,,,,,普通合板,,,,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,
,,12,32,បលរ់ោក់េសេដែកដកសនែ,,,,,,,,,,,,,かこうはいきんず,,,,,加工配筋図,,,,,,"か こ うはいきん ず とお く み た
加工配筋図通りに組立てる",,
,,12,40,,,,,ចាប់ល្តើមលលឿន,,,,,,,,,きゅうはっしん,,,,,,,急発進,,,,,,
,,12,14,,ម្ូលគេរ,,,,,,,,,,,,げんいん,,,,原因,,,,,,,,,
,,12,18,,,,ទីតងំ បំពាកA់ ED,,,,,,,,,,"えーいーでぃーせっちば
しょ",,,,,,,AED設置場所,,,,,,
,,12,13,,,ការមរៀបេាំមពលមប្កាយ,,,,,,,,,,,あとかたづけ,,,,,,後片付け,,,,,,,
,,12,12,,ប្រកធរញ,,,,,,,,,,,,でぐち,,,,,出口,,,,,,,,
,,12,10,,,,,,កណតឹង្រកាសអគ្គិ្័យ,,,,,,,,,かさいほうちき,,,,,火災報知機,,,,,,,
,,12,29,,,,បនែកខាងកន គងសៅកាំជសណាើរ,,,,,,,,,,けこみ,,,,,,,蹴込み,,,,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,
,,12,42,,រ ញ,,,,,,,,,,,,おす,,,,,押す,,,,,,,,
,,12,44,,,,ជម្ប្ៅ,,,,,,,,,,ふかさ,,,,,,,深さ,,,,,,
,,12,6,,,,អ្នក ួលខុសម្រតេូ,,,,,,,,,,たんとうしゃ,,,,,,,担当者,,,,,,
,,12,35,ឯក,,,,,,,,,,,,,しんぐる,,,,,シングル,,,,,,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,
,,12,1,,,,អគ្ាិភ័យ,,,,,,,,,,かじ,,,,,,,火事,,,,,,
,,12,38,,,,,ដែគលើក,,,,,,,,,あーむ,,,,,,,アーム,,,,,,
,,12,8,,,,(ប្វីការ)ដបងដចក្,,,,,,,,,,ぶんべつ（する）,,,,,,分別（する）,,,,,,,
,,13,44,,,,ផ្ទទខ្នងម្ុខ,,,,,,,,,,ひょうめん,,,,,,,表面,,,,,,
,,13,3,,គ្ាក់ឈ្ន លួ ដែមណ ៉ោ ង្,,,,,,,,,,,,ざんぎょうてあて,,,,,残業手当,,,,,,,,
,,13,5,,ធានារា៉ារ់រងសងគម,,,,,,,,,"វាជាធ្ម ុះរមួ ថ្នការធានារា៉ារ់រងស ែភាព
ការធានារា៉ារ់រងធសា្ននិវតាន៍ររស់
និធោជិក ការធានារា៉ារ់រងដលទមំ ន សស
ចស់ ធានារា៉ារ់រងការងារ និងការធានា
រា៉ារ់រងធប្រគ្មុះថ្នន ក់ការងារ។",,,しゃかいほけん,,,,社会保険,,,,,,,,,
,,13,32,បលរ់លំអិតោក់េរសេដែក,,,,,,,,,,,,,はいきんしょうさいず,,,,,配筋詳細図,,,,,,配筋詳細図通りに組立てる,,
,,13,6,,,,កុំធបើកេរនតអ្គ្គិសនី,,,,,,,,,,すいっちいれるな,,,,,,,スイッチ入れるな,,,,,,
,,13,35,ឡទវ,,,,,,,,,,,,,だぶる,,,,,ダブル,,,,,,"はいきん
スラブはダブル配筋とする",,
,,13,29,,,,សរៀបេំោតឧបករណ៏,,,,,,,,,,こうぐのていれ,,,,,,,工具の手入れ,,,,"こ う ぐ て い
工具の手入れをおこたらない",,
,,13,26,,,,បនទោះសនា,,,,,,,,,,すたいろふぉーむ,,,,,,,スタイロフォーム,,,,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,
,,13,23,,,,មោយនផាទងំ ពីរមសមើរន,,,,,,,,,,つらいち,,,,,,,,面一,,,"つらいち
面一にそろえる",,
,,13,38,,,,,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី,,,,,,,,,ぶれーど（はいどばん）,,,,,,,ブレード（排土板）,,,,,,
(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត,移動式クレーン,13,20,,,,,,,,,,,,,,,,,いどうしきくれーん,,,,,,,"いどうしき しざい つ あ
移動式クレーンで資材を吊り上げる",,,
,,13,18,,,,"ពាក់មួកការពារ(មួក
បង្កា រភប្រ៉ះថ្នន ក់)",,,,,,,,,,ほごぼうちゃくよう,,,,,,,保護帽着用,,,,,,
,,13,14,,វធ្លិ នការ,,,,,,,,,,,,たいさく,,,,対策,,,,,,,,,
,,13,43,,ចដាោះ,,,,,,,,,,,,はずす,,,,,外す,,,,,,"あんぜん はず
安全カバーを外す",,
,,13,40,,,,,ចាប់ដ្្រ ាំងបន្ទា ន់,,,,,,,,,きゅうぶれーき,,,,,,,急ブレーキ,,,,,,
,,13,13,,,ប្បអប់សមប្ង្ហគ ោះបន្ទទ ន់,,,,,,,,,,,きゅうきゅうばこ,,,,,,救急箱,,,,,,,
,,13,12,,អគ្គីសនី,,,,,,,,,,,,でんき,,,,,電気,,,,,,,,
,,13,42,,ត្បមូល,,,,,,,,,,,,あつめる,,,,,集める,,,,,,,,
,,13,10,,,,,,រត់បគ្ច,,,,,,,,,にげる,,,,,逃げる,,,,,,,
,,13,2,,,,ស៊ូរបញ្ឈប់,,,,,,,,,,とめて,,,,,,,止めて,,,,,,
,,13,1,,,,ឧរតិរហ្ត,,,,,,,,,,じこ,,,,,,,事故,,,,,,
,,13,8,,,,ស្មាមមិៃប ះ,,,,,,,,,,もえないごみ,,,,,,燃えないごみ,,,,,,,
,,14,44,,,,ចម្នាល ោះ,,,,,,,,,,すきま,,,,,,,すきま,,,,,,
,,14,3,,ណ ៉ោ ង្ណ្វើការ,,,,,,,,,,,,ろうどうじかん,,,,,労働時間,,,,,,,,
,,14,35,ចុំណងចឡ្ល ោះគ្នា,,,,,,,,,,,,,ちどりけっそく,,,,,千鳥結束,,,,,,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",,
,,14,2,,,,ស៊ូរយក,,,,,,,,,,とって,,,,,,,取って,,,,,,
,,14,23,,,,ក្បការក្តួតពិនិតយ,,,,,,,,,,てんけんじこう,,,,,,,,点検事項,,,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,
,,14,38,,,,,សំបកកង់,,,,,,,,,たいや,,,,,,,タイヤ,,,,,,
,,14,26,,,,ស ើបសងាើត្សលទរុខ្សៅម្ ងុ,,,,,,,,,,めんぎ,,,,,,,面木,,,,"かたわく めん ぎ と つ
型枠に面木を取り付ける",,
,,14,29,,,,ឧបករណ៏វាេ់បញ្ឈររតង់,,,,,,,,,,さげふり,,,,,,,下げ振り,,,,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する",,
ែខ(cid:717)ពួរជំនួយ,介しゃくロープ,14,20,,,,,,,,,,,,,,,,,かいしゃくろーぷ,,,,,,,"かい にもつ ふ
介しゃくロープで荷物の振れをおさ
える",,,
,,14,13,,,បនទោះបិទមលើស្នា មរបួស,,,,,,,,,,,ばんそうこう,,,,,,絆創膏,,,,,,,
,,14,42,,ស្ទា ប,,,,,,,,,,,,さわる,,,,,触る,,,,,,,,
,,14,12,,សធមាងប្រកាសអាសនែ,,,,,,,,,,,,けいほうおん,,,,,警報音,,,,,,,,
,,14,41,,,,,បល្ឆេះលចាល,,,,,,,,,あいどりんぐ,,,,,,,アイドリング,,,,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める",,
,,14,43,,ពត់,,,,,,,,,,,,まげる,,,,,曲げる,,,,,,,,
,,14,14,,(ការ)ធ្លា ក់,,,,,,,,,,,,らっか（する）,,,,落下（する）,,,,,,,"あしば こ う ぐ らっか
足場から工具が落下した",,
,,14,18,,,,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព,,,,,,,,,,あんぜんたいしよう,,,,,,,安全帯使用,,,,,,
,,14,8,,,,ស្មាមប ះ,,,,,,,,,,もえるごみ,,,,,,燃えるごみ,,,,,,,
,,14,32,"េរសេដែកពង្រឹរដនែក
បបើកចំ រ",,,,,,,,,,,,,かいこうほきょうきん,,,,,開口補強筋,,,,,,窓開口部は開口補強筋を組立てる,,
,,14,6,,,,កុំបិ េរនតអ្គ្គិនសី,,,,,,,,,,すいっちきるな,,,,,,,スイッチ切るな,,,,,,
,,14,5,,ធប្រគ្មុះថ្នន ក់ការងារ,,,,,,,,,"អ្កសរកាត់សប្រមារ់ពាកយ ""ធប្រគ្មុះថ្នន ក់
ការងារ"" ។ មានន័យថ្នមានរងររួសកន ុង
ធពលធ្វើការឬមានជមៃឺធដាយសារការងារ។",,,ろうさい,,,,労災,,,,,,,,,
,,14,1,,,,សរម្លៀករំពាក់,,,,,,,,,,ふくそう,,,,,,,服装,,,,,,
,,14,10,,,,,,កផ្នលងការង្ករ,,,,,,,,,げんば,,,,,現場,,,,,,,
(cid:535)ំជេណ(cid:625)(cid:822)រេឡ(cid:822)ងចុះ,昇降階段,15,20,,,,,,,,,,,,,,,,(cid:822)ងចុះ,しょうこうかいだん,,,,,,,"あしばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使
う",,,
,,15,23,,,,េងន់ចំណុ ះដ្ឋក់,,,,,,,,,,せきさいかじゅう,,,,,,,,積載荷重,,,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,
,,15,41,,,,,លបើកបរ,,,,,,,,,そうこう,,,,,,,走行,,,,,,
,,15,43,,បចចេញ,,,,,,,,,,,,だす,,,,,出す,,,,,,"てっきん ま
鉄筋を曲げる",,
,,15,26,,,,ម៉ា សុ៊ីនរំញ៉ារ័,,,,,,,,,,ばいぶれーたー,,,,,,,バイブレーター,,,,"し かた
バイブレーターでコンクリートを締め固
める",,
