Example,How to read (Hiragana),No.,Note,Page,Picture,Sign,Translation,Word/Phrase
"し かた
バイブレーターでコンクリートを締め固
める",ばいぶれーたー,15,,26,,,Vibrator(cid:9),バイブレーター
"せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",せつだんすんぽう,15,,35,,,Cutting dimensions,切断寸法
,しょうこうかいだん,15,,18,,,STAIRWAY,昇降階段
,たいちょう,15,,13,,,Physical condition,体調
,くろーら,15,,38,,,Crawler,クローラ
,こんせんと,15,,12,,,Electric outlet,コンセント
"あしばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使
う",しょうこうかいだん,15,,20,,,Stairway,昇降階段
"かいこうぶ ついらく
開口部から墜落した",ついらく（する）,15,,14,,,Falling down (Fall down),墜落（する）
,そうこう,15,,41,,,Running,走行
,さぎょう,15,,10,,,Work,作業
,だめ（な）,15,,2,,,"No. ; No good (bad;
wrong)",だめ（な）
"きかい て はさ
機械に手が挟まれた",はさまれる,15,,8,,,"To get sandwiched in
between",挟まれる
,ろうさいほけん,15,"Insurance that provides a lump-sum
payment or the like to cover the payment
to hospitals to treat an injury or sickness
and daily costs incurred during the
unworkable period due to an industrial
accident and to compensate unrecoverable
disability if admitted.",5,,,"Industrial accident
compensation insurance",労災保険
,しようきんし,15,,6,,,Do not use.,使用禁止
,あんぜんそうち,15,,1,,,Safety equipment,安全装置
,きゅうけいじょ,16,,18,,,BREAK AREA,休憩所
"しゅうい あんぜん かくにん
周囲の安全を確認する",かくにん（する）,16,,14,,,Check (Check),確認（する）
,さぎょうば,16,,12,,,Workshop,作業場
"かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",はくりざい,16,,26,,,Remover,剥離剤
,かわかす,16,,43,,,Dry,乾かす
"か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",かこうすんぽう,16,,35,,,Machining dimensions,加工寸法
"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",すじかいとめぴん,16,,20,,,Cross bracing pin,筋かい止めピン
"くるま かぎ
車の鍵",きー（かぎ）,16,,38,,,Key,キー（鍵）
,ち,16,,13,,,Blood,血
"さしきん
コンクリートに差筋をする",さしきん,16,,32,,,Expansion joint,差筋
"す と わく せ っ ち
捨てコンクリートの止め枠を設置する",すてこんくりーと,16,,29,,,Leveling concrete,捨てコンクリート
,せんかい,16,,41,,,Turning,旋回
,あたい,16,,45,,,Value,値
"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",すきま,16,,23,,,Clearance,すき間
"てっきん なが そろ
鉄筋の長さを揃える",そろえる,16,,42,,,Make uniform,揃える
,みーてぃんぐ,16,"Conferences, morning gatherings, and
evening gatherings can also be called
a ""ミーティング.""",10,,,Meeting,ミーティング
"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",まきこまれる,16,,8,,,To get caught in,巻き込まれる
"かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",とおりをみる,17,,23,,,Check correctness,通りを見る
,ねっちゅうしょう,17,,13,,,Heatstroke,熱中症
,けんしゅう（する）,17,,10,,,"Training (to train/be
trained)",研修（する）
,"さぎょうそうち
（あたっちめんと）",17,,38,,,"Work equipment
(Attachment)","作業装置
（アタッチメント）"
,さぎょうだい,17,,12,,,Workbench,作業台
,かぞえる,17,,43,,,Count,数える
"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",かさねつぎて,17,,35,,,Lap splicing,重ね継手
"いた と つ
けこみ板を取り付ける",けこみいた,17,,26,,,Riser,けこみ板
"かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",はねだし,17,"A condition in which a scaffold plank
is extending far to one side from the
support. It is extremely dangerous as
a worker can fall if he/she steps on it
without knowing.",29,,,Overhanging,はね出し
,あんてい（する）,17,,45,,,Stable (Stabilize),安定（する）
,やけど（する）,17,,8,,,Burn (to get burned),やけど（する）
"はしらしゅきん ぐみ た
柱主筋を組立てる",はしらしゅきん,17,,32,,,Longitudinal bar,柱主筋
"ざいりょう むす
材料をまとめてひもで結ぶ",むすぶ,17,,42,,,Tie,結ぶ
,あんぜんろっく,17,,41,,,Safety lock,安全ロック
,さいだいせきさいかじゅう,17,,18,,,"MAXIMUM LOAD
CAPACITY",最大積載荷重
"きゃくちゅう さいご さ こ
脚柱ジョイントは最後まで差し込む",きゃくちゅうじょいんと,17,,20,,,Leg column joint,脚柱ジョイント
"き
エンジンをかける、エンジンを切る",えんじん,18,,38,,,Engine,エンジン
,こうじげんば,18,,12,,,Construction site,工事現場
"はしらはいきん ず めん かくにん
柱配筋を図面で確認する",はしらはいきん,18,,32,,,Reinforced column,柱配筋
"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",めじぼう,18,,26,,,Joint bar,目地棒
,おおきさ,18,,45,,,Size,大きさ
"だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",はらみ,18,,29,,,Swell,はらみ
,きつえんじょ,18,,18,,,SMOKING AREA,喫煙所
"れんけつ さいご さ こ
連結ピンは最後まで差し込む",れんけつぴん,18,,20,,,Coupling pin,連結ピン
"あ し ば く み た
足場を組立てる",くみたて,18,,23,,,Assembly,組立
"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",あっせつつぎて,18,,35,,,Stud joint,圧接継手
,はこぶ,18,,43,,,Carry,運ぶ
,あんぜんしちゅう,18,,41,,,Safety post,安全支柱
"かいだん お
階段から落ちる",おちる,18,,8,,,To fall,落ちる
,しゃがむ,18,,42,,,Squat,しゃがむ
,はきけ,18,,13,,,Nausea,吐き気
,じっしゅう（する）,18,,11,,,"Practical training (to
give/receive practical
training)",実習（する）
"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",しょくちょう,19,,12,,,Foreman,職長
,おうと（する）,19,,13,,,Vomiting (Vomit),嘔吐（する）
"きん しょてい く み た
スラブ筋を所定のピッチで組立てる",すらぶきん,19,,32,,,Reinforced slab,スラブ筋
"かたわく なが こ
型枠にコンクリートを流し込む",こんくりーと,19,,26,,,Concrete,コンクリート
,かず,19,,45,,,Number(cid:9),数
"まえつら そろ
前面を揃える",まえつら,19,,29,,,Front,前面
,せいりせいとん,19,,18,,,KEEP IN ORDER,整理整頓
"かなぐ かくじつ さいご
ジョイント金具は確実に最後までは
める",じょいんとかなぐ,19,,20,,,Joint fitting,ジョイント金具
"した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",じぐみ,19,,23,,,"Basic assembly on the
ground",地組
"かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",かいこうぶ,19,,35,,,Opening,開口部
,あいさつ,19,,11,,,Greeting,あいさつ
,でぃーぜるえんじん,19,,38,,,Diesel engine,ディーゼルエンジン
"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",ほきゅう（する）,19,,41,,,Refueling (Refuel),補給（する）
"ざいりょう つ
材料をくずれないように積む",つむ,19,,43,,,Load,積む
"ゆか
床がすべる",すべる,19,,8,,,To slip,すべる
,ちょうせい（する）,19,,42,,,Adjustment (Adjust),調整（する）
,ごさ,20,,45,,,Error,誤差
,えんじんおいる,20,,38,,,Engine oil,エンジンオイル
,ちゅうしゃ（する）,20,,41,,,Parking (Park),駐車（する）
"ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",ようせつかなあみ,20,,35,,,Welded wire mesh,溶接金網
"きん く み た
ベース筋を組立てる",べーすきん,20,,32,,,Footing bottom rebar,ベース筋
"て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",てんば,20,"It is also called a ""Uwaba.""",23,,,Top surface,天端
"すんぽう はか
コンベックスで寸法を測る",こんべっくす,20,,26,,,Metal tape measure,コンベックス
"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",ようじょう,20,,30,,,Curing,養生
,あんぜんつうろ,20,,18,,,SAFETY PASSAGE,安全通路
"しざい こてい
レバーブロックで資材を固定する",ればーぶろっく,20,,20,,,Lever block,レバーブロック
,あしがつる,20,,13,,,Have a leg cramp,足がつる
,さぎょうせきにんしゃ,20,,12,,,Work supervisor,作業責任者
"こうじょう ころ
工場ですべって転んだ",ころぶ,20,,9,,,To fall; stumble,転ぶ
,とじる,20,,42,,,Close,閉じる
"に だ い に も つ お
トラックの荷台から荷物を下ろす",おろす,20,,43,,,Unload,下ろす
,かくにん（する）,20,,11,,,Check (to check),確認（する）
,きぶんがわるい,21,,13,,,Feel sick,気分が悪い
"かたわく せつだん まる しよう
型枠の切断は丸のこを使用する","でんどうのこ（まるの
こ）",21,,20,,,"Electric saw (Circular
saw)",電動のこ（丸のこ）
"ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",たまかけ・たまがけ,21,,24,,,Slinging,玉掛け
"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",さぎょうようてぶくろ,21,,27,,,Work gloves,作業用手袋
"のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",はんしゅつ,21,,36,,,Carrying out(cid:9),搬出
"おびきん く み た
帯筋を組立てる",おびきん（ふーぷ）,21,,33,,,Hoop,帯筋（フープ）
,"おるたねーた
（じゅうでんはつでんき）",21,,39,,,"Alternator
(Rechargeable generator)","オルタネータ
（充電発電機）"
,なか,21,,45,,,Inside,中
"そくりょう
レベルを測量する",れべる,21,,30,,,Level,レベル
,ほうこく（する）,21,,11,,,Report (to report),報告（する）
,はなれる,21,,43,,,Go away,離れる
,ぬれる,21,,9,,,To get wet,濡れる
,ほこうしゃ,21,,41,,,Pedestrian,歩行者
"かたわく わ つ
型枠を割り付ける",わりつけ,22,,30,,,Allocation,割付
,ばってり,22,,39,,,Battery,バッテリ
,はんたい,22,,45,,,Opposite,反対
,ねぶそく,22,,13,,,Lack of sleep,寝不足
"し ゆる
モンキースパナでナットを締める・緩
める",もんきーすぱな,22,"It is also called ""Monkey
wrench.""",21,,,Adjustable wrench,モンキースパナ
"じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",あいず,22,,24,,,Signal,合図
,しゃりょう,22,,41,,,Vehicle,車両
"さしがね すんぽう はか
差金で寸法を測る",さしがね,22,,27,,,L-square ruler,差金
"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",はんにゅう,22,,36,,,Carrying into,搬入
"し た ばきん く み た
下端筋を組立てる",したばきん,22,,33,,,Lower rebar,下端筋
,れんらく（する）,22,,11,,,"Communication (to
communicate)",連絡（する）
,えいせい,22,,9,,,Sanitation,衛生
,まわり,23,,45,,,Circumference,周り
"き そ はいきん
基礎の配筋をおこなう",きそ,23,The base of a building,36,,,Foundation,基礎
,ねんりょう,23,,39,,,Fuel,燃料
,しかく,23,Areas not visible by the driver,41,,,Vehicle blind spot,死角
"ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",ていかくかじゅう,23,,24,,,Rated load,定格荷重
"すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",すいへいき,23,,27,,,Leveler(cid:9),水平器
"かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",うめこみかなもの,23,,30,,,Metal insert,埋め込み金物
"う わ ばきん く み た
上端筋を組立てる",うわばきん,23,,33,,,Upper rebar,上端筋
,あんぜんねっと,23,,13,,,Safety net,安全ネット
"おやづな は い ち おやづなしちゅう と
親綱を張る位置に親綱支柱を取り
つ
付ける",おやづなしちゅう,23,,21,,,Main rope post,親綱支柱
,ひなん（する）,23,,9,,,Evacuation (to evacuate),避難（する）
,そうだん（する）,23,,11,,,Consultation (to consult),相談（する）
,けいゆ,24,,39,,,Light oil,軽油
,しゃく,24,"One (1) shaku is approximately 30.3
cm",45,,,Shaku (unit of length),尺
"しゅきん く み た
主筋を組立てる",しゅきん,24,,33,,,Main rebar,主筋
"すみ すみ
墨さしを墨つぼにつける",すみさし,24,,27,,,Bamboo marking pen,墨さし
"あしば と つ
足場にブラケットを取り付ける",ぶらけっと,24,"It is also called ""Mochiokuri.""",21,,,Bracket,ブラケット
,あんぜんてんけん,24,,13,,,Safety inspection,安全点検
"かたわく かいたい
型枠を解体する（バラス）",かいたいする（ばらす）,24,,30,,,Demolish (Barasu),解体する（バラス）
"あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",たち,24,,24,,,Verticality,たち
,わたす,24,"Refers to passing something to
somebody.",11,,,To hand over,渡す
,きゅうきゅうしゃ,24,,9,,,Ambulance,救急車
"やま の しゃめん のぼ
山の斜面を上る",しゃめん,24,,41,,,Slope,斜面
"てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",きかいしきつぎて,24,,36,,,Mechanical coupler,機械式継手
"すみ すみ
墨さしを墨つぼにつける",すみつぼ,25,,27,,,Inkpot,墨つぼ
"てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",かぶりすんぽう,25,,30,,,Concrete cover thickness,かぶり寸法
,はしご,25,,21,,,Ladder,梯子
"きん く み た
あばら筋を組立てる",あばらきん,25,,33,,,Stirrup,あばら筋
"てんあつさぎょう
ローラで転圧作業をする",てんあつ（する）,25,,41,,,"Roller compaction
(compact with a roller)",転圧（する）
"せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",はいきんけんさ,25,,36,,,"Bar arrangement
inspection",配筋検査
"ふ
ブレーキを踏む",ぶれーき,25,,39,,,Brake,ブレーキ
,あお,25,,45,,,Blue,青
,さいがい,25,,9,,,Disaster,災害
,しんせいしょ,25,,11,,,Application,申請書
"あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",しょくちょう,25,,24,,,Foreman,職長
,あか,26,,45,,,Red,赤
"じ しん お
地震が起きる",じしん,26,,9,,,Earthquake,地震
,ねぼう（する）,26,,11,,,"Oversleeping (to
oversleep)",寝坊（する）
"じ しん つくえ した
地震だ！机の下にもぐれ！",もぐる,27,,9,,,To hide; dive,もぐる
,しろ,27,,45,,,White,白
,きいろ,28,,45,,,Yellow,黄色
