"だ い       か       き     そ
第1課基礎30",Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 21,Unnamed: 31
7,吊り上げ用クランプ,つりあげようくらんぷ,မ   ရာတွင်သု ်းသသာ ညြှပ်,"つ          あ          よ う                                  も ち               き ん け つ
吊り上げ用クランプを用いて緊結し                               た
たん かん         つ          あ
単管を吊り上げる","မ   ရာတွင်သု ်းသသာညြှပ်ကှိုသု ်း၍
ပူ်း  ည်ထာ်းသသာပှိုက်လု ်းကှို    မသည်"
"だい       か
第13課 とび①",,,,,
သင ခန ်းစာ ၁၃။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
8,直交クランプ,ちょっこうくらんぷ,ရုှိက်သထာင်ဲ့မ န်က သသာ ညြှပ် (Orthogonal clamp),"ちょっこう                                  も ち               たん かん        き ん け つ
直交クランプを用いて単管を緊結す
る",ရုှိက်သထာင်ဲ့မ န်က သသာညြှပ်ကှိုသု ်း၍ ပှိုက်လု ်းကုှိ  ုှိင် ုှိင်ပူ်းကပ်သည်
9,フック,ふっく, ှိ တ်သကာက်,ワイヤーロープをフックにかける,"ဝှိုင်ယာကကှိြုံ်းကုှိ  ှိ တ်သကာက်တွင်
 ှိ တ်သည်"
10,ストレートシャックル,すとれーとしゃっくる,အသခဖာင်ဲ့ တ်ကွင််း (Straight shackle),ワイヤーをストレートシャックルにかける,"ဝှိုင်ယာကကှိြုံ်းကှို
အသခဖာင်ဲ့ တ်ကွင််းတွင်  ှိ တ်သည်"
11,滑車,かっしゃ,စက်သ ်း,"か っ し ゃ        ざいりょう         つ           あ
滑車で材料を吊り上げる",စက်သ ်းခဖင်ဲ့ ကုန်ကကမ််းကှို မ   သည်
12,クレーン,くれーん,ဝန်   စက် (ကရှိန််း),"し  ざ  い          つ          あ
クレーンで資材を吊り上げる",ကုန်ပစစည််းမ ာ်းကှို မ   သည်
13,移動式クレーン,いどうしきくれーん,သရွွဲ့လ ာ်းန္ှိုင်သည်ဲ့ကရှိန််း,"い  ど  う  し き                                  し  ざ  い          つ          あ
移動式クレーンで資材を吊り上げる",သရွွဲ့လ ာ်းန္ှိုင်သည်ဲ့ကရှိန််းခဖင်ဲ့ ကုန်ပစစည််းမ ာ်းကှို မ   သည်
14,介しゃくロープ,かいしゃくろーぷ,ကရှိန််းခဖင်ဲ့ပစစည််းခပန်   ှိ န် တွင်ဆွ ယူရန်ကကှိြုံ်း,"かい                                              に  も  つ          ふ
介しゃくロープで荷物の振れをおさえ
る",ကရှိန််းခဖင်ဲ့ပစစည််းခပန်   ှိ န်တွင်ဆွ ယူရ န် ကကှိြုံ်းခဖင်ဲ့ကုန်စည်မ ာ်း မလှုပ်ယမ််းသအာင် ထှိန််းသည်
15,昇降階段,しょうこうかいだん,ခငမ််းအတွင််းရှိ သလ ကာ်း,"あ  し  ば じょうそう       のぼ                     しょうこうかいだん       つか
足場上層に上るには昇降階段を使う",ခငမ််းအသပေါ်ဆင်ဲ့သှိုဲ့တက်ရန် ခငမ််းအတွင််းရှိ သလ ကာ်းကုှိသု ်းသည်
16,筋かい止めピン,すじかいとめぴん,တသစာင််းအာ်းခဖည်ဲ့ထည်ဲ့ သွင််းထာ်းသသာသစ်သာ်း တန််းအာ်း ကုတ်ထာ်းသည်ဲ့ တွယ်ဆက် ပင်ငုတ်,"す じ                 と                                さ           こ            お          ま
筋かい止めピンを差し込み折り曲げ
ておく",တွယ်ဆက်ပင်ငုတ် ကှို စှိုက်သွင််း၍ သကွ်းထာ်းသည်
"だい       か
第13課 とび①",,,,,
သင ခန ်းစာ ၁၃။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
17,脚柱ジョイント,きゃくちゅうじょいんと,"သအာက်သခ အမ တ်အဆ က်
(Leg column joint)","きゃくちゅう                                    さ  い  ご                 さ           こ
脚柱ジョイントは最後まで差し込む",သအာက်သခ အမ တ်အဆက်ကုှိ တစ်ဆု ်းထှို်းသွင််းသည်
18,連結ピン,れんけつぴん,တွယ်ဆက်ပင်ငုတ် (Connecting pin),"れんけつ                     さ  い  ご                 さ           こ
連結ピンは最後まで差し込む",
19,ジョイント金具,じょいんとかなぐ,တွယ်ဆက်သတတ ြုံခပာ်း (Joint metal fittings),"か  な  ぐ        か く じ つ        さ  い  ご
ジョイント金具は確実に最後まではめ
る",တွယ်ဆက်သတတ ြုံခပာ်းကှို အဆု ်းအထှိ သသ  ာတပ်ဆင်သည်
20,レバーブロック,ればーぶろっく,"လ ဗာ
ေသလာက်(စက်သ ်း) (Lever block)","し  ざ  い         こ  て  い
レバーブロックで資材を固定する",လ ဗာေသလာက်ခဖင်ဲ့ ကုန်ပစစည််းမ ာ်းကုှိ မလှုပ်သအာင်  ည်ထာ်း်းသည်
21,電動のこ（丸のこ）,でんどうのこ（まるのこ）,လျှပ်စစ်လ  (မာရုန္ှိုကဲ့ုှိ),"か た わ く        せつだん        ま る                     し  よ   う
型枠の切断は丸のこを使用する",ပု စ  ွက်သောင်ကှိုခဖတ်ရန် လျှပ်စစ်လ ကှိုသု ်းသည်
22,モンキースパナ,もんきーすぱな, ွရ င် (Monkey spanner),"し                     ゆ る
モンキースパナでナットを締める・緩
める", ွရ င်ခဖင်ဲ့ မူလ သ ါင််းကှို က ပ်သည်/သ  ာင်သည်
23,親綱支柱,おやづなしちゅう,လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကုှိ ှိ တ်ဆွ သည်ဲ့ကကှိြုံ်းကှို သထာက်  သည်ဲ့တှိုင်,"おやづな         は           い     ち          お や づ な し ち ゅ う         と          つ
親綱を張る位置に親綱支柱を取り付
ける",လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကုှိ ှိ တ်ဆွ သည်ဲ့ ကကှိြုံ်းကုှိ   ည်ရမည်ဲ့သနရာကှို၊  သထာက်  သည်ဲ့တုှိင်တွင် တပ်ဆင်သည်
24,ブラケット,ぶらけっと,အထှိန််း အသထာက်,"あ  し  ば                                                 と           つ
足場にブラケットを取り付ける",ခငမ််းသအာက်တွင် အထှိန််းအသထာက် ကှိုတပ်ဆင်သည်
25,梯子,はしご,လုပ်ငန််း ွင်သု ်းသလ ကာ်း,,
"だい       か
第14課 とび②",,,,,
သင ခန ်းစာ ၁၄။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,親綱,おやづな,"လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကုှိ
 ှိ တ်ဆွ ယူသည်ဲ့ကကှိြုံ်း","お やづな        あんぜんたい
親綱に安全帯をかける","လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကုှိ ှိ တ်ဆွ ယူသည်ဲ့ ကကှိြုံ်းတွင် လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကှို
 ှိ တ်သည်"
2,建枠（ビティ）,たてわく（びてぃ）,အသင်ဲ့သု ်းခငမ််းသောင်,"た て わ く                                   も ち               あ  し  ば         く  み  た
建枠（ビティ）を用いて足場を組立て
る",အသင်ဲ့သု ်းခငမ််းသောင်ကုှိအသု ်းခပြုံ၍ခငမ််း ဆင်သည်
3,メッシュシート,めっしゅしーと,ဆန် ါကွက်(ပှိုက်ကွက်) အ င််းခပာ်း,"あ  し  ば  わ く                                                           と          つ
足場枠にメッシュシートを取り付け                               る",ခငမ််းသောင်တွင် ပှိုက်ကွက်အ င််းခပာ်းကှို တပ်သည်
4,防音パネル,ぼうおんぱねる,အသ ကာသောင်ခပာ်း,"そ う お ん た い さ く                   ぼ う お ん                             せ  っ  ち
騒音対策として防音パネルを設置す
る",အသ ဆူည မှုကာကွယ်သရ်းအတွက်အသ ကာသောင်ခပာ်းမ ာ်းတပ်ဆင်သည်
5,朝顔材,あさがおざい,ခပြုံတ်က လာသည်ဲ့ပစစည််းကှို ဖမ််း  သပ်းသည်ဲ့အ  ,"あ さ がおざ い        ひ  ら  い  ら  っ  か  ぼ  う  し
朝顔材は飛来落下防止のためにつか
う",ခပြုံတ်က လာသည်ဲ့ပစစည််းကှိုဖမ််း  သပ်းသည်ဲ့အ  သည် ပ  စင်လွင်ဲ့ထွက် ခပြုံတ်က မှု ကာကွယ်သရ်းအတွက် သု ်းသည်
6,架空線,かくうせん,ဓာတ်အာ်းလှိုင််းကကှိြုံ်း,"か   く   う せ ん        せっしょく
架空線へ接触させないようにする",ခငမ််းစင်ကုှိဓာတ်အာ်းလှိုင််းကကှိြုံ်းန္ င်ဲ့ မထှိသအာင်လုပ်သည်
7,幅木（仮設足場）,はばき（かせつあしば）,ကကမ််းခပင်အစွန််းမ သထာင်ထာ်းသသာအခပာ်း (ယာယ ခငမ််း),"ろ う ど う し ゃ        つ い て ん ら く       き     ぐ           ら  っ  か  ぼ   う  し
労働者の墜転落・器具の落下防止の
あ  し  ば         は  ば  き        も う
ために足場に幅木を設ける",အလုပ်သမာ်းမ ာ်းလှိမ်ဲ့မက ရန်၊  ပစစည််းမ ာ်းသအာက်မက သစရန်ကကမ််းခပင် အစွန််းတွင်သထာင်ထာ်းသသာအခပာ်းကှို တပ်ထာ်းသည်
8,単管,たんかん,ပှိုက်လု ်း,"たん かん        も ち                あ  し  ば           く             た
単管を用いて足場を組み立てる",ပှိုက်လု ်းကုှိအသု ်းခပြုံ၍ခငမ််းဆင်သည်
"だい       か
第14課 とび②",,,,,
သင ခန ်းစာ ၁၄။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
9,脚立,きゃたつ,သ ါက်သလ ကာ်း,,
10,作業半径,さぎょうはんけい,လုပ်ငန််းလှုပ်ရ ာ်းသနသည်ဲ့ အ  င််းဝက်,"じ ゅ う き さ ぎ ょ う         さ ぎ ょ う は ん け い          た           い               き ん
重機作業の作業半径に立ち入りを禁
し
止する",စက်အကက ်းစာ်းလှုပ်ရ ာ်းသနသည်ဲ့ အ  င််းဝက်အတွင််းမဝင်ရ
11,仮ボルト,かりぼると,သရ ွဲ့သခပ်းယာယ တပ်ဆင်သ ည်ဲ့မူလ ,"か り                            こ う ぞ う た い        か り         こ   て  い
仮ボルトで構造体を仮に固定する",သရ ွဲ့သခပ်းယာယ တပ်ဆင်သည်ဲ့မူလ ခဖင်ဲ့အ သဆာက်အအု ၏သအာက်  သောင်ကှိုယာ ယ မူလ စုပ်သည်
12,手直し,てなおし,ခပန်လည် ှိ န်ညှိြှခ င််း/ခပင်ဆ င်ခ င််း,"し  て  き                       ば  し  ょ         て  な  お
指摘された場所を手直しする",ခငမ််းတွင်အခပစ်သခပာ  ရသသာသနရာကှို ခပန်လည်ခပင်ဆင်သည်
13,面一,つらいち,မ က်န္ ာခပင်န္ စ် ုအကကာ်းအ လပ်မရှိ ထှိကပ်သနခ င််း,"つ ら い ち
面一にそろえる",မ က်န္ ာခပင်န္ စ် ုအကကာ်းအလပ်မရှိ ထှိကပ်သနသအာင်ညှိြှသည်
14,点検事項,てんけんじこう,စစ်သဆ်းရမည်ဲ့အ  က်မ ာ်း,"し  よ   う               こ   う   ぐ        て ん け ん  じ   こ   う         も と                し
使用する工具は点検事項に基づき始
ぎょうま えて ん け ん
業前点検をおこなう",အသု ်းခပြုံမည်ဲ့ကှိရှိယာမ ာ်းကှို၊ စစ်သဆ်းရမည်ဲ့အ  က်မ ာ်းအသပေါ်     အသခ   ၍လုပ်ငန််း မစမ စစ်သဆ်းသည်
15,積載荷重,せきさいかじゅう,တင်သဆာင်န္ှိုင်သည်ဲ့ကုန်အ သလ်း ှိ န်,"せ き さ い か じ ゅ う         こ
トラックの積載荷重を超えないよう                               に
つ            こ
積み込む",ထရပ်ကာ်းတွင်တင်သဆာင်န္ှိုင်သည်ဲ့ကုန် အသလ်း ှိ န်ထက်မသက ာ်သအာင် တင်သည်
16,すき間,すきま,ကကာ်းလပ်သနသည်ဲ့သနရာ,"ぼ う お ん                                         ま            あ
防音シートはすき間が空かないよう                               に
と          つ
取り付ける",အသ ကာအ  ပ်ခပာ်းကှိုကကာ်းလပ်သနသည်ဲ့ သနရာမရှိ သအာင်တပ်ဆင်သည်
17,通りを見る,とおりをみる,သခဖာင်ဲ့မသခဖာင်ဲ့ကကည်ဲ့သည်,"かたど お              ね  ぎ  り           で     き                              と お
やり方通りで根切が出来ているか通
りをみる",လုပ်ပု လုပ်နည််းအတုှိင််းလုပ်လျှင်၊သခမတူ်း တာသခဖာင်ဲ့မသခဖာင်ဲ့ကှိုကကည်ဲ့သည်
"だい       か
第14課 とび②",,,,,
သင ခန ်းစာ ၁၄။ ခဆာက လိုြ ခရ်းလိုြ ငန ်းဆို င ရာ အ မင့် ြို င ်းအလိုြ   (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
18,組立,くみたて,သပါင််းစပ်တည်သဆာက်ခ င််း/ ဆင်ခ င််း,"あ  し  ば         く  み  た
足場を組立てる",ခငမ််းဆင်သည်
19,地組,じぐみ,ရှုပ်သထွ်းသသာအစှိတ်အပှိုင််း မ ာ်းကုှိသခမသပေါ်တွင်ယာယ တပ်ဆင်ခ င််း,"し た          じ   ぐ み              あ  し  ば                                          あ
下で地組した足場をクレーンで上げ
う え          と          つ
て上で取り付ける",သခမသပေါ်တွင်ယာယ တပ်ဆင်ထာ်းသသာ ခငမ််းအစှိတ်အပှိုင််းမ ာ်းကှိုကရှိန််းခဖင်ဲ့ ဆွ တင်၍အသပေါ်တွင်တပ်ဆင်သည်
20,天端,てんば,ကွန်ကရစ်မ က်န္ ာခပင်တွင် စှိုက်ထာ်းသသာ သ သ  ာင််း,"て  ん  ば                            へいかつ
コンクリートの天端をコテで平滑に                               な
らす",ကွန်ကရစ်မ က်န္ ာခပင်တွင် သ သ  ာင််းကှို ရုှိက်ထည်ဲ့သည်
21,玉掛け,たまかけ・たまがけ,"ပစစည််းမ ာ်း သယ်မ ှိ န်တွင် ခပြုံတ်မက သစရန်ကကှိြုံ်းခဖင်ဲ့
  ည်ခ င််း","ざいりょう         つ          あ                さ い        あんぜん          い     ち
材料を吊り上げる際は安全な位置に
た ま か け
玉掛けをおこなう",ကုန်ကကမ််းပစစည််းမ ာ်း သယ်မ ှိ န်တွင် ခပြုံတ်မက သစရန်၊စှိတ်  ရသသာသနရာ၌ ကကှိြုံ်းခဖင်ဲ့   ည်သည်
22,合図,あいず,အ  က်ခပခ င််း,"じ ゅ う き さ ぎ ょ う        あ  い  ず                          あんぜん       おこな
重機作業は合図をもって安全に行う",စက်အကက ်းစာ်းမ ာ်းကှိုင်တွယ်သမာင််းန္ င် ရာတွင်၊ အ  က်ခပပပ ်းအန္တရာယ်ကင််းစွာ လုပ်သဆာင်ရမည်
23,定格荷重,ていかくかじゅう,ပု သသသတ်မ တ်အသလ်း ှိ န်,"て い か く か じ ゅ う         こ                  つ                      さ ぎ ょ う
定格荷重を超えて吊りもの作業はお
こなわない",ပု သသသတ်မ တ်အသလ်း ှိ န်ကှိုသက ာ်လွန် သသာဆွ တင်လုပ်ငန််းမ ာ်းမလုပ်ရပါ
24,たち,たち,(သခမမ က်န္ ာခပင်န္ င်ဲ့) သထာင်ဲ့မ န်က ခ င််း,"あ  し  ば  し  ち  ゅ  う                              み             すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",ခငမ််း၏တှိုင်မ ာ်း သခမမ က်န္ ာခပင်န္ င်ဲ့ သထာင်ဲ့မ န်က မက  ကကည်ဲ့သည်
25,職長,しょくちょう,လုပ်ငန််း ွင်လမ််းည န် ကက ်းကကပ်သူ,"あ  し  ば  く み た て        しょくちょう          し     じ          したが
足場組立は職長の指示に従う","ခငမ််းဆင်ရာတွင်
လုပ်ငန််း ွင်လမ််းည န်ကက ်းကကပ်သူ၏ ည န်ကကာ်း  က်ကှို လှိုက်နာရမည်"
"だい       か   かたわく
第15課 型枠①",,,,,
သင ခန ်းစာ ၁၅။ ကွန ကရစ ခလာင ်းရန  ြံိုစံခွက ခဘာင လိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,安全カバー,あんぜんかばー,လု ခ  ြုံသရ်းကာဗာအဖု ်း,"あ  ん  ぜ ん                 し よ  う         じ こ         ふ  せ
安全カバーの使用で事故を防ぐ",လု ခ  ြုံသရ်းကာဗာအဖု ်းကုှိသု ်းခ င််းအာ်းခဖင်ဲ့ မသတာ်တဆခဖစ်မှုမ  ကာကွယ်သည်
2,安全帯,あんぜんたい,လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်း,"あんぜんたい        あ  し  ば          と          つ
安全帯を足場に取り付ける","လု ခ  ြုံသရ်း ါ်းပတ်ကကှိြုံ်းကှို ခငမ််းတွင်
 ှိ တ်သည်"
3,インサート,いんさーと,ကွန်ကရစ်ထ တွင်ခမြုံပ်ထည်ဲ့ ထာ်းသသာ သ ထည် အစှိတ်အပှိုင််း,"せ  っ  ち
インサートをコンクリートに設置す                               るた
か た わ く          う           こ
め、型枠に打ち込む",ကွန်ကရစ်ထ တွင် သ ထည်အစှိတ်အပှိုင််း ကုှိ ခမြုံပ်ထည်ဲ့ရန်၊ ပု စ  ွက်သောင်တွင် ရုှိက်သွင််းသည်
4,スペーサ,すぺーさ,ကကာ်း  ခပာ်း,"か た わ く                                            と          つ
型枠にスペーサを取り付ける",ပု စ  ွက်သောင်တွင် ကကာ်း  ခပာ်း ကှို တပ်သည်
5,鉄筋,てっきん,သ တုှိင်၊သ သ  ာင််း,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する",သ တုှိင်န္ င်ဲ့ ပု စ  ွက်သောင်၏ ကကာ်းလပ်သနရာကှို ညှိြှသည်
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,ပလတ်သပါက်မ ာ်းပါသသာ ဓာတ်ကကှိြုံ်းရစ်လု ်း (ဒရမ်),"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む",ဓာတ်ကကှိြုံ်းရစ်လု ်း၏ ပလတ်သပါက်တွင် (ပလတ်သ ါင််းကှို) ထှို်းစှိုက်သည်
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,လျှပ်စစ်လ အဝှိုင််း,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する",လျှပ်စစ်လ အဝှိုင််းခဖင်ဲ့ ကွန််းပါန ကှို ခဖတ်သည်
8,パッキン,ぱっきん,အလု ပှိတ်ရန်သု ်းသသာ သရာ်ောကွင််း,"し           こ
パッキンを敷き込む","အလု ပှိတ်ရန်သု ်းသသာ သရာ်ောကွင််းကှို
  ထည်ဲ့သည်"
9,小バール,しょうばーる,သ ော်းသ  ာင််းအသသ်း,"しょう                               く ぎ          ぬ
小バールで釘を抜く",သ ော်းသ  ာင််းအသသ်းခဖင်ဲ့ သ သ  ာင််းကှို န္ှုတ်သည်
"だい       か   かたわく
第15課 型枠①",,,,,
သင ခန ်းစာ ၁၅။ ကွန ကရစ ခလာင ်းရန  ြံိုစံခွက ခဘာင လိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
10,大バール,だいばーる,သ ော်းသ  ာင််းအကက ်း,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する",ပု စ  ွက်သောင်ကုှိ ခပန်ခဖြုံတ်ရာ၌ သ ော်းသ  ာင််းအကက ်းကှိုသု ်းသည်
11,化粧合板,けしょうごうはん,အလ ဆင် အထပ်သာ်းခပာ်း,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する","မ က်န္ ာခပင်ဖက်မ ာ ကွန်ကရစ်က
ပင်ကှိုအတုှိင််းသပေါ်သနသသာသကကာင်ဲ့ အလ ဆင် အထပ်သာ်းခပာ်းကှိုသု ်းသည်"
12,普通合板,ふつうごうはん,ရုှိ်းရုှိ်းအထပ်သာ်းခပာ်း,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する",သက ာဖက်မ ာ ရုှိ်းရုှိ်းအသာ်းအတုှိင််းထာ်းမည်ခဖစ်၍ ရုှိ်းရုှိ်းအထပ်သာ်းခပာ်းကှိုသု ်းသည်
13,スタイロフォーム,すたいろふぉーむ,သဖာဲ့ခပာ်း (Styrofoam),"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る",သဖာဲ့ခပာ်းကုှိ ပု စ  ွက်သောင်အတွင််း တပ်ဆင်သည်
14,面木,めんぎ,ပု စ  ွက်သောင်၏ သထာင်ဲ့တွင်ထည်ဲ့သသာ သု ်းသခမြှာင်ပု အစှိတ်အပှိုင််း,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける","ပု စ  ွက်သောင်တွင်
သု ်းသခမြှာင်ပု အစှိတ်အပှိုင််းကှို တပ်သည်"
15,バイブレーター,ばいぶれーたー,လျှပ်စစ်တုန် ါ စက်ကှိရှိယာ,"し          かた
バイブレーターでコンクリートを締め固
める",လျှပ်စစ်တုန် ါစက်ကှိရှိယာခဖင်ဲ့ ကွန်ကရစ်ကှို က စ်မာသအာင်လုပ်သည်
16,剥離剤,はくりざい, ွာသဆ်း,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する","ကွန်ကရစ်န္ င်ဲ့ ပု စ  ွက်သောင်ကှို
 ွာရလွယ်သအာင်  ွာသဆ်းကုှိသု ်းသည်"
17,けこみ板,けこみいた,သလ ကာ်း စသည်တုှိဲ့၏ သဒါင်လုှိက်အခပာ်း,"い た         と          つ
けこみ板を取り付ける",သဒါင်လှိုက်အခပာ်းကှို တပ်သည်
18,目地棒,めじぼう,ကွန်ကရစ်တွင် သခမာင််းသဖာ်ရန် ထည်ဲ့သသာ အသ  ာင််း,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける",ပု စ  ွက်သောင်တွင်၊ ကွန်ကရစ်ကုှိ သခမာင််းသဖာ်ရန်သု ်းသည်ဲ့အသ  ာင််းကှို တပ်ဆင်သည်
19,コンクリート,こんくりーと,ကွန်ကရစ်,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む",ပု စ  ွက်သောင်တွင် ကွန်ကရစ်ကှို သလာင််းထည်ဲ့သည်
"だい       か   かたわく
第15課 型枠①",,,,,
သင ခန ်းစာ ၁၅။ ကွန ကရစ ခလာင ်းရန  ြံိုစံခွက ခဘာင လိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
20,コンベックス,こんべっくす,အလ ာ်းတုှိင််းသည်ဲ့ သ သပတ အလှိပ်,"す ん ぽ う       はか
コンベックスで寸法を測る",သ သပတ အလှိပ်ခဖင်ဲ့အလ ာ်းတုှိင််းသည်
21,作業用手袋,さぎょうようてぶくろ,လုပ်ငန််း ွင်သု ်းလက်အှိပ်,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう","လုပ်ငန််း ွင်သု ်းလက်အှိပ်ခဖင်ဲ့
ပု စ  ွက်သောင်လုပ်ငန််းကှိုလုပ်သည်"
22,差金,さしがね,သ သပတ သထာင်ဲ့မ န် အသကာက်,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る","သ သပတ သထာင်ဲ့မ န်အသကာက်ခဖင်ဲ့အလ ာ
း်း တုှိင််းသည်"
23,水平器,すいへいき,သရခပင်ည တုှိင််းသည်ဲ့ ကှိရှိယာ,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする",သရခပင်ည တုှိင််းသည်ဲ့ကှိရှိယာခဖင်ဲ့ သစာင််းသနသည်ကှို သရခပင်ည ခဖစ်သအာင် ညှိြှသည်
24,墨さし,すみさし,"သစ်သာ်းတွင်
အမ တ်အသာ်း သရ်းခ စ်ရန် သု ်းသသာ ဝါ်း ျွန်ခပာ်း","す み                   す み
墨さしを墨つぼにつける",ဝါ်း ျွန်ခပာ်းကှို မင်အနက်ထည်ဲ့သသာသစ်သာ်းအုှိ်းတွင် စှိမ်ထာ်းသည်
25,墨つぼ,すみつぼ,မင်အနက် ထည်ဲ့သသာ သစ်သာ်းအုှိ်း,"す み                    す み
墨さしを墨つぼにつける",ဝါ်း ျွန်ခပာ်းကှို မင်အနက်ထည်ဲ့သသာသစ်သာ်းအုှိ်းတွင် စှိမ်ထာ်းသည်
"だい       か   かたわく
第16課 型枠②",,,,,
သင ခန ်းစာ ၁၆။ ကွန ကရစ ခလာင ်းရန  ြံိုစံခွက ခဘာင လိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）","ပု စ  ွက်သောင်တပ်ဆင်ရာ တွင် သတ်မ တ်ထာ်းသသာ အက ယ်ကုှိ မ န်ကန်စွာ ထှိန််းရန် သု ်းသသာ
သတတ ြုံသ  ာင််း","ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する","ပု စ  ွက်သောင်၏ အက ယ်ကုှိ
မ န်ကန်စွာ ထှိန််းရန် သတတ ြုံသ  ာင််းကှို တပ်ဆင်သည်"
2,天端釘,てんばくぎ,ကွန်ကရစ်မ က်န္ ာခပင်တွင် စှိုက်ထာ်းသသာ သ သ  ာင််း,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",ကွန်ကရစ်မ က်န္ ာခပင်တွင် သ သ  ာင််းကှို ရုှိက်ထည်ဲ့သည်
3,ケレン,けれん,သန်ဲ့ရ င််းသရ်း,"ひょうめん
コンパネの表面をけれんする",ကွန််းပါန ၏ မ က်န္ ာခပင်ကုှိ သန်ဲ့ရ င််းသရ်းလုပ်သည်
4,型枠支保工,かたわくしほこう,ကွန်ကရစ်သလာင််း ှိ န်တွင် ပု စ  ွက်သောင်ကုှိ သထာက်ကန်သည်ဲ့ လုပ်ငန််း,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う","ကွန်ကရစ်သလာင််း ှိ န်တွင်
ပု စ  ွက်သောင်ကုှိ သထာက်ကန်သည်ဲ့ လုပ်ငန််းကှို လုပ်သည်"
5,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）",သအာက်  ကွန်ကရစ်တွင် သဒါင်လုှိက်စှိုက်ထာ်းသသာ သ တှိုင်ပတ်လည်၌ ဆင်သသာသောင်,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",သတတ ြုံသောင်ခဖင်ဲ့ သအာက်  ကွန်ကရစ်တွင် သဒါင်လုှိက် စှိုက်ထာ်းသသာ သ တုှိင်ပတ်လည်၌ သောင်ဆင်သည်
