Biển báo,Chú thích,Cách đọc (Hiragana),Dịch,Page,Từ vựng,Ví dụ câu,Ảnh,No.
,,いどうしきくれーん,Xe cẩu tự hành,22,移動式クレーン,"いどうしき しざい つ あ
移動式クレーンで資材を吊り上げる",,13
,,あつめる,"Tập trung, gom",45,集める,,,13
,,すたいろふぉーむ,Tấm cách nhiệt,28,スタイロフォーム,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,13
,,はいきんしょうさいず,"Bản vẽ chi tiết bố trí cốt th
ép",34,配筋詳細図,"はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",,13
,,ほごぼうちゃくよう,Đội mũ bảo hộ,20,保護帽着用,,,13
,,つらいち,"Bề mặt của hai vật liệu
phẳng đều nhau",25,面一,"つらいち
面一にそろえる",,13
,,はずす,"Tháo, gỡ ra",46,外す,"あんぜん はず
安全カバーを外す",,13
,,とめて,Hãy dừng lại,2,止めて,,,13
,"Là tên gọi chung cho bảo hiểm y tế, bảo
hiểm hưu trí, bảo hiểm chăm sóc, bảo hiểm
thất nghiệp và bảo hiểm tai nạn lao động. Cũ
ng có trường hợp chỉ bảo hiểm y tế và bảo
hiểm hưu trí chủ yếu do nhân viên công ty
tham gia.",しゃかいほけん,Bảo hiểm xã hội,5,社会保険,,,13
,,だぶる,"Đôi, hai",37,ダブル,"はいきん
スラブはダブル配筋とする",,13
,,もえないごみ,Rác không cháy được,8,燃えないごみ,,,13
,,ざんぎょうてあて,Trợ cấp làm tăng ca,3,残業手当,,,13
,,じこ,Sự cố,1,事故,,,13
,,にげる,Trốn chạy,10,逃げる,,,13
,,ぶれーど（はいどばん）,"Lưỡi ủi (còn gọi là Tấm
gạt đất)",40,ブレード（排土板）,,,13
,,きゅうぶれーき,Phanh đột ngột,42,急ブレーキ,,,13
,,きゅうきゅうばこ,Hộp sơ cứu,14,救急箱,,,13
,,たいさく,"Giải pháp, biện pháp",15,対策,,,13
,,こうぐのていれ,Bảo dưỡng dụng cụ,31,工具の手入れ,"こ う ぐ て い
工具の手入れをおこたらない",,13
,,でんき,Điện,12,電気,,,13
,,すいっちいれるな,Không được bật công tắc,6,スイッチ入れるな,,,13
,,ひょうめん,Bề mặt,47,表面,,,13
,,ちどりけっそく,Kết nối xen kẽ,37,千鳥結束,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",,14
,,てんけんじこう,Hạng mục kiểm tra,25,点検事項,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,14
,"ろうどうさいがい
Viết tắt của ""労働災害 (Tai nạn lao động)"".
Là việc bị thương trong khi làm việc hoặc bị
bệnh do làm việc.",ろうさい,Tai nạn lao động,5,労災,,,14
,,すきま,Khe hở,47,すきま,,,14
,,めんぎ,Dải vát cạnh,28,面木,"かたわく めん ぎ と つ
型枠に面木を取り付ける",,14
,,かいこうほきょうきん,Cốt thép gia cường lỗ mở,34,開口補強筋,"まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",,14
,,かいしゃくろーぷ,"Cáp đuôi, cáp kéo lùi",22,介しゃくロープ,"かい にもつ ふ
介しゃくロープで荷物の振れをおさ
える",,14
,,あんぜんたいしよう,Sử dụng dây đai an toàn,20,安全帯使用,,,14
,,ばんそうこう,Băng dán vết thương,14,絆創膏,,,14
,,さげふり,"Quả dọi, dây dọi",31,下げ振り,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する",,14
,,けいほうおん,Âm thanh báo động,12,警報音,,,14
,,らっか,(danh từ) Sự rơi xuống,15,落下,"あしば こ う ぐ らっか
足場から工具が落下した",,14
,,たいや,Lốp xe,40,タイヤ,,,14
,,ふくそう,Trang phục,1,服装,,,14
,,あいどりんぐ,"Chạy không tải, chạy cầm
chừng",43,アイドリング,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める",,14
,,げんば,Hiện trường,10,現場,,,14
,,とって,Hãy lấy,2,取って,,,14
,,もえるごみ,Rác cháy được,8,燃えるごみ,,,14
,,さわる,"Chạm, sờ",45,触る,,,14
,,まげる,Uốn,46,曲げる,"てっきん ま
鉄筋を曲げる",,14
,,すいっちきるな,Không được tắt công tắc,6,スイッチ切るな,,,14
,,ろうどうじかん,Thời gian làm việc,3,労働時間,,,14
,,ちゅうしん,"Trung tâm, chính giữa",47,中心,,,15
,,じずみ,Đánh đấu,31,地墨,"じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",,15
,,はばどめきん,"Cốt thép đai ngắn nối hai
thanh đối diện bụng dầm đ
ể giữ khoảng cách chính x
ác giữa 2 thanh",34,幅止め筋,"はば ど きん と つ
幅止め筋を取り付ける",,15
,,しばる,"Bó, buộc",45,縛る,,,15
,,せきさいかじゅう,Hoạt tải,25,積載荷重,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,15
,,だす,Lấy ra,46,出す,,,15
,,ばいぶれーたー,Đầm dùi bê tông,28,バイブレーター,"し かた
バイブレーターでコンクリートを締め固
める",,15
,,せつだんすんぽう,Kích thước cắt ngang,37,切断寸法,"せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",,15
,,しょうこうかいだん,Cầu thang bộ,20,昇降階段,,,15
,,たいちょう,Thể trạng,14,体調,,,15
,,くろーら,Bánh xích,40,クローラ,,,15
,,こんせんと,Ổ cắm,12,コンセント,,,15
,,しょうこうかいだん,Cầu thang bộ,22,昇降階段,"あしばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使
う",,15
,,ついらく,"(danh từ) Sự rơi (từ trên
cao) xuống",16,墜落,"か い こ う ぶ ついらく
開口部から墜落した",,15
,,そうこう,Chạy,43,走行,,,15
,,さぎょう,Thao tác,10,作業,,,15
,,だめ（な）,"(tính từ) Không được, kh
ông tốt",2,だめ（な）,,,15
,,はさまれる,Bị kẹp vào,8,挟まれる,"きかい て はさ
機械に手が挟まれた",,15
,"Là bảo hiểm chi trả một khoản tiền thanh toá
n một lần trong trường hợp phát sinh chi phí
điều trị, cho khoảng thời gian không thể làm
việc hoặc cho thương tật do tai nạn lao động.",ろうさいほけん,"Bảo hiểm tai nạn lao đ
ộng",5,労災保険,,,15
,,しようきんし,Cấm sử dụng,6,使用禁止,,,15
,,あんぜんそうち,Thiết bị an toàn,1,安全装置,,,15
,,きゅうけいじょ,Khu vực nghỉ ngơi,20,休憩所,,,16
,,かくにん,"(danh từ) Sự kiểm tra, xác
nhận",16,確認,"しゅうい あんぜん かくにん
周囲の安全を確認する",,16
,,さぎょうば,Nơi làm việc,12,作業場,,,16
,,はくりざい,"Chất chống dính ván khuô
n, chất tách khuôn, chất th
áo khuôn",28,剥離剤,"かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",,16
,,かわかす,"Làm khô, sấy khô",46,乾かす,,,16
,,かこうすんぽう,Kích thước gia công,37,加工寸法,"か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",,16
,,すじかいとめぴん,"Chốt khóa thanh giằng
chéo",22,筋かい止めピン,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,16
,,きー（かぎ）,Chìa khóa,40,キー（鍵）,"くるま かぎ
車の鍵",,16
,,ち,Máu,14,血,,,16
,,さしきん,Cốt thép chờ,34,差筋,"さしきん
コンクリートに差筋をする",,16
,,すてこんくりーと,Bê tông lớp tạo phẳng,31,捨てコンクリート,"す と わく せ っ ち
捨てコンクリートの止め枠を設置する",,16
,,せんかい,Đi vòng tròn,43,旋回,,,16
,,あたい,Giá trị,48,値,,,16
,,すきま,Khe hở,25,すき間,"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",,16
,,そろえる,Xếp đều,45,揃える,"てっきん なが そろ
鉄筋の長さを揃える",,16
,"Họp, họp đầu giờ sáng, họp cuối giờ ,
v.v cũng có trường hợp được gọi là ""
ミーティング (Meeting)"".",みーてぃんぐ,Cuộc họp,10,ミーティング,,,16
,,まきこまれる,Bị cuốn vào,8,巻き込まれる,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,16
,,とおりをみる,"Kiểm tra có thẳng hay khô
ng",25,通りを見る,"かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",,17
,,ねっちゅうしょう,"Sốc nhiệt, say nắng",14,熱中症,,,17
,,けんしゅう（する）,(động từ) Đào tạo,10,研修（する）,,,17
,,"さぎょうそうち
（あたっちめんと）",Phụ tùng,40,"作業装置
（アタッチメント）",,,17
,,さぎょうだい,Bàn thao tác,12,作業台,,,17
,,かぞえる,"Chỉ bảo, dạy",46,数える,,,17
,,かさねつぎて,"Liên kết chồng, mối nối
chồng",37,重ね継手,"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",,17
,,けこみいた,"Ván đứng (giữa 2 bậc
thang)",28,けこみ板,"いた と つ
けこみ板を取り付ける",,17
,"Trạng thái nhô ra nhiều về một phía
từ nơi có sàn công tác làm chỗ đỡ.
Nếu không biết mà bước lên thì có khả
năng rơi ngã, hết sức nguy hiểm.",はねだし,Nhô ra,31,はね出し,"かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",,17
,,あんてい（する）,(danh từ) Sự ổn định,48,安定（する）,,,17
,,やけど（する）,(động từ) Bị bỏng,8,やけど（する）,,,17
,,はしらしゅきん,Cột chủ cốt thép,34,柱主筋,"はしらしゅきん ぐみ た
柱主筋を組立てる",,17
,,むすぶ,"Nối, buộc",45,結ぶ,"ざいりょう むす
材料をまとめてひもで結ぶ",,17
,,あんぜんろっく,Khóa an toàn,43,安全ロック,,,17
,,さいだいせきさいかじゅう,Tải trọng tối đa,20,最大積載荷重,,,17
,,きゃくちゅうじょいんと,Chốt liên kết,22,脚柱ジョイント,"きゃくちゅう さいご さ こ
脚柱ジョイントは最後まで差し込む",,17
,,えんじん,Động cơ,40,エンジン,"き
エンジンをかける、エンジンを切る",,18
,,こうじげんば,Công trường,12,工事現場,,,18
,,はしらはいきん,Cột cốt thép,34,柱配筋,"はしらはいきん ず めん かくにん
柱配筋を図面で確認する",,18
,,めじぼう,"Thanh tạo rãnh, thanh nối,
thanh liên kết",28,目地棒,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",,18
,,おおきさ,Độ lớn,48,大きさ,,,18
,,はらみ,Phình,31,はらみ,"だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",,18
,,きつえんじょ,Khu vực hút thuốc,20,喫煙所,,,18
,,れんけつぴん,Chốt nối,22,連結ピン,"れんけつ さいご さ こ
連結ピンは最後まで差し込む",,18
,,くみたて,"Lắp ráp, lắp ghép",25,組立,"あ し ば く み た
足場を組立てる",,18
,,あっせつつぎて,"Liên kết hàn áp lực, mối
nối hàn áp lực",37,圧接継手,"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",,18
,,はこぶ,Vận chuyển,46,運ぶ,,,18
,,あんぜんしちゅう,Cột chống an toàn,43,安全支柱,,,18
,,おちる,Bị rơi,8,落ちる,"かいだん お
階段から落ちる",,18
,,しゃがむ,Ngồi xổm,45,しゃがむ,,,18
,,はきけ,"Buồn nôn, buồn ói",14,吐き気,,,18
,,じっしゅう（する）,(động từ) Thực tập,11,実習（する）,,,18
,,しょくちょう,Tổ trưởng,12,職長,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,19
,,おうと,"(danh từ) Sự nôn, ói",14,嘔吐,,,19
,,すらぶきん,Cốt thép bản mặt,34,スラブ筋,"きん しょてい く み た
スラブ筋を所定のピッチで組立てる",,19
,,こんくりーと,Bê tông,28,コンクリート,"かたわく なが こ
型枠にコンクリートを流し込む",,19
,,かず,Số lượng,48,数,,,19
,,まえつら,Mặt trước,31,前面,"まえつら そろ
前面を揃える",,19
,,せいりせいとん,Sắp xếp chỉnh đốn,20,整理整頓,,,19
,,じょいんとかなぐ,"Khớp kim loại để kết
nối ống thép",22,ジョイント金具,"かなぐ かくじつ さいご
ジョイント金具は確実に最後までは
める",,19
,,じぐみ,Lắp ráp ở mặt đất,25,地組,"した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",,19
,,かいこうぶ,"Lỗ mở, lỗ trống",37,開口部,"かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",,19
,,あいさつ,Chào hỏi,11,あいさつ,,,19
,,でぃーぜるえんじん,Động cơ Diesel,40,ディーゼルエンジン,,,19
,,ほきゅう,(danh từ) Sự bổ sung,43,補給（する）,"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",,19
,,つむ,"Xếp, chất",46,積む,"ざいりょう つ
材料をくずれないように積む",,19
,,すべる,Trơn,8,すべる,"ゆか
床がすべる",,19
,,ちょうせい（する）,(danh từ) Sự điều chỉnh,45,調整（する）,,,19
,,ごさ,Sai số,48,誤差,,,20
,,えんじんおいる,Dầu động cơ,40,エンジンオイル,,,20
,,ちゅうしゃ,(danh từ) Sự đỗ xe,43,駐車（する）,,,20
,,ようせつかなあみ,Lưới cốt thép sợi hàn,37,溶接金網,"ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",,20
,,べーすきん,"Cốt thép nền, móng",34,ベース筋,"きん く み た
ベース筋を組立てる",,20
,"Còn gọi là ""Uwaba""",てんば,Mặt trên,25,天端,"て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",,20
,,こんべっくす,Thước dây,28,コンベックス,"すんぽう はか
コンベックスで寸法を測る",,20
,,ようじょう,Dưỡng hộ,31,養生,"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",,20
,,あんぜんつうろ,Lối đi an toàn,20,安全通路,,,20
,,ればーぶろっく,"Kích xích căng dây, tă
ng đơ xích",22,レバーブロック,"しざい こてい
レバーブロックで資材を固定する",,20
,,あしがつる,Chân bị chuột rút,14,足がつる,,,20
,,さぎょうせきにんしゃ,Người phụ trách công việc,12,作業責任者,,,20
,,ころぶ,Bị ngã,9,転ぶ,"こうじょう ころ
工場ですべって転んだ",,20
,,とじる,Đóng,45,閉じる,,,20
,,おろす,"Dỡ xuống, hạ xuống",46,下ろす,"に だ い に も つ お
トラックの荷台から荷物を下ろす",,20
,,かくにん（する）,"(động từ) Kiểm tra, xác
nhận",11,確認（する）,,,20
,,きぶんがわるい,"Không khỏe, khó ở",14,気分が悪い,,,21
,,"でんどうのこ（まるの
こ）",Máy cưa đĩa,22,電動のこ（丸のこ）,"かたわく せつだん まる しよう
型枠の切断は丸のこを使用する",,21
,,たまかけ・たまがけ,Treo tải,26,玉掛け,"ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",,21
,,さぎょうようてぶくろ,Găng tay bảo hộ lao động,29,作業用手袋,"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",,21
,,はんしゅつ,Vận chuyển ra,38,搬出,"のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",,21
,,おびきん（ふーぷ）,"Cốt thép đai (dạng vòng tr
òn)",35,帯筋（フープ）,"おびきん く み た
帯筋を組立てる",,21
,,"おるたねーた
（じゅうでんはつでんき）","Máy phát điện xoay chiều
(Máy sạc và phát điện)",41,"オルタネータ
（充電発電機）",,,21
,,なか,"Trung bình, vừa",48,中,,,21
,,れべる,Độ cân bằng,32,レベル,"そくりょう
レベルを測量する",,21
,,ほうこく（する）,(động từ) Báo cáo,11,報告（する）,,,21
,,はなれる,"Rời xa, tránh",46,離れる,,,21
,,ぬれる,Bị ướt,9,濡れる,,,21
,,ほこうしゃ,Người đi bộ,43,歩行者,,,21
,,わりつけ,"Sự phân bổ, bố trí đều",32,割付,"かたわく わ つ
型枠を割り付ける",,22
,,ばってり,Ắc quy,41,バッテリ,,,22
,,はんたい,Ngược lại,48,反対,,,22
,,ねぶそく,Thiếu ngủ,14,寝不足,,,22
,"Còn gọi là ""Monki-renchi""",もんきーすぱな,Mỏ lết có điều chỉnh,23,モンキースパナ,"し ゆる
モンキースパナでナットを締める・緩
める",,22
,,あいず,"Dấu hiệu, tín hiệu",26,合図,"じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",,22
,,しゃりょう,Xe,43,車両,,,22
,,さしがね,"Thước vuông, ê ke (của
thợ mộc)",29,差金,"さしがね すんぽう はか
差金で寸法を測る",,22
,,はんにゅう,Vận chuyển vào,38,搬入,"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",,22
,,したばきん,Cốt thép bên dưới,35,下端筋,"し た ばきん く み た
下端筋を組立てる",,22
,,れんらく（する）,(động từ) Liên lạc,11,連絡（する）,,,22
,,えいせい,Vệ sinh,9,衛生,,,22
,,まわり,Xung quanh,48,周り,,,23
,Là nền tảng của công trình xây dựng,きそ,Móng,38,基礎,"き そ はいきん
基礎の配筋をおこなう",,23
,,ねんりょう,Nhiên liệu,41,燃料,,,23
,Chỗ không nhìn thấy,しかく,Góc chết,43,死角,,,23
,,ていかくかじゅう,Tải trọng quy định,26,定格荷重,"ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",,23
,,すいへいき,"Thước thủy, thước nivo,
ống bọt nước",29,水平器,"すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",,23
,,うめこみかなもの,Kim loại đặt trong bê tông,32,埋め込み金物,"かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",,23
,,うわばきん,Cốt thép bên trên,35,上端筋,"う わ ばきん く み た
上端筋を組立てる",,23
,,あんぜんねっと,Lưới an toàn,14,安全ネット,,,23
,,おやづなしちゅう,Cột giăng dây neo,23,親綱支柱,"おやづな は い ち おやづなしちゅう と
親綱を張る位置に親綱支柱を取り
つ
付ける",,23
,,ひなん（する）,"(động từ) Sơ tán, lánh nạn",9,避難（する）,,,23
,,そうだん（する）,(động từ) Thảo luận,11,相談（する）,,,23
,,けいゆ,Dầu nhẹ,41,軽油,,,24
,"1 thước = 30,3 cm",しゃく,Thước,48,尺,,,24
,,しゅきん,Cốt thép chủ,35,主筋,"しゅきん く み た
主筋を組立てる",,24
,,すみさし,Cọ châm mực làm dấu,29,墨さし,"すみ すみ
墨さしを墨つぼにつける",,24
,"Còn gọi là ""Mochiokuri""",ぶらけっと,"Dầm hẫng, công son,
thanh giằng chống giữ
tường",23,ブラケット,"あしば と つ
足場にブラケットを取り付ける",,24
,,あんぜんてんけん,Kiểm tra an toàn,14,安全点検,,,24
,,かいたい,(danh từ) Sự tháo dỡ,32,解体する（バラス）,"かたわく かいたい
型枠を解体する（バラス）",,24
,,たち,Độ thẳng đứng,26,たち,"あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",,24
,Sử dụng khi đưa đồ vật cho ai đó.,わたす,Đưa,11,渡す,,,24
,,きゅうきゅうしゃ,Xe cứu thương,9,救急車,,,24
,,しゃめん,Dốc,43,斜面,"やま の しゃめん のぼ
山の斜面を上る",,24
,,きかいしきつぎて,"Liên kết cơ khí, mối nối cơ
khí",38,機械式継手,"てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",,24
,,すみつぼ,Lọ mực (của thợ môc),29,墨つぼ,"すみ すみ
墨さしを墨つぼにつける",,25
,,かぶりすんぽう,"Độ dày lớp bê tông bảo vệ
cốt thép",32,かぶり寸法,"てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",,25
,,はしご,Thang,23,梯子,,,25
,,あばらきん,Cốt thép đai (dạng thanh),35,あばら筋,"きん く み た
あばら筋を組立てる",,25
,,てんあつ,(danh từ) Sự đầm nén,43,転圧（する）,"てんあつさぎょう
ローラで転圧作業をする",,25
,,はいきんけんさ,Kiểm tra bố trí cốt thép,38,配筋検査,"せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",,25
,,ぶれーき,Phanh,41,ブレーキ,"ふ
ブレーキを踏む",,25
,,あお,Xanh,48,青,,,25
,,さいがい,Thảm họa,9,災害,,,25
,,しんせいしょ,Đơn xin,11,申請書,,,25
,,しょくちょう,Tổ trưởng,26,職長,"あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",,25
,,あか,Đỏ,48,赤,,,26
,,じしん,Động đất,9,地震,"じ しん お
地震が起きる",,26
,,ねぼう（する）,(động từ) Ngủ quên,11,寝坊（する）,,,26
,,もぐる,Chui xuống,9,もぐる,"じ しん つくえ した
地震だ！机の下にもぐれ！",,27
,,しろ,Trắng,48,白,,,27
,,きいろ,Vàng,48,黄色,,,28
