Annotasyon,Anotasi,Cara membaca (Hiragana),Contoh,Foto,Kosakata,No.,Page,Tanda,Terjemahan
,"Sebutan untuk gabungan dari Asuransi
kesehatan, Asuransi Pensiun, Asuransi
Perawatan, Asuransi ketenagakerjaan,
Asuransi kecelakaan kerja. Bisa juga
digunakan untuk asuransi yang pada
umumnya digunakan oleh para
pegawai, yaitu Asuransi kesehatan dan
Uang pensiun.",しゃかいほけん,,,社会保険,13,5,,Asuransi sosial
,,だぶる,"はいきん
スラブはダブル配筋とする",,ダブル,13,35,,Ganda
,,もえないごみ,,,燃えないごみ,13,8,,"Sampah tak mudah
terbakar"
,,ざんぎょうてあて,,,残業手当,13,3,,Tunjangan lembur
,,じこ,,,事故,13,1,,Kecelakaan
,,にげる,,,逃げる,13,10,,Melarikan diri
,,ぶれーど（はいどばん）,,,ブレード（排土板）,13,38,,blade/sudu
,,きゅうぶれーき,,,急ブレーキ,13,40,,Rem mendadak
,,きゅうきゅうばこ,,,救急箱,13,13,,Kotak P3K
,,たいさく,,,対策,13,14,,Penanganan
,,こうぐのていれ,"こ う ぐ て い
工具の手入れをおこたらない",,工具の手入れ,13,29,,Perawatan alat perkakas
,,でんき,,,電気,13,12,,Listrik
,,すいっちいれるな,,,スイッチ入れるな,13,6,,Jangan dinyalakan
,,ひょうめん,,,表面,13,44,,Permukaan
,,ちどりけっそく,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",,千鳥結束,14,35,,"Pengikatan selang-
seling"
,,てんけんじこう,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,点検事項,14,23,,Hal-hal yang harus dicek
,"ろうどうさいがい
Singkatan dari 「労働災害」""Kecelakaan
kerja"". Mengacu pada luka atau
penyakit yang disebabkan oleh
pekerjaan.",ろうさい,,,労災,14,5,,Kecelakaan kerja
,,すきま,,,すきま,14,44,,Celah
,,めんぎ,"かたわく めん ぎ と つ
型枠に面木を取り付ける",,面木,14,26,,Paku atas
,,かいこうほきょうきん,"まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",,開口補強筋,14,32,,"Opening reinforcement
(penguatan kerangka
beton bagian berlubang)"
,,かいしゃくろーぷ,"かい に も つ ふ
介しゃくロープで荷物の振れをおさえ
る",,介しゃくロープ,14,20,,Tali teraju
,,あんぜんたいしよう,,,安全帯使用,14,18,,Gunakan Sabuk Pengaman
,,ばんそうこう,,,絆創膏,14,13,,Plester
,,さげふり,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する",,下げ振り,14,29,,Pemberat
,,けいほうおん,,,警報音,14,12,,Bunyi peringatan
,,らっか（する）,"あしば こ う ぐ らっか
足場から工具が落下した",,落下（する）,14,14,,Jatuh
,,たいや,,,タイヤ,14,38,,mesin
,,ふくそう,,,服装,14,1,,Pakaian
,,あいどりんぐ,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める",,アイドリング,14,41,,"Keadaan saat mesin
bekerja tetapi kendaraan
(mobil) tidak bergerak."
,,げんば,,,現場,14,10,,Tempat kerja/Pabrik
,,とって,,,取って,14,2,,Ambil
,,もえるごみ,,,燃えるごみ,14,8,,Sampah mudah terbakar
,,さわる,,,触る,14,42,,Menyentuh
,,まげる,"てっきん ま
鉄筋を曲げる",,曲げる,14,43,,Membengkokkan
,,すいっちきるな,,,スイッチ切るな,14,6,,Jangan dimatikan
,,ろうどうじかん,,,労働時間,14,3,,Jam kerja
,,ちゅうしん,,,中心,15,44,,Pusat/Tengah
,,じずみ,"じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",,地墨,15,29,,Tinta
,,はばどめきん,"はば ど きん と つ
幅止め筋を取り付ける",,幅止め筋,15,32,,Tulangan penahan lebar
,,しばる,,,縛る,15,42,,Mengikat
,,せきさいかじゅう,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,積載荷重,15,23,,Beban muat
,,だす,,,出す,15,43,,Mengeluarkan
,,ばいぶれーたー,"し かた
バイブレーターでコンクリートを締め固
める",,バイブレーター,15,26,,Vibrator
,,せつだんすんぽう,"せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",,切断寸法,15,35,,Ukuran potongan
,,しょうこうかいだん,,,昇降階段,15,18,,Tangga naik turun
,,たいちょう,,,体調,15,13,,Kondisi badan
,,くろーら,,,クローラ,15,38,,mesin diesel
,,こんせんと,,,コンセント,15,12,,Stop kontak
,,しょうこうかいだん,"あ し ばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使う",,昇降階段,15,20,,Tangga naik turun
,,ついらく（する）,"か い こ う ぶ ついらく
開口部から墜落した",,墜落（する）,15,14,,Terperosok
,,そうこう,,,走行,15,41,,Berjalan/Melaju
,,さぎょう,,,作業,15,10,,Pekerjaan
,,だめ（な）,,,だめ（な）,15,2,,Tidak boleh (Jangan)
,,はさまれる,"きかい て はさ
機械に手が挟まれた",,挟まれる,15,8,,Terjepit
,"Uang asuransi yang diberikan apabila
pekerja mengalami kecelakaan saat
kerja yang menjamin pekerja untuk
mendapatkan perawatan, untuk tidak
bekerja dalam jangka waktu tertentu,
karena akibat yang ditimbulkan dari
kecelakaan tersebut seperti cacat dan
sebagainya.",ろうさいほけん,,,労災保険,15,5,,"Asuransi kecelakaan
kerja"
,,しようきんし,,,使用禁止,15,6,,Dilarang menggunakan
,,あんぜんそうち,,,安全装置,15,1,,Peralatan keselamatan
,,きゅうけいじょ,,,休憩所,16,18,,Tempat istirahat
,,かくにん（する）,"しゅうい あんぜん かくにん
周囲の安全を確認する",,確認（する）,16,14,,Konfirmasi
,,さぎょうば,,,作業場,16,12,,Tempat kerja
,,はくりざい,"かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",,剥離剤,16,26,,Bahan pelepasan
,,かわかす,,,乾かす,16,43,,Mengeringkan
,,かこうすんぽう,"か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",,加工寸法,16,35,,Ukuran pembuatan
,,すじかいとめぴん,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,筋かい止めピン,16,20,,Tap ikatan diagonal
,,きー（かぎ）,"くるま かぎ
車の鍵",,キー（鍵）,16,38,,minyak enjin
,,ち,,,血,16,13,,Darah
,,さしきん,"さしきん
コンクリートに差筋をする",,差筋,16,32,,Batang sambungan
,,すてこんくりーと,"す と わく せ っ ち
捨てコンクリートの止め枠を設置する",,捨てコンクリート,16,29,,Bagian lantai beton
,,せんかい,,,旋回,16,41,,Putaran
,,あたい,,,値,16,45,,Nilai
,,すきま,"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",,すき間,16,23,,Celah
,,そろえる,"てっきん なが そろ
鉄筋の長さを揃える",,揃える,16,42,,Menyamaratakan
,"Rapat, Rapat Pagi, Rapat Akhir juga
disebut dengan rapat (meeting).",みーてぃんぐ,,,ミーティング,16,10,,Rapat/Meeting
,,まきこまれる,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,巻き込まれる,16,8,,Terlilit
,,とおりをみる,"かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",,通りを見る,17,23,,Melihat cara
,,ねっちゅうしょう,,,熱中症,17,13,,Dehidrasi
,,けんしゅう（する）,,,研修（する）,17,10,,"Pelatihan/Training
(Berlatih)"
,,"さぎょうそうち
（あたっちめんと）",,,"作業装置
（アタッチメント）",17,38,,"alternator(generator
pengisi daya)"
,,さぎょうだい,,,作業台,17,12,,Meja kerja
,,かぞえる,,,数える,17,43,,Menghitung
,,かさねつぎて,"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",,重ね継手,17,35,,Sambungan tumpang
,,けこみいた,"いた と つ
けこみ板を取り付ける",,けこみ板,17,26,,Undakan
,"Kondisi dimana papan perancah
sangat melewati batas disatu sisi
dari bagian penopang. Bila naik
menginjaknya tanpa sadar ada
kemungkinan bisa jatuh, sangat
berbahaya.",はねだし,"かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",,はね出し,17,29,,Trap
,,あんてい（する）,,,安定（する）,17,45,,Stabil (Menstabilkan)
,,やけど（する）,,,やけど（する）,17,8,,Luka bakar (Terbakar)
,,はしらしゅきん,"はしらしゅきん ぐみ た
柱主筋を組立てる",,柱主筋,17,32,,Tulangan utama kolom
,,むすぶ,"ざいりょう むす
材料をまとめてひもで結ぶ",,結ぶ,17,42,,Mengikat
,,あんぜんろっく,,,安全ロック,17,41,,Alat pelindung bahaya
,,さいだいせきさいかじゅう,,,最大積載荷重,17,18,,"Kapasitas berat beban
maksimum"
,,きゃくちゅうじょいんと,"きゃくちゅう さ い ご さ こ
脚柱ジョイントは最後まで差し込む",,脚柱ジョイント,17,20,,Sambungan tiang kaki
,,えんじん,"き
エンジンをかける、エンジンを切る",,エンジン,18,39,,baterai
,,こうじげんば,,,工事現場,18,12,,Lokasi kerja
,,はしらはいきん,"はしらはいきん ず めん かくにん
柱配筋を図面で確認する",,柱配筋,18,32,,Susunan tulangan kolom
,,めじぼう,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",,目地棒,18,26,,"Sambungan pasang
batu"
,,おおきさ,,,大きさ,18,45,,Besarnya
,,はらみ,"だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",,はらみ,18,29,,Tonjolan
,,きつえんじょ,,,喫煙所,18,18,,Dilarang merokok
,,れんけつぴん,"れんけつ さ い ご さ こ
連結ピンは最後まで差し込む",,連結ピン,18,20,,Pena hubung
,,くみたて,"あ し ば く み た
足場を組立てる",,組立,18,23,,Perakitan
,,あっせつつぎて,"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",,圧接継手,18,35,,Sambungan las tekan
,,はこぶ,,,運ぶ,18,43,,Membawa
,,あんぜんしちゅう,,,安全支柱,18,41,,"Safety pillar (Tiang
pengaman)"
,,おちる,"かいだん お
階段から落ちる",,落ちる,18,9,,Jatuh
,,しゃがむ,,,しゃがむ,18,42,,Berjongkok
,,はきけ,,,吐き気,18,13,,Mual
,,じっしゅう（する）,,,実習（する）,18,10,,Pelatihan (Berlatih)
,,しょくちょう,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,職長,19,12,,Pengawas kerja
,,おうと（する）,,,嘔吐（する）,19,13,,Muntah
,,すらぶきん,"きん しょてい く み た
スラブ筋を所定のピッチで組立てる",,スラブ筋,19,32,,Penulangan pelat
,,こんくりーと,"かたわく なが こ
型枠にコンクリートを流し込む",,コンクリート,19,27,,Beton
,,かず,,,数,19,45,,Banyak/Jumlah
,,まえつら,"まえつら そろ
前面を揃える",,前面,19,29,,Muka depan
,,せいりせいとん,,,整理整頓,19,18,,Rapikan dengan teratur
,,じょいんとかなぐ,"か な ぐ かくじつ さ い ご
ジョイント金具は確実に最後まではめ
る",,ジョイント金具,19,21,,"Alat logam
penyambung"
,,じぐみ,"した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",,地組,19,23,,"perakitan di permukaan
tanah."
,,かいこうぶ,"かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",,開口部,19,35,,Lubang
,,あいさつ,,,あいさつ,19,11,,Salam
,,でぃーぜるえんじん,,,ディーゼルエンジン,19,39,,bahan bakar
,,ほきゅう（する）,"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",,補給（する）,19,41,,Suplai (Mensuplai)
,,つむ,"ざいりょう つ
材料をくずれないように積む",,積む,19,43,,Menumpuk
,,すべる,"ゆか
床がすべる",,すべる,19,9,,Terpeleset/Licin
,,ちょうせい（する）,,,調整（する）,19,42,,"Penyesuaian
(Menyesuaikan)"
,,ごさ,,,誤差,20,45,,Selisih
,,えんじんおいる,,,エンジンオイル,20,39,,minyak diesel
,,ちゅうしゃ（する）,,,駐車（する）,20,41,,Parkir (Memarkirkan)
,,ようせつかなあみ,"ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",,溶接金網,20,35,,Jaring kawat las
,,べーすきん,"きん く み た
ベース筋を組立てる",,ベース筋,20,32,,Tulangan bagian dasar
,"Atau disebut juga sebagai
""permukaan atas"".",てんば,"て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",,天端,20,24,,Permukaan atas.
,,こんべっくす,"すんぽう はか
コンベックスで寸法を測る",,コンベックス,20,27,,Meteran (Convex)
,,ようじょう,"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",,養生,20,30,,Pemantangan beton
,,あんぜんつうろ,,,安全通路,20,18,,Jalur aman
,,ればーぶろっく,"し ざ い こ て い
レバーブロックで資材を固定する",,レバーブロック,20,21,,Blok tuas
,,あしがつる,,,足がつる,20,13,,Kram
,,さぎょうせきにんしゃ,,,作業責任者,20,12,,Petugas kerja
,,ころぶ,"こうじょう ころ
工場ですべって転んだ",,転ぶ,20,9,,Terjatuh
,,とじる,,,閉じる,20,42,,Menutup
,,おろす,"に だ い に も つ お
トラックの荷台から荷物を下ろす",,下ろす,20,43,,Menurunkan
,,かくにん（する）,,,確認（する）,20,11,,"Konfirmasi
(Mengkonfirmasikan)"
,,きぶんがわるい,,,気分が悪い,21,13,,Tidak enak badan
,,でんどうのこ（まるのこ）,"かたわく せつだん まる し よ う
型枠の切断は丸のこを使用する",,電動のこ（丸のこ）,21,21,,Gergaji listrik
,,たまかけ・たまがけ,"ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",,玉掛け,21,24,,Penggantungan
,,さぎょうようてぶくろ,"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",,作業用手袋,21,27,,Sarung tangan kerja
,,はんしゅつ,"のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",,搬出,21,36,,Mengeluarkan
,,おびきん（ふーぷ）,"おびきん く み た
帯筋を組立てる",,帯筋（フープ）,21,33,,Simpul tali
,,"おるたねーた
（じゅうでんはつでんき）",,,"オルタネータ
（充電発電機）",21,39,,rem
,,なか,,,中,21,45,,Dalam
,,れべる,"そくりょう
レベルを測量する",,レベル,21,30,,Permukaan
,,ほうこく（する）,,,報告（する）,21,11,,Laporan (Melaporkan)
,,はなれる,,,離れる,21,43,,Menjauhi
,,ぬれる,,,濡れる,21,9,,Basah
,,ほこうしゃ,,,歩行者,21,41,,Pejalan kaki
,,わりつけ,"かたわく わ つ
型枠を割り付ける",,割付,22,30,,Penempatan
,,ばってり,,,バッテリ,22,39,,pompa oli hidrolik
,,はんたい,,,反対,22,45,,Terbalik/Berlawanan
,,ねぶそく,,,寝不足,22,13,,Kurang tidur
,"Juga disebut sebagai ""Kunci
sekrup"".",もんきーすぱな,"し ゆる
モンキースパナでナットを締める・緩
める",,モンキースパナ,22,21,,Kunci Inggris
,,あいず,"じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",,合図,22,24,,Aba-aba
,,しゃりょう,,,車両,22,41,,Kendaraan
,,さしがね,"さしがね すんぽう はか
差金で寸法を測る",,差金,22,27,,Mistar logam
,,はんにゅう,"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",,搬入,22,36,,Mengangkat ke dalam
,,したばきん,"し た ばきん く み た
下端筋を組立てる",,下端筋,22,33,,Tulangan ujung bawah
,,れんらく（する）,,,連絡（する）,22,11,,Kontak (Menghubungi)
,,えいせい,,,衛生,22,9,,Kebersihan
,,まわり,,,周り,23,45,,Sekitar
,,きそ,"き そ はいきん
基礎の配筋をおこなう",,基礎,23,36,,Pondasi
,,ねんりょう,,,燃料,23,39,,silinder hidrolik
,,しかく,,,死角,23,41,,"Titik buta (Posisi tidak
terlihat)"
,,ていかくかじゅう,"ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",,定格荷重,23,24,,Berat beban.
,,すいへいき,"すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",,水平器,23,27,,Alat sipat datar
,,うめこみかなもの,"かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",,埋め込み金物,23,30,,Logam benaman
,,うわばきん,"う わ ばきん く み た
上端筋を組立てる",,上端筋,23,33,,Penulangan bagian atas
,,あんぜんねっと,,,安全ネット,23,13,,Jaring pengaman
,,おやづなしちゅう,"おやづな は い ち おやづなしちゅう と つ
親綱を張る位置に親綱支柱を取り付
ける",,親綱支柱,23,21,,"Tiang pendukung tali
induk"
,,ひなん（する）,,,避難（する）,23,9,,Evakuasi (Mengevakuasi)
,,そうだん（する）,,,相談（する）,23,11,,"Konsultasi
(Berkonsultasi)"
,,けいゆ,,,軽油,24,39,,motor hidrolik
,1 Shaku = 30.3cm,しゃく,,,尺,24,45,,"30,3 sentimeter"
,,しゅきん,"しゅきん く み た
主筋を組立てる",,主筋,24,33,,Tulangan utama
,,すみさし,"すみ すみ
墨さしを墨つぼにつける",,墨さし,24,27,,"Alat pengukur tempat
tinta"
,"Juga disebut sebagai
""Penyangga"".",ぶらけっと,"あ し ば と つ
足場にブラケットを取り付ける",,ブラケット,24,21,,Braket/penopang
,,あんぜんてんけん,,,安全点検,24,13,,Pemeriksaan keselamatan
,,かいたいする（ばらす）,"かたわく かいたい
型枠を解体する（バラス）",,解体する（バラス）,24,30,,"Membongkar
(Mencabut)"
,,たち,"あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",,たち,24,24,,Ketegaklurusan
,"Digunakan ketika menyerahkan
sesuatu ke orang lain.",わたす,,,渡す,24,11,,Menyerahkan
,,きゅうきゅうしゃ,,,救急車,24,9,,Ambulans
,,しゃめん,"やま の しゃめん のぼ
山の斜面を上る",,斜面,24,41,,Lereng
,,きかいしきつぎて,"てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",,機械式継手,24,36,,Penyambungan
,,すみつぼ,"すみ すみ
墨さしを墨つぼにつける",,墨つぼ,25,27,,Tempat tinta
,,かぶりすんぽう,"てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",,かぶり寸法,25,30,,"Ukuran ketebalan
pelapisan"
,,はしご,,,梯子,25,21,,Tangga
,,あばらきん,"きん く み た
あばら筋を組立てる",,あばら筋,25,33,,Sengkang
,,てんあつ（する）,"てんあつさぎょう
ローラで転圧作業をする",,転圧（する）,25,41,,Giling (Menggiling)
,,はいきんけんさ,"せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",,配筋検査,25,36,,"Pemeriksaan susunan
tulangan"
,,ぶれーき,"ふ
ブレーキを踏む",,ブレーキ,25,39,,peralatan kerja
,,あお,,,青,25,45,,Biru
,,さいがい,,,災害,25,9,,Bencana
,,しんせいしょ,,,申請書,25,11,,Surat permohonan
,,しょくちょう,"あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",,職長,25,24,,Kepala regu kerja
,,あか,,,赤,26,45,,Merah
,,じしん,"じ しん お
地震が起きる",,地震,26,9,,Gempa bumi
,,ねぼう（する）,,,寝坊（する）,26,11,,"Kesiangan (Bangun
kesiangan)"
,,もぐる,"じ しん つくえ した
地震だ！机の下にもぐれ！",,もぐる,27,9,,Menyelinap
,,しろ,,,白,27,45,,Putih
,,きいろ,,,黄色,28,45,,Warna kuning
