番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
"だい       か   かたわく
第16課 型枠②",,,,,,タガログ語
Aralin16  Form  ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
1,"丸セパレーター
（丸セパ）","まるせぱれーたー
（まるせぱ）",bilog na panghiwalay / round separator,,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する",タガログ語
2,天端釘,てんばくぎ,levee crown nail,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",タガログ語
3,ケレン,けれん,surface treatment,,"ひょうめん
コンパネの表面をけれんする",タガログ語
4,型枠支保工,かたわくしほこう,form timbering,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う",タガログ語
5,"基礎型枠
（メタルフォーム）","きそかたわく
（めたるふぉーむ）",foundation form (metal form),,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",タガログ語
6,釘仕舞い,くぎしまい,pag-alis sa pako mula sa form / nail remover,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",タガログ語
7,スラブ天端,すらぶてんば,dulong itaas na bahagi ng losa (slab),,"て ん   ば
スラブ天端をそろえる",タガログ語
8,高さ（タッパ）,たかさ（たっぱ）,taas,,"た か                                           は か
高さ（タッパ）を測る",タガログ語
9,建込み,たてこみ,"pagposisyon nang patayo
/ vertical position",,"か た わ く        た  て  こ
型枠を建込みする",タガログ語
10,通り,とおり,pagkatuwid,Pagsasaayos sa mga depormidad at sagabal upang maging normal ang kanilang kalagayan,"と お                よ
通りを良くする",タガログ語
"だい       か   かたわく
第16課 型枠②",,,,,,タガログ語
Aralin16  Form  ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
11,蹴上げ,けあげ,riser,Taas ng bawat hakbang ng hagdan.,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",タガログ語
12,蹴込み,けこみ,footboard,,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる",タガログ語
13,工具の手入れ,こうぐのていれ,paglilinis at pangangalaga sa mga kagamitan / tool care & maintenance,,"こ   う   ぐ           て     い
工具の手入れをおこたらない",タガログ語
14,下げ振り,さげふり,plumb,,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する",タガログ語
15,地墨,じずみ,marka para sa partisyon,,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける",タガログ語
16,捨てコンクリート,すてこんくりーと,leveling concrete,,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る",タガログ語
17,はね出し,はねだし,nakakausli,"Kalagayan kung saan malaki ang pagkausli ng isang dako sa parteng sinusuportahan ng gangplank ng scaffolding. Kapag umakyat dito nang hindi naaalam, may panganib na
mahulog, kung kaya’t napakamapanganib nito.","かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る",タガログ語
18,はらみ,はらみ,umbok,,"だ  せ  つ ちゅう       か た わ く
コンクリート打設中に型枠のはらみを
か く に ん
確認する",タガログ語
19,前面,まえつら,front face,,"ま え つ ら       そ ろ
前面を揃える",タガログ語
"だい       か   かたわく
第16課 型枠②",,,,,,タガログ語
Aralin16  Form  ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
20,養生,ようじょう,curing,,"だ  せ  つ   ご         ようじょう
コンクリート打設後に養生をおこなう",タガログ語
21,レベル,れべる,level,,"そくりょう
レベルを測量する",タガログ語
22,割付,わりつけ,layout,,"か た わ く         わ          つ
型枠を割り付ける",タガログ語
23,埋め込み金物,うめこみかなもの,nakabaong metal,,"か た わ く                                                  う            こ          か な もの
型枠にはあらかじめ埋め込み金物を
と          つ
取り付ける",タガログ語
24,解体する（バラス）,かいたいする（ばらす）,pagkalas (disassemble) / ikalas,,"か た わ く       かいたい
型枠を解体する（バラス）",タガログ語
25,かぶり寸法,かぶりすんぽう,covering dimension,,"て っ き ん       か た わ く                             す ん ぽ う        か く に ん
鉄筋と型枠のかぶり寸法を確認する",タガログ語
"だい       か   てっきんせ こ う
第17課 鉄筋施工①",,,,,,タガログ語
Aralin17  Pagtayo ng Reinforcing Bar ①,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
1,異形棒鋼,いけいぼうこう,deformed steel bar,,"い  け  い ぼ う こ う       も ち
異形棒鋼を用いる",タガログ語
2,結束線,けっそくせん,tie wire / alambreng pang dikitin o pagsamahin,,"け っ そ く せん        て っ き ん       し ば
結束線で鉄筋を縛る",タガログ語
3,結束工具,けっそくこうぐ,deformed steel bar,Reinforcing bar na karaniwang ginagamit sa Japan,"け っ そ く  こ   う   ぐ        も ち              て っ き ん       し ば
結束工具を用いて鉄筋を縛る",タガログ語
4,鉄筋切断機,てっきんせつだんき,iron bar cutting machine,,"て っ き ん せ  つ  だ  ん  き         て っ き ん       せつだん
鉄筋切断機で鉄筋を切断する",タガログ語
5,鉄筋曲げ加工機,てっきんまげかこうき,binding tool,tinatawag din itong “hacker”,"て っ き ん   ま           か  こ  う    き          て っ き ん         ま
鉄筋曲げ加工機で鉄筋を曲げる",タガログ語
6,フック,ふっく,hook,,"て っ き ん た  ん  ぶ
鉄筋端部にフックをつける",タガログ語
7,保護帽（ヘルメット）,ほごぼう（へるめっと）,reinforcing bar bending machine,,"ほ     ご   ぼ う                             さ ぎ ょ う          と           か
保護帽をかぶり作業に取り掛かる",タガログ語
8,アンカー,あんかー,kawit / anchor,,"せ  っ  ち
アンカーを設置する",タガログ語
9,加工場,かこうば,proteksiyong pang-ulo (helmet),,"げ  ん  ば はんにゅうまえ        か  こ  う   ば           て っ き ん         か  こ  う
現場搬入前に加工場で鉄筋を加工
する",タガログ語
10,スペーサ―,すぺーさー,angkla,"Pinaikling “joint bar na angkla.”
Tinatawag din itong “sashikin.” (joint bar)","て っ き ん                             あ つ              た も
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",タガログ語
"だい       か   てっきんせ こ う
第17課 鉄筋施工①",,,,,,タガログ語
Aralin17  Pagtayo ng Reinforcing Bar ①,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
11,ドーナツ,どーなつ,processing plant,,"かべ        て っ き ん                      あ つ                                                つか
壁の鉄筋かぶり厚さはドーナツを使う",タガログ語
12,加工配筋図,かこうはいきんず,spacer,,"か  こ  う は い き ん   ず   ど お              く  み  た
加工配筋図通りに組立てる",タガログ語
13,配筋詳細図,はいきんしょうさいず,rebar spacer (donut),,"は い き んしょうさい  ず   ど お             く み   た
配筋詳細図通りに組立てる",タガログ語
14,開口補強筋,かいこうほきょうきん,opening reinforcement,,"ま ど か い こ う   ぶ          か い こ う ほ き ょ う き ん       ぐ み   た
窓開口部は開口補強筋を組立てる",タガログ語
15,幅止め筋,はばどめきん,spreader bar,,"はば   ど          き ん         と          つ
幅止め筋を取り付ける",タガログ語
16,差筋,さしきん,joint bar,,"さ し き ん
コンクリートに差筋をする",タガログ語
17,柱主筋,はしらしゅきん,column bar,,"はしらしゅきん       ぐ み   た
柱主筋を組立てる",タガログ語
18,柱配筋,はしらはいきん,column bar arrangement,,"はしらはいきん         ず   めん        か く に ん
柱配筋を図面で確認する",タガログ語
19,スラブ筋,すらぶきん,slab reinforcement,,"き ん        し ょ て い                                   く  み  た
スラブ筋を所定のピッチで組立てる",タガログ語
20,ベース筋,べーすきん,base reinforcement,,"き ん        く  み  た
ベース筋を組立てる",タガログ語
"だい       か   てっきんせ こ う
第17課 鉄筋施工①",,,,,,タガログ語
Aralin17  Pagtayo ng Reinforcing Bar ①,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
21,帯筋（フープ）,おびきん（ふーぷ）,hoop,,"おびき ん        く  み  た
帯筋を組立てる",タガログ語
22,下端筋,したばきん,bottom reinforcement,,"し  た  ば き ん        く  み  た
下端筋を組立てる",タガログ語
23,上端筋,うわばきん,top reinforcement,,"う  わ  ば き ん        く  み  た
上端筋を組立てる",タガログ語
24,主筋,しゅきん,main reinforcement,,"し ゅ き ん        く  み  た
主筋を組立てる",タガログ語
25,あばら筋,あばらきん,stirrup reinforcement,,"き ん        く  み  た
あばら筋を組立てる",タガログ語
"だい       か   てっきんせ こ う
第18課 鉄筋施工②",,,,,,タガログ語
Aralin18  Pagtayo ng Reinforcing Bar ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
1,はかま筋,はかまきん,hakama reinforcement,,"き ん        く  み  た
はかま筋を組立てる",タガログ語
2,縦筋,たてきん,vertical reinforcement,,"た て き ん        く  み  た
縦筋を組立てる",タガログ語
3,下筋,したきん,lower reinforcement,,"し た き ん        く  み  た
下筋を組立てる",タガログ語
4,横筋,よこきん,side reinforcement,,"よ こ き ん        く  み  た
横筋を組立てる",タガログ語
5,腹筋,はらきん,midsection reinforcement,,"は ら き ん        く  み  た
腹筋を組立てる",タガログ語
6,配力筋,はいりょくきん,distributing bar,,"はいりょくきん        く  み  た
配力筋を組立てる",タガログ語
7,上筋,うわきん,upper reinforcement,,"う わ き ん        く  み  た
上筋を組立てる",タガログ語
8,スパイラル筋,すぱいらるきん,spiral reinforcement,,"き ん        た い し んへ き          と           つ
スパイラル筋を耐震壁に取り付ける",タガログ語
9,鉄筋径,てっきんけい,reinforcing bar diameter,,"て っ き ん け い        せ っ け い  と   し   ょ         と お
鉄筋径は設計図書の通りである",タガログ語
10,かぶり厚さ,かぶりあつさ,covering depth,,"あ つ              か く に ん
かぶり厚さを確認する",タガログ語
"だい       か   てっきんせ こ う
第18課 鉄筋施工②",,,,,,タガログ語
Aralin18  Pagtayo ng Reinforcing Bar ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
11,角度,かくど,anggulo,,"か  く  ど        か く に ん
角度を確認する",タガログ語
12,シングル,しんぐる,single,,"て っ き ん                                   は い き ん         く  み  た
鉄筋はシングル配筋で組立てる",タガログ語
13,ダブル,だぶる,doble,,"は い き ん
スラブはダブル配筋とする",タガログ語
14,千鳥結束,ちどりけっそく,zigzag na tali,,"て っ き ん        ち   ど  り  け っ そ く
鉄筋は千鳥結束する",タガログ語
15,切断寸法,せつだんすんぽう,sukat ng putol,,"せつだんす ん ぽ う        て っ き ん       せつだん
切断寸法で鉄筋を切断する",タガログ語
16,加工寸法,かこうすんぽう,sukat ng paggawa,,"か  こ  う  す ん ぽ うど お             て っ き ん        か  こ  う
加工寸法通りに鉄筋を加工する",タガログ語
17,重ね継手,かさねつぎて,lap joint,,"て っ き ん  ど  う  し         か さ         つ  ぎ  て
鉄筋同士は重ね継手とする",タガログ語
18,圧接継手,あっせつつぎて,stud joint,,"て っ き ん  ど  う  し        あ っ せ つ つ  ぎ  て
鉄筋同士は圧接継手とする",タガログ語
19,開口部,かいこうぶ,butas,,"か  い  こ  う  ぶ               か い こ う ほ き ょ う き ん         と          つ
開口部には開口補強筋を取り付ける",タガログ語
20,溶接金網,ようせつかなあみ,nakawelding na alambreng lambat,,"ど     ま   は い き ん        よ う せ つ かなあみ        し  よ   う
土間配筋は溶接金網を使用する",タガログ語
"だい       か   てっきんせ こ う
第18課 鉄筋施工②",,,,,,タガログ語
Aralin18  Pagtayo ng Reinforcing Bar ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
21,搬出,はんしゅつ,paglabas,,"の こ              て っ き ん        げ  ん  ば              はんしゅつ
残った鉄筋を現場から搬出する",タガログ語
22,搬入,はんにゅう,pagdala sa loob,,"て っ き ん        げ  ん  ば        はんにゅう
鉄筋を現場に搬入する",タガログ語
23,基礎,きそ,pundasyon,Ito ang pundasyon ng tinatayong gusali,"き     そ          は い き ん
基礎の配筋をおこなう",タガログ語
24,機械式継手,きかいしきつぎて,mechanical joint,,"て っ き ん  ど  う  し         き  か  い  し  き  つ  ぎ  て
鉄筋同士は機械式継手とする",タガログ語
25,配筋検査,はいきんけんさ,inspeksyon ng bar arrangement,,"せ っ け い か ん り し ゃ                    は い き ん け  ん  さ         ご う か く
設計監理者による配筋検査に合格す
る",タガログ語
"だい       か   けんせつきかいせ こ う
第19課 建設機械施工①",,,,,,タガログ語
Aralin19  Pagpapaandar ng Makinang Pang Konstruksyon ①,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
1,トラクタ,とらくた,tractor,"Ang mga makinang may nakakabit na aparato sa paggawa (attachment) sa tractor ay tinatawag na bulldozer, tractor shovel, atbp.",,タガログ語
2,ブルドーザ,ぶるどーざ,bulldozer,Makinang may nakakabit na blade sa tractor,,タガログ語
3,トラクタショベル,とらくたしょべる,tractor shovel,Ito ay makinang may nakakabit na bucket sa tractor. Mayroong tipong crawler at tipong gulong,,タガログ語
4,ホイルローダ,ほいるろーだ,wheel loader,Tractor shovel na tipong gulong (four-wheel drive),,タガログ語
5,ダンプトラック,だんぷとらっく,dump truck,,,タガログ語
6,油圧ショベル,ゆあつしょべる,power shovel,Makinang may shovel na maaaring palitan ng aparato sa paggawa (attachment) para masagawa ang iba’t ibang trabaho,,タガログ語
7,バックホウ,ばっくほう,backhoe,"Ito ang uri ng power shovel na madalas nakikita, at ginagamit sa paghuhukay nang mas malalim sa lupa",,タガログ語
8,ローディングショベル,ろーでぃんぐしょべる,loading shovel,Ito ay isang uri ng power shovel na ginagamit sa pagkarga ng mga graba at batong nasa lupa,,タガログ語
9,ローラ,ろーら,roller,,,タガログ語
10,バケット,ばけっと,bucket,,,タガログ語
"だい       か   けんせつきかいせ こ う
第19課 建設機械施工①",,,,,,タガログ語
Aralin19  Pagpapaandar ng Makinang Pang Konstruksyon ①,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
11,ブーム,ぶーむ,boom,,,タガログ語
12,アーム,あーむ,arm,,,タガログ語
13,ブレード（排土板）,ぶれーど（はいどばん）,blade,,,タガログ語
14,タイヤ,たいや,gulong,,,タガログ語
15,クローラ,くろーら,crawler,,,タガログ語
16,キー（鍵）,きー（かぎ）,key (susi),,"く る ま   か ぎ
車の鍵",タガログ語
17,"作業装置
（アタッチメント）","さぎょうそうち
（あたっちめんと）",aparato sa paggawa (attachment),,,タガログ語
18,エンジン,えんじん,engine,,"き
エンジンをかける、エンジンを切る",タガログ語
19,ディーゼルエンジン,でぃーぜるえんじん,diesel engine,,,タガログ語
20,エンジンオイル,えんじんおいる,engine oil,,,タガログ語
"だい       か   けんせつきかいせ こ う
第19課 建設機械施工①",,,,,,タガログ語
Aralin19  Pagpapaandar ng Makinang Pang Konstruksyon ①,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
21,"オルタネータ
（充電発電機）","おるたねーた
（じゅうでんはつでんき）",alternator (charging generator),,,タガログ語
22,バッテリ,ばってり,battery,,,タガログ語
23,燃料,ねんりょう,fuel,,,タガログ語
24,軽油,けいゆ,gas oil,,,タガログ語
25,ブレーキ,ぶれーき,preno,,"ふ
ブレーキを踏む",タガログ語
"だい       か   けんせつき か い せ こ う
第20課 建設機械施工②",,,,,,タガログ語
Aralin20  Pagpapaandar ng Makinang Pang Konstruksyon ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
1,油圧シリンダ,ゆあつしりんだ,hydraulic cylinder,,,タガログ語
2,油圧モータ,ゆあつもーた,hydraulic motor,,,タガログ語
3,油圧ポンプ,ゆあつぽんぷ,hydraulic pump,,,タガログ語
4,水漏れ,みずもれ,tagas ng tubig,,,タガログ語
5,油漏れ,あぶらもれ,tagas ng langis,,,タガログ語
6,冷却水,れいきゃくすい,coolant,,,タガログ語
7,ブレーキ液,ぶれーきえき,brake fluid,,,タガログ語
8,燃料タンク,ねんりょうたんく,fuel tank,,,タガログ語
9,ファンベルト,ふぁんべると,fan belt,,,タガログ語
10,空気圧,くうきあつ,presyon ng hangin ng gulong,,,タガログ語
11,クラッチ,くらっち,clutch,,,タガログ語
12,急発進,きゅうはっしん,biglaang pag-arangkada,,,タガログ語
13,急ブレーキ,きゅうぶれーき,biglaang pagpreno,,,タガログ語
"だい       か   けんせつき か い せ こ う
第20課 建設機械施工②",,,,,,タガログ語
Aralin20  Pagpapaandar ng Makinang Pang Konstruksyon ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
14,アイドリング,あいどりんぐ,idling,,"て  い  し
エンジンを停止するときはアイドリング
と
したあとに止める",タガログ語
15,走行,そうこう,pagtakbo,,,タガログ語
16,旋回,せんかい,rebolusyon,,,タガログ語
17,安全ロック,あんぜんろっく,safety lock,,,タガログ語
18,安全支柱,あんぜんしちゅう,safety post,,,タガログ語
19,補給（する）,ほきゅう（する）,pagpapa-gasolina / magpa-gasolina,,"ねんりょう       ほ き ゅ う
エンジンをかけたまま燃料を補給し                               て
はいけない",タガログ語
20,駐車（する）,ちゅうしゃ（する）,pagparada / iparada,,,タガログ語
21,歩行者,ほこうしゃ,pedestrian,taong naglalakad,,タガログ語
22,車両,しゃりょう,sasakyan,,,タガログ語
23,死角,しかく,blind spot,Tinutukoy ang lugar na hindi nakikita,,タガログ語
24,斜面,しゃめん,dalisdis / slope,,"や ま   の   し ゃ め ん       の ぼ
山の斜面を上る",タガログ語
25,転圧（する）,てんあつ（する）,surface compaction / isagawa ang surface compaction,,"て ん あ つ さ ぎ ょ う
ローラで転圧作業をする",タガログ語
"だい       か   さぎょうど う し
第21課 作業動詞①",,,,,,タガログ語
Aralin21   Mga Pandiwa sa Trabaho ①,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
1,接触（する）,せっしょく（する）,sagi / masagi,,"じ ゅ う き        せっしょく
重機に接触してけがをする",タガログ語
2,作動（する）,さどう（する）,pag-andar /umandar,,"か  さ  い  ほ   う  ち    き            さ  ど   う
火災報知器が作動する",タガログ語
3,整備（する）,せいび（する）,pag-maintain (maintenance)  / i-maintain,,"しゃりょう         せ  い  び
車両の整備をする",タガログ語
4,点検（する）,てんけん（する）,inspeksyon / inspeksyunin,,"さ ぎ ょ う ま え         こ   う   ぐ        て ん け ん
作業前に工具を点検する",タガログ語
5,動かす,うごかす,ipaandar,,"き  か  い        う ご
機械を動かす",タガログ語
6,運転（する）,うんてん（する）,pagmamaneho / magmaneho,,"け ん せつ き  か  い        う ん て ん
建設機械を運転する",タガログ語
7,測る,はかる,sukatin,,"て っ き ん        なが              は か
鉄筋の長さを測る",タガログ語
8,操作（する）,そうさ（する）,operasyon / mag-operate,,"き  か  い         そ   う   さ
機械を操作する",タガログ語
9,停止（する）,ていし（する）,pag-tigil / itigil,,,タガログ語
10,切る,きる,"patayin, putulin",,"き              て っ き ん          き
エンジンを切る、鉄筋を切る",タガログ語
11,回す,まわす,paikutin,,,タガログ語
12,押す,おす,pindutin,,,タガログ語
13,集める,あつめる,kolektahin,,,タガログ語
14,触る,さわる,hawakan,,,タガログ語
15,縛る,しばる,bigkisin,,,タガログ語
16,揃える,そろえる,tipunin,,"て っ き ん        なが              そ ろ
鉄筋の長さを揃える",タガログ語
17,結ぶ,むすぶ,itali,,"ざいりょう                                                       む す
材料をまとめてひもで結ぶ",タガログ語
18,しゃがむ,しゃがむ,yumukyok / squat,,,タガログ語
19,調整（する）,ちょうせい（する）,pag-adjust / i-adjust,,,タガログ語
20,閉じる,とじる,pagsara / isara,,,タガログ語
"だい       か   さぎょうど う し
第22課 作業動詞②",,,,,,タガログ語
Aralin22   Mga Pandiwa sa Trabaho ②,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,Pagsasalin,Annotasyon,Halimbawa,タガログ語
1,取り出す,とりだす,ilabas / take out,,,タガログ語
2,戻す,もどす,ibalik,,"つか               こ   う   ぐ         も と         ば  し   ょ         も ど
使った工具は元の場所に戻す",タガログ語
3,仕上げる,しあげる,tapusin,,,タガログ語
4,折れる,おれる,mabali,,"く ぎ           お
釘が折れる",タガログ語
5,欠ける,かける,magkulang,,"ま る                        は             か
丸のこの刃が欠ける",タガログ語
6,近づく,ちかづく,lumapit,,"さぎょ うち ゅう        じ ゅ う き        ち か
作業中の重機に近づかない",タガログ語
7,電源を入れる,でんげんをいれる,i-on,,,タガログ語
8,電源を落とす,でんげんをおとす,i-off,,,タガログ語
9,スイッチを切る,すいっちをきる,i-off ang switch,,,タガログ語
10,固定（する）,こてい（する）,pirmi / ipirmi,,,タガログ語
11,ゆるめる,ゆるめる,luwagin,,ボルトをゆるめる,タガログ語
12,伸ばす,のばす,pahabain / extend,,,タガログ語
13,外す,はずす,tanggalin,,"あ ん ぜん                             は ず
安全カバーを外す",タガログ語
14,曲げる,まげる,baluktutin,,,タガログ語
15,出す,だす,ilabas,,鉄筋を曲げる,タガログ語
16,乾かす,かわかす,patuyuin,,,タガログ語
17,数える,かぞえる,bilangin,,,タガログ語
18,運ぶ,はこぶ,dalhin,,,タガログ語
19,積む,つむ,itambak,,"ざいりょう                                                               つ
材料をくずれないように積む",タガログ語
20,下ろす,おろす,ibaba,,"に  だ  い                に  も  つ          お
トラックの荷台から荷物を下ろす",タガログ語
21,離れる,はなれる,lumayo,,,タガログ語
"だい       か   そくてい
第23課測定",,,,,,タガログ語
Aralin23   Pagsukat,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,,,,タガログ語
1,位置,いち,,,,タガログ語
2,寸法,すんぽう,,,,タガログ語
3,測定（する）,そくてい（する）,,,,タガログ語
4,計測（する）,けいそく（する）,,,,タガログ語
5,計測器,けいそくき,,,,タガログ語
6,温度,おんど,,,,タガログ語
7,高さ,たかさ,,,,タガログ語
8,長さ,ながさ,,,,タガログ語
9,重さ,おもさ,,,,タガログ語
10,厚さ,あつさ,,,,タガログ語
11,硬さ,かたさ,,,,タガログ語
12,深さ,ふかさ,,,,タガログ語
13,表面,ひょうめん,,,,タガログ語
14,すきま,すきま,,,,タガログ語
15,中心,ちゅうしん,,,,タガログ語
"だい       か   そくてい
第23課測定",,,,,,タガログ語
Aralin23   Pagsukat,,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,,,,タガログ語
16,値,あたい,,,,タガログ語
17,安定（する）,あんてい（する）,,,,タガログ語
18,大きさ,おおきさ,,,,タガログ語
19,数,かず,,,,タガログ語
20,誤差,ごさ,,,,タガログ語
21,中,なか,,,,タガログ語
22,反対,はんたい,,,,タガログ語
23,周り,まわり,,,,タガログ語
24,尺,しゃく,,,,タガログ語
25,青,あお,,,,タガログ語
26,赤,あか,,,,タガログ語
27,白,しろ,,,,タガログ語
28,黄色,きいろ,,,,タガログ語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,タガログ語
Aralin24: Column      Mga Iba’t Ibang Ekspresyon sa Japan,,,,,,タガログ語
"げんば                          こと             ひょうげん
１． 現場によって異なる表現
にほん                    ちほう                               おな      いみ                   こと             ひょうげん                                                               ほうげん           い                        たと             した                        れい                                              ぎもん           おも
日本では、地方によって、同じ意味でも異なる表現をすることがあります。「方言」と言います。例えば下のような例がありますので、疑問に思うことがあった
いっしょ         はたら  ひと       たず
ら、一緒に働く人に尋ねてみましょう。",,,,,,タガログ語
"1. Mga ekspresyong naiiba ayon sa lugar ng trabaho
Sa Japan, maaaring magkaroon ng naiibang ekspresyon para sa parehong kahulugan depende sa rehiyon. Tinatawag itong “hougen” (dialekto). Halimbawa, mayroong kasong tulad ng nasa ibaba, kung kaya’t kung mayroon kang pag-aalinlangan, magtanong sa kasamahan sa trabaho.",,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,,,,タガログ語
1,片づける,かたづける,,,,タガログ語
2,捨てる,すてる,,,,タガログ語
3,掃く,はく,,,,タガログ語
4,持ち上げる,もちあげる,,,,タガログ語
5,束ねる,たばねる,,,,タガログ語
6,足をくじく,あしをくじく,,,,タガログ語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,タガログ語
Aralin24: Column      Mga Iba’t Ibang Ekspresyon sa Japan,,,,,,タガログ語
"げんば                          こと             ひょうげん
2． 現場によって異なる表現
けんせつげんば           つか     どうぐ               ちほう        ねんだい       かいしゃ                            おな                              ちが     よ          かた                                                            たと             した                        れい                                 みな                  げんば          つか     ひょ
建設現場で使う道具は、地方、年代や会社によって、同じものでも違う呼び方をすることがあります。例えば下のような例があります。皆さんの現場で使う表
うげん                          おぼ                           べんり
現をメモして覚えておくと便利です。",,,,,,タガログ語
"2. Mga ekspresyong naiiba ayon sa lugar ng trabaho．Maaaring maiba ang tawag sa kaparehong kagamitang ginagamit sa lugar ng konstruksyon, depende sa rehiyon, henerasyon, at kumpanya. Halimbawa, mayroong kasong tulad ng nasa ibaba. Makakatulong na isulat at tandaan ang mga ekspresyong ginagamit sa inyong lugar ng trabaho.",,,,,,タガログ語
No.,Talasalitaan,Paano Magbasa,,,,タガログ語
1,一輪車,いちりんしゃ,,,,タガログ語
2,支柱,しちゅう,,,,タガログ語
3,ショベル,しょべる,,,,タガログ語
4,かけや,かけや,,,,タガログ語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,タガログ語
Aralin24: Column      Mga Iba’t Ibang Ekspresyon sa Japan,,,,,,タガログ語
"けんせつげんば         どくとく          ひょうげん
3． 建設現場の独特な表現
けんせつげんば           いちばんたいせつ                    あんぜん                                            きけん           とき                                    きけん                                                   こうどう                         とき           おおごえ        こえ                                              きび          ど  な
建設現場で一番大切なのは安全です。そのため、危険な時や、あなたが危険につながりそうな行動をとった時は、大声で声をかけられたり、厳しく怒鳴られ
いっしょ         はたら  ひと                   あんぜん       まも                          ことば                                                                                                        けっ                                    ばとう
ることがあります。それらはあなたや、あなたと一緒に働く人たちの安全を守るための言葉です。びっくりするかもしれませんが、決してあなたを罵倒するため
ことば                                                  あんぜん       こころがけ              じこ              お                                     ちゅうい                               ひじょうじたい                   きんきゅうせい       たか       ばあい             とく        ひょうげん      みじ     つよ                                  おお
の言葉ではありません。安全に心掛けて、事故を起こさないよう注意しましょう。非常事態など緊急性が高い場合は、特に表現が短く強くなる                                                                                                                               ことが多いで
す。",,,,,,タガログ語
"3. Natatanging ekspresyon sa lugar ng konstruksyon
Ang kaligtasan ang pinakamahalaga sa lugar ng konstruksyon. Dahil dito, kapag oras ng panganib, or kung may ginawa kang kilos na maaaring maging sanhi ng panganib, maaari kang tawagan sa malakas na boses o masigawan nang mabagsik. Ito ay mga salita upang maprotektahan ang kaligtasan mo at ng iyong mga kasamahan. Maaari kang magulat, pero hinding-hindi ito mga salita upang abusuhin ka. Laging isaisip ang kaligtasan, at mag-ingat upang huwag magdulot ng aksidente. Kapag matindi ang kagipitan tulad kapag mayroong emergency, madalas nagiging maikli ang mga ginagamit na ekspresyon.",,,,,,タガログ語
Ekspresyon,,,,,,タガログ語
ぼんやりするな！ケガするぞ。,,,,,,タガログ語
"あぶ
ばかやろう！危ない！",,,,,,タガログ語
"なに                                        あぶ                           もど
何やってんだ。危ないぞ。戻れ！",,,,,,タガログ語
"もど
いいから、戻ってこい！",,,,,,タガログ語
