"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 6,Unnamed: 9,Unnamed: 15,Unnamed: 23,Unnamed: 28
5,鉄筋,てっきん,Thanh cốt thép,,"て っ き ん       か た わ く         す  き  ま        ちょうせい
鉄筋と型枠の隙間を調整する",Điều chỉnh khoảng cách giữa cốt thép và ván khuôn
6,電工ドラム（ドラム）,でんこうどらむ（どらむ）,Rulô cuốn dây điện,,"で ん こ う                                                                  さ           こ
電工ドラムのコンセントに差し込む",Cắm vào ổ cắm của Rulô cuốn dây đ iện
7,電動丸のこ（電のこ）,でんどうまるのこ（でんのこ）,Máy cưa đĩa (Dennoko),,"で ん ど う ま る                                                         せつだん
電動丸のこでコンパネを切断する",Dùng máy cưa đĩa để cắt ván khuôn
8,パッキン,ぱっきん,"Gioăng, đệm, khớp nối",,"し           こ
パッキンを敷き込む",Đặt gioăng
9,小バール,しょうばーる,"Xà beng, đòn bẩy nhỏ",,"しょう                               く ぎ          ぬ
小バールで釘を抜く",Dùng xà beng nhỏ để nạy đinh
10,大バール,だいばーる,"Xà beng, đòn bẩy to",,"か た わく かい たい        だい                               し   よ   う
型枠解体に大バールを使用する",Dùng xà beng to để tháo dỡ ván  khuô n
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
11,化粧合板,けしょうごうはん,Ván trang trí,,"ひょうめん          う          はな         し     あ                                けしょうごうばん
表面は打ち放し仕上げのため化粧合
し   よ   う
板を使用する",Sử dụng ván trang trí để tạo nên bề mặt bê tông trần cho mặt ngoài
12,普通合板,ふつうごうはん,Ván thường,,"はいめん          そ     じ     し     あ                                ふ  つ  う  ご う ば ん
背面は素地仕上げのため普通合板を
し  よ   う
使用する",Sử dụng ván thường để tạo nên bề mặt bê tông thô cho mặt trong
13,スタイロフォーム,すたいろふぉーむ,Tấm cách nhiệt,,"か た わ くな い          と          つ
スタイロフォームを型枠内に取り付け
る","スタイロフォームを型枠内に取り付                              ける
Lắp tấm cách nhiệt vào bên trong ván
khuôn"
14,面木,めんぎ,Dải vát cạnh,,"か た わ く        めん   ぎ           と          つ
型枠に面木を取り付ける",Gắn dải vát cạnh vào ván khuôn
15,バイブレーター,ばいぶれーたー,Đầm dùi bê tông,,"し          かた
バイブレーターでコンクリートを締め固
める",Dùng đầm dùi bê tông để đầm chặt bê tông
16,剥離剤,はくりざい,"Chất chống dính ván khuô n, chất tách khuôn, chất th áo khuôn",,"か た わ く                                      よ
コンクリートと型枠のはなれを良くする
は   く  り ざ い        し  よ   う
ために剥離剤を使用する",Dùng chất chống dính ván khuôn để gi úp khối bê tông dễ tách khỏi ván khuô n
17,けこみ板,けこみいた,Ván đứng (giữa 2 bậc thang),,"い た         と          つ
けこみ板を取り付ける",Lắp ván đứng
18,目地棒,めじぼう,"Thanh tạo rãnh, thanh nối, thanh liên kết",,"か た わ く          め     じ   ぼ う         と          つ
型枠に目地棒を取り付ける",Gắn thanh tạo rãnh vào ván khuôn
19,コンクリート,こんくりーと,Bê tông,,"か た わ く                                                  なが         こ
型枠にコンクリートを流し込む",Đổ bê tông vào khuôn
20,コンベックス,こんべっくす,Thước dây,,"す ん ぽ う       はか
コンベックスで寸法を測る",Dùng thước dây đo kích thước
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
21,作業用手袋,さぎょうようてぶくろ,Găng tay bảo hộ lao động,,"さ ぎ ょ う よ う て ぶ く ろ       も ち              か た わ く さ ぎ ょ う
作業用手袋を用いて型枠作業をおこ
なう",Dùng găng tay bảo hộ lao động khi là m công việc ván khuôn
22,差金,さしがね,"Thước vuông, ê ke (của thợ mộc)",,"さ し が ね        す ん ぽ う       はか
差金で寸法を測る",Dùng thước vuông để đo kích thước
23,水平器,すいへいき,"Thước thủy, thước nivo, ống bọt nước",,"すい へい   き          かたむ           ちょうせい      すい へい
水平器で傾きを調整し水平にする","Dùng thước thủy để điều chỉnh độ nghiêng, làm cho cân bằng"
24,墨さし,すみさし,Cọ châm mực làm dấu,,"す み                   す み
墨さしを墨つぼにつける",Chấm cọ châm làm dấu vào lọ mực
25,墨つぼ,すみつぼ,Lọ mực (của thợ môc),,"す み                    す み
墨さしを墨つぼにつける",Chấm cọ châm làm dấu vào lọ mực
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,丸セパレーター（丸セパ）,まるせぱれーたー（まる                     せぱ）,Thiết bị phân ly,,"ま る                                                か た わ く        こ  て  い
丸セパレーターで型枠を固定する",Cố định ván khuôn bằng thiết bị phân ly
2,天端釘,てんばくぎ,Đinh đóng mặt trên,,"て ん        て ん   ば   く ぎ          う
コンクリート天に天端釘を打つ",Đóng đinh mặt trên lên mặt trên của b ê tông
3,けれん,けれん,"Làm sạch, phẳng, nhẵn bề mặt, Chà nhám",,"ひょうめん
コンパネの表面をけれんする",Làm sạch bề mặt ván khuôn
4,型枠支保工,かたわくしほこう,Hệ chống đỡ ván khuôn,,"か  た  わ  く  し  ほ  こ  う         こ   う   じ        おこな
型枠支保工の工事を行う",Thi công hệ chống đỡ ván khuôn
5,基礎型枠（メタルフォ                   ーム）,きそかたわく（めたるふぉーむ）,Ván khuôn móng (Ván khu ôn kim loại),,"き     そ   か た わ く        く  み  た
基礎型枠を組立てる",Dùng ván khuôn kim loại để lắp ráp vá n khuôn móng
6,釘仕舞い,くぎしまい,Nhổ đinh khỏi gỗ phế liệu,,"か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",Dùng búa nhổ đinh để nhổ đinh ra khỏi ván khuôn
7,スラブ天端,すらぶてんば,Mặt trên bê tông,,"て ん   ば
スラブ天端をそろえる",Xếp đều mặt trên bê tông
8,高さ（タッパ）,たかさ（たっぱ）,Độ cao (còn gọi là Tappa),,"た か                                           は か
高さ（タッパ）を測る",Đo độ cao
9,建込み,たてこみ,Lắp đặt theo chiều dọc,,"か た わ く        た  て  こ
型枠を建込みする",Lắp đặt ván khuôn theo chiều dọc
10,通り,とおり,"Thẳng, Ngay ngắn","Chỉnh những thứ bị cong, gây vướng, v.v… trở về trạng thái chuẩn","と お                よ
通りを良くする",Làm cho ngay ngắn
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
11,蹴上げ,けあげ,Chiều cao một bậc thang,Chiều cao một bậc thang,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",Lắp ván khuôn theo kích thước chiều cao bậc thang đã được quy định
12,蹴込み,けこみ,Phần lõm vào theo chiều ngang của bậc thang trên v à bậc thang dưới,,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる",Lắp ván khuôn theo kích thước phần l õm bậc thang đã được quy định
13,工具の手入れ,こうぐのていれ,Bảo dưỡng dụng cụ,,"こ   う   ぐ           て     い
工具の手入れをおこたらない",Không lười bảo dưỡng dụng cụ
14,下げ振り,さげふり,"Quả dọi, dây dọi",,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する",Dùng quả dọi để căn thẳng
15,地墨,じずみ,Đánh đấu,,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける",Đặt ván khuôn theo vạch đánh dấu
16,捨てコンクリート,すてこんくりーと,Bê tông lớp tạo phẳng,,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る",Đặt khung chặn bê tông lớp tạo phẳng
17,はね出し,はねだし,Nhô ra,"Trạng thái nhô ra nhiều về một phía từ nơi có sàn công tác làm chỗ đỡ.
Nếu không biết mà bước lên thì có khả năng rơi ngã, hết sức nguy hiểm.","かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る",Lắp ráp ván khuôn tấm bê tông nhô ra từ tường
18,はらみ,はらみ,Phình,,"だ  せ  つ ちゅう       か た わ く
コンクリート打設中に型枠のはらみを
か く に ん
確認する",Kiểm tra độ phình của ván khuôn trong khi đổ bê tông
19,前面,まえつら,Mặt trước,,"ま え つ ら       そ ろ
前面を揃える",Xếp mặt trước đều nhau
20,養生,ようじょう,Dưỡng hộ,,"だ  せ  つ   ご         ようじょう
コンクリート打設後に養生をおこなう",Thực hiện dưỡng hộ sau khi đổ bê tô ng
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
21,レベル,れべる,Độ cân bằng,,"そくりょう
レベルを測量する",Đo độ cân bằng
22,割付,わりつけ,"Sự phân bổ, bố trí đều",,"か た わ く         わ          つ
型枠を割り付ける",Phân bổ ván khuôn
23,埋め込み金物,うめこみかなもの,Kim loại đặt trong bê tông,,"か た わ く                                                  う            こ          か な もの
型枠にはあらかじめ埋め込み金物を
と          つ
取り付ける",Gắn kim loại đặt trong bê tông vào vá n khuôn
24,解体する（バラス）,かいたい,(danh từ) Sự tháo dỡ,,"か た わ く       かいたい
型枠を解体する（バラス）",Tháo dỡ ván khuôn
,,（ばらす）,(động từ) Tháo dỡ,,,
25,かぶり寸法,かぶりすんぽう,Độ dày lớp bê tông bảo vệ cốt thép,,"て っ き ん       か た わ く                             す ん ぽ う        か く に ん
鉄筋と型枠のかぶり寸法を確認する",Kiểm tra độ dày lớp bê tông bảo vệ cốt thép
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,異形棒鋼,いけいぼうこう,Cốt thép có gờ (cốt thép gai),Là loại cốt thép được dùng phổ biến ở Nhật,"い  け  い ぼ う こ う       も ち
異形棒鋼を用いる",
2,結束線,けっそくせん,Dây thép buộc,,"け っ そ く せん        て っ き ん       し ば
結束線で鉄筋を縛る",Dùng dây thép buộc để buộc cốt thép
3,結束工具,けっそくこうぐ,Móc buộc thép,"Còn gọi là ""Hakka""","け っ そ く  こ   う   ぐ        も ち              て っ き ん       し ば
結束工具を用いて鉄筋を縛る",Dùng móc buộc thép để buộc cốt thép
4,鉄筋切断機,てっきんせつだんき,Máy cắt thép,,"て っ き ん せ  つ  だ  ん  き         て っ き ん       せつだん
鉄筋切断機で鉄筋を切断する",Dùng máy cắt thép để cắt cốt thép
5,鉄筋曲げ加工機,てっきんまげかこうき,Máy uốn thép,,"て っ き ん   ま           か  こ  う    き          て っ き ん         ま
鉄筋曲げ加工機で鉄筋を曲げる",Dùng máy uốn thép để uốn cốt thép
6,フック,ふっく,Móc,,"て っ き ん た  ん  ぶ
鉄筋端部にフックをつける",Bẻ móc cho đầu mút thanh cốt thép
7,保護帽（ヘルメット）,ほごぼう（へるめっと）,Mũ bảo hộ,,"ほ     ご   ぼ う                             さ ぎ ょ う          と           か
保護帽をかぶり作業に取り掛かる",Đội mũ bảo hộ khi làm việc
8,アンカー,あんかー,Neo,"Gọi tắt của ""Sashikin anka"" (neo cốt th ép chờ). Còn gọi là ""Sashikin""(cốt thé p chờ)","せ  っ  ち
アンカーを設置する",Cấy neo
9,加工場,かこうば,Khu vực gia công,,"げ  ん  ば はんにゅうまえ        か  こ  う   ば           て っ き ん         か  こ  う
現場搬入前に加工場で鉄筋を加工
する",Gia công cốt thép ở khu vực gia công trước khi vận chuyển đến công trường
10,スペーサ―,すぺーさー,Con kê,,"て っ き ん                             あ つ              た も
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",Dùng con kê để đảm bảo độ dày của lớp bê tông bảo vệ cốt thép
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
11,ドーナツ,どーなつ,Con kê hình bánh xe,,"かべ        て っ き ん                      あ つ                                                つか
壁の鉄筋かぶり厚さはドーナツを使う",Dùng con kê hình bánh xe để đảm bảo độ dày của lớp bê tông bảo vệ cốt thép tường
12,加工配筋図,かこうはいきんず,Bản vẽ bố trí cốt thép gia c ông,,"か  こ  う は い き ん   ず   ど お              く  み  た
加工配筋図通りに組立てる",Lắp ráp theo đúng như bản vẽ bố trí cốt thép gia công
13,配筋詳細図,はいきんしょうさいず,Bản vẽ chi tiết bố trí cốt th ép,,"は い き んしょうさい  ず   ど お             く み   た
配筋詳細図通りに組立てる",Lắp ghép theo đúng như bản vẽ chi tiết bố trí cốt thép
14,開口補強筋,かいこうほきょうきん,Cốt thép gia cường lỗ mở,,"ま ど か い こ う   ぶ          か い こ う ほ き ょ う き ん       ぐ み   た
窓開口部は開口補強筋を組立てる",Lắp ráp cốt thép gia cường lỗ mở cho lỗ mở cửa sổ
15,幅止め筋,はばどめきん,Cốt thép đai ngắn nối hai thanh đối diện bụng dầm đ ể giữ khoảng cách chính x ác giữa 2 thanh,,"はば   ど          き ん         と          つ
幅止め筋を取り付ける",Lắp ráp cốt thép đai ngắn giữ khoảng c ách
16,差筋,さしきん,Cốt thép chờ,,"さ し き ん
コンクリートに差筋をする",Neo cốt thép chờ vào bê tông
17,柱主筋,はしらしゅきん,Cột chủ cốt thép,,"はしらしゅきん       ぐ み   た
柱主筋を組立てる",Kiểm tra cột chủ cốt thép trên bản vẽ
18,柱配筋,はしらはいきん,Cột cốt thép,,"はしらはいきん         ず   めん        か く に ん
柱配筋を図面で確認する",Lắp ráp cột cốt thép
19,スラブ筋,すらぶきん,Cốt thép bản mặt,,"き ん        し ょ て い                                   く  み  た
スラブ筋を所定のピッチで組立てる",Lắp ráp cốt thép bản mặt theo khoảng cách quy định
20,ベース筋,べーすきん,"Cốt thép nền, móng",,"き ん        く  み  た
ベース筋を組立てる",Lắp ráp cốt thép ốt thép móng
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
21,帯筋（フープ）,おびきん（ふーぷ）,Cốt thép đai (dạng vòng tr òn),,"おびき ん        く  み  た
帯筋を組立てる",Lắp ráp cốt thép đai (dạng vòng tròn)
22,下端筋,したばきん,Cốt thép bên dưới,,"し  た  ば き ん        く  み  た
下端筋を組立てる",Lắp ráp cốt thép bên dưới
23,上端筋,うわばきん,Cốt thép bên trên,,"う  わ  ば き ん        く  み  た
上端筋を組立てる",Lắp ráp cốt thép bên trên
24,主筋,しゅきん,Cốt thép chủ,,"し ゅ き ん        く  み  た
主筋を組立てる",Lắp ráp cốt thép chủ
25,あばら筋,あばらきん,Cốt thép đai (dạng thanh),,"き ん        く  み  た
あばら筋を組立てる",Lắp ráp cốt thép đai (dạng thanh)
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,はかま筋,はかまきん,Cốt thép đặt xung quanh c ác cốt thép khác ở móng đ ể gia cố,,"き ん        く  み  た
はかま筋を組立てる",Lắp ráp cốt thép đặt xung quanh các cốt thép khác ở móng để gia cố
2,縦筋,たてきん,Cốt thép dọc,,"た て き ん        く  み  た
縦筋を組立てる",Lắp ráp cốt thép dọc
3,下筋,したきん,Cốt thép dưới,,"し た き ん        く  み  た
下筋を組立てる",Lắp ráp cốt thép dưới
4,横筋,よこきん,Cốt thép ngang,,"よ こ き ん        く  み  た
横筋を組立てる",Lắp ráp cốt thép ngang
5,腹筋,はらきん,Cốt thép cấu tạo bụng dầm,,"は ら き ん        く  み  た
腹筋を組立てる",Lắp ráp cốt thép cấu tạo bụng dầm
6,配力筋,はいりょくきん,Cốt thép phân bố,,"はいりょくきん        く  み  た
配力筋を組立てる",Lắp ráp cốt thép phân bố
7,上筋,うわきん,Cốt thép trên,,"う わ き ん        く  み  た
上筋を組立てる",Lắp ráp cốt thép  trên
8,スパイラル筋,すぱいらるきん,Cốt thép xoắn ốc,,"き ん        た い し んへ き          と           つ
スパイラル筋を耐震壁に取り付ける",Gắn cốt thép xoắn ốc vào tường chịu chấn động
9,鉄筋径,てっきんけい,Đường kính cốt thép,,"て っ き ん け い        せ っ け い  と   し   ょ         と お
鉄筋径は設計図書の通りである",Đường kính cốt thép theo đúng như bản thiết kế
10,かぶり厚さ,かぶりあつさ,Độ dày lớp bê tông bảo vệ cốt thép,,"あ つ              か く に ん
かぶり厚さを確認する",Kiểm tra độ dày lớp bê tông bảo vệ cốt thép
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
11,角度,かくど,Độ góc,,"か  く  ど        か く に ん
角度を確認する",Kiểm tra độ góc
12,シングル,しんぐる,"Đơn, một",,"て っ き ん                                   は い き ん         く  み  た
鉄筋はシングル配筋で組立てる",Cốt thép thì tắp ráp theo bố trí 1 lớp cốt thép
13,ダブル,だぶる,"Đôi, hai",,"は い き ん
スラブはダブル配筋とする",Tấm bê tông thì lắp ráp theo bố trí 2 lớp cốt thép
14,千鳥結束,ちどりけっそく,Kết nối xen kẽ,,"て っ き ん        ち   ど  り  け っ そ く
鉄筋は千鳥結束する",Kết nối xen kẽ cốt thép
15,切断寸法,せつだんすんぽう,Kích thước cắt ngang,,"せつだんす ん ぽ う        て っ き ん       せつだん
切断寸法で鉄筋を切断する",Cắt cốt thép theo kích thước cắt ngnag
16,加工寸法,かこうすんぽう,Kích thước gia công,,"か  こ  う  す ん ぽ うど お             て っ き ん        か  こ  う
加工寸法通りに鉄筋を加工する",Gia công cốt thép theo đúng như kích thước gia công
17,重ね継手,かさねつぎて,"Liên kết chồng, mối nối chồng",,"て っ き ん  ど  う  し         か さ         つ  ぎ  て
鉄筋同士は重ね継手とする",Giữa các thanh cốt thép với nhau thì d ùng liên kết chồng
18,圧接継手,あっせつつぎて,"Liên kết hàn áp lực, mối nối hàn áp lực",,"て っ き ん  ど  う  し        あ っ せ つ つ  ぎ  て
鉄筋同士は圧接継手とする",Giữa các thanh cốt thép với nhau thì d ùng liên kết hàn áp lực
19,開口部,かいこうぶ,"Lỗ mở, lỗ trống",,"か  い  こ  う  ぶ               か い こ う ほ き ょ う き ん         と          つ
開口部には開口補強筋を取り付ける",Gắn cốt thép gia cường lỗ mở vào khu vực lỗ mở
20,溶接金網,ようせつかなあみ,Lưới cốt thép sợi hàn,,"ど     ま   は い き ん        よ う せ つ かなあみ        し  よ   う
土間配筋は溶接金網を使用する",Bố trí cốt thép sàn thì dùng lưới cốt th ép sợi hàn
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
21,搬出,はんしゅつ,Vận chuyển ra,,"の こ              て っ き ん        げ  ん  ば              はんしゅつ
残った鉄筋を現場から搬出する",Vận chuyển cốt thép còn lại ra khỏi cô ng trường
22,搬入,はんにゅう,Vận chuyển vào,,"て っ き ん        げ  ん  ば        はんにゅう
鉄筋を現場に搬入する",Vận chuyển cốt thép vào trong công trường
23,基礎,きそ,Móng,Là nền tảng của công trình xây dựng,"き     そ          は い き ん
基礎の配筋をおこなう",Bố trí cốt thép móng
24,機械式継手,きかいしきつぎて,"Liên kết cơ khí, mối nối cơ khí",,"て っ き ん  ど  う  し         き  か  い  し  き  つ  ぎ  て
鉄筋同士は機械式継手とする",Giữa các thanh cốt thép với nhau thì d ùng liên kết cơ khí
25,配筋検査,はいきんけんさ,Kiểm tra bố trí cốt thép,,"せ っ け い か ん り し ゃ                    は い き ん け  ん  さ         ご う か く
設計監理者による配筋検査に合格す
る",Vượt qua cuộc kiểm tra bố trí cốt thép do người quản lý thiết kế thực hiện
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,トラクタ,とらくた,Máy kéo,"Máy kéo được gắn thêm phụ tùng
(attachment) được gọi là máy ủi, máy xúc, v.v.",,
2,ブルドーザ,ぶるどーざ,Xe ủi,Là máy kéo có gắn lưỡi ủi,,
3,トラクタショベル,とらくたしょべる,Máy xúc,Là máy kéo có gắn gầu. Có 2 loại bánh xích và bánh lốp,,
4,ホイルローダ,ほいるろーだ,Máy xúc lật bánh lốp,Là máy xúc loại bánh lốp (hệ dẫn động bốn bánh),,
5,ダンプトラック,だんぷとらっく,Xe tải tự đổ,,,
6,油圧ショベル,ゆあつしょべる,Máy đào thủy lực,"Là máy có gắn gầu, có thể thực hiện nhiều thao tác khác nhau khi được thay đổi phụ tùng (attachment)",,
7,バックホウ,ばっくほう,Máy đào,"Là loại máy xúc thủy lực phổ biến
nhất, được sử dụng để đào xuống dưới mặt đất",,
8,ローディングショベル,ろーでぃんぐしょべる,Máy đào gầu thuận,"Là một loại máy xúc thủy lực, dùng để xúc đất đá trên mặt đất đổ lên phương tiện vận chuyển",,
9,ローラ,ろーら,Xe lu,,,
10,バケット,ばけっと,Gầu,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
11,ブーム,ぶーむ,Cần chống,,,
12,アーム,あーむ,Cần ngang,,,
13,ブレード（排土板）,ぶれーど（はいどばん）,Lưỡi ủi (còn gọi là Tấm gạt đất),,,
14,タイヤ,たいや,Lốp xe,,,
15,クローラ,くろーら,Bánh xích,,,
16,キー（鍵）,きー（かぎ）,Chìa khóa,,"く る ま   か ぎ
車の鍵",Chìa khóa xe ô tô
17,"作業装置
（アタッチメント）","さぎょうそうち
（あたっちめんと）",Phụ tùng,,,
18,エンジン,えんじん,Động cơ,,"き
エンジンをかける、エンジンを切る",Bật động cơ. Tắt động cơ
19,ディーゼルエンジン,でぃーぜるえんじん,Động cơ Diesel,,,
20,エンジンオイル,えんじんおいる,Dầu động cơ,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
21,"オルタネータ
（充電発電機）","おるたねーた
（じゅうでんはつでんき）",Máy phát điện xoay chiều (Máy sạc và phát điện),,,
22,バッテリ,ばってり,Ắc quy,,,
23,燃料,ねんりょう,Nhiên liệu,,,
24,軽油,けいゆ,Dầu nhẹ,,,
25,ブレーキ,ぶれーき,Phanh,,"ふ
ブレーキを踏む",Đạp phanh
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,油圧シリンダ,ゆあつしりんだ,Xylanh thủy lực,,,
2,油圧モータ,ゆあつもーた,Mô tơ thủy lực,,,
3,油圧ポンプ,ゆあつぽんぷ,Bơm thủy lực,,,
4,水漏れ,みずもれ,Rò rỉ nước,,,
5,油漏れ,あぶらもれ,Rò rỉ dầu,,,
6,冷却水,れいきゃくすい,Nước làm mát,,,
7,ブレーキ液,ぶれーきえき,Chất lỏng phanh,,,
8,燃料タンク,ねんりょうたんく,Thùng nhiên liệu,,,
9,ファンベルト,ふぁんべると,Dây đai quạt,,,
10,空気圧,くうきあつ,Áp suất khí,,,
11,クラッチ,くらっち,Khớp li hợp,,,
12,急発進,きゅうはっしん,Tiến đột ngột,,,Khi muốn dừng máy thì để chạy không tải trước rồi mới dừng
13,急ブレーキ,きゅうぶれーき,Phanh đột ngột,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
14,アイドリング,あいどりんぐ,"Chạy không tải, chạy cầm chừng",,"て  い  し
エンジンを停止するときはアイドリング
と
したあとに止める",Khi muốn dừng máy thì để chạy không tải trước rồi mới dừng
15,走行,そうこう,Chạy,,,
16,旋回,せんかい,Đi vòng tròn,,,
17,安全ロック,あんぜんろっく,Khóa an toàn,,,
18,安全支柱,あんぜんしちゅう,Cột chống an toàn,,,
19,補給（する）,ほきゅう,(danh từ) Sự bổ sung,,"ねんりょう       ほ き ゅ う
エンジンをかけたまま燃料を補給し                               て
はいけない",Không được bổ sung nhiên liệu trong khi vẫn để động cơ chạy
,,ほきゅうする,(động từ) Bổ sung,,,
20,駐車（する）,ちゅうしゃ,(danh từ) Sự đỗ xe,,,
,,ちゅうしゃする,(động từ) Đỗ xe,,,
21,歩行者,ほこうしゃ,Người đi bộ,,,
22,車両,しゃりょう,Xe,,,
23,死角,しかく,Góc chết,Chỗ không nhìn thấy,,
24,斜面,しゃめん,Dốc,,"や ま   の   し ゃ め ん       の ぼ
山の斜面を上る",Leo dốc núi
25,転圧（する）,てんあつ,(danh từ) Sự đầm nén,,"て ん あ つ さ ぎ ょ う
ローラで転圧作業をする",Dùng xe lu để đẩm
,,てんあつする,(động từ) Đầm nén,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,接触（する）,せっしょく（する）,"(danh từ) Sự va chạm, tiếp xúc","(danh từ) Sự va chạm, tiếp xúc","じ ゅ う き        せっしょく
重機に接触してけがをする",Va chạm với máy hạng nặng và bị thương
,,,"(động từ)  Va chạm, tiếp xú c","(động từ)  Va chạm, tiếp xúc",,
2,作動（する）,さどう（する）,(danh từ) Sự kích hoạt,(danh từ) Sự kích hoạt,"か  さ  い  ほ   う  ち    き            さ  ど   う
火災報知器が作動する",Máy báo cháy kích hoạt
,,,(động từ) Kích hoạt,(động từ) Kích hoạt,,
3,整備（する）,せいび（する）,(danh từ) Sự bảo dưỡng,(danh từ) Sự bảo dưỡng,"しゃりょう         せ  い  び
車両の整備をする",Bảo dưỡng xe
,,,(động từ) Bảo dưỡng,(động từ) Bảo dưỡng,,
4,点検（する）,てんけん（する）,(danh từ) Kiểm tra,(danh từ) Kiểm tra,"さ ぎ ょ う ま え         こ   う   ぐ        て ん け ん
作業前に工具を点検する",Kiểm tra dụng cụ trước khi làm việc
,,,(động từ) Kiểm tra,(động từ) Kiểm tra,,
5,動かす,うごかす,Vận hành,Vận hành,"き  か  い        う ご
機械を動かす",Vận hành máy
6,運転（する）,うんてん（する）,"(danh từ) Vận hành, lái","(danh từ) Vận hành, lái","け ん せつ き  か  い        う ん て ん
建設機械を運転する",Vận hành máy móc xây dựng
,,,"(động từ) Vận hành, lái","(động từ) Vận hành, lái",,
7,測る,はかる,Đo,Đo,"て っ き ん        なが              は か
鉄筋の長さを測る",Đo chiều dài cốt thép
8,操作（する）,そうさ（する）,(danh từ) Sự điều khiển,(danh từ) Sự điều khiển,"き  か  い         そ   う   さ
機械を操作する",Điều khiển máy
,,,(động từ) Điều khiển,(động từ) Điều khiển,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
9,停止（する）,ていし（する）,"(danh từ) Sự dừng, ngừng","(danh từ) Sự dừng, ngừng",,
,,,"(động từ) Dừng, ngừng","(động từ) Dừng, ngừng",,
10,切る,きる,"Tắt, cắt",,"き              て っ き ん          き
エンジンを切る、鉄筋を切る",Tắt động cơ. Cắt cốt thép
11,回す,まわす,"Quay, xoay",,,
12,押す,おす,"Ấn, bấm",,,
13,集める,あつめる,"Tập trung, gom",,,
14,触る,さわる,"Chạm, sờ",,,
15,縛る,しばる,"Bó, buộc",,,
16,揃える,そろえる,Xếp đều,,"て っ き ん        なが              そ ろ
鉄筋の長さを揃える",Xếp đều các thanh cốt thép theo độ dài
17,結ぶ,むすぶ,"Nối, buộc",,"ざいりょう                                                       む す
材料をまとめてひもで結ぶ",Gom vật liệu lại và buộc bằng dây
18,しゃがむ,しゃがむ,Ngồi xổm,,,
19,調整（する）,ちょうせい（する）,(danh từ) Sự điều chỉnh,,,
,,,(động từ) Điều chỉnh,,,
20,閉じる,とじる,Đóng,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,取り出す,とりだす,Lấy ra,,,
2,戻す,もどす,Để lại chỗ cũ,,"つか               こ   う   ぐ         も と         ば  し   ょ         も ど
使った工具は元の場所に戻す",Để những dụng cụ đã dùng về chỗ cũ
3,仕上げる,しあげる,Hoàn thiện,,,
4,折れる,おれる,Gẫy,,"く ぎ           お
釘が折れる",Đinh gẫy
5,欠ける,かける,"Mẻ, khuyết, thiếu",,"ま る                        は             か
丸のこの刃が欠ける",Lưỡi cưa máy bị mẻ
6,近づく,ちかづく,Đến gần,,"さぎょ うち ゅう        じ ゅ う き        ち か
作業中の重機に近づかない",Không đến gần máy móc hạng nặng đ ang làm việc
7,電源を入れる,でんげんをいれる,Bật nguồn điện,,,
8,電源を落とす,でんげんをおとす,Tắt nguồn điện,,,
9,スイッチを切る,すいっちをきる,Tắt công tắc,,,
