言語,PDFページ番号,PDF表番号,番号,単語,翻訳,読み方（ひらがな）,備考,例文,写真,標識
カンボジア語,7.0,1.0,3.0,整頓,បរៀបរយ,せいとん,"ការកាត់បៃថយៃូវភាពខ្ជះខ្ជជ យជា
បែើមបោយប្វីការបងាា ញៃូវរបបៀប
ទុក្ោក្់ៃិងក្ដៃែងទុក្ោក្់វតថ ុ
សាំខ្ជៃ់បោយាៃចាស់លាស់។",,,
カンボジア語,7.0,1.0,4.0,清掃,សមាា ត,せいそう,"ការប្វីបោយស្ថថ ៃភាពការងារងាយ
យល ់ ្តមឹ ្តវូ ៃិងស្ថា តបោយការសម្
ោត។",,,
カンボジア語,7.0,1.0,5.0,清潔,ស្ថា ត,せいけつ,"ការរក្ាៃូវស្ថថ ៃភាពស្ថា តជា្បចាំ
បោយការអៃុវតតយ៉ា ងែិតែល់ៃូវ
ការមាៃរបបៀប កាបរៀបរយៃិងអនា
ម័យ។",,,
カンボジア語,7.0,1.0,6.0,しつけ,វៃិ ័យ,しつけ,"ការបបងកើតៃូវវបប្ម៌សហការគ្នា បៅ
វញិ បៅមក្បោយភាជ បៃ់ ូវទមាែ ប់ដែល
ោចអៃុវតតៃូវវធាិ ៃដែលាៃក្ាំណ
ត់។",,,
カンボジア語,7.0,1.0,7.0,掃除（する）,(ប្វីការ)សមាា ត,そうじ（する）,,,,
カンボジア語,8.0,1.0,8.0,片づける,បរៀបចាំ,かたづける,,,,
カンボジア語,8.0,1.0,9.0,捨てる,បចល,すてる,,,,
カンボジア語,8.0,1.0,10.0,汚い,ក្ខ្វក្់,きたない,,,,
カンボジア語,8.0,1.0,11.0,汚れる,្បលាក្់,よごれる,,,,
カンボジア語,8.0,1.0,12.0,分別（する）,(ប្វីការ)ដបងដចក្,ぶんべつ（する）,,,,
カンボジア語,8.0,1.0,13.0,燃えないごみ,ស្មាមមិៃប ះ,もえないごみ,,,,
カンボジア語,8.0,1.0,14.0,燃えるごみ,ស្មាមប ះ,もえるごみ,,,,
カンボジア語,8.0,1.0,15.0,挟まれる,គ្នប,はさまれる,,"きかい て はさ
機械に手が挟まれた",,
カンボジア語,8.0,1.0,16.0,巻き込まれる,្តវូ ាៃពាក្់ព័ៃធ,まきこまれる,,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,
カンボジア語,8.0,1.0,17.0,やけど（する）,(មាៃ)រលាក្,やけど（する）,,,,
カンボジア語,8.0,1.0,18.0,落ちる,្្ះរ,おちる,,"かいだん お
階段から落ちる",,
カンボジア語,8.0,1.0,19.0,すべる,រអិល,すべる,,"ゆか
床がすべる",,
カンボジア語,9.0,1.0,20.0,転ぶ,ែួល,ころぶ,,"こうじょう ころ
工場ですべって転んだ",,
カンボジア語,9.0,1.0,21.0,濡れる,បសើម,ぬれる,,,,
カンボジア語,9.0,1.0,22.0,衛生,អនាម័យ,えいせい,,,,
カンボジア語,9.0,1.0,23.0,避難（する）,(ប្វីការ)្បមែៀស,ひなん（する）,,,,
カンボジア語,9.0,1.0,24.0,救急車,ឡាៃសប្ងាគ ះបនាា ៃ់,きゅうきゅうしゃ,,,,
カンボジア語,9.0,1.0,25.0,災害,ប្គ្នះមហៃតោយ,さいがい,,,,
カンボジア語,9.0,1.0,26.0,地震,ការរញ្ជ យួ ែី,じしん,,"じ しん お
地震が起きる",,
カンボジア語,9.0,1.0,27.0,もぐる,មុ្,もぐる,,"じ しん つくえ した
地震だ！机の下にもぐれ！",,
カンボジア語,10.0,1.0,1.0,火気厳禁,ហាមដាច់ខាតប្រើប្លើង,かきげんきん,,,,
カンボジア語,10.0,1.0,2.0,開放厳禁,ហាមដាច់ខាតបរើកចំហ,かいほうげんきん,,,,
カンボジア語,10.0,1.0,3.0,標識,សញ្ញា,ひょうしき,,,,
カンボジア語,10.0,1.0,4.0,気をつける,ខ្ ញំនឹង្រងុ ្រយ័តន,きをつける,,,,
カンボジア語,10.0,1.0,5.0,持ち込む,យកចូល,もちこむ,,"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",,
カンボジア語,10.0,1.0,6.0,防ぐ,រង្កា រ,ふせぐ,,"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",,
カンボジア語,10.0,1.0,7.0,火,ប្លើង,ひ,,,,
カンボジア語,10.0,1.0,8.0,煙,ផ្សែង,けむり,,,,
カンボジア語,10.0,1.0,9.0,消火,ព្នលត់អគ្គិ្័យ,しょうか,,,,
カンボジア語,10.0,1.0,10.0,消火器,ឧរករណ៍ព្នលត់អគ្គិ្័យ,しょうかき,,,,
カンボジア語,10.0,1.0,11.0,非常ベル,កណតឹងអាសនន,ひじょうべる,,,,
カンボジア語,10.0,1.0,12.0,火災報知機,កណតឹង្រកាសអគ្គិ្័យ,かさいほうちき,,,,
カンボジア語,10.0,1.0,13.0,逃げる,រត់បគ្ច,にげる,,,,
カンボジア語,10.0,1.0,14.0,現場,កផ្នលងការង្ករ,げんば,,,,
カンボジア語,10.0,1.0,15.0,作業,ការង្ករ,さぎょう,,,,
カンボジア語,10.0,1.0,16.0,ミーティング,ការ្រជុំ,みーてぃんぐ,"មានការបៅការ្រជុំៃូចជា អងគ ្រជុំ
្រជុំបព្ល្ព្កឹ និង្រជុំរញ្ចរ់សងផ្ៃ
រ។",,,
カンボジア語,10.0,1.0,17.0,研修（する）,(ប្វើការ)កមមសិកា,けんしゅう（する）,,,,
カンボジア語,11.0,1.0,18.0,実習（する）,(ប្វើការ)សិកា,じっしゅう（する）,,,,
カンボジア語,11.0,1.0,19.0,あいさつ,ររវកិចច,あいさつ,,,,
カンボジア語,11.0,1.0,20.0,確認（する）,(ប្វើការ)រញ្ញា ក់,かくにん（する）,,,,
カンボジア語,11.0,1.0,21.0,報告（する）,(ប្វើការ)ការោយការណ៍,ほうこく（する）,,,,
カンボジア語,11.0,1.0,22.0,連絡（する）,(ប្វើការ)ទាក់ទង,れんらく（する）,,,,
カンボジア語,11.0,1.0,23.0,相談（する）,(ប្វើការ)ព្ិភាកា,そうだん（する）,,,,
カンボジア語,11.0,1.0,24.0,渡す,ឆ្លងកាត់,わたす,"មានការបៅការ្រជុំៃូចជា អងគ ្រជុំ
្រជុំបព្ល្ព្កឹ និង្រជុំរញ្ចរ់សងផ្ៃ
រ។",,,
カンボジア語,11.0,1.0,25.0,申請書,ពាកែបសនើសុំ,しんせいしょ,,,,
カンボジア語,11.0,1.0,26.0,寝坊（する）,(ប្វើការ)បគ្ង្ជលុ,ねぼう（する）,,,,
カンボジア語,12.0,1.0,1.0,技能,ជំនាញ,ぎのう,,,,
カンボジア語,12.0,1.0,2.0,技能検定試験,ប្រឡងសមត្ថិភាពជំនាញ,ぎのうけんていしけん,,,,
カンボジア語,12.0,1.0,3.0,受検（する）,(ធ្វើ)ការប្រឡង,じゅけん（する）,,,,
カンボジア語,12.0,1.0,4.0,資格,សមត្ថភាព(ជំនាញ),しかく,,,,
カンボジア語,12.0,1.0,5.0,手当,ប្ាក់ឧរត្ថមភ,てあて,,,,
カンボジア語,12.0,1.0,6.0,社員,រុគ្គលកិ ប្កមុ ហ ុន,しゃいん,,,,
カンボジア語,12.0,1.0,7.0,部長,ប្រធានផ្នែក,ぶちょう,,,,
カンボジア語,12.0,1.0,8.0,課長,ប្រធានការយាិ លយ័,かちょう,,,,
カンボジア語,12.0,1.0,9.0,更衣室,រនទរផ្ល់ ា ស់សធមាៀករំពាក់,こういしつ,,,,
カンボジア語,12.0,1.0,10.0,台車,រទះរុញឥវ៉ាន់,だいしゃ,,,,
カンボジア語,12.0,1.0,11.0,床,កប្ាល,ゆか,,,,
カンボジア語,12.0,1.0,12.0,出口,ប្រកធរញ,でぐち,,,,
カンボジア語,12.0,1.0,13.0,電気,អគ្គីសនី,でんき,,,,
カンボジア語,12.0,1.0,14.0,警報音,សធមាងប្រកាសអាសនែ,けいほうおん,,,,
カンボジア語,12.0,1.0,15.0,コンセント,ប្ពីធ្ាើង,こんせんと,,,,
カンボジア語,12.0,1.0,16.0,作業場,កផ្នាងធ្វើការ,さぎょうば,,,,
カンボジア語,12.0,1.0,17.0,作業台,ត្ុធ្វើការ,さぎょうだい,,,,
カンボジア語,12.0,1.0,18.0,工事現場,ការដ្ឋា នសំណង់,こうじげんば,,,,
カンボジア語,12.0,1.0,19.0,職長,អែកដឹកនាំប្កមុ,しょくちょう,,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,
カンボジア語,12.0,1.0,20.0,作業責任者,អែកទទួលខុសប្ត្វូ ការងារ,さぎょうせきにんしゃ,,,,
カンボジア語,13.0,1.0,1.0,禁止,ហាម,きんし,,,,
カンボジア語,13.0,1.0,2.0,表示板,ផ្ទ ងាំ បង្ហា ញព័ត៍មាន,ひょうじばん,,,,
カンボジア語,13.0,1.0,3.0,禁止事項,ប្បការហាមឃាត់,きんしじこう,,,,
カンボジア語,13.0,1.0,4.0,避難訓練,ហ្វកឹ ហាត់ជមមលៀសមេញ,ひなんくんれん,,,,
カンボジア語,13.0,1.0,5.0,感電（する）,(ការ)ឆក់អគ្គីសនី,かんでん（する）,,,,
カンボジア語,13.0,1.0,6.0,防止（する）,(ការ)ការពារ,ぼうし（する）,,,,
カンボジア語,13.0,1.0,7.0,予防（する）,(ការ)បង្ហា រ,よぼう（する）,,,,
カンボジア語,13.0,1.0,8.0,転倒（する）,(ការ)ដួល,てんとう（する）,,,,
カンボジア語,13.0,1.0,9.0,挟まる,គាប,はさまる,,,,
カンボジア語,13.0,1.0,10.0,足元,មជើងមប្កាម,あしもと,,,,
カンボジア語,13.0,1.0,11.0,不安定（な）,(ដដល)អមសេរភាព,ふあんてい（な）,,,,
カンボジア語,13.0,1.0,12.0,後片付け,ការមរៀបេាំមពលមប្កាយ,あとかたづけ,,,,
カンボジア語,13.0,1.0,13.0,救急箱,ប្បអប់សមប្ង្ហគ ោះបន្ទទ ន់,きゅうきゅうばこ,,,,
カンボジア語,13.0,1.0,14.0,絆創膏,បនទោះបិទមលើស្នា មរបួស,ばんそうこう,,,,
カンボジア語,13.0,1.0,15.0,体調,ស្នេ នភាពសុខភាពខល នួ,たいちょう,,,,
カンボジア語,13.0,1.0,16.0,血,ឈាម,ち,,,,
カンボジア語,13.0,1.0,17.0,熱中症,"ការដួលសនលបម់ ោយស្នរ
កមតៅ",ねっちゅうしょう,,,,
カンボジア語,13.0,1.0,18.0,吐き気,េង់កអ តួ,はきけ,,,,
カンボジア語,13.0,1.0,19.0,嘔吐（する）,(ការ)កអ តួ,おうと（する）,,,,
カンボジア語,13.0,1.0,20.0,足がつる,សាំយ ុងមជើង,あしがつる,,,,
カンボジア語,13.0,1.0,21.0,気分が悪い,មិនប្សួលខល នួ,きぶんがわるい,,,,
カンボジア語,13.0,1.0,22.0,寝不足,មគ្ងមិនប្គ្ប់,ねぶそく,,,,
カンボジア語,13.0,1.0,23.0,安全ネット,សាំណាញ់សុវតេិភាព,あんぜんねっと,,,,
カンボジア語,13.0,1.0,24.0,安全点検,ប្តួតពិនិតយសុវតេិភាព,あんぜんてんけん,,,,
カンボジア語,14.0,1.0,1.0,KY活動（危険予知活動）,"សកម្មភាពKY
(សកម្មភាពពាករណ៏ហា
នីភយ)័","けーわいかつどう（きけん
よちかつどう）",,,,
カンボジア語,14.0,1.0,2.0,危険,គ្រោះថ្នា ក់,きけん,,,,
カンボジア語,14.0,1.0,3.0,ぶつかる,ប ោះទង្គិច,ぶつかる,,"トラクタショベルのバケットにぶつかっ
てけがをした",,
カンボジア語,14.0,1.0,4.0,当たる,្រវូ នឹង្,あたる,,"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当
たってけがをした",,
カンボジア語,14.0,1.0,5.0,下敷きになる,កិនសង្ារ់,したじきになる,,"じゅうき し た じ
重機の下敷きになる",,
カンボジア語,14.0,1.0,6.0,打つ,ដំ,うつ,,"あやま て う
誤ってハンマーで手を打ってしまった",,
カンボジア語,14.0,1.0,7.0,バランスを崩す,បារ់បង្់រ លយភាព,ばらんすをくずす,,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,
カンボジア語,14.0,1.0,8.0,倒れる,ដួលរលំ,たおれる,,"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",,
カンボジア語,14.0,1.0,9.0,転落（する）,(ការ)រេិលធ្លា ក់,てんらく（する）,,"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",,
カンボジア語,14.0,1.0,10.0,指差呼称,ចង្អ ុលគៅគ្ម ោះ,しさこしょう,,,,
カンボジア語,14.0,1.0,11.0,ヒヤリハット,គសទើបរនឹង្មនគ្រោះថ្នា ក់,ひやりはっと,,,,
カンボジア語,14.0,1.0,12.0,原因,ម្ូលគេរ,げんいん,,,,
カンボジア語,14.0,1.0,13.0,対策,វធ្លិ នការ,たいさく,,,,
カンボジア語,14.0,1.0,14.0,落下（する）,(ការ)ធ្លា ក់,らっか（する）,,"あしば こ う ぐ らっか
足場から工具が落下した",,
カンボジア語,14.0,1.0,15.0,墜落（する）,(ការ)ធ្លា កច់ ោះ,ついらく（する）,,"か い こ う ぶ ついらく
開口部から墜落した",,
カンボジア語,14.0,1.0,16.0,確認（する）,(ការ)បញ្ជា ក់,かくにん（する）,,"しゅうい あんぜん かくにん
周囲の安全を確認する",,
カンボジア語,16.0,1.0,16.0,業務,កិចចការ,ぎょうむ,,,,
カンボジア語,16.0,1.0,17.0,時間厳守,របកាន់មពលមវលាខាា ប់សជ នួ,じかんげんしゅ,,,,
カンボジア語,16.0,1.0,18.0,予定,គមរមង,よてい,,,,
カンボジア語,16.0,1.0,19.0,日付,កាលបរមិចេទ,ひづけ,,,,
カンボジア語,16.0,1.0,20.0,準備（する）,(ការ)មរតៀ្,じゅんび（する）,,,,
カンボジア語,16.0,1.0,21.0,会議,ការរប ុំ,かいぎ,,,,
カンボジア語,16.0,1.0,22.0,朝礼,ការរប ុំមពលរពឹក,ちょうれい,,,,
カンボジア語,16.0,1.0,23.0,報告書,មសចកតរាី យការណ៏,ほうこくしょ,,,,
カンボジア語,16.0,1.0,24.0,マニュアル,មសៀវមៅស្ណនំ,まにゅある,,,,
カンボジア語,16.0,1.0,25.0,作業手順書,ឯកោរនីតិវ្ិ ីការងារ,さぎょうてじゅんしょ,,,,
カンボジア語,16.0,1.0,26.0,調子,ចលនកន ុងសល នួ,ちょうし,,,,
カンボジア語,17.0,1.0,1.0,立入禁止,ហាមចូល,たちいりきんし,,,,
カンボジア語,17.0,1.0,2.0,禁煙,ហាមជក់បារី,きんえん,,,,
カンボジア語,17.0,1.0,3.0,火気厳禁,ហាមបង្កា ត់ភ្លើង,かきげんきん,,,,
カンボジア語,17.0,1.0,4.0,駐車禁止,ហាមចត,ちゅうしゃきんし,,,,
カンボジア語,17.0,1.0,5.0,足もと注意,ប្បយ័តនប ៉ះភជើង,あしもとちゅうい,,,,
カンボジア語,17.0,1.0,6.0,開口部注意,ប្បយ័តនផ្ននកភបើកចំហ,かいこうぶちゅうい,,,,
カンボジア語,17.0,1.0,7.0,感電注意,ប្បយ័តនឆក់,かんでんちゅうい,,,,
カンボジア語,17.0,1.0,8.0,堕落注意,ប្បយ័តនធ្លល ក់,ついらくちゅうい,,,,
カンボジア語,17.0,1.0,9.0,頭上注意,ប្បយ័តនភលើកាល,ずじょうちゅうい,,,,
カンボジア語,17.0,1.0,10.0,警報設備,កផ្លលងចុចប្បកាសអាសលន,けいほうせつび,,,,
カンボジア語,18.0,1.0,11.0,消火器,បំពង់​ពលលត់​អគ្គិ្័យ,しょうかき,,,,
カンボジア語,18.0,1.0,12.0,AED設置場所,ទីតងំ បំពាកA់ ED,"えーいーでぃーせっちば
しょ",,,,
カンボジア語,18.0,1.0,13.0,保護帽着用,"ពាក់មួកការពារ(មួក
បង្កា រភប្រ៉ះថ្នន ក់)",ほごぼうちゃくよう,,,,
カンボジア語,18.0,1.0,14.0,安全帯使用,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព,あんぜんたいしよう,,,,
カンボジア語,18.0,1.0,15.0,昇降階段,ជភ្តើរភ ើងចុ៉ះ,しょうこうかいだん,,,,
カンボジア語,18.0,1.0,16.0,休憩所,កផ្លលងសប្ាក,きゅうけいじょ,,,,
カンボジア語,18.0,1.0,17.0,最大積載荷重,សមតថភាពនទកុ អតិបរា,さいだいせきさいかじゅう,,,,
カンボジア語,18.0,1.0,18.0,喫煙所,កផ្លលងជក់បារី,きつえんじょ,,,,
カンボジア語,18.0,1.0,19.0,整理整頓,ភរៀបចំ សណ្តត ប់ធ្លន ប់,せいりせいとん,,,,
カンボジア語,18.0,1.0,20.0,安全通路,នល វូ សុវតថិភាព,あんぜんつうろ,,,,
カンボジア語,19.0,1.0,1.0,三連クランプ,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645),さんれんくらんぷ,,"さんれん たんかん けつごう
三連クランプで単管を結合する",,
カンボジア語,19.0,1.0,2.0,"ベルトコンベア
（ベルコン）",ែខ(cid:717)បន(cid:635)ះយន(cid:625),"べるとこんべあ
（べるこん）",,"つち こうんぱん
ベルトコンベアで土を小運搬する",ន(cid:625),
カンボジア語,19.0,1.0,3.0,かけや,ញញ(cid:819)រេឈ(cid:822),かけや,"គឺ(cid:574)ញញ(cid:819)រេឈ(cid:822)ធំ។េ(cid:579)(cid:674)ះេផ(cid:717)ងេ(cid:729)
(cid:632)(cid:622)រ(cid:847)(cid:811)មូណុឬអូ(cid:622)រ(cid:809)។េ(cid:688)ប(cid:822)េ(cid:598)យ
ៃដ(cid:637)ំងពីរេគេ(cid:729)ញញ(cid:819)រេឈ(cid:822)ធេំ(cid:688)ប(cid:822)
េ(cid:598)យៃដ(cid:676)(cid:538)ង(cid:688)ត(cid:816)វ(cid:652)នេគេ(cid:729)(cid:632)
ញញ(cid:819)រេឈខ(cid:822)(cid:693)ះេគេ(cid:729)(cid:632) កូ េនគី រ(cid:809)
។","くい う こ
かけやで杭を打ち込む",,
カンボジア語,19.0,1.0,4.0,ランマ,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី,らんま,"គឺ(cid:574)(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដីែដល(cid:676)ន
េ(cid:579)(cid:674)ះេ(cid:729) េ(cid:688)(cid:536)(cid:632) Tamping rammer","じばん し かた
ランマで地盤を締め固める",,
カンボジア語,19.0,1.0,5.0,自在クランプ,ដង(cid:544)(cid:814)ំេសរ(cid:801),じざいくらんぷ,"េ(cid:688)ប(cid:822)សំ(cid:690)ប់រ(cid:805)តប នប(cid:625)ំពឹងង់ឯក
រ(cid:700)ង(cid:545)(cid:645)និង(cid:545)(cid:645) េគេ(cid:688)ប(cid:822)(cid:700)េ(cid:648)េពល
(cid:598)ក់ព(cid:688)ងឹងបេ(cid:586)(cid:572)(cid:828)ង។េ(cid:648)កែន(cid:693)ង
(cid:598)ក់េជ(cid:822)ង(cid:535)រព(cid:688)ងឹងបេ(cid:586)(cid:572)(cid:828)ងេគ
េ(cid:729)(cid:632) （すじかいសុឺជិៃក）
(cid:676)ននយ័(cid:632)(cid:598)ក់ ែខ(cid:698)ង។","じざい もち たんかん きんけつ
自在クランプを用いて単管を緊結す
る",,
カンボジア語,19.0,1.0,6.0,キャッチクランプ,ដង(cid:544)(cid:814)ំ(cid:564)ប់,きゃっちくらんぷ,,"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",ឹង,
カンボジア語,19.0,1.0,7.0,吊り上げ用クランプ,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ,つりあげようくらんぷ,ឡ(cid:822)ង,"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結し
たんかん つ あ
た単管を吊り上げる",េដ(cid:822)ម(cid:650)ី,
カンボジア語,19.0,1.0,8.0,直交クランプ,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់,ちょっこうくらんぷ,,"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",ង(cid:544)(cid:814)ំ,
カンボジア語,19.0,1.0,9.0,フック,ទំពក់,ふっく,,ワイヤーロープをフックにかける,,
カンボジア語,19.0,1.0,10.0,ストレートシャックル,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់,すとれーとしゃっくる,,"ワイヤーをストレートシャックルにかけ
る",,
カンボジア語,20.0,1.0,11.0,滑車,ឧបករណ៏រ(cid:843)ក,かっしゃ,,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",យ,
カンボジア語,20.0,1.0,12.0,クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ច,くれーん,,"しざい つ あ
クレーンで資材を吊り上げる",,
カンボジア語,20.0,1.0,13.0,移動式クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត,いどうしきくれーん,,"いどうしき しざい つ あ
移動式クレーンで資材を吊り上げる",,
カンボジア語,20.0,1.0,14.0,介しゃくロープ,ែខ(cid:717)ពួរជំនួយ,かいしゃくろーぷ,,"かい にもつ ふ
介しゃくロープで荷物の振れをおさ
える",,
カンボジア語,20.0,1.0,15.0,昇降階段,(cid:535)ំជេណ(cid:625)(cid:822)រេឡ(cid:822)ងចុះ,しょうこうかいだん,,"あしばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使
う",(cid:822)ងចុះ,
カンボジア語,20.0,1.0,16.0,筋かい止めピン,"(cid:540)(cid:635)ស់(cid:671)(cid:572) ប់ឧបករណ៏
(cid:598)ក់ចេ(cid:647)(cid:693) ះសសរ",すじかいとめぴん,,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,
カンボジア語,20.0,1.0,17.0,脚柱ジョイント,តំណេជ(cid:822)ង,きゃくちゅうじょいんと,,"きゃくちゅう さいご さ こ
脚柱ジョイントは最後まで差し込む",,
カンボジア語,20.0,1.0,18.0,連結ピン,(cid:540)(cid:645)ស់ត(cid:671)(cid:572) ប់,れんけつぴん,,"れんけつ さいご さ こ
連結ピンは最後まで差し込む",,
カンボジア語,20.0,1.0,19.0,ジョイント金具,ែដកតំណ,じょいんとかなぐ,,"かなぐ かくじつ さいご
ジョイント金具は確実に最後までは
める",,
カンボジア語,20.0,1.0,20.0,レバーブロック,ប(cid:694)(cid:814)ក(cid:676)នដង,ればーぶろっく,,"しざい こてい
レバーブロックで資材を固定する",,
カンボジア語,20.0,1.0,21.0,電動のこ（丸のこ）,(cid:676)៉សុីនរ(cid:622)រ,"でんどうのこ（まるの
こ）",,"かたわく せつだん まる しよう
型枠の切断は丸のこを使用する",,
カンボジア語,21.0,1.0,22.0,モンキースパナ,ឧបករណ៏េ(cid:598)ះប៊ូឡ(cid:813) ង,もんきーすぱな,"ខ(cid:693)ះេគេ(cid:729)(cid:632)
(「モンキーレンチ」
「ម៉ុងគីេរ(cid:843)នជ」ិ )","し ゆる
モンキースパナでナットを締める・緩
める",,
カンボジア語,21.0,1.0,23.0,親綱支柱,(cid:688)បព័ន(cid:640)ែខ(cid:717)សុវត(cid:630)ិ(cid:671)ព,おやづなしちゅう,េម,"おやづな は い ち おやづなしちゅう と
親綱を張る位置に親綱支柱を取り
つ
付ける",,
カンボジア語,21.0,1.0,24.0,ブラケット,ែកង(cid:688)ទ,ぶらけっと,"ខ(cid:693)ះេគេ(cid:729)(cid:632) (「持送り」「ម៉ូជិ
អូគុ រ」(cid:809))","あしば と つ
足場にブラケットを取り付ける",,
カンボジア語,21.0,1.0,25.0,梯子,ជេណ(cid:625)(cid:822)រ(cid:598)ក់,はしご,,,,
カンボジア語,22.0,1.0,1.0,親綱,ខ្សែពួរមេ,おやづな,"គឺជាខ្សែសំរាប់ពាក់ថ្ពក់ ខ្សែក្កវ៉ាត់
សុវតថិភាពមៅការដ្ឋា នសំណង(់ ក្កវ៉ា
ត់ ខ្សែជីវតិ )ម ើេបីការពារជីវតិ អ្នកម្វើ
ការមៅការដ្ឋា ន មគតមេលើងពីសរសរ
ម្ខា ងមៅសរសរម្ខា ងម ៀតមដ្ឋយេិន
មោយវ្ូរ","おやづな あんぜんたい
親綱に安全帯をかける",,
カンボジア語,22.0,1.0,2.0,建枠（ビティ）,គំរបឈ្នន ន់(ប ៊ី្ី),たてわく（びてぃ）,,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,
カンボジア語,22.0,1.0,3.0,メッシュシート,ក្កណាត់សំណាញ់,めっしゅしーと,"「ក្កណាត់សំណាញ」់ មពលសលះមគមៅ
ថា
「飛散防止ネット」(ហុី សំង បូ សុី
មណតុ)「សំណាញ់ការពារការខ្ទា ត
ខ្ទា យ」","あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,
カンボジア語,22.0,1.0,4.0,防音パネル,ផ្ា ងំ ប់សមេលង,ぼうおんぱねる,,"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",,
カンボジア語,22.0,1.0,5.0,朝顔材,ផ្ា ងំ មក្ៅសក្ម្ខប់ការពារ,あさがおざい,,"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",,
カンボジア語,22.0,1.0,6.0,架空線,ខ្សែមលើ,かくうせん,"មដ្ឋយសរខ្តម្ខនសម្ខព ្ចរនតអ្គគិ
សនីសពស់
កាលណាប ះវនឹងម្ខនហានីភយ័
សពស់មលើមក្រះថាន ក់ឆក់ចរនតអ្គគីសនី","か く うせん せっしょく
架空線へ接触させないようにする",,
カンボジア語,22.0,1.0,7.0,幅木（仮設足場）,"កាត របងំ មជើង(កខ្នលង
ដ្ឋក់មជើងបមណាត ះោសនន)",はばき（かせつあしば）,,"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",,
カンボジア語,22.0,1.0,8.0,単管,បំពង់ឯក,たんかん,"ពាកយមៅកាត់ 「បំពង់ឯក」សលះ
មគមៅថា 「パイプ 」(ខ្ផប)","たんかん もち あ し ば く た
単管を用いて足場を組み立てる",,
カンボジア語,22.0,1.0,9.0,脚立,ជមណតើរមកាង,きゃたつ,,,,
カンボジア語,23.0,1.0,10.0,作業半径,កាក្ំ បតិបតតិការងារ,さぎょうはんけい,"កាបំ ងវិលននម្ខ សុីន្ុន្ងន់។ម ើេបី
ការពារមក្រះថាន ក់ប ះ ងគិចភាគ
មក្ចើនមគហាេេិនមោយចូល","じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",,
カンボジア語,23.0,1.0,11.0,仮ボルト,បូ ុ ងបមណាត ះោសនន,かりぼると,,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,
カンボジア語,23.0,1.0,12.0,手直し,ខ្កម ើងវញិ,てなおし,,"し て き ば し ょ て な お
指摘された場所を手直しする",,
カンボジア語,23.0,1.0,13.0,面一,មោយនផាទងំ ពីរមសមើរន,つらいち,,"つらいち
面一にそろえる",,
カンボジア語,23.0,1.0,14.0,点検事項,ក្បការក្តួតពិនិតយ,てんけんじこう,,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,
カンボジア語,23.0,1.0,15.0,積載荷重,េងន់ចំណុ ះដ្ឋក់,せきさいかじゅう,,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,
カンボジア語,23.0,1.0,16.0,すき間,ចមន្ទល ះ,すきま,,"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",,
